,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,23.694116709677424,23.438709677419357,31
1,2/1980,23.458927586206904,23.420689655172417,29
2,3/1980,23.91032209677419,23.735483870967748,31
3,4/1980,23.61998696666667,23.483333333333338,30
4,5/1980,23.01963096774194,22.906451612903226,31
5,6/1980,22.0935372,22.336666666666666,30
6,7/1980,21.418293,21.638709677419353,31
7,8/1980,21.706836903225806,21.72258064516129,31
8,9/1980,21.7537161,22.036666666666665,30
9,10/1980,22.740698451612907,22.62258064516129,31
10,11/1980,22.877789800000002,22.66,30
11,12/1980,23.917063709677418,23.987096774193557,31
12,1/1981,21.300434,26.1,1
13,1/1990,23.51154538709678,23.522580645161284,31
14,2/1990,24.096860814814818,24.285185185185178,27
15,3/1990,24.424855419354838,24.519354838709674,31
16,4/1990,24.341723291666668,24.795833333333334,24
17,5/1990,23.428391935483866,23.503225806451614,31
18,6/1990,22.07450713333333,22.333333333333332,30
19,7/1990,21.51334609677419,21.951612903225808,31
20,1/1991,23.507256034482758,23.57931034482759,29
21,2/1991,23.43295155555555,23.588888888888885,27
22,3/1991,23.97879384615385,24.0923076923077,26
23,4/1991,25.176879666666668,24.46666666666667,3
24,5/1991,22.7092935,21.9,2
25,6/1991,21.773349958333327,21.145833333333332,24
26,7/1991,21.005468233333335,20.84333333333333,30
27,8/1991,20.37824183870968,20.370967741935484,31
28,9/1991,21.269706259259255,21.05555555555555,27
29,10/1991,22.12977365517241,21.79655172413793,29
30,11/1991,22.8015203,22.880000000000003,30
31,12/1991,23.381243935483873,23.70322580645161,31
32,1/1992,23.546862870967747,23.993548387096773,31
33,2/1992,23.05155196551724,23.158620689655177,29
34,3/1992,24.022463064516135,24.506451612903227,31
35,4/1992,23.850427933333332,24.303333333333335,30
36,5/1992,23.129109806451613,23.564516129032253,31
37,6/1992,21.68896086666667,22.113333333333333,30
38,7/1992,21.045127290322583,21.896774193548385,31
39,8/1992,20.8709375483871,21.46774193548387,31
40,9/1992,21.34715756666667,21.796666666666667,30
41,10/1992,22.46518277419355,22.970967741935482,31
42,11/1992,22.7897749,23.090000000000007,30
43,12/1992,22.87743367741936,23.109677419354842,31
44,1/1993,23.669058193548384,24.048387096774196,31
45,2/1993,24.197048035714285,24.72142857142857,28
46,3/1993,24.394765645161293,24.76129032258065,31
47,4/1993,23.80623483333334,24.233333333333334,30
48,5/1993,22.917090838709676,23.074193548387097,31
49,6/1993,21.694781400000004,21.919999999999998,30
50,7/1993,21.387557096774195,21.490322580645163,31
51,8/1993,21.04323451612903,21.08709677419355,31
52,9/1993,21.695186866666663,21.736666666666665,30
53,10/1993,22.457635838709674,22.11612903225807,31
