,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,22.810841096774197,22.719354838709677,31
1,2/1980,23.696607,23.714285714285715,21
2,3/1980,23.312696280000004,23.516,25
3,4/1980,22.307699814814814,22.41851851851852,27
4,5/1980,21.443791375,21.3625,24
5,6/1980,19.630225578947364,19.568421052631578,19
6,7/1980,19.5415556,19.47333333333334,15
7,8/1980,19.934058999999998,20.133333333333333,24
8,9/1980,19.95225923076923,19.676923076923075,13
9,10/1980,21.23436129166667,20.925,24
10,11/1980,21.865659444444447,21.65555555555555,9
11,12/1980,23.227691,23.48421052631579,19
12,1/1981,23.39488375862069,23.517241379310345,29
13,2/1981,23.439526761904762,23.652380952380955,21
14,3/1981,23.67882285714286,23.614285714285717,21
15,4/1981,21.37740981818182,21.50909090909091,22
16,5/1981,20.108854285714283,20.257142857142856,21
17,6/1981,19.3706344,19.61,20
18,7/1981,18.97383811764706,19.26470588235294,17
19,8/1981,19.034215800000002,19.160000000000004,20
20,9/1981,20.320509307692305,20.46153846153846,26
21,10/1981,20.726470380952385,20.34285714285714,21
22,11/1981,21.9800184,21.939999999999998,20
23,12/1981,22.947319347826088,22.882608695652173,23
24,1/1982,22.60252633333333,22.549999999999997,18
25,2/1982,23.33064882142857,23.435714285714283,28
26,3/1982,24.510907999999997,25.5,1
27,5/1982,19.69674513333333,20.086666666666666,15
28,6/1982,19.90671113333333,19.90666666666667,30
29,7/1982,19.471468695652174,20.030434782608694,23
30,8/1982,18.96762,18.9,1
31,1/1990,23.588351032258064,23.65483870967741,31
32,2/1990,24.123675464285707,24.05,28
33,3/1990,24.329489193548387,24.41290322580645,31
34,4/1990,23.8316254,23.89666666666667,30
35,5/1990,21.3863090967742,20.929032258064513,31
36,6/1990,20.986319296296298,20.414814814814818,27
37,10/1990,21.261714500000004,21.759999999999998,10
38,11/1990,22.3356069,22.7,20
39,12/1990,23.049458285714284,23.32857142857143,14
40,1/1991,23.319091285714286,23.8,7
41,2/1991,22.98299752631579,23.242105263157896,19
