,Data,TempMaxPrevista
0,1/1980,29.98182661290322
1,2/1980,29.21274682758621
2,3/1980,29.481761322580645
3,4/1980,30.088094933333334
4,5/1980,29.178682419354836
5,6/1980,27.946790399999994
6,7/1980,27.452174806451612
7,8/1980,27.43282074193548
8,9/1980,28.128553333333336
9,10/1980,28.36664596774194
10,11/1980,29.439309833333326
11,12/1980,29.68015135483871
12,1/1981,28.479625064516114
13,2/1981,28.545172428571416
14,3/1981,28.54517238709676
15,4/1981,28.545172399999988
16,5/1981,28.54517238709676
17,6/1981,28.545172399999988
18,7/1981,28.54517238709676
19,8/1981,28.54517245161289
20,9/1981,28.545172399999988
21,10/1981,28.54517245161289
22,11/1981,28.545172399999988
23,12/1981,28.54517238709676
24,1/1982,28.54517238709676
25,2/1982,28.545172428571416
26,3/1982,28.54517238709676
27,4/1982,28.545172399999988
28,5/1982,28.54517238709676
29,6/1982,28.545172399999988
30,7/1982,28.54517238709676
31,8/1982,28.54517238709676
32,9/1982,28.545172399999988
33,10/1982,28.54517238709676
34,11/1982,28.545172399999988
35,12/1982,28.54517238709676
36,1/1983,28.54517238709676
37,2/1983,28.545172428571416
38,3/1983,28.54517238709676
39,4/1983,28.545172399999988
40,5/1983,28.54517238709676
41,6/1983,28.545172399999988
42,7/1983,28.54517238709676
43,8/1983,28.54517245161289
44,9/1983,28.545172399999988
45,10/1983,28.54517245161289
46,11/1983,28.545172399999988
47,12/1983,28.54517238709676
48,1/1984,28.54517238709676
49,2/1984,28.54517241379309
50,3/1984,28.54517238709676
51,4/1984,28.545172399999988
52,5/1984,28.54517238709676
53,6/1984,28.545172399999988
54,7/1984,28.54517238709676
55,8/1984,28.54517238709676
56,9/1984,28.545172399999988
57,10/1984,28.54517238709676
58,11/1984,28.545172399999988
59,12/1984,28.54517238709676
60,1/1985,28.54517238709676
61,2/1985,28.545172428571416
62,3/1985,28.54517238709676
63,4/1985,28.545172399999988
64,5/1985,28.54517238709676
65,6/1985,28.545172399999988
66,7/1985,28.54517245161289
67,8/1985,28.54517245161289
68,9/1985,28.545172399999988
69,10/1985,28.54517238709676
70,11/1985,28.545172399999988
71,12/1985,28.54517238709676
72,1/1986,29.737610193548385
73,2/1986,29.911690357142856
74,3/1986,29.776546322580646
75,4/1986,29.773888933333335
76,5/1986,28.746512225806455
77,6/1986,28.124341500000003
78,7/1986,27.630744741935484
79,8/1986,27.876725516129028
80,9/1986,28.545172399999988
81,10/1986,28.117315548387097
82,11/1986,28.545172399999988
83,12/1986,29.264584225806452
84,1/1987,29.652372774193545
85,2/1987,30.194794499999997
86,3/1987,30.24196006451613
87,4/1987,29.839502700000004
88,5/1987,29.602929064516136
89,6/1987,28.495650633333334
90,7/1987,27.728193161290317
91,8/1987,27.933544258064515
92,9/1987,28.507102999999997
93,10/1987,29.298708451612907
94,11/1987,29.9430072
95,12/1987,30.117343032258066
96,1/1988,30.49941648387097
97,2/1988,30.597779551724138
98,3/1988,30.662196129032264
99,4/1988,29.99025343333334
100,5/1988,29.30007841935484
101,6/1988,28.198563733333337
102,7/1988,28.54517238709676
103,8/1988,27.455692258064524
104,9/1988,27.878919800000006
105,10/1988,27.942173419354837
106,11/1988,27.748030366666665
107,12/1988,27.96960716129032
108,1/1989,28.54517245161289
109,2/1989,30.46029582142858
110,3/1989,30.328549000000002
111,4/1989,28.545172399999988
112,5/1989,28.54517245161289
113,6/1989,28.545172399999988
114,7/1989,28.54517245161289
115,8/1989,28.54517238709676
116,9/1989,28.545172399999988
117,10/1989,28.54517238709676
118,11/1989,28.545172399999988
119,12/1989,28.54517238709676
120,1/1990,28.54517238709676
121,2/1990,28.545172428571416
122,3/1990,28.54517238709676
123,4/1990,28.545172399999988
124,5/1990,28.54517238709676
125,6/1990,28.545172399999988
126,7/1990,28.54517238709676
127,8/1990,28.54517238709676
128,9/1990,28.545172399999988
129,10/1990,28.54517238709676
130,11/1990,28.545172399999988
131,12/1990,28.54517238709676
132,1/1991,30.14090087096774
133,2/1991,30.455896964285706
134,3/1991,30.493536483870972
135,4/1991,30.469263099999996
136,5/1991,29.45276406451613
137,6/1991,28.240606000000007
138,7/1991,27.513824677419358
139,8/1991,27.399840516129036
140,9/1991,27.537736400000004
141,10/1991,28.298027451612903
142,11/1991,29.25923246666666
143,12/1991,30.157846516129037
144,1/1992,30.40370003225806
145,2/1992,28.54517241379309
146,3/1992,28.54517238709676
147,4/1992,30.6157533
148,5/1992,30.16719758064516
149,6/1992,28.433306800000004
150,7/1992,27.8726165483871
151,8/1992,27.64826645161291
152,9/1992,28.008355533333333
153,10/1992,28.786296258064514
154,11/1992,28.901309633333337
155,12/1992,29.225039483870965
156,1/1993,29.716621548387096
157,2/1993,29.951159464285716
158,3/1993,30.050256709677413
159,4/1993,29.4975094
160,5/1993,29.081464354838708
161,6/1993,27.99659483333334
162,7/1993,27.688079483870965
163,8/1993,27.936057064516127
164,9/1993,28.640905399999998
165,10/1993,28.849850096774198
166,11/1993,29.46984193333333
167,12/1993,29.82347664516129
168,1/1994,30.303936935483875
169,2/1994,30.395468
170,3/1994,30.479829064516128
171,4/1994,30.085945733333336
172,5/1994,29.672385806451615
173,6/1994,28.62104189999999
174,7/1994,28.107984935483874
175,8/1994,28.419159580645164
176,9/1994,28.456176066666668
177,10/1994,29.153672806451617
178,11/1994,29.88841036666667
179,12/1994,30.14123464516129
180,1/1995,30.465787548387095
181,2/1995,30.516498892857136
182,3/1995,30.698850419354837
