,Data,TempMaxPrevista
0,1/1980,27.414102419354826
1,2/1980,27.414102379310332
2,3/1980,27.414102419354826
3,4/1980,27.414102399999987
4,5/1980,27.414102419354823
5,6/1980,27.414102399999987
6,7/1980,27.414102419354823
7,8/1980,27.414102419354823
8,9/1980,27.414102399999987
9,10/1980,27.414102419354823
10,11/1980,27.41410239999999
11,12/1980,27.414102419354826
12,1/1981,27.414102419354826
13,2/1981,29.235147035714284
14,3/1981,28.51675887096773
15,4/1981,27.208826899999995
16,5/1981,25.9806393548387
17,6/1981,24.62653636666666
18,7/1981,24.014076709677425
19,8/1981,26.079407741935487
20,9/1981,28.250954200000006
21,10/1981,26.157010903225807
22,11/1981,27.176153699999997
23,12/1981,28.01202380645161
24,1/1982,27.17898445161289
25,2/1982,29.648971321428572
26,3/1982,27.542020193548392
27,4/1982,26.473802600000003
28,5/1982,24.927239322580643
29,6/1982,26.286777466666663
30,7/1982,24.95283158064516
31,8/1982,26.223511096774196
32,9/1982,26.677310133333332
33,10/1982,28.072695870967742
34,11/1982,30.43391983333333
35,12/1982,27.013866999999998
36,1/1983,26.90409961290322
37,2/1983,28.129701785714282
38,3/1983,27.796768709677412
39,4/1983,27.753341933333335
40,5/1983,26.528698483870965
41,6/1983,26.479200233333337
42,7/1983,25.619210322580642
43,8/1983,25.68542938709677
44,9/1983,25.889373966666664
45,10/1983,26.190458322580636
46,11/1983,27.159415266666667
47,12/1983,26.85530232258065
48,1/1984,27.414102419354823
49,2/1984,27.414102379310332
50,3/1984,27.414102419354823
51,4/1984,27.414102399999987
52,5/1984,27.414102419354823
53,6/1984,27.414102399999987
54,7/1984,27.414102419354823
55,8/1984,27.414102419354823
56,9/1984,27.41410239999999
57,10/1984,27.414102419354826
58,11/1984,27.41410239999999
59,12/1984,27.414102419354826
60,1/1985,27.414102419354826
61,2/1985,27.41410235714285
62,3/1985,27.414102419354826
63,4/1985,27.41410239999999
64,5/1985,27.414102419354826
65,6/1985,27.41410239999999
66,7/1985,27.414102322580636
67,8/1985,27.414102322580636
68,9/1985,27.41410239999999
69,10/1985,27.414102419354826
70,11/1985,27.414102399999987
