,Data,TempMaxPrevista
0,1/1980,30.881153741935492
1,2/1980,28.83677731034483
2,3/1980,30.36366170967742
3,4/1980,30.937135533333333
4,5/1980,32.154256612903225
5,6/1980,31.859107766666668
6,7/1980,31.925681000000004
7,8/1980,31.85449748387097
8,9/1980,31.995842400000004
9,10/1980,32.04508112903226
10,11/1980,32.28169653333333
11,12/1980,31.823647870967744
12,1/1981,30.966470129032256
13,2/1981,31.04493696428571
14,3/1981,31.514850741935483
15,4/1981,32.149632100000005
16,5/1981,31.119332129032262
17,6/1981,31.808183933333343
18,7/1981,31.609235903225812
19,8/1981,32.01282609677419
20,9/1981,31.856337699999997
21,10/1981,32.24494758064517
22,11/1981,32.4451078
23,12/1981,31.945934225806454
24,1/1982,30.376189161290323
25,2/1982,30.073594964285714
26,3/1982,30.659924870967746
27,4/1982,30.979315433333337
28,5/1982,31.644606612903225
29,6/1982,31.80071303333334
30,7/1982,31.599756806451616
31,8/1982,31.643090290322583
32,9/1982,31.760029733333337
33,10/1982,31.89933767741935
34,11/1982,32.21056159999999
35,12/1982,32.12582461290323
36,1/1983,31.972135290322584
37,2/1983,30.883296642857143
38,3/1983,31.181716354838713
39,4/1983,31.8998808
40,5/1983,32.23280132258065
41,6/1983,32.07576076666666
42,7/1983,31.806307645161287
43,8/1983,31.880664870967742
44,9/1983,31.951820533333326
45,10/1983,31.837984032258067
46,11/1983,32.3990907
47,12/1983,31.765297838709678
48,1/1984,30.597600548387092
49,2/1984,30.373692586206893
50,3/1984,30.302340774193546
51,4/1984,30.3796967
52,5/1984,30.759569709677418
53,6/1984,31.743613233333342
54,7/1984,31.613648548387097
55,8/1984,31.81792903225806
56,9/1984,31.907390333333336
57,10/1984,31.821075580645157
58,11/1984,31.85709703333333
59,12/1984,32.02155077419356
60,1/1985,29.865911129032256
61,2/1985,30.404123392857144
62,3/1985,29.996918290322576
63,4/1985,30.296618666666667
64,5/1985,30.960891709677423
65,6/1985,31.415947700000004
66,7/1985,31.55983787096774
67,8/1985,31.724094838709682
68,9/1985,31.97619
69,10/1985,32.14009148387097
70,11/1985,31.90950716666668
71,12/1985,30.666432258064518
72,1/1986,31.02025825806452
73,2/1986,30.243970142857147
74,3/1986,30.12684977419355
75,4/1986,29.929834533333334
76,5/1986,31.362886419354833
77,6/1986,31.52674283333333
78,7/1986,31.668170645161286
79,8/1986,31.991637
80,9/1986,31.91707876666666
81,10/1986,32.32343196774193
82,11/1986,31.934153000000002
83,12/1986,31.63672425806452
84,1/1987,30.810582354838708
85,2/1987,30.816330285714283
86,3/1987,30.299906580645164
87,4/1987,31.477568866666658
88,5/1987,32.29418948387097
89,6/1987,32.117492899999995
90,7/1987,32.06936538709678
91,8/1987,32.34400941935483
92,9/1987,32.68846666666667
93,10/1987,32.83541435483871
94,11/1987,33.00971293333334
95,12/1987,32.632054903225814
96,1/1988,31.023507451612904
97,2/1988,31.0742945862069
98,3/1988,30.728770516129035
99,4/1988,30.579586266666674
100,5/1988,31.43312300000001
101,6/1988,31.509676966666657
102,7/1988,31.638469225806443
103,8/1988,32.596205258064515
104,9/1988,31.95026953333332
105,10/1988,32.51899074193549
106,11/1988,31.962819966666668
107,12/1988,31.183674064516126
108,1/1989,30.715603806451615
109,2/1989,30.408704357142856
110,3/1989,30.264662774193553
111,4/1989,30.601416333333336
112,5/1989,31.061415709677423
113,6/1989,31.656234566666672
114,7/1989,31.780948967741946
115,8/1989,32.16743303225806
116,9/1989,32.14642619999999
117,10/1989,32.01101425806451
118,11/1989,32.44766203333334
119,12/1989,30.9236065483871
120,1/1990,31.49106203225806
121,2/1990,30.300971928571425
122,3/1990,31.05098338709677
123,4/1990,31.922218366666666
124,5/1990,31.844291419354846
125,6/1990,32.012283599999996
126,7/1990,31.58714699999999
127,8/1990,31.72335654838709
128,9/1990,32.129077333333335
129,10/1990,32.327377451612904
130,11/1990,31.958083999999992
131,12/1990,31.72594164516128
132,1/1991,30.14611325806451
133,2/1991,30.644280928571437
134,3/1991,29.774738967741936
135,4/1991,31.167398433333336
136,5/1991,31.517569677419353
137,6/1991,32.03486643333334
138,7/1991,32.0330999032258
139,8/1991,31.96848525806452
140,9/1991,32.442629133333334
141,10/1991,31.581568645161287
142,11/1991,32.291302200000004
143,12/1991,32.29433706451613
144,1/1992,30.973759967741934
145,2/1992,30.061656172413787
146,3/1992,30.33900661290322
147,4/1992,31.17394443333333
148,5/1992,32.133531999999995
149,6/1992,31.89606693333333
150,7/1992,31.635584258064526
151,8/1992,31.7776605483871
152,9/1992,31.975001099999997
153,10/1992,32.13211135483871
154,11/1992,32.2142203
155,12/1992,32.07360096774194
156,1/1993,30.681600225806452
157,2/1993,30.028229928571438
158,3/1993,30.331728999999996
159,4/1993,30.994473233333334
160,5/1993,31.70186280645161
161,6/1993,31.907537233333336
162,7/1993,31.739376967741933
163,8/1993,31.74497870967742
164,9/1993,32.17022976666667
165,10/1993,31.954063322580637
166,11/1993,31.903500033333334
167,12/1993,31.917679516129034
168,1/1994,30.875820870967736
169,2/1994,30.737379678571426
170,3/1994,30.434120774193545
171,4/1994,30.997002366666667
172,5/1994,31.343100548387103
173,6/1994,31.877448200000007
174,7/1994,31.906321322580645
175,8/1994,31.989808741935477
176,9/1994,32.37394483333333
177,10/1994,32.30616993548388
178,11/1994,32.09966716666666
179,12/1994,31.760296580645157
180,1/1995,30.90239774193549
181,2/1995,29.986685249999994
182,3/1995,31.124226709677416
183,4/1995,30.80893143333333
184,5/1995,31.05765441935483
185,6/1995,32.360582199999996
186,7/1995,31.98197070967742
187,8/1995,32.93543829032258
188,9/1995,32.79945296666667
189,10/1995,32.658718419354834
190,11/1995,32.226761966666665
191,12/1995,32.05692225806452
192,1/1996,30.909948903225803
193,2/1996,30.83801544827586
194,3/1996,30.473871838709673
195,4/1996,30.818241066666662
196,5/1996,31.53163706451613
197,6/1996,32.264737866666664
198,7/1996,32.09613693548388
199,8/1996,32.16577835483871
200,9/1996,32.289297033333334
201,10/1996,32.494562580645166
202,11/1996,32.2800145
203,12/1996,31.999719354838707
204,1/1997,30.260516096774193
205,2/1997,30.96237925
206,3/1997,30.783862064516132
207,4/1997,30.85858683333333
208,5/1997,32.087374387096766
209,6/1997,32.63577933333333
210,7/1997,32.3438834516129
211,8/1997,32.279227258064516
212,9/1997,32.7469263
213,10/1997,33.333260967741936
214,11/1997,32.8914858
215,12/1997,32.488539161290326
216,1/1998,31.791358161290322
217,2/1998,32.72214642857143
218,3/1998,31.96421667741936
219,4/1998,32.98284606666667
220,5/1998,33.193354967741925
221,6/1998,32.613159200000005
222,7/1998,32.546188709677416
223,8/1998,32.964625741935485
224,9/1998,33.01143333333332
225,10/1998,33.32004774193549
226,11/1998,32.847904666666665
227,12/1998,32.208717354838704
228,1/1999,31.473890870967736
229,2/1999,30.79608210714286
230,3/1999,31.023332096774197
231,4/1999,31.402963133333326
232,5/1999,31.35236661290323
233,6/1999,32.303305300000005
234,7/1999,32.488591387096776
235,8/1999,32.79676038709677
236,9/1999,32.455050533333335
237,10/1999,32.49187332258064
238,11/1999,32.99947963333333
239,12/1999,32.094260935483874
240,1/2000,31.361251774193544
241,2/2000,30.51241824137932
242,3/2000,30.816816709677415
243,4/2000,31.10533406666666
244,5/2000,31.71686761290322
245,6/2000,32.1601822
246,7/2000,31.933240516129032
247,8/2000,32.39425329032258
248,9/2000,32.25535893333333
249,10/2000,32.57745641935484
250,11/2000,33.015062833333346
251,12/2000,31.71894738709678
252,1/2001,30.7594879032258
253,2/2001,30.29961185714286
254,3/2001,30.66244251612903
255,4/2001,31.207056499999997
256,5/2001,32.32341222580646
257,6/2001,31.937137333333332
258,7/2001,32.09917451612903
259,8/2001,32.60380829032258
260,9/2001,32.63233906666667
261,10/2001,32.84531954838709
262,11/2001,33.59562710000001
263,12/2001,33.23952354838709
264,1/2002,31.228598354838716
265,2/2002,31.41162514285715
266,3/2002,31.426166419354846
267,4/2002,31.470905400000003
268,5/2002,32.152701774193545
269,6/2002,32.06105363333333
270,7/2002,32.328710032258066
271,8/2002,32.768145612903226
272,9/2002,32.88502083333332
273,10/2002,32.554086258064515
274,11/2002,32.670205066666675
275,12/2002,32.102503451612904
276,1/2003,31.825306838709675
277,2/2003,30.650799857142857
278,3/2003,30.815331806451606
279,4/2003,31.691389566666665
280,5/2003,32.24435754838709
281,6/2003,32.68708180000001
282,7/2003,32.541445645161296
283,8/2003,32.74739470967742
284,9/2003,32.724861
285,10/2003,32.91441216129033
286,11/2003,33.3466461
287,12/2003,32.53973393548387
288,1/2004,31.687093935483876
289,2/2004,30.554286172413796
290,3/2004,30.92884361290322
291,4/2004,31.96572273333334
292,5/2004,32.69051767741935
293,6/2004,32.1481074
294,7/2004,31.971112290322584
295,8/2004,32.22332141935484
296,9/2004,32.59950069999999
297,10/2004,32.907559064516136
298,11/2004,33.09524376666666
299,12/2004,32.582427483870966
300,1/2005,32.39679816129032
301,2/2005,31.806784428571426
302,3/2005,31.90564848387097
303,4/2005,31.899087133333342
304,5/2005,31.992915161290323
305,6/2005,32.973571033333336
306,7/2005,33.07505822580646
307,8/2005,33.4866794516129
308,9/2005,33.443417233333335
309,10/2005,33.267644096774184
310,11/2005,33.20396423333333
311,12/2005,31.7213699032258
312,1/2006,31.7440159032258
313,2/2006,31.346348964285713
314,3/2006,31.366568967741934
315,4/2006,31.48526813333333
316,5/2006,31.758040967741934
317,6/2006,32.65599806666667
318,7/2006,32.782566129032254
319,8/2006,32.87752187096774
320,9/2006,33.223592700000005
321,10/2006,33.35934958064517
322,11/2006,32.630048
323,12/2006,32.27280174193548
324,1/2007,32.40398138709678
325,2/2007,30.580261821428568
326,3/2007,31.012491258064514
327,4/2007,31.317041366666665
328,5/2007,32.17317558064515
329,6/2007,32.373343433333346
330,7/2007,32.23615616129033
331,8/2007,32.622197709677415
332,9/2007,32.717892266666674
333,10/2007,32.223593419354835
334,11/2007,32.63146143333333
335,12/2007,31.614903774193554
336,1/2008,30.32171609677419
337,2/2008,30.58243775862069
338,3/2008,30.64935516129033
339,4/2008,31.1001629
340,5/2008,32.62303912903226
341,6/2008,31.983467133333342
342,7/2008,32.708903548387106
343,8/2008,33.181647580645155
344,9/2008,33.16814659999999
345,10/2008,33.291674193548396
346,11/2008,33.24257286666667
347,12/2008,32.797495677419356
348,1/2009,31.472295580645163
349,2/2009,30.51240042857143
350,3/2009,30.748991870967743
351,4/2009,30.91051163333334
352,5/2009,30.72596058064516
353,6/2009,32.002626199999995
354,7/2009,32.793327193548386
355,8/2009,33.616632548387095
356,9/2009,33.399971066666666
357,10/2009,33.431214677419355
