,Data,TempMaxPrevista
0,1/1980,26.833132032258067
1,2/1980,27.87636979310345
2,3/1980,28.14905603225806
3,4/1980,25.835522800000003
4,5/1980,25.70278506451612
5,6/1980,25.77585576666667
6,7/1980,25.45268348387097
7,8/1980,26.651125548387103
8,9/1980,27.4320958
9,10/1980,27.927213322580645
10,11/1980,27.25367873333334
11,12/1980,27.84408761290323
12,1/1981,26.622522
13,2/1981,27.913213071428576
14,3/1981,29.21798303225806
15,4/1981,26.461798433333332
16,5/1981,25.70497580645161
17,6/1981,26.231938633333343
18,7/1981,23.572066645161296
19,8/1981,25.895613290322572
20,9/1981,26.01096920000001
21,10/1981,27.708207354838713
22,11/1981,28.683985533333335
23,12/1981,27.875754129032263
24,1/1982,26.949286967741937
25,2/1982,27.43388235714286
26,3/1982,28.36788335483871
27,4/1982,26.585885033333327
28,5/1982,25.517351967741934
29,6/1982,25.164173066666663
30,7/1982,24.616526806451617
31,8/1982,26.53619038709677
32,9/1982,28.586112433333334
33,10/1982,27.879248645161294
34,11/1982,29.0677697
35,12/1982,27.248023290322575
36,1/1983,27.56379358064516
37,2/1983,28.927959678571433
38,3/1983,29.822007774193548
39,4/1983,26.54432883333333
40,5/1983,26.94982761290323
41,6/1983,25.1028632
42,7/1983,26.258564999999997
43,8/1983,24.950704774193547
44,9/1983,28.099195066666667
45,10/1983,29.61045829032258
46,11/1983,28.932462366666666
47,12/1983,27.99173632258065
48,1/1984,26.577970645161294
49,2/1984,27.349319344827595
50,3/1984,29.77800212903226
51,4/1984,28.971442833333334
52,5/1984,25.20564477419354
53,6/1984,22.534921733333338
54,7/1984,22.350350000000002
55,8/1984,24.012343290322587
56,9/1984,25.2366551
57,10/1984,26.621893451612905
58,11/1984,24.981191866666663
59,12/1984,26.337742225806448
60,1/1985,26.649752451612905
61,2/1985,27.695240071428568
62,3/1985,29.848319709677426
63,4/1985,28.2321038
64,5/1985,23.834935193548393
65,6/1985,20.500334316666663
66,7/1985,22.634869516129026
67,8/1985,23.34467467741935
68,9/1985,26.608253
69,10/1985,27.478048096774195
