,Data,TempMaxPrevista
0,1/1980,23.899835741935483
1,2/1980,24.19504210344827
2,3/1980,24.133599193548385
3,4/1980,23.648237466666668
4,5/1980,22.112434387096776
5,6/1980,21.87207403333333
6,7/1980,20.522928935483865
7,8/1980,21.09264083870968
8,9/1980,20.7268009
9,10/1980,23.13766029032258
10,11/1980,22.69051143333333
11,12/1980,23.781014193548387
12,1/1981,23.460786483870972
13,2/1981,25.697476107142855
14,3/1981,24.428727935483863
15,4/1981,22.802614600000002
16,5/1981,22.247518129032258
17,6/1981,19.73561225
18,7/1981,20.66351524193549
19,8/1981,21.164509903225813
20,9/1981,22.116643933333332
21,10/1981,20.467442322580638
22,11/1981,25.190015866666663
23,12/1981,24.330583
24,1/1982,25.096125935483872
25,2/1982,26.574385964285707
26,3/1982,23.80476338709677
27,4/1982,22.177968866666674
28,5/1982,20.393358193548384
29,6/1982,20.477198066666666
30,7/1982,20.581734
31,8/1982,21.799200774193555
32,9/1982,21.571459600000004
33,10/1982,22.058344258064512
34,11/1982,23.701158033333332
35,12/1982,24.311779419354842
36,1/1983,27.177213064516124
37,2/1983,26.332355035714283
38,3/1983,23.730452870967746
39,4/1983,22.3568204
40,5/1983,20.412225161290323
41,6/1983,17.75143925
42,7/1983,19.927972967741933
43,8/1983,21.042346451612907
44,9/1983,17.702610316666668
45,10/1983,21.77191961290323
46,11/1983,25.777575966666667
47,12/1983,26.08977480645161
48,1/1984,24.620060774193554
49,2/1984,25.09486096551723
50,3/1984,24.031007516129026
51,4/1984,22.12294976666666
52,5/1984,21.06518635483871
53,6/1984,21.94513453333333
54,7/1984,20.819732661290324
55,8/1984,20.73532477419354
56,9/1984,20.902631433333337
57,10/1984,23.44000719354839
58,11/1984,22.44071983333333
59,12/1984,24.260208032258067
60,1/1985,25.151626774193552
61,2/1985,25.613621
62,3/1985,24.231007161290314
63,4/1985,22.42771406666667
64,5/1985,21.788725838709677
65,6/1985,21.18481206666667
66,7/1985,20.235960999999996
67,8/1985,21.774994645161293
68,9/1985,21.272915800000003
69,10/1985,23.599708967741932
70,11/1985,23.774204533333332
71,12/1985,26.03170212903226
72,1/1986,27.818469580645164
73,2/1986,26.54866892857143
74,3/1986,25.647614161290324
75,4/1986,24.37415486666667
76,5/1986,21.877823548387106
77,6/1986,20.832276399999998
78,7/1986,19.038914758064518
79,8/1986,20.986347580645162
80,9/1986,20.303564299999998
81,10/1986,23.209504903225803
82,11/1986,25.233643966666666
83,12/1986,25.62172687096774
84,1/1987,28.131572451612907
85,2/1987,26.349635999999997
86,3/1987,26.288816032258065
87,4/1987,24.439880433333336
88,5/1987,19.88244148387097
89,6/1987,19.675731400000004
90,7/1987,22.882675451612908
91,8/1987,19.78696229032258
92,9/1987,20.093254933333338
93,10/1987,22.47998748387097
94,11/1987,24.4612098
95,12/1987,26.200330129032263
96,1/1988,28.749990096774205
97,2/1988,24.68377513793103
98,3/1988,27.098853129032253
99,4/1988,22.570585333333334
100,5/1988,19.23816393548387
101,6/1988,18.3414326
102,7/1988,17.67058398387097
103,8/1988,21.339276838709676
104,9/1988,21.673763633333337
105,10/1988,21.654874225806452
106,11/1988,24.121824833333335
