,Data,TempMaxPrevista
0,1/1980,26.60329906451613
1,2/1980,28.02675068965517
2,3/1980,26.7607135483871
3,4/1980,26.200156599999996
4,5/1980,24.502444677419348
5,6/1980,21.97383783333333
6,7/1980,20.785702774193545
7,8/1980,21.7882135483871
8,9/1980,21.589248666666663
9,10/1980,22.857524290322576
10,11/1980,24.817520733333343
11,12/1980,26.10549819354839
12,1/1981,27.51539432258064
13,2/1981,29.339811499999996
14,3/1981,26.742939999999997
15,4/1981,25.095203033333338
16,5/1981,24.976483935483873
17,6/1981,21.5353256
18,7/1981,21.314022225806454
19,8/1981,21.549923225806452
20,9/1981,22.134698533333335
21,10/1981,22.46858612903226
22,11/1981,25.745785633333334
23,12/1981,23.474424
24,1/1982,26.833355129032253
25,2/1982,27.54797107142857
26,3/1982,26.85499016129033
27,4/1982,24.955557033333324
28,5/1982,22.79577293548387
29,6/1982,23.680331533333337
30,7/1982,24.05337983870968
31,8/1982,22.09889432258065
32,9/1982,23.65165766666667
33,10/1982,23.76184593548387
34,11/1982,23.543522933333335
35,12/1982,25.108492354838713
36,1/1983,24.18983893548387
37,2/1983,23.706713749999995
38,3/1983,23.82872283870968
39,4/1983,23.631514133333337
40,5/1983,23.067609870967743
41,6/1983,23.49724796666667
42,7/1983,23.036034967741937
43,8/1983,23.58460616129033
44,9/1983,23.426362266666672
45,10/1983,23.80271774193548
46,11/1983,24.073306300000002
47,12/1983,23.906237129032256
48,1/1984,23.474424
49,2/1984,23.474424
50,3/1984,23.474424
51,4/1984,23.474424
52,5/1984,23.474424
53,6/1984,23.474424
54,7/1984,23.474424
55,8/1984,23.474424
56,9/1984,23.474424
57,10/1984,23.474424
58,11/1984,23.474424
59,12/1984,23.474424
60,1/1985,23.474424
61,2/1985,23.474424
62,3/1985,23.474424
63,4/1985,23.474424
64,5/1985,23.474424
65,6/1985,23.474424
66,7/1985,23.474424
67,8/1985,23.474424
68,9/1985,23.474424
69,10/1985,23.474424
70,11/1985,23.474424
71,12/1985,23.474424
72,1/1986,23.474424
73,2/1986,23.474424
74,3/1986,23.474424
75,4/1986,23.474424
76,5/1986,23.474424
77,6/1986,23.474424
78,7/1986,23.474424
79,8/1986,23.474424
80,9/1986,23.474424
81,10/1986,23.474424
82,11/1986,23.474424
83,12/1986,23.474424
84,1/1987,23.474424
85,2/1987,23.474424
86,3/1987,23.474424
87,4/1987,23.474424
88,5/1987,23.474424
89,6/1987,23.474424
90,7/1987,23.474424
91,8/1987,23.474424
92,9/1987,23.474424
93,10/1987,23.474424
94,11/1987,23.474424
95,12/1987,23.474424
96,1/1988,23.858633612903223
97,2/1988,23.770663344827582
98,3/1988,24.038849677419353
99,4/1988,23.662864133333333
100,5/1988,23.617633290322583
101,6/1988,23.703266699999997
102,7/1988,24.273425838709677
103,8/1988,23.918907935483873
104,9/1988,23.439343233333332
105,10/1988,23.73456748387097
106,11/1988,23.89104716666667
107,12/1988,23.858236483870964
108,1/1989,23.699607225806457
109,2/1989,23.93854885714286
110,3/1989,24.187013419354834
111,4/1989,24.0356581
112,5/1989,24.17803635483871
113,6/1989,24.04366153333333
114,7/1989,24.082620806451615
115,8/1989,24.031841193548388
116,9/1989,23.58904896666667
117,10/1989,23.94312451612903
118,11/1989,23.90134146666667
119,12/1989,23.78601548387097
120,1/1990,23.474424
121,2/1990,23.474424
122,3/1990,23.474424
123,4/1990,23.474424
124,5/1990,23.474424
125,6/1990,23.474424
126,7/1990,23.474424
127,8/1990,23.474424
128,9/1990,23.474424
129,10/1990,23.474424
130,11/1990,23.474424
131,12/1990,23.474424
132,1/1991,23.474424
133,2/1991,23.474424
134,3/1991,23.474424
135,4/1991,23.474424
136,5/1991,23.474424
137,6/1991,23.474424
138,7/1991,23.474424
139,8/1991,23.474424
140,9/1991,23.474424
141,10/1991,23.474424
142,11/1991,23.474424
