,Data,TempMaxPrevista
0,1/1980,30.790781677419357
1,2/1980,30.134650413793107
2,3/1980,30.168405354838697
3,4/1980,30.742359500000003
4,5/1980,30.618897096774198
5,6/1980,30.359328533333333
6,7/1980,30.276674677419358
7,8/1980,30.5879284516129
8,9/1980,30.66168160000001
9,10/1980,30.907107096774194
10,11/1980,31.100679333333336
11,12/1980,30.96725022580645
12,1/1981,30.74664074193548
13,2/1981,30.765285964285717
14,3/1981,30.2010565483871
15,4/1981,30.948926700000005
16,5/1981,30.5963146451613
17,6/1981,30.58656913333333
18,7/1981,30.67426467741935
19,8/1981,30.555339322580647
20,9/1981,30.754166
21,10/1981,30.738293612903234
22,11/1981,31.381863966666668
23,12/1981,31.095695258064524
24,1/1982,31.054957096774196
25,2/1982,30.63231692857144
26,3/1982,30.39319796774193
27,4/1982,30.155515533333332
28,5/1982,30.120774774193546
29,6/1982,29.797933533333325
30,7/1982,29.969236483870972
31,8/1982,30.408716774193543
32,9/1982,30.538362900000006
33,10/1982,30.520564258064518
34,11/1982,30.908516500000008
35,12/1982,31.139937290322585
36,1/1983,31.251388612903227
37,2/1983,30.77573889285714
38,3/1983,30.257849387096773
39,4/1983,30.61948326666666
40,5/1983,30.79329090322581
41,6/1983,30.4245264
42,7/1983,30.440632935483865
43,8/1983,30.60762051612903
44,9/1983,30.934510699999997
45,10/1983,30.906402290322585
46,11/1983,31.17547626666667
47,12/1983,31.042090161290307
48,1/1984,30.77185051612903
49,2/1984,30.68408724137931
50,3/1984,29.52568729032258
51,4/1984,29.24498956666667
52,5/1984,29.229668322580643
53,6/1984,29.60210423333334
54,7/1984,29.773640612903222
55,8/1984,30.197844032258068
56,9/1984,30.462986066666662
57,10/1984,30.71311793548387
58,11/1984,31.023594233333338
59,12/1984,31.416449000000004
60,1/1985,30.21739761290323
61,2/1985,28.999400642857147
62,3/1985,29.102466290322578
63,4/1985,28.983563366666665
64,5/1985,29.529247
65,6/1985,29.79554389999999
66,7/1985,29.743955193548388
67,8/1985,30.40446370967742
68,9/1985,30.48684133333334
69,10/1985,31.070999193548385
70,11/1985,31.08483493333333
71,12/1985,30.286247903225803
72,1/1986,30.110258000000016
73,2/1986,30.110258000000012
74,3/1986,30.110258000000016
75,4/1986,30.110258000000012
76,5/1986,30.110258000000016
77,6/1986,30.110258000000012
78,7/1986,30.110258000000016
79,8/1986,30.110258000000016
80,9/1986,30.110258000000012
81,10/1986,30.110258000000016
82,11/1986,30.110258000000012
83,12/1986,30.110258000000016
84,1/1987,30.110258000000016
85,2/1987,30.110258000000012
86,3/1987,30.110258000000016
87,4/1987,30.110258000000012
88,5/1987,30.110258000000016
89,6/1987,30.110258000000012
90,7/1987,30.110258000000016
91,8/1987,30.110258000000016
92,9/1987,30.110258000000012
93,10/1987,30.110258000000016
94,11/1987,30.110258000000012
95,12/1987,30.110258000000016
96,1/1988,30.110258000000016
97,2/1988,30.110258000000012
98,3/1988,30.110258000000016
99,4/1988,30.110258000000012
100,5/1988,30.110258000000016
101,6/1988,30.110258000000012
102,7/1988,30.110258000000016
103,8/1988,30.110258000000016
104,9/1988,30.110258000000012
105,10/1988,30.110258000000016
106,11/1988,30.110258000000012
107,12/1988,30.110258000000016
108,1/1989,30.110258000000016
109,2/1989,30.110258000000012
110,3/1989,30.110258000000016
111,4/1989,30.110258000000012
112,5/1989,30.110258000000016
113,6/1989,30.110258000000012
114,7/1989,30.110258000000016
115,8/1989,30.110258000000016
116,9/1989,30.110258000000012
117,10/1989,30.110258000000016
118,11/1989,30.110258000000012
119,12/1989,30.110258000000016
120,1/1990,31.07724451612903
121,2/1990,30.14054821428573
122,3/1990,30.110258000000016
123,4/1990,30.110258000000012
124,5/1990,30.110258000000016
125,6/1990,30.110258000000012
126,7/1990,30.110258000000016
127,8/1990,30.110258000000016
128,9/1990,30.110258000000012
129,10/1990,30.110258000000016
130,11/1990,30.110258000000012
131,12/1990,30.110258000000016
132,1/1991,30.110258000000016
133,2/1991,30.110258000000012
134,3/1991,30.110258000000016
135,4/1991,30.110258000000012
136,5/1991,30.110258000000016
137,6/1991,30.110258000000012
138,7/1991,30.110258000000016
139,8/1991,30.110258000000016
140,9/1991,30.110258000000012
141,10/1991,30.110258000000016
142,11/1991,30.110258000000012
143,12/1991,30.110258000000016
144,1/1992,30.110258000000016
145,2/1992,30.110258000000012
146,3/1992,30.110258000000016
147,4/1992,30.110258000000012
148,5/1992,30.110258000000016
149,6/1992,30.110258000000012
150,7/1992,30.110258000000016
151,8/1992,30.110258000000016
152,9/1992,30.110258000000012
153,10/1992,30.110258000000016
154,11/1992,30.110258000000012
155,12/1992,30.110258000000016
156,1/1993,30.110258000000016
157,2/1993,30.110258000000012
158,3/1993,30.110258000000016
159,4/1993,30.110258000000012
160,5/1993,30.110258000000016
161,6/1993,30.110258000000012
162,7/1993,30.110258000000016
163,8/1993,30.110258000000016
164,9/1993,30.110258000000012
165,10/1993,30.110258000000016
