,Data,TempMaxPrevista
0,1/1980,27.890880967741936
1,2/1980,27.899902758620694
2,3/1980,31.279070903225808
3,4/1980,29.893227766666666
4,5/1980,29.49967277419355
5,6/1980,28.61267063333333
6,7/1980,30.12574361290323
7,8/1980,31.86957096774194
8,9/1980,31.25281
9,10/1980,33.17631232258064
10,11/1980,29.707669166666665
11,12/1980,28.350205483870965
12,1/1981,29.343305999999988
13,2/1981,29.343305999999988
14,3/1981,29.343305999999988
15,4/1981,29.343305999999988
16,5/1981,29.343305999999988
17,6/1981,29.343305999999988
18,7/1981,29.343305999999988
19,8/1981,29.343305999999988
20,9/1981,29.343305999999988
21,10/1981,29.343305999999988
22,11/1981,28.758794066666663
23,12/1981,30.104324096774196
24,1/1982,27.814159096774194
25,2/1982,30.70511192857143
26,3/1982,29.49925012903226
27,4/1982,29.601629966666664
28,5/1982,28.611357612903227
29,6/1982,29.605579766666665
30,7/1982,28.987168806451624
31,8/1982,30.125988032258064
32,9/1982,30.664702633333327
33,10/1982,30.42672551612904
34,11/1982,31.4201813
35,12/1982,28.585336096774196
36,1/1983,28.690373451612903
37,2/1983,30.256635142857142
38,3/1983,29.83700780645162
39,4/1983,30.071402366666664
40,5/1983,30.083783290322575
41,6/1983,29.75284826666667
42,7/1983,29.923891225806447
43,8/1983,31.2415854516129
44,9/1983,31.214675400000008
45,10/1983,29.462815709677415
46,11/1983,28.776959533333333
47,12/1983,28.162759612903226
48,1/1984,30.474933677419365
49,2/1984,30.760284758620696
50,3/1984,30.41375816129032
51,4/1984,30.011664700000004
52,5/1984,30.5399565483871
53,6/1984,29.866284800000006
54,7/1984,30.38413635483871
55,8/1984,29.784049580645167
56,9/1984,30.153292299999993
57,10/1984,32.097677000000004
58,11/1984,31.65465546666666
59,12/1984,29.82139916129032
60,1/1985,27.25379883870968
61,2/1985,30.96771807142857
62,3/1985,30.024910903225805
63,4/1985,30.079434233333334
64,5/1985,30.7001085483871
65,6/1985,28.228613366666664
66,7/1985,29.197664322580643
67,8/1985,32.324440064516125
68,9/1985,32.62413346666667
69,10/1985,30.381062903225807
70,11/1985,30.477376399999994
71,12/1985,30.260993096774193
72,1/1986,29.56455761290322
73,2/1986,30.041047821428567
74,3/1986,30.485766161290325
75,4/1986,31.2090812
76,5/1986,30.066565870967747
77,6/1986,29.639574366666672
78,7/1986,29.183039258064515
79,8/1986,31.026148096774197
80,9/1986,31.707759666666668
81,10/1986,31.573889032258062
82,11/1986,30.662019633333337
83,12/1986,28.705867322580648
84,1/1987,30.36738987096774
85,2/1987,29.70920057142857
86,3/1987,29.69827029032258
87,4/1987,30.58443763333333
88,5/1987,30.275775516129027
89,6/1987,29.23785853333334
90,7/1987,30.8303374516129
91,8/1987,31.966945580645156
92,9/1987,32.9144907
93,10/1987,32.70910812903226
94,11/1987,30.2109441
95,12/1987,29.194524225806454
96,1/1988,30.989078193548384
97,2/1988,29.255079931034484
98,3/1988,30.10924438709677
99,4/1988,30.7098556
100,5/1988,30.185806161290323
101,6/1988,28.39806333333333
102,7/1988,28.544673387096772
103,8/1988,31.50805225806452
104,9/1988,34.20826416666667
105,10/1988,31.48228519354838
106,11/1988,30.32129596666666
107,12/1988,29.942586677419364
108,1/1989,30.209310677419356
109,2/1989,29.901626642857142
110,3/1989,30.166994838709677
111,4/1989,31.497201099999995
112,5/1989,29.625393290322577
113,6/1989,29.240645066666662
114,7/1989,29.148335903225806
115,8/1989,30.54173541935484
116,9/1989,31.15655553333333
117,10/1989,31.541887580645163
118,11/1989,30.056854366666673
119,12/1989,27.46028587096774
120,1/1990,30.60454493548387
121,2/1990,30.207626714285713
122,3/1990,31.425484
123,4/1990,31.429097533333337
124,5/1990,29.44365977419355
125,6/1990,29.254005800000005
126,7/1990,28.647455516129032
127,8/1990,31.025133903225807
128,9/1990,31.008420666666662
129,10/1990,31.92508574193549
130,11/1990,31.636763666666674
131,12/1990,31.052636645161286
132,1/1991,29.724097967741933
133,2/1991,30.37495817857143
134,3/1991,29.402326129032257
135,4/1991,30.13761593333334
136,5/1991,30.456955483870967
137,6/1991,30.24709473333333
138,7/1991,29.964494806451615
139,8/1991,31.15249209677419
140,9/1991,32.250592866666665
141,10/1991,31.375480451612898
142,11/1991,30.928824599999995
143,12/1991,30.489919612903225
144,1/1992,28.555381225806453
145,2/1992,28.852159103448273
146,3/1992,29.67253532258064
147,4/1992,30.057251899999997
148,5/1992,30.661221806451607
149,6/1992,29.589338133333335
150,7/1992,30.030781677419355
151,8/1992,31.528996290322578
152,9/1992,29.029085333333338
153,10/1992,30.130784225806448
154,11/1992,28.641484266666666
155,12/1992,29.13784393548387
