,Data,TempMaxPrevista
0,1/1980,29.04997600000001
1,2/1980,29.04997600000001
2,3/1980,29.04997600000001
3,4/1980,29.04997600000001
4,5/1980,29.04997600000001
5,6/1980,29.04997600000001
6,7/1980,29.04997600000001
7,8/1980,29.04997600000001
8,9/1980,29.04997600000001
9,10/1980,29.04997600000001
10,11/1980,29.04997600000001
11,12/1980,29.04997600000001
12,1/1981,29.4536136451613
13,2/1981,29.355800714285717
14,3/1981,29.115194935483878
15,4/1981,29.336961900000006
16,5/1981,28.8113005483871
17,6/1981,28.72156093333333
18,7/1981,28.126367516129033
19,8/1981,28.165558806451614
20,9/1981,28.7562916
21,10/1981,29.35110712903226
22,11/1981,29.649753566666668
23,12/1981,29.44877461290322
24,1/1982,30.153979612903225
25,2/1982,29.904731999999996
26,3/1982,30.33465722580645
27,4/1982,29.06517900000001
28,5/1982,29.080795096774203
29,6/1982,29.11121480000001
30,7/1982,29.068005516129045
31,8/1982,29.19404187096775
32,9/1982,28.956968033333336
33,10/1982,29.581581967741936
34,11/1982,29.69151686666667
35,12/1982,29.92786306451613
36,1/1983,29.33821083870967
37,2/1983,29.241063821428572
38,3/1983,29.344189677419354
39,4/1983,29.341755499999994
40,5/1983,29.331645419354835
41,6/1983,29.32393680000001
42,7/1983,28.81284609677419
43,8/1983,29.295031193548386
44,9/1983,29.39893333333333
45,10/1983,29.43016529032258
46,11/1983,29.498498066666674
47,12/1983,29.48290893548387
48,1/1984,29.499560387096775
49,2/1984,29.490300551724133
50,3/1984,29.47798441935484
51,4/1984,29.28072453333333
52,5/1984,29.35151987096774
53,6/1984,29.526002566666662
54,7/1984,29.287407838709676
55,8/1984,29.329510677419353
56,9/1984,29.392467500000002
57,10/1984,29.415683709677417
58,11/1984,29.4860303
59,12/1984,29.526777806451612
60,1/1985,29.451953193548384
61,2/1985,29.38464085714286
62,3/1985,29.175166967741937
63,4/1985,29.1687118
64,5/1985,29.289731870967742
65,6/1985,29.228823200000004
66,7/1985,29.1164519032258
67,8/1985,29.413292354838706
68,9/1985,29.351388733333334
69,10/1985,29.515882645161295
70,11/1985,29.4978286
71,12/1985,29.384098064516134
72,1/1986,30.485480516129037
73,2/1986,30.46810992857143
74,3/1986,30.33381032258064
75,4/1986,29.84877076666667
76,5/1986,29.669929806451613
77,6/1986,28.299337300000005
78,7/1986,28.578490161290322
79,8/1986,29.04997600000001
80,9/1986,28.469311366666663
81,10/1986,29.900689612903232
82,11/1986,29.911947700000002
83,12/1986,30.382784967741934
84,1/1987,30.399594419354838
85,2/1987,30.38478085714286
86,3/1987,30.340154838709676
87,4/1987,30.02065076666667
88,5/1987,30.330926935483866
89,6/1987,29.32438166666666
90,7/1987,28.863160483870967
91,8/1987,29.518693612903228
92,9/1987,29.91534846666666
93,10/1987,30.318972322580645
94,11/1987,30.80659409999999
95,12/1987,30.90131416129032
96,1/1988,30.73172199999999
97,2/1988,31.035654413793104
98,3/1988,30.648396548387094
99,4/1988,29.909913000000007
100,5/1988,29.765545548387095
101,6/1988,29.2800339
102,7/1988,28.104828
103,8/1988,27.760071838709674
104,9/1988,29.23343616666667
105,10/1988,29.48691016129033
106,11/1988,29.470962400000005
107,12/1988,29.04997600000001
108,1/1989,29.04997600000001
109,2/1989,29.48335082142857
110,3/1989,29.04997600000001
111,4/1989,29.09667630000001
112,5/1989,29.28202303225807
113,6/1989,29.25285806666667
114,7/1989,29.04316738709677
115,8/1989,29.328988516129037
116,9/1989,29.427853766666672
117,10/1989,29.431285677419353
118,11/1989,29.398660800000005
119,12/1989,29.275923096774203
120,1/1990,29.479401903225806
121,2/1990,29.32111867857143
122,3/1990,29.427717290322576
123,4/1990,29.16413603333334
124,5/1990,30.251282870967746
125,6/1990,29.42051333333334
126,7/1990,28.978364064516132
127,8/1990,28.95994622580646
128,9/1990,29.497696899999998
129,10/1990,29.962772870967736
130,11/1990,30.307314399999996
131,12/1990,30.522932967741934
132,1/1991,30.736714548387095
133,2/1991,30.560062749999997
134,3/1991,30.301282225806453
135,4/1991,30.1928618
136,5/1991,29.06578512903226
137,6/1991,29.054882066666664
138,7/1991,28.026158677419353
139,8/1991,28.36199483870968
140,9/1991,29.0227653
141,10/1991,29.330714741935473
142,11/1991,29.94866996666667
143,12/1991,30.482957419354836
144,1/1992,30.073903258064515
145,2/1992,30.04670468965517
146,3/1992,29.93575774193549
147,4/1992,30.455992066666663
148,5/1992,29.933685774193545
149,6/1992,28.750268600000002
150,7/1992,28.56148258064516
151,8/1992,28.656741354838708
152,9/1992,29.361114466666667
153,10/1992,29.740040161290317
154,11/1992,29.917295866666667
155,12/1992,30.1132980967742
156,1/1993,29.778052064516125
157,2/1993,30.40597560714286
158,3/1993,30.69070167741935
159,4/1993,30.4395999
160,5/1993,30.056253903225812
161,6/1993,28.981005499999995
162,7/1993,28.510174903225803
163,8/1993,29.242484677419355
164,9/1993,29.6645971
165,10/1993,29.95876248387097
166,11/1993,30.269711933333333
167,12/1993,30.52941493548387
168,1/1994,30.682715161290318
169,2/1994,30.82608753571429
170,3/1994,30.202364129032258
171,4/1994,29.28696723333333
172,5/1994,29.269992580645166
173,6/1994,29.20644536666667
174,7/1994,28.766788451612904
175,8/1994,28.9343849032258
176,9/1994,29.133551699999998
177,10/1994,29.793000741935494
178,11/1994,29.962345933333328
179,12/1994,29.964461580645168
180,1/1995,29.983210806451613
181,2/1995,30.870672000000006
182,3/1995,31.251507451612902
183,4/1995,30.432507100000006
184,5/1995,30.01730780645161
185,6/1995,28.651429433333337
186,7/1995,28.698822870967746
187,8/1995,29.212038709677422
188,9/1995,29.475493433333334
189,10/1995,29.828494774193555
190,11/1995,29.498961633333334
191,12/1995,30.68610770967742
192,1/1996,30.599404967741943
193,2/1996,30.889113551724144
194,3/1996,30.35937422580645
195,4/1996,29.818129166666665
196,5/1996,29.98532216129033
197,6/1996,29.00932476666667
198,7/1996,28.726202258064514
199,8/1996,29.09322864516129
200,9/1996,29.3129135
201,10/1996,30.018043677419346
202,11/1996,30.448673666666675
203,12/1996,30.76349829032258
204,1/1997,31.195985032258065
205,2/1997,30.861999714285712
206,3/1997,30.51580535483871
207,4/1997,30.00334763333334
208,5/1997,29.675310548387092
209,6/1997,29.449283166666667
210,7/1997,28.71266283870968
211,8/1997,28.616710419354845
212,9/1997,29.737994966666676
213,10/1997,30.19281170967742
214,11/1997,30.411188566666667
215,12/1997,30.577858387096768
216,1/1998,30.920754258064527
217,2/1998,31.691476892857136
218,3/1998,31.867481064516124
219,4/1998,31.58868686666667
220,5/1998,30.38645538709678
221,6/1998,29.476065466666668
222,7/1998,28.954384935483873
223,8/1998,28.759605548387093
224,9/1998,29.60395043333334
225,10/1998,30.2616794516129
226,11/1998,30.62642096666666
227,12/1998,30.707054677419354
228,1/1999,30.835687935483868
229,2/1999,30.677628999999996
230,3/1999,30.814977322580646
231,4/1999,31.0927205
232,5/1999,30.02681635483871
233,6/1999,29.498949500000002
234,7/1999,28.787765677419358
235,8/1999,28.787108483870966
236,9/1999,29.4002974
237,10/1999,29.777189806451602
238,11/1999,30.6903115
239,12/1999,30.704614064516132
240,1/2000,30.79891038709677
241,2/2000,31.010593965517238
242,3/2000,31.092761483870966
243,4/2000,30.30579843333333
244,5/2000,29.901722129032258
245,6/2000,28.89562883333333
246,7/2000,28.050368774193544
247,8/2000,28.973184354838715
248,9/2000,29.40290813333333
249,10/2000,29.97818474193549
250,11/2000,30.271976033333335
251,12/2000,29.980782580645155
252,1/2001,30.514408612903228
253,2/2001,31.042195392857135
254,3/2001,30.86234625806451
255,4/2001,30.02598143333333
256,5/2001,30.65315103225806
257,6/2001,28.96784446666667
258,7/2001,28.839290903225795
259,8/2001,28.805958935483872
260,9/2001,29.344738733333333
261,10/2001,30.153578032258064
262,11/2001,30.534702966666657
263,12/2001,30.853380419354828
264,1/2002,30.528568322580647
265,2/2002,30.91626789285715
266,3/2002,30.66581241935484
267,4/2002,30.25242926666667
268,5/2002,29.94803877419354
269,6/2002,28.614072633333326
270,7/2002,28.78735951612903
271,8/2002,28.89896677419355
272,9/2002,29.67643946666666
273,10/2002,29.882159129032257
274,11/2002,30.133025700000008
275,12/2002,30.803079516129024
276,1/2003,31.023817967741945
277,2/2003,30.69185685714286
278,3/2003,30.78055993548387
279,4/2003,30.925578066666674
280,5/2003,30.43795164516129
281,6/2003,28.55724446666666
282,7/2003,28.737623032258067
283,8/2003,29.078843677419364
284,9/2003,29.394519499999994
285,10/2003,29.984420935483875
286,11/2003,30.559082166666666
287,12/2003,30.735675419354838
288,1/2004,30.22053332258064
289,2/2004,30.724109620689656
290,3/2004,30.9645164516129
291,4/2004,30.611167799999997
292,5/2004,29.713754838709672
293,6/2004,28.657305666666666
294,7/2004,28.33946432258064
295,8/2004,28.89088064516129
296,9/2004,29.505362466666668
297,10/2004,30.046358000000005
298,11/2004,30.4041615
299,12/2004,30.729233645161283
300,1/2005,31.135298806451615
301,2/2005,31.56243346428572
302,3/2005,31.735979967741933
303,4/2005,31.290235700000007
304,5/2005,30.162027709677417
305,6/2005,28.697703466666663
306,7/2005,28.903917870967753
307,8/2005,28.744414193548387
308,9/2005,29.4770316
309,10/2005,30.101806516129034
310,11/2005,30.59885313333334
311,12/2005,30.767077193548385
312,1/2006,30.880310741935492
313,2/2006,31.48427307142857
314,3/2006,31.62182329032258
315,4/2006,31.059207466666667
316,5/2006,30.132768161290322
317,6/2006,29.2282291
318,7/2006,28.796993032258065
319,8/2006,28.901465096774196
320,9/2006,29.6351579
321,10/2006,30.37010209677419
322,11/2006,30.62456963333333
323,12/2006,30.830101903225806
324,1/2007,31.379874741935485
325,2/2007,31.090561607142856
326,3/2007,31.000315548387093
327,4/2007,30.856862666666668
328,5/2007,29.916220193548387
329,6/2007,28.683944733333337
330,7/2007,28.820425741935477
331,8/2007,28.557628903225808
332,9/2007,28.9732232
333,10/2007,29.643143838709676
334,11/2007,30.139457366666658
335,12/2007,30.650908290322587
336,1/2008,30.806370612903216
337,2/2008,31.49010151724138
338,3/2008,30.96654432258065
339,4/2008,30.57765433333333
