,Data,TempMaxPrevista
0,1/1980,29.39274619354839
1,2/1980,29.112360931034473
2,3/1980,29.108813225806454
3,4/1980,32.332156
4,5/1980,30.568791806451614
5,6/1980,30.725162899999994
6,7/1980,30.738918322580638
7,8/1980,31.674167774193542
8,9/1980,32.68733673333334
9,10/1980,32.896580451612905
10,11/1980,32.46867773333334
11,12/1980,32.1771669032258
12,1/1981,29.78318567741936
13,2/1981,30.336235892857136
14,3/1981,31.177638193548386
15,4/1981,31.174670999999996
16,5/1981,30.02574716129033
17,6/1981,30.987295366666668
18,7/1981,30.538171000000002
19,8/1981,31.763968548387098
20,9/1981,32.154747066666665
21,10/1981,32.641655580645164
22,11/1981,32.96075726666666
23,12/1981,31.796259580645163
24,1/1982,29.03511619354838
25,2/1982,29.310783000000008
26,3/1982,29.016450645161292
27,4/1982,29.706603166666675
28,5/1982,30.31229545161291
29,6/1982,31.192349766666663
30,7/1982,30.913894161290315
31,8/1982,31.345847322580646
32,9/1982,32.024670333333326
33,10/1982,32.59944167741936
34,11/1982,32.35141390000001
35,12/1982,31.998704225806453
36,1/1983,30.420105806451605
37,2/1983,30.446873642857145
38,3/1983,30.468692870967747
39,4/1983,30.823458100000003
40,5/1983,31.78283496774194
41,6/1983,31.42786196666667
42,7/1983,31.253572612903223
43,8/1983,31.774371161290333
44,9/1983,32.2065489
45,10/1983,32.36412832258064
46,11/1983,32.51635709999999
47,12/1983,31.847693387096786
48,1/1984,29.860876774193553
49,2/1984,29.123954068965524
50,3/1984,29.076607483870962
51,4/1984,28.6778025
52,5/1984,29.689797903225806
53,6/1984,30.38907196666667
54,7/1984,30.505245193548394
55,8/1984,31.27047483870968
56,9/1984,32.09784583333333
57,10/1984,32.841685645161284
58,11/1984,31.984346133333325
59,12/1984,31.37582529032258
60,1/1985,28.690099322580654
61,2/1985,28.65673032142857
62,3/1985,29.13050380645161
63,4/1985,29.637070466666668
64,5/1985,29.654058483870973
65,6/1985,30.0398902
66,7/1985,30.367505774193553
67,8/1985,31.009997193548383
68,9/1985,31.866702166666666
69,10/1985,32.51549383870968
70,11/1985,31.73446696666667
71,12/1985,29.802550548387092
72,1/1986,29.58720064516129
73,2/1986,29.177217821428574
74,3/1986,28.899115387096774
75,4/1986,29.05765229999999
76,5/1986,30.104841322580647
77,6/1986,30.167829299999998
78,7/1986,31.13092503225806
79,8/1986,31.597914129032258
80,9/1986,32.577035933333335
81,10/1986,32.72395670967742
