,Data,TempMaxPrevista
0,1/1980,30.728523870967745
1,2/1980,31.398698586206894
2,3/1980,31.215160483870974
3,4/1980,31.03855923333333
4,5/1980,31.95677109677419
5,6/1980,31.573790733333333
6,7/1980,31.373588129032253
7,8/1980,31.563545838709675
8,9/1980,31.974481966666666
9,10/1980,31.152858064516135
10,11/1980,30.880276366666674
11,12/1980,30.96515658064516
12,1/1981,30.283426354838717
13,2/1981,30.397917285714293
14,3/1981,31.350156548387105
15,4/1981,31.16468766666666
16,5/1981,31.331543516129027
17,6/1981,31.544857800000003
18,7/1981,31.11800067741936
19,8/1981,31.101452322580645
20,9/1981,30.592562499999993
21,10/1981,31.90236761290323
22,11/1981,31.09820716666667
23,12/1981,31.24759525806451
24,1/1982,30.11308403225806
25,2/1982,30.380405357142855
26,3/1982,30.50197129032258
27,4/1982,30.375908899999995
28,5/1982,30.87721648387097
29,6/1982,31.745749966666665
30,7/1982,31.61194903225806
31,8/1982,31.820539258064517
32,9/1982,31.739729500000003
33,10/1982,32.087536258064524
34,11/1982,31.899762366666668
35,12/1982,30.280893000000003
36,1/1983,33.44470903225807
37,2/1983,33.19308000000001
38,3/1983,32.06447464516128
39,4/1983,31.29260603333334
40,5/1983,32.19351890322581
41,6/1983,31.50115503333334
42,7/1983,32.272015838709684
43,8/1983,31.338974161290324
44,9/1983,32.21358836666668
45,10/1983,30.724504741935487
46,11/1983,31.4971239
47,12/1983,29.40178203225806
48,1/1984,29.769994612903233
49,2/1984,29.042665241379314
50,3/1984,30.379152419354845
51,4/1984,30.136218066666668
52,5/1984,30.605321483870966
53,6/1984,31.64571803333333
54,7/1984,31.422148419354837
55,8/1984,31.880229064516122
56,9/1984,31.48994633333334
57,10/1984,31.82505890322581
58,11/1984,32.0909369
59,12/1984,30.752988516129026
60,1/1985,30.371798129032253
61,2/1985,30.2954115
62,3/1985,30.599602645161294
63,4/1985,31.500535766666662
64,5/1985,30.586792903225806
65,6/1985,30.788273699999998
66,7/1985,30.923683387096773
67,8/1985,31.489990193548387
68,9/1985,32.21926710000001
69,10/1985,32.32745322580645
70,11/1985,31.120758899999995
71,12/1985,30.15569396774194
72,1/1986,30.31595341935484
73,2/1986,29.85710692857143
74,3/1986,29.680040741935485
75,4/1986,30.765542599999993
76,5/1986,31.083411580645162
77,6/1986,30.756799799999996
78,7/1986,30.866074645161284
79,8/1986,33.33680748387097
80,9/1986,31.656865900000007
81,10/1986,31.244089258064516
82,11/1986,30.97783176666666
83,12/1986,31.665115258064507
84,1/1987,30.325737419354837
85,2/1987,30.56152135714285
86,3/1987,30.894504387096777
87,4/1987,31.008231700000003
