,Data,TempMaxPrevista
0,1/1980,29.583903999999986
1,2/1980,29.58390399999999
2,3/1980,29.583903999999986
3,4/1980,29.583903999999986
4,5/1980,29.583903999999986
5,6/1980,29.583903999999986
6,7/1980,29.583903999999986
7,8/1980,29.583903999999986
8,9/1980,29.583903999999986
9,10/1980,29.583903999999986
10,11/1980,29.583903999999986
11,12/1980,29.583903999999986
12,1/1981,29.583903999999986
13,2/1981,29.58390399999999
14,3/1981,29.583903999999986
15,4/1981,29.583903999999986
16,5/1981,29.583903999999986
17,6/1981,29.583903999999986
18,7/1981,29.583903999999986
19,8/1981,29.583903999999986
20,9/1981,29.583903999999986
21,10/1981,29.583903999999986
22,11/1981,29.583903999999986
23,12/1981,29.583903999999986
24,1/1982,29.583903999999986
25,2/1982,29.58390399999999
26,3/1982,29.583903999999986
27,4/1982,29.583903999999986
28,5/1982,29.583903999999986
29,6/1982,29.583903999999986
30,7/1982,29.583903999999986
31,8/1982,29.583903999999986
32,9/1982,29.583903999999986
33,10/1982,29.583903999999986
34,11/1982,29.583903999999986
35,12/1982,29.583903999999986
36,1/1983,29.583903999999986
37,2/1983,29.58390399999999
38,3/1983,29.583903999999986
39,4/1983,29.583903999999986
40,5/1983,29.583903999999986
41,6/1983,29.583903999999986
42,7/1983,29.583903999999986
43,8/1983,28.971401290322582
44,9/1983,29.335834566666662
45,10/1983,29.92897987096774
46,11/1983,29.882814766666666
47,12/1983,30.0110924516129
48,1/1984,30.135231548387093
49,2/1984,30.066342758620696
50,3/1984,29.80758532258065
51,4/1984,29.347520533333334
52,5/1984,29.027802225806447
53,6/1984,28.802919733333336
54,7/1984,28.55552464516129
55,8/1984,28.953277580645164
56,9/1984,29.204005433333332
57,10/1984,29.542816645161295
58,11/1984,30.036100866666672
59,12/1984,30.187499322580642
60,1/1985,29.583903999999986
61,2/1985,29.58390399999999
62,3/1985,29.583903999999986
63,4/1985,29.583903999999986
64,5/1985,29.583903999999986
65,6/1985,29.583903999999986
66,7/1985,29.583903999999986
67,8/1985,29.583903999999986
68,9/1985,29.583903999999986
69,10/1985,29.583903999999986
70,11/1985,29.583903999999986
71,12/1985,29.583903999999986
72,1/1986,30.34943277419355
73,2/1986,29.672100178571423
74,3/1986,29.275847451612904
75,4/1986,29.478271599999992
76,5/1986,29.38000667741935
77,6/1986,28.11151706666666
78,7/1986,28.56126264516129
79,8/1986,28.531479806451618
80,9/1986,28.765052333333333
81,10/1986,29.566167903225807
82,11/1986,29.7396201
83,12/1986,30.153316258064514
84,1/1987,30.361334064516125
85,2/1987,30.548244464285712
86,3/1987,30.35037919354839
87,4/1987,30.38154306666667
88,5/1987,30.342146032258068
89,6/1987,29.300568566666666
90,7/1987,28.849776645161295
91,8/1987,29.328808709677418
92,9/1987,29.335814433333336
93,10/1987,29.87423535483871
94,11/1987,30.32182676666667
95,12/1987,29.687229580645166
96,1/1988,30.790736677419357
97,2/1988,30.76587
98,3/1988,30.52431493548387
99,4/1988,29.583903999999986
100,5/1988,29.61691070967742
101,6/1988,28.749872033333336
102,7/1988,28.05376990322581
103,8/1988,28.25619732258064
104,9/1988,28.703504900000002
105,10/1988,29.935218354838707
106,11/1988,29.92643276666666
107,12/1988,29.916168161290322
108,1/1989,30.06444532258065
109,2/1989,30.544398464285717
110,3/1989,30.498139774193547
111,4/1989,29.465689966666673
112,5/1989,29.379201903225812
113,6/1989,29.421865466666652
114,7/1989,28.59109851612903
115,8/1989,28.41895425806451
116,9/1989,29.46499346666667
117,10/1989,29.798866258064514
118,11/1989,29.974625833333334
119,12/1989,29.583903999999986
120,1/1990,30.160122838709675
121,2/1990,30.180617642857136
122,3/1990,30.719231096774188
123,4/1990,30.5515366
124,5/1990,29.59782525806452
125,6/1990,28.87788903333333
126,7/1990,28.822288870967746
127,8/1990,28.23881351612904
128,9/1990,29.081861866666664
129,10/1990,29.524273645161283
130,11/1990,29.775071100000005
131,12/1990,29.918268903225805
132,1/1991,30.55394683870968
133,2/1991,30.68570539285714
134,3/1991,30.398861
135,4/1991,29.99647326666667
136,5/1991,29.018925354838707
137,6/1991,28.71015049999999
138,7/1991,28.268779612903224
139,8/1991,28.181525967741937
140,9/1991,28.838818300000003
141,10/1991,29.17162935483871
142,11/1991,29.589198399999997
143,12/1991,29.583903999999986
144,1/1992,30.199362935483876
145,2/1992,29.93164103448275
146,3/1992,29.76415519354839
147,4/1992,29.79930613333334
148,5/1992,29.687911387096776
149,6/1992,28.501555166666662
150,7/1992,28.508011903225803
151,8/1992,28.328101451612902
152,9/1992,29.097256166666675
153,10/1992,29.289945483870966
154,11/1992,29.433048566666663
155,12/1992,29.687862516129027
156,1/1993,29.88182077419355
157,2/1993,30.299729035714286
158,3/1993,30.580785096774193
159,4/1993,30.06071306666667
160,5/1993,29.893678741935478
161,6/1993,29.08500729999999
162,7/1993,28.705397225806454
163,8/1993,29.013272903225804
164,9/1993,29.513423900000003
165,10/1993,29.61141241935484
166,11/1993,30.045837433333336
167,12/1993,30.457582774193547
168,1/1994,30.379723741935482
169,2/1994,30.57847375
170,3/1994,30.275079709677417
171,4/1994,29.577989499999994
172,5/1994,29.33098796774194
173,6/1994,28.469996066666656
174,7/1994,28.27894703225807
175,8/1994,28.768664548387097
176,9/1994,28.981095499999995
177,10/1994,29.662911612903233
178,11/1994,29.816539166666665
179,12/1994,29.580338999999988
180,1/1995,30.261549387096775
181,2/1995,30.617417642857145
182,3/1995,30.67164087096774
183,4/1995,30.069572466666674
184,5/1995,29.37385338709678
185,6/1995,28.5584829
186,7/1995,27.95675025806451
187,8/1995,28.79483661290323
188,9/1995,28.942057033333334
189,10/1995,29.527520903225806
190,11/1995,29.603154866666664
191,12/1995,30.22461048387097
192,1/1996,30.60859348387097
193,2/1996,30.570133965517247
194,3/1996,30.164761967741935
195,4/1996,29.834250133333335
196,5/1996,29.860530548387104
197,6/1996,28.534947833333334
198,7/1996,28.214221935483874
199,8/1996,28.42354061290323
200,9/1996,29.019837400000004
201,10/1996,29.833676193548385
202,11/1996,30.040074866666664
203,12/1996,30.593826612903225
204,1/1997,30.710219548387105
205,2/1997,30.631885964285715
206,3/1997,30.285686354838706
207,4/1997,29.910787199999998
208,5/1997,29.42460687096774
209,6/1997,29.0203551
210,7/1997,28.566048000000002
211,8/1997,28.46666293548387
212,9/1997,29.207642166666663
213,10/1997,29.956717806451607
214,11/1997,30.2924858
215,12/1997,30.58162029032258
216,1/1998,30.938971225806455
217,2/1998,31.33591457142857
218,3/1998,31.551913870967745
219,4/1998,31.387699566666672
220,5/1998,30.2994859032258
221,6/1998,28.866877166666665
222,7/1998,28.236111903225808
223,8/1998,28.654501096774194
224,9/1998,29.372772166666664
225,10/1998,29.9037315483871
226,11/1998,30.246339566666663
227,12/1998,30.482741774193542
228,1/1999,30.404095516129033
229,2/1999,30.3818095
230,3/1999,30.361630774193547
231,4/1999,30.215222799999996
232,5/1999,29.325215064516136
233,6/1999,28.887487599999996
234,7/1999,28.49568338709677
235,8/1999,28.579909000000008
236,9/1999,29.064513799999997
237,10/1999,29.48839280645161
238,11/1999,30.17226989999999
239,12/1999,30.115247354838704
240,1/2000,30.3143749032258
241,2/2000,30.590971793103442
242,3/2000,30.73294935483871
243,4/2000,30.10246546666667
244,5/2000,29.547514483870966
245,6/2000,28.476614666666663
246,7/2000,27.477808225806456
247,8/2000,28.372616580645165
248,9/2000,29.264155966666674
249,10/2000,29.614230193548384
250,11/2000,29.826728166666665
251,12/2000,29.843252645161293
252,1/2001,29.958042096774193
253,2/2001,30.68082832142856
254,3/2001,30.540896999999998
255,4/2001,29.613389799999997
256,5/2001,30.36465229032259
257,6/2001,28.231731233333328
258,7/2001,28.30485806451613
259,8/2001,28.18694616129032
260,9/2001,28.990994233333325
261,10/2001,29.68768719354838
262,11/2001,30.156116600000004
263,12/2001,30.626794419354837
264,1/2002,30.17397622580645
265,2/2002,30.58154032142858
266,3/2002,30.305671645161297
267,4/2002,29.99905783333333
268,5/2002,30.088334838709677
269,6/2002,28.914144466666666
270,7/2002,28.777816967741934
271,8/2002,28.710996161290318
272,9/2002,29.538142400000005
273,10/2002,29.864336096774196
274,11/2002,29.95267633333333
275,12/2002,30.31247474193548
276,1/2003,30.51896374193549
277,2/2003,30.474682892857142
278,3/2003,30.213989483870968
279,4/2003,30.302505233333328
280,5/2003,30.08544506451613
281,6/2003,28.884864166666667
282,7/2003,28.65991880645161
283,8/2003,28.940446193548386
284,9/2003,29.413534900000002
285,10/2003,29.955001677419357
286,11/2003,30.39657756666666
287,12/2003,30.48353538709677
288,1/2004,30.139023225806454
289,2/2004,30.236818172413795
290,3/2004,30.43768632258064
291,4/2004,30.257982733333336
292,5/2004,29.616000419354837
293,6/2004,28.45025536666666
294,7/2004,28.284971612903224
295,8/2004,28.815964419354838
296,9/2004,29.229182899999998
297,10/2004,29.99125174193548
298,11/2004,30.21260786666667
299,12/2004,30.446680967741933
300,1/2005,30.756864129032262
301,2/2005,31.107629107142856
302,3/2005,31.155279451612913
303,4/2005,31.11092133333333
304,5/2005,29.789117322580648
305,6/2005,28.33723423333333
306,7/2005,28.734753096774188
307,8/2005,28.927133225806454
308,9/2005,29.303015966666674
309,10/2005,29.89217516129032
310,11/2005,30.3540629
311,12/2005,30.63357070967742
312,1/2006,30.62605722580645
313,2/2006,30.950312321428566
314,3/2006,31.121441161290317
315,4/2006,30.3381244
316,5/2006,30.02068196774193
317,6/2006,28.779720400000006
318,7/2006,28.75459851612903
319,8/2006,28.79731316129032
320,9/2006,29.245750899999997
321,10/2006,29.98347106451613
322,11/2006,30.112895233333337
323,12/2006,30.375165870967734
324,1/2007,30.650973774193545
325,2/2007,30.787168999999995
326,3/2007,30.785836193548384
327,4/2007,30.35798416666667
328,5/2007,29.850153838709666
329,6/2007,28.544745466666672
330,7/2007,28.542550387096767
331,8/2007,28.417264516129034
332,9/2007,28.831804700000003
333,10/2007,29.322794967741945
334,11/2007,29.875233566666672
335,12/2007,30.41469893548387
336,1/2008,30.519967451612906
337,2/2008,30.967523827586213
338,3/2008,30.48469938709677
339,4/2008,29.822368900000004
340,5/2008,29.60490377419355
341,6/2008,28.59855623333333
342,7/2008,28.22475677419355
343,8/2008,28.39649125806452
344,9/2008,29.2576226
345,10/2008,29.748989612903227
346,11/2008,30.18306083333333
347,12/2008,30.666813419354835
348,1/2009,30.58439183870968
349,2/2009,30.479006214285715
350,3/2009,30.581028193548384
351,4/2009,30.29679176666666
352,5/2009,29.609610129032262
353,6/2009,28.951835733333333
354,7/2009,28.676030258064518
355,8/2009,28.864232161290328
356,9/2009,29.496897466666663
357,10/2009,29.931679967741932
358,11/2009,30.312977833333328
359,12/2009,30.549400612903217
360,1/2010,30.81399222580646
361,2/2010,31.02116571428571
362,3/2010,31.56286887096774
363,4/2010,31.102784700000004
364,5/2010,30.806705419354834
365,6/2010,29.65714023333334
366,7/2010,28.561208677419348
367,8/2010,28.636393419354835
368,9/2010,28.97037836666667
369,10/2010,30.041442838709678
370,11/2010,30.319348866666676
371,12/2010,30.373025774193557
372,1/2011,30.01531687096774
373,2/2011,30.71300107142857
374,3/2011,30.850939709677423
375,4/2011,30.03006076666666
376,5/2011,29.37874706451613
377,6/2011,28.667954866666662
378,7/2011,28.31258654838709
379,8/2011,28.601706580645164
380,9/2011,29.11308656666667
381,10/2011,29.792945032258068
382,11/2011,30.2167136
383,12/2011,30.336913419354847
384,1/2012,30.311048064516125
385,2/2012,30.136067620689648
386,3/2012,30.34734812903225
387,4/2012,30.46832533333333
388,5/2012,30.038034161290323
389,6/2012,28.696630966666667
390,7/2012,28.745306483870966
391,8/2012,28.76347245161291
392,9/2012,29.063782299999993
393,10/2012,29.490279483870967
394,11/2012,30.067109999999996
395,12/2012,30.434313419354833
396,1/2013,30.7402754516129
397,2/2013,30.96372696428571
398,3/2013,31.036736161290325
399,4/2013,30.868562066666666
400,5/2013,30.103449645161284
401,6/2013,29.132374366666667
402,7/2013,28.328628451612907
403,8/2013,28.75377022580645
404,9/2013,29.189438099999993
405,10/2013,29.834981935483874
406,11/2013,29.75097056666666
407,12/2013,30.267369677419353
408,1/2014,30.227823548387097
409,2/2014,30.437859821428567
410,3/2014,30.541214806451613
411,4/2014,30.72216383333334
412,5/2014,29.803897129032258
413,6/2014,28.982520399999995
414,7/2014,28.54610670967741
415,8/2014,28.807948322580646
416,9/2014,29.070929866666674
417,10/2014,29.617275677419354
418,11/2014,29.963419366666667
419,12/2014,30.22667022580645
420,1/2015,30.391324870967743
421,2/2015,30.680600999999996
422,3/2015,30.342864193548394
423,4/2015,30.771267500000004
424,5/2015,30.592514612903223
425,6/2015,29.193789500000005
426,7/2015,28.80328612903226
427,8/2015,29.036727967741935
428,9/2015,29.48456966666667
429,10/2015,29.733319999999996
430,11/2015,30.198535766666676
431,12/2015,30.36664825806452
432,1/2016,30.27020777419355
433,2/2016,30.714041310344825
434,3/2016,30.962050451612903
435,4/2016,30.593611333333335
436,5/2016,30.143893000000002
437,6/2016,29.582134866666664
438,7/2016,29.301227806451617
439,8/2016,29.45599870967741
440,9/2016,29.775505600000006
441,10/2016,30.10353222580645
442,11/2016,30.545442233333336
443,12/2016,30.700609709677423
444,1/2017,30.73967735483871
445,2/2017,30.578351392857147
446,3/2017,30.862782516129037
447,4/2017,30.708926399999992
448,5/2017,30.243517870967743
449,6/2017,29.366282200000004
450,7/2017,28.063416419354844
451,8/2017,29.09980945161291
452,9/2017,29.0424272
453,10/2017,29.60180174193549
454,11/2017,30.288938166666664
455,12/2017,30.20728832258065
