,Data,TempMaxPrevista
0,1/1980,29.404559193548383
1,2/1980,29.791255896551725
2,3/1980,29.993696193548388
3,4/1980,27.256096199999995
4,5/1980,24.47122019354838
5,6/1980,23.336289733333324
6,7/1980,23.726574677419343
7,8/1980,22.233124677419347
8,9/1980,22.73122533333333
9,10/1980,24.131722032258065
10,11/1980,26.094990566666674
11,12/1980,27.855547645161288
12,1/1981,30.303639451612906
13,2/1981,29.64581221428571
14,3/1981,28.119727064516134
15,4/1981,26.740351133333327
16,5/1981,26.540856193548382
17,6/1981,22.682121833333326
18,7/1981,22.321199838709667
19,8/1981,23.515019193548387
20,9/1981,23.44841063333332
21,10/1981,24.370011903225805
22,11/1981,26.99430563333333
23,12/1981,28.02012216129032
24,1/1982,29.482905677419353
25,2/1982,29.939406285714288
26,3/1982,29.074882677419357
27,4/1982,26.743773399999995
28,5/1982,23.11992861290322
29,6/1982,23.279746433333326
30,7/1982,21.296639645161285
31,8/1982,22.310628048387095
32,9/1982,23.968299966666667
33,10/1982,23.916879967741934
34,11/1982,25.610472833333336
35,12/1982,28.805750322580643
36,1/1983,30.536731483870966
37,2/1983,29.671584749999997
38,3/1983,26.85928232258064
39,4/1983,24.79261883333333
40,5/1983,22.056540483870968
41,6/1983,17.6638451
42,7/1983,17.014641532258064
43,8/1983,20.47960396774194
44,9/1983,20.715722449999998
45,10/1983,25.1544510967742
46,11/1983,27.625474399999998
47,12/1983,30.373856935483868
48,1/1984,31.576690064516136
49,2/1984,32.99696248275862
50,3/1984,28.88448467741936
51,4/1984,24.76608166666666
52,5/1984,22.54247819354838
53,6/1984,18.377599033333336
54,7/1984,19.911169370967745
55,8/1984,17.718923096774194
56,9/1984,21.298721133333327
57,10/1984,25.593430999999992
58,11/1984,25.958510566666668
59,12/1984,27.198702741935488
60,1/1985,25.33808499999999
61,2/1985,25.33808499999999
62,3/1985,25.33808499999999
63,4/1985,25.33808499999999
64,5/1985,25.33808499999999
65,6/1985,25.33808499999999
66,7/1985,25.33808499999999
67,8/1985,25.33808499999999
68,9/1985,25.33808499999999
69,10/1985,25.33808499999999
70,11/1985,25.33808499999999
71,12/1985,25.33808499999999
72,1/1986,25.33808499999999
73,2/1986,25.33808499999999
74,3/1986,25.33808499999999
75,4/1986,25.33808499999999
76,5/1986,25.33808499999999
77,6/1986,25.33808499999999
78,7/1986,25.33808499999999
79,8/1986,25.33808499999999
80,9/1986,25.33808499999999
81,10/1986,25.33808499999999
82,11/1986,25.33808499999999
83,12/1986,25.33808499999999
84,1/1987,25.33808499999999
85,2/1987,25.33808499999999
86,3/1987,25.33808499999999
87,4/1987,25.33808499999999
88,5/1987,25.33808499999999
89,6/1987,25.33808499999999
90,7/1987,25.33808499999999
91,8/1987,25.33808499999999
92,9/1987,25.33808499999999
93,10/1987,25.33808499999999
94,11/1987,25.33808499999999
95,12/1987,25.33808499999999
96,1/1988,30.519392161290316
97,2/1988,29.94258420689655
98,3/1988,31.915794225806454
99,4/1988,24.750825866666666
100,5/1988,19.06302058064516
101,6/1988,16.970228199999994
102,7/1988,18.93852433870968
103,8/1988,20.254510548387096
104,9/1988,19.980148466666666
105,10/1988,24.64593364516129
106,11/1988,26.836381233333334
107,12/1988,30.614770419354844
108,1/1989,30.522394451612897
109,2/1989,31.435996
110,3/1989,29.142532225806445
111,4/1989,26.17662876666667
112,5/1989,22.49571593548387
113,6/1989,19.96251253333333
114,7/1989,17.577274774193548
115,8/1989,22.30253367741935
116,9/1989,21.009823566666668
117,10/1989,24.185945967741937
118,11/1989,27.51072953333334
119,12/1989,30.634668774193546
120,1/1990,31.137818612903224
121,2/1990,30.011205535714282
122,3/1990,28.927337290322587
123,4/1990,26.030665233333323
124,5/1990,21.398071967741938
125,6/1990,17.476016833333336
126,7/1990,17.456765822580646
127,8/1990,21.734986580645163
128,9/1990,20.160133266666666
129,10/1990,26.170871645161302
130,11/1990,28.78345446666666
131,12/1990,28.66186622580645
132,1/1991,30.069064709677424
133,2/1991,30.919847071428567
134,3/1991,30.593010741935476
135,4/1991,26.142746699999993
136,5/1991,25.13510183870968
137,6/1991,19.952970299999993
138,7/1991,19.395792870967743
139,8/1991,21.421352612903224
140,9/1991,23.2329609
141,10/1991,25.966008290322574
142,11/1991,26.62272093333333
143,12/1991,30.761318354838703
144,1/1992,30.60538477419355
145,2/1992,31.26807431034483
146,3/1992,29.96028667741936
147,4/1992,25.535664966666662
148,5/1992,21.48740967741936
149,6/1992,21.980975916666676
150,7/1992,16.73029525806452
