,Data,TempMaxPrevista
0,1/1980,30.424836193548376
1,2/1980,29.505549448275875
2,3/1980,28.940937258064515
3,4/1980,29.008616300000003
4,5/1980,28.406345709677417
5,6/1980,27.851418099999997
6,7/1980,27.745097838709675
7,8/1980,27.740257870967746
8,9/1980,28.34618876666667
9,10/1980,28.47267632258065
10,11/1980,29.0974729
11,12/1980,29.214824354838715
12,1/1981,29.380112290322586
13,2/1981,29.400232107142863
14,3/1981,29.19203796774194
15,4/1981,29.172469000000014
16,5/1981,28.063628935483873
17,6/1981,27.8704015
18,7/1981,27.167165451612895
19,8/1981,27.256321290322575
20,9/1981,27.577339866666666
21,10/1981,28.8737149032258
22,11/1981,29.533441566666674
23,12/1981,29.311372935483877
24,1/1982,29.513518290322583
25,2/1982,29.11224457142857
26,3/1982,29.79724141935484
27,4/1982,29.199234499999996
28,5/1982,28.593651419354835
29,6/1982,28.003144966666664
30,7/1982,27.500269612903224
31,8/1982,27.78402080645162
32,9/1982,27.858602033333327
33,10/1982,28.7391919032258
34,11/1982,29.235330266666665
35,12/1982,29.70270393548387
36,1/1983,30.238158290322577
37,2/1983,29.711064392857143
38,3/1983,30.013375419354844
39,4/1983,28.954396300000003
40,5/1983,28.976969774193545
41,6/1983,28.094172700000005
42,7/1983,27.746755483870963
43,8/1983,27.782224419354836
44,9/1983,28.442162766666666
45,10/1983,28.745893774193547
46,11/1983,29.4660168
47,12/1983,30.06437322580645
48,1/1984,30.230407548387095
49,2/1984,30.991000517241385
50,3/1984,30.999379806451614
51,4/1984,29.152710866666666
52,5/1984,28.570634193548386
53,6/1984,28.375385633333334
54,7/1984,27.092123483870967
55,8/1984,27.599287903225804
56,9/1984,28.4760116
57,10/1984,28.916116838709673
58,11/1984,29.43254413333333
59,12/1984,30.51060561290323
60,1/1985,30.866017967741936
61,2/1985,30.171556964285717
62,3/1985,30.20024306451613
63,4/1985,29.06668763333333
64,5/1985,28.868063935483868
65,6/1985,28.323989833333332
66,7/1985,27.330845870967746
67,8/1985,28.071949225806453
68,9/1985,27.9434515
69,10/1985,29.271449354838712
70,11/1985,29.77213243333334
71,12/1985,29.58723312903225
72,1/1986,30.28893064516129
73,2/1986,29.839631
74,3/1986,29.23131748387097
75,4/1986,29.2331428
76,5/1986,28.897411483870968
77,6/1986,27.364714699999997
78,7/1986,27.45024141935484
79,8/1986,27.717539838709673
80,9/1986,27.714065266666672
81,10/1986,28.90040287096775
82,11/1986,29.121506266666675
83,12/1986,29.44349212903225
84,1/1987,30.194873129032267
85,2/1987,30.107840785714284
86,3/1987,29.92850719354839
87,4/1987,29.960174866666673
88,5/1987,29.657714483870976
89,6/1987,28.752721766666657
90,7/1987,28.572396967741938
91,8/1987,28.721316193548383
92,9/1987,28.9810853
93,10/1987,28.979873064516124
94,11/1987,29.948301233333332
95,12/1987,30.6767404516129
96,1/1988,30.75180522580645
97,2/1988,31.204598000000004
98,3/1988,30.94245425806452
99,4/1988,29.823567133333334
100,5/1988,29.217112935483875
101,6/1988,28.58428423333333
102,7/1988,27.56444593548386
103,8/1988,27.40273093548387
104,9/1988,28.135843066666666
105,10/1988,29.57862603225807
106,11/1988,29.90553153333333
107,12/1988,30.19161822580645
108,1/1989,29.768570645161294
109,2/1989,30.63084342857142
110,3/1989,31.288895935483872
111,4/1989,29.2517481
112,5/1989,29.247451548387094
113,6/1989,28.256016100000004
114,7/1989,27.118257064516133
115,8/1989,27.90435783870968
116,9/1989,28.639521566666666
117,10/1989,29.172469
118,11/1989,29.478337000000003
119,12/1989,29.82644841935484
120,1/1990,29.625570967741936
121,2/1990,29.6793025
122,3/1990,30.830429258064523
123,4/1990,30.028651766666666
124,5/1990,28.989233354838714
125,6/1990,28.08182443333333
126,7/1990,27.659325096774197
127,8/1990,27.451752064516125
128,9/1990,28.327944766666654
129,10/1990,28.881531387096775
130,11/1990,29.929794833333332
131,12/1990,30.309802548387093
132,1/1991,30.43341841935484
133,2/1991,30.727712357142856
134,3/1991,30.34215248387097
135,4/1991,30.10939216666667
136,5/1991,28.608034774193552
137,6/1991,28.312221233333336
138,7/1991,27.16624558064516
139,8/1991,27.082306516129034
140,9/1991,27.822579466666674
141,10/1991,28.068193387096773
142,11/1991,29.409271099999994
143,12/1991,29.919293322580643
144,1/1992,29.98525693548387
145,2/1992,29.706152379310346
146,3/1992,29.50851561290323
147,4/1992,30.237780966666673
148,5/1992,29.286628612903232
149,6/1992,27.702948799999998
150,7/1992,27.413059387096784
151,8/1992,27.456394451612898
152,9/1992,27.983540399999995
153,10/1992,28.442000645161293
154,11/1992,28.63702346666667
155,12/1992,29.38574948387097
156,1/1993,29.54750596774193
157,2/1993,30.205249964285716
158,3/1993,30.34040793548387
159,4/1993,29.9173906
160,5/1993,28.789463903225815
161,6/1993,28.158136066666668
162,7/1993,27.511603645161287
163,8/1993,28.072745903225808
164,9/1993,28.94604756666666
165,10/1993,29.493174258064506
166,11/1993,29.893725166666666
167,12/1993,30.42630929032259
168,1/1994,30.375214000000003
169,2/1994,30.776645321428568
170,3/1994,30.912280064516136
171,4/1994,29.633403566666672
172,5/1994,28.7538064516129
173,6/1994,28.387374533333336
174,7/1994,27.946733677419346
175,8/1994,27.85780019354839
176,9/1994,28.04477873333333
177,10/1994,28.991658548387097
178,11/1994,29.52592316666666
179,12/1994,29.943290129032253
180,1/1995,30.25675709677419
181,2/1995,30.883612000000003
182,3/1995,30.98406896774193
183,4/1995,29.948277866666658
184,5/1995,29.395717967741938
185,6/1995,27.6480768
186,7/1995,27.854626129032255
187,8/1995,27.787751999999998
188,9/1995,28.405718766666666
189,10/1995,29.300255419354837
190,11/1995,29.267002899999998
191,12/1995,30.52136932258064
192,1/1996,30.337014645161293
193,2/1996,30.56302965517241
194,3/1996,30.538120129032254
195,4/1996,29.543351666666663
196,5/1996,29.095641903225804
197,6/1996,28.09471096666667
198,7/1996,27.463603838709677
199,8/1996,27.747877064516132
200,9/1996,28.153610666666673
201,10/1996,29.596823935483872
202,11/1996,29.823441966666667
203,12/1996,30.686986354838712
204,1/1997,31.15563780645161
205,2/1997,30.313845642857142
206,3/1997,30.07100190322581
207,4/1997,29.53346376666667
208,5/1997,28.688897677419355
209,6/1997,28.075659433333332
210,7/1997,27.70088135483871
211,8/1997,27.608448258064517
212,9/1997,28.8793705
213,10/1997,30.005871258064516
214,11/1997,30.339611166666668
215,12/1997,30.722948870967745
216,1/1998,31.334747419354834
217,2/1998,31.943409785714287
218,3/1998,31.886385419354838
219,4/1998,31.32151836666667
220,5/1998,29.724625967741936
221,6/1998,28.680376433333333
222,7/1998,28.208384032258067
223,8/1998,27.765225161290324
224,9/1998,28.607765866666668
225,10/1998,29.365343322580642
226,11/1998,30.374619200000005
227,12/1998,30.847752354838708
228,1/1999,30.901006612903227
229,2/1999,31.004811607142862
230,3/1999,30.733299064516125
231,4/1999,30.500734333333334
232,5/1999,29.256325516129035
233,6/1999,28.568951733333332
234,7/1999,27.76095838709678
235,8/1999,27.52487358064516
236,9/1999,28.29230953333333
237,10/1999,28.998644096774193
238,11/1999,30.108895900000004
239,12/1999,30.103799032258056
240,1/2000,30.103161387096772
241,2/2000,30.317841862068963
242,3/2000,30.56946683870968
243,4/2000,29.68880583333334
244,5/2000,29.042446903225798
245,6/2000,27.901524999999996
246,7/2000,27.297050096774196
247,8/2000,27.843521903225806
248,9/2000,28.39905233333333
249,10/2000,29.160934677419352
250,11/2000,29.78210193333333
251,12/2000,29.511466032258063
252,1/2001,29.91132293548387
253,2/2001,30.745678392857148
254,3/2001,30.368857258064512
255,4/2001,29.30905803333333
256,5/2001,29.897511967741934
257,6/2001,28.024264
258,7/2001,28.011661354838715
259,8/2001,27.790408290322585
260,9/2001,28.409848733333334
261,10/2001,29.01147493548387
262,11/2001,29.918246933333332
263,12/2001,30.057716612903224
264,1/2002,29.66221812903225
265,2/2002,30.00883217857143
266,3/2002,29.816680612903223
267,4/2002,29.731613533333334
268,5/2002,29.07406948387097
269,6/2002,27.934175800000006
270,7/2002,27.815725709677423
271,8/2002,27.896523935483874
272,9/2002,28.722470833333333
273,10/2002,28.986839387096772
274,11/2002,29.427515700000004
275,12/2002,30.552035129032262
276,1/2003,31.048254645161297
277,2/2003,30.260740321428578
