,Data,TempMaxPrevista
0,1/1980,28.51745387096774
1,2/1980,28.960260827586207
2,3/1980,29.734540645161285
3,4/1980,28.474708
4,5/1980,27.737812322580645
5,6/1980,27.079582300000006
6,7/1980,27.12106061290322
7,8/1980,26.655530419354836
8,9/1980,27.296009633333327
9,10/1980,28.57065351612904
10,11/1980,28.32089879999999
11,12/1980,28.2445955483871
12,1/1981,29.04058906451613
13,2/1981,30.573542571428572
14,3/1981,29.18322574193549
15,4/1981,28.196515766666668
16,5/1981,26.60998641935484
17,6/1981,27.134226966666667
18,7/1981,27.678198225806444
19,8/1981,27.378978516129024
20,9/1981,28.16799596666667
21,10/1981,27.529966838709683
22,11/1981,28.66399506666667
23,12/1981,29.467485709677415
24,1/1982,28.303547580645155
25,2/1982,30.183095249999997
26,3/1982,28.042598806451604
27,4/1982,27.456228266666663
28,5/1982,26.733614225806445
29,6/1982,27.684736833333325
30,7/1982,27.560006677419352
31,8/1982,27.60403054838709
32,9/1982,27.4726047
33,10/1982,28.31271329032258
34,11/1982,28.80411896666666
35,12/1982,27.90245554838709
36,1/1983,30.153790516129025
37,2/1983,30.90386271428572
38,3/1983,29.39923651612903
39,4/1983,27.50356586666666
40,5/1983,27.113142419354833
41,6/1983,24.144679766666666
42,7/1983,24.931613354838714
43,8/1983,23.885858709677418
44,9/1983,23.241624766666668
45,10/1983,25.538179645161293
46,11/1983,27.60206226666666
47,12/1983,28.61524441935483
48,1/1984,27.78924832258065
49,2/1984,28.51180793103448
50,3/1984,27.542824677419354
51,4/1984,26.81749613333333
52,5/1984,27.488963645161295
53,6/1984,27.26257933333333
54,7/1984,27.20081251612904
55,8/1984,26.080377419354836
56,9/1984,26.789711700000005
57,10/1984,27.352612580645168
58,11/1984,26.49260233333334
59,12/1984,26.610740935483868
60,1/1985,26.391233548387092
61,2/1985,27.31233660714286
62,3/1985,27.033391999999996
63,4/1985,27.35143713333334
64,5/1985,26.943132193548394
65,6/1985,27.64445413333334
66,7/1985,27.534480548387098
67,8/1985,27.186466548387106
68,9/1985,26.58068726666667
69,10/1985,26.802837225806453
70,11/1985,27.10009373333333
71,12/1985,27.002228354838714
72,1/1986,30.222089774193552
73,2/1986,30.50588692857143
74,3/1986,27.186345032258068
75,4/1986,29.150453000000002
76,5/1986,26.92890019354839
77,6/1986,26.08080373333333
78,7/1986,24.26432493548387
79,8/1986,25.923156612903224
80,9/1986,25.183548800000004
81,10/1986,26.05766829032259
82,11/1986,28.07697303333333
83,12/1986,28.435726580645163
84,1/1987,30.27992229032258
85,2/1987,30.048270535714288
86,3/1987,29.174947741935483
87,4/1987,29.084924899999994
88,5/1987,25.944417322580648
89,6/1987,24.5410051
90,7/1987,26.21287767741935
91,8/1987,24.839186193548382
92,9/1987,24.13629153333333
93,10/1987,25.73888112903226
94,11/1987,27.27995813333334
95,12/1987,29.066347774193552
96,1/1988,31.996968580645163
97,2/1988,29.366491827586202
98,3/1988,29.26810974193549
99,4/1988,27.28585023333333
100,5/1988,26.025205999999997
101,6/1988,23.904331199999994
102,7/1988,23.58492916129032
103,8/1988,25.27289225806452
104,9/1988,24.99572713333333
105,10/1988,25.439610032258056
106,11/1988,26.446795266666673
107,12/1988,28.22549793548387
108,1/1989,28.769582967741936
109,2/1989,29.096190607142855
110,3/1989,30.267722
111,4/1989,28.55888756666667
112,5/1989,25.798011354838714
113,6/1989,24.719352400000002
114,7/1989,23.25609487096774
115,8/1989,25.165955677419355
116,9/1989,24.738665599999994
117,10/1989,26.24323448387096
118,11/1989,28.190725666666665
119,12/1989,28.01385761290323
120,1/1990,31.520848032258066
121,2/1990,30.062593428571425
122,3/1990,29.997739161290323
123,4/1990,30.183115466666663
124,5/1990,25.82433006451613
125,6/1990,25.166108300000005
126,7/1990,23.88862229032259
127,8/1990,23.60494367741935
128,9/1990,24.14629386666667
129,10/1990,26.818117483870967
130,11/1990,28.9000879
131,12/1990,27.389783999999988
132,1/1991,28.27102451612903
133,2/1991,30.190240857142864
134,3/1991,28.42054751612903
135,4/1991,28.227334499999998
136,5/1991,26.412725580645166
137,6/1991,26.248522400000002
138,7/1991,24.406094645161286
139,8/1991,24.52887958064516
140,9/1991,27.161439133333324
141,10/1991,26.665045903225813
142,11/1991,27.389783999999988
143,12/1991,27.389783999999988
144,1/1992,27.389783999999988
145,2/1992,27.38978399999999
146,3/1992,27.389783999999988
147,4/1992,27.389783999999988
148,5/1992,27.389783999999988
149,6/1992,27.389783999999988
150,7/1992,27.389783999999988
151,8/1992,27.389783999999988
152,9/1992,27.389783999999988
153,10/1992,27.389783999999988
154,11/1992,27.389783999999988
155,12/1992,27.389783999999988
156,1/1993,27.389783999999988
157,2/1993,27.38978399999999
158,3/1993,27.389783999999988
159,4/1993,27.389783999999988
160,5/1993,27.389783999999988
161,6/1993,27.389783999999988
162,7/1993,27.389783999999988
163,8/1993,27.389783999999988
164,9/1993,27.389783999999988
165,10/1993,27.389783999999988
166,11/1993,27.389783999999988
167,12/1993,27.389783999999988
168,1/1994,27.389783999999988
169,2/1994,27.38978399999999
170,3/1994,27.389783999999988
171,4/1994,27.389783999999988
172,5/1994,27.389783999999988
173,6/1994,27.389783999999988
174,7/1994,27.389783999999988
175,8/1994,27.389783999999988
176,9/1994,27.389783999999988
177,10/1994,27.389783999999988
178,11/1994,27.389783999999988
179,12/1994,27.389783999999988
180,1/1995,27.389783999999988
181,2/1995,27.38978399999999
182,3/1995,27.389783999999988
183,4/1995,27.389783999999988
184,5/1995,27.389783999999988
185,6/1995,27.389783999999988
186,7/1995,27.389783999999988
187,8/1995,27.389783999999988
188,9/1995,27.389783999999988
189,10/1995,27.389783999999988
190,11/1995,27.389783999999988
191,12/1995,27.389783999999988
192,1/1996,27.389783999999988
193,2/1996,27.38978399999999
194,3/1996,27.389783999999988
195,4/1996,27.389783999999988
196,5/1996,27.389783999999988
197,6/1996,27.389783999999988
198,7/1996,27.389783999999988
199,8/1996,27.389783999999988
200,9/1996,27.389783999999988
201,10/1996,27.389783999999988
202,11/1996,27.389783999999988
203,12/1996,27.389783999999988
204,1/1997,27.389783999999988
205,2/1997,27.38978399999999
206,3/1997,27.389783999999988
207,4/1997,27.389783999999988
208,5/1997,27.389783999999988
209,6/1997,27.389783999999988
210,7/1997,27.389783999999988
211,8/1997,27.389783999999988
212,9/1997,27.389783999999988
213,10/1997,27.389783999999988
214,11/1997,27.389783999999988
215,12/1997,27.389783999999988
216,1/1998,27.389783999999988
217,2/1998,27.38978399999999
218,3/1998,27.389783999999988
219,4/1998,27.389783999999988
220,5/1998,27.389783999999988
221,6/1998,27.389783999999988
222,7/1998,27.389783999999988
223,8/1998,27.389783999999988
224,9/1998,27.389783999999988
225,10/1998,27.389783999999988
226,11/1998,27.389783999999988
227,12/1998,27.389783999999988
228,1/1999,27.389783999999988
229,2/1999,27.38978399999999
230,3/1999,27.389783999999988
231,4/1999,27.389783999999988
232,5/1999,27.389783999999988
233,6/1999,27.389783999999988
234,7/1999,27.389783999999988
235,8/1999,27.389783999999988
236,9/1999,27.389783999999988
237,10/1999,27.389783999999988
238,11/1999,27.389783999999988
239,12/1999,27.389783999999988
