,Data,TempMaxPrevista
0,1/1980,29.1843185483871
1,2/1980,28.864696724137932
2,3/1980,29.683772129032256
3,4/1980,29.2496819
4,5/1980,28.311149225806453
5,6/1980,27.053227333333325
6,7/1980,26.549057419354842
7,8/1980,26.770963387096778
8,9/1980,26.875084533333332
9,10/1980,27.902070999999996
10,11/1980,28.086034966666663
11,12/1980,29.530720032258063
12,1/1981,26.567815290322574
13,2/1981,26.552776428571427
14,3/1981,26.55277638709677
15,4/1981,26.552776399999996
16,5/1981,26.55277638709677
17,6/1981,26.552776399999996
18,7/1981,26.55277638709677
19,8/1981,26.5527764516129
20,9/1981,26.552776399999996
21,10/1981,26.5527764516129
22,11/1981,26.552776399999996
23,12/1981,26.55277638709677
24,1/1982,26.55277638709677
25,2/1982,26.552776428571427
26,3/1982,26.55277638709677
27,4/1982,26.552776399999996
28,5/1982,26.55277638709677
29,6/1982,26.552776399999996
30,7/1982,26.55277638709677
31,8/1982,26.55277638709677
32,9/1982,26.552776399999996
33,10/1982,26.55277638709677
34,11/1982,26.552776399999996
35,12/1982,26.55277638709677
36,1/1983,26.55277638709677
37,2/1983,26.552776428571427
38,3/1983,26.55277638709677
39,4/1983,26.552776399999996
40,5/1983,26.55277638709677
41,6/1983,26.552776399999996
42,7/1983,26.55277638709677
43,8/1983,26.5527764516129
44,9/1983,26.552776399999996
45,10/1983,26.5527764516129
46,11/1983,26.552776399999996
47,12/1983,26.55277638709677
48,1/1984,26.55277638709677
49,2/1984,26.5527764137931
50,3/1984,26.55277638709677
51,4/1984,26.552776399999996
52,5/1984,26.55277638709677
53,6/1984,26.552776399999996
54,7/1984,26.55277638709677
55,8/1984,26.55277638709677
56,9/1984,26.552776399999996
57,10/1984,26.55277638709677
58,11/1984,26.552776399999996
59,12/1984,26.55277638709677
60,1/1985,26.55277638709677
61,2/1985,26.552776428571427
62,3/1985,26.55277638709677
63,4/1985,26.552776399999996
64,5/1985,26.55277638709677
65,6/1985,26.552776399999996
66,7/1985,26.5527764516129
67,8/1985,26.5527764516129
68,9/1985,26.552776399999996
69,10/1985,26.55277638709677
70,11/1985,26.552776399999996
71,12/1985,26.55277638709677
72,1/1986,30.430906548387103
73,2/1986,31.280566964285715
74,3/1986,30.217004870967745
75,4/1986,29.850043966666668
76,5/1986,28.839745774193542
77,6/1986,26.552776399999996
78,7/1986,26.20215296774194
79,8/1986,26.666790322580646
80,9/1986,26.552776399999996
81,10/1986,27.664711290322572
82,11/1986,26.552776399999996
83,12/1986,29.703997129032256
84,1/1987,30.352781580645164
85,2/1987,30.581285928571425
86,3/1987,30.033836967741937
87,4/1987,30.273015633333333
88,5/1987,29.359748612903225
89,6/1987,28.390579166666665
90,7/1987,27.667429903225806
91,8/1987,27.73188329032258
92,9/1987,28.506459533333334
93,10/1987,30.23017438709677
94,11/1987,29.765087800000003
95,12/1987,30.823682580645162
96,1/1988,31.182154064516126
97,2/1988,26.5527764137931
98,3/1988,30.673026903225814
99,4/1988,30.535847633333333
100,5/1988,29.79705819354839
101,6/1988,27.925181466666665
102,7/1988,26.55277638709677
103,8/1988,25.831748548387093
104,9/1988,27.430108833333335
105,10/1988,29.28741680645162
106,11/1988,29.301231800000004
107,12/1988,29.155196935483872
108,1/1989,30.266407161290324
109,2/1989,26.552776357142854
110,3/1989,30.339208677419357
111,4/1989,26.552776399999996
112,5/1989,26.5527764516129
113,6/1989,26.552776399999996
114,7/1989,26.5527764516129
115,8/1989,26.55277638709677
116,9/1989,26.552776399999996
117,10/1989,26.55277638709677
118,11/1989,26.552776399999996
119,12/1989,26.55277638709677
120,1/1990,29.99794335483871
121,2/1990,30.541264357142854
122,3/1990,30.631826967741933
123,4/1990,30.10879683333334
124,5/1990,28.999037225806447
125,6/1990,27.544195000000002
126,7/1990,26.926913903225806
127,8/1990,26.55277638709677
128,9/1990,26.552776399999996
129,10/1990,26.55277638709677
130,11/1990,26.552776399999996
131,12/1990,26.55277638709677
132,1/1991,29.516898967741934
133,2/1991,29.97931839285714
134,3/1991,29.753278612903227
135,4/1991,28.217630933333336
136,5/1991,27.68860599999999
137,6/1991,27.150232866666663
138,7/1991,26.540806290322582
139,8/1991,25.88094877419355
140,9/1991,27.026035800000006
141,10/1991,28.60049132258065
142,11/1991,28.768138833333335
143,12/1991,29.73901432258065
144,1/1992,29.55445303225807
145,2/1992,28.373737931034476
146,3/1992,29.860647967741937
147,4/1992,29.584085866666666
148,5/1992,29.125404000000007
149,6/1992,27.146271033333328
150,7/1992,26.23603012903226
151,8/1992,26.434111483870968
152,9/1992,26.937807033333332
153,10/1992,28.522951741935483
154,11/1992,28.28097366666667
155,12/1992,28.762253580645158
156,1/1993,30.086826516129037
157,2/1993,30.996180892857144
158,3/1993,31.16614019354839
159,4/1993,30.052583333333338
160,5/1993,28.150064806451613
161,6/1993,27.039056500000004
162,7/1993,27.329017483870963
163,8/1993,26.611680645161293
164,9/1993,27.605944366666662
165,10/1993,28.344175258064514
166,11/1993,29.669801933333336
167,12/1993,30.806838322580646
168,1/1994,31.58817025806452
169,2/1994,31.140497571428565
170,3/1994,30.771343580645162
171,4/1994,29.4086261
172,5/1994,28.829309032258067
173,6/1994,27.46912473333334
174,7/1994,26.94402661290323
175,8/1994,26.351879419354844
176,9/1994,27.21571946666667
177,10/1994,27.995809548387093
178,11/1994,29.186059233333328
179,12/1994,30.239134193548388
180,1/1995,30.916308709677416
181,2/1995,31.280064964285714
182,3/1995,31.148369935483874
183,4/1995,29.688990533333335
184,5/1995,28.83037712903226
185,6/1995,27.19665573333334
186,7/1995,27.138212935483875
187,8/1995,26.984798838709672
188,9/1995,27.68586363333333
189,10/1995,28.973118806451616
190,11/1995,28.752155566666666
191,12/1995,29.673438967741944
192,1/1996,31.007841612903228
193,2/1996,30.937075896551725
194,3/1996,31.618183741935482
195,4/1996,29.21579783333333
196,5/1996,27.89005448387097
197,6/1996,26.874564700000008
198,7/1996,26.30500980645161
199,8/1996,26.3488093548387
200,9/1996,27.16344756666666
201,10/1996,28.816552741935478
202,11/1996,28.747772866666672
203,12/1996,30.05357164516129
204,1/1997,30.441423903225797
205,2/1997,29.02055639285715
206,3/1997,28.86617500000001
207,4/1997,28.714991966666666
208,5/1997,27.44948861290323
209,6/1997,27.1872199
210,7/1997,26.490610161290324
211,8/1997,26.36485958064516
212,9/1997,28.14101396666667
213,10/1997,28.934920612903216
214,11/1997,30.1436995
215,12/1997,31.317835129032254
216,1/1998,31.590914709677424
217,2/1998,31.869126035714288
218,3/1998,31.710152129032263
219,4/1998,30.8393992
220,5/1998,29.288545096774193
221,6/1998,27.15528776666667
222,7/1998,26.824653516129032
223,8/1998,27.290649709677414
224,9/1998,28.256220699999997
225,10/1998,29.35451164516129
226,11/1998,30.121622966666664
227,12/1998,30.34796206451613
228,1/1999,30.61740822580645
229,2/1999,30.944346214285712
230,3/1999,30.82951680645161
231,4/1999,29.435483099999992
232,5/1999,27.876940387096774
233,6/1999,27.359699999999997
234,7/1999,26.922938451612897
235,8/1999,26.287363419354836
236,9/1999,27.1243168
237,10/1999,27.571025677419346
238,11/1999,28.22485313333334
239,12/1999,29.46866574193549
240,1/2000,30.136293322580645
241,2/2000,30.8101805862069
242,3/2000,30.025702870967734
243,4/2000,28.983622266666664
244,5/2000,28.263533161290326
245,6/2000,27.041316166666665
