,Data,TempMaxPrevista
0,1/1980,30.91470716129033
1,2/1980,29.045812827586214
2,3/1980,29.693154
3,4/1980,29.847296566666678
4,5/1980,31.071616870967738
5,6/1980,30.722689733333336
6,7/1980,30.826700483870965
7,8/1980,31.081822838709673
8,9/1980,31.346851299999994
9,10/1980,31.58253738709677
10,11/1980,31.302789699999995
11,12/1980,31.243665612903214
12,1/1981,30.868897419354845
13,2/1981,30.819364571428576
14,3/1981,30.05751364516129
15,4/1981,30.90302826666666
16,5/1981,30.123240999999997
17,6/1981,30.890563733333337
18,7/1981,30.674944645161297
19,8/1981,30.80577496774194
20,9/1981,31.234770000000005
21,10/1981,31.551222548387088
22,11/1981,31.954570633333336
23,12/1981,31.460713322580645
24,1/1982,30.32798061290323
25,2/1982,29.41022467857143
26,3/1982,30.2988040967742
27,4/1982,30.033976166666665
28,5/1982,31.252753129032264
29,6/1982,30.884706300000005
30,7/1982,30.54185561290322
31,8/1982,30.770915096774186
32,9/1982,30.91138366666666
33,10/1982,31.015585387096774
34,11/1982,31.39969506666666
35,12/1982,31.63212625806451
36,1/1983,31.783006935483872
37,2/1983,30.908521142857147
38,3/1983,31.119797774193554
39,4/1983,31.258233133333338
40,5/1983,31.84109641935484
41,6/1983,31.769394466666657
42,7/1983,31.688369032258066
43,8/1983,31.759297419354844
44,9/1983,31.899998533333335
45,10/1983,31.77088493548387
46,11/1983,31.97914193333333
47,12/1983,31.778617225806453
48,1/1984,30.20050422580646
49,2/1984,29.992354482758625
50,3/1984,29.509746419354848
51,4/1984,29.618143733333334
52,5/1984,29.457610516129037
53,6/1984,30.803838833333334
54,7/1984,30.605810838709672
55,8/1984,31.236889612903234
56,9/1984,31.1855349
57,10/1984,31.32874016129032
58,11/1984,31.741948166666663
59,12/1984,31.608123322580642
60,1/1985,29.411198677419364
61,2/1985,28.99398907142857
62,3/1985,29.123062838709675
63,4/1985,29.0503068
64,5/1985,29.627141064516127
65,6/1985,30.236038200000003
66,7/1985,30.32935616129032
67,8/1985,31.071989580645162
68,9/1985,31.358544933333334
69,10/1985,31.41636322580646
70,11/1985,31.402671066666663
71,12/1985,29.95747867741935
72,1/1986,30.408704774193545
73,2/1986,29.324646214285714
74,3/1986,28.80938819354839
75,4/1986,29.235165700000007
76,5/1986,30.793535451612904
77,6/1986,30.3900526
78,7/1986,30.451056645161287
79,8/1986,30.59771554838711
80,9/1986,30.968867866666667
81,10/1986,30.8946735483871
82,11/1986,31.547871066666666
83,12/1986,31.276209258064515
84,1/1987,30.926809999999996
85,2/1987,30.62470503571429
86,3/1987,29.425007903225808
87,4/1987,31.258446866666663
88,5/1987,31.39133480645161
89,6/1987,30.553510466666673
90,7/1987,31.18647580645161
91,8/1987,31.023973516129036
92,9/1987,31.275301400000004
93,10/1987,31.258380516129034
94,11/1987,31.75194553333332
95,12/1987,32.11413387096774
96,1/1988,30.60217467741935
97,2/1988,30.254815999999995
98,3/1988,29.967552129032256
99,4/1988,29.92266003333334
100,5/1988,30.26985829032258
101,6/1988,30.790395000000004
102,7/1988,30.53085970967742
103,8/1988,31.100770483870974
104,9/1988,31.195627900000012
105,10/1988,31.33189435483871
106,11/1988,31.432284266666663
107,12/1988,30.725835322580647
108,1/1989,30.45732854838709
109,2/1989,30.11722775000001
