,Data,TempMaxPrevista
0,1/1980,26.530393161290323
1,2/1980,27.355971482758626
2,3/1980,29.343652258064516
3,4/1980,25.201011633333334
4,5/1980,24.948983483870965
5,6/1980,21.094246233333333
6,7/1980,22.19304135483871
7,8/1980,22.584328967741936
8,9/1980,21.027279400000005
9,10/1980,25.48309596774194
10,11/1980,25.3715171
11,12/1980,24.583556225806447
12,1/1981,24.07004754838709
13,2/1981,29.334444928571433
14,3/1981,27.027745774193544
15,4/1981,24.421302066666666
16,5/1981,24.053831741935475
17,6/1981,21.034129999999998
18,7/1981,19.579970161290326
19,8/1981,22.291825483870966
20,9/1981,24.98474576666667
21,10/1981,22.479756774193554
22,11/1981,26.1811962
23,12/1981,26.17994638709677
24,1/1982,24.896272129032255
25,2/1982,24.060400178571427
26,3/1982,23.401503387096778
27,4/1982,22.911257433333333
28,5/1982,22.080802129032257
29,6/1982,23.108171799999997
30,7/1982,22.57081103225806
31,8/1982,23.57280470967742
32,9/1982,23.268415899999994
33,10/1982,24.595365322580644
34,11/1982,26.93964493333333
35,12/1982,24.685691870967737
36,1/1983,25.453859064516127
37,2/1983,25.25957500000001
38,3/1983,25.259575000000012
39,4/1983,25.25957500000001
40,5/1983,25.259575000000012
41,6/1983,25.25957500000001
42,7/1983,25.259575000000012
43,8/1983,25.259575000000012
44,9/1983,25.25957500000001
45,10/1983,25.259575000000012
46,11/1983,25.25957500000001
47,12/1983,24.112041580645162
48,1/1984,29.775399516129035
49,2/1984,30.94074155172413
50,3/1984,27.233791225806453
51,4/1984,24.511836333333335
52,5/1984,25.84486009677419
53,6/1984,23.763207033333334
54,7/1984,22.86716370967742
55,8/1984,20.77520003225807
56,9/1984,23.0030174
57,10/1984,26.22484438709677
58,11/1984,26.306450266666662
59,12/1984,25.84611796774194
60,1/1985,25.402432
61,2/1985,28.435772035714276
62,3/1985,27.64891180645161
63,4/1985,26.516789666666668
64,5/1985,23.212389290322577
65,6/1985,20.77341206666667
66,7/1985,21.144265548387096
67,8/1985,24.149265096774197
68,9/1985,22.758160800000002
69,10/1985,26.091081354838707
70,11/1985,27.103760000000005
71,12/1985,27.72983141935484
72,1/1986,29.733141612903225
73,2/1986,27.91391817857144
74,3/1986,27.384088483870975
75,4/1986,26.85292653333334
76,5/1986,24.51372787096774
77,6/1986,22.702541500000002
78,7/1986,20.8572074516129
79,8/1986,22.828726935483875
80,9/1986,23.117701200000006
81,10/1986,25.391512774193558
82,11/1986,27.700328233333334
83,12/1986,26.425616387096767
84,1/1987,28.74792770967742
85,2/1987,28.196722249999997
86,3/1987,27.841521774193556
87,4/1987,27.06112506666667
88,5/1987,22.45988883870968
89,6/1987,20.998720049999996
90,7/1987,24.255182870967744
91,8/1987,22.28413953225806
92,9/1987,22.011909766666676
93,10/1987,25.33751387096774
94,11/1987,27.02312943333334
95,12/1987,27.888818806451614
96,1/1988,29.584809000000003
97,2/1988,26.371012206896552
98,3/1988,28.14916861290322
99,4/1988,25.07418443333334
100,5/1988,22.20634922580645
101,6/1988,20.893118633333334
102,7/1988,18.677508112903226
103,8/1988,23.49687532258065
104,9/1988,24.901242433333344
105,10/1988,23.825944483870966
106,11/1988,25.162478933333333
107,12/1988,27.3318649032258
108,1/1989,27.86332616129032
109,2/1989,28.026984142857145
110,3/1989,27.405129548387087
111,4/1989,27.035672633333327
112,5/1989,22.534798064516128
113,6/1989,20.992248133333337
114,7/1989,20.20804958064516
115,8/1989,22.52803806451613
116,9/1989,22.845619966666668
117,10/1989,23.05027829032258
118,11/1989,25.672385166666665
119,12/1989,26.708157
120,1/1990,29.523812677419347
121,2/1990,28.84752864285714
122,3/1990,28.768276935483875
123,4/1990,28.654119866666672
124,5/1990,22.82858725806452
125,6/1990,21.647971999999996
126,7/1990,20.185869403225805
127,8/1990,21.21077103225807
128,9/1990,22.22964666666667
129,10/1990,26.46433329032258
130,11/1990,28.673656833333325
131,12/1990,27.637633645161287
132,1/1991,27.384521870967742
133,2/1991,27.253775999999995
134,3/1991,25.60186487096773
135,4/1991,25.653958233333334
136,5/1991,24.119533645161283
137,6/1991,22.807676899999997
138,7/1991,23.41248709677419
139,8/1991,23.13871725806452
140,9/1991,22.886108716666676
141,10/1991,25.606357064516132
142,11/1991,27.143294333333333
143,12/1991,28.481026709677412
144,1/1992,27.981597129032256
145,2/1992,28.841031034482754
146,3/1992,27.80388883870967
147,4/1992,25.998229499999997
148,5/1992,24.446578580645163
149,6/1992,24.226623233333328
150,7/1992,20.99126874193548
151,8/1992,20.970580290322584
152,9/1992,21.786223766666662
153,10/1992,25.01654567741936
154,11/1992,25.730561133333328
155,12/1992,26.79717480645162
156,1/1993,28.82653248387097
157,2/1993,27.413223750000004
158,3/1993,28.119503354838702
159,4/1993,26.869550266666657
160,5/1993,23.898904000000005
161,6/1993,22.035784816666663
162,7/1993,23.403053774193545
163,8/1993,22.31454974193549
164,9/1993,22.371806366666664
165,10/1993,26.92133658064516
166,11/1993,28.992702833333333
167,12/1993,27.957297387096776
168,1/1994,27.87531309677419
169,2/1994,30.67099417857143
170,3/1994,27.48147441935484
171,4/1994,26.010364133333333
172,5/1994,25.520048161290322
173,6/1994,22.3100675
174,7/1994,24.128492451612907
175,8/1994,23.141139935483874
176,9/1994,25.786058633333333
177,10/1994,26.833388
178,11/1994,27.51374743333333
179,12/1994,29.24125535483871
180,1/1995,29.606804967741933
181,2/1995,27.60982285714286
182,3/1995,27.346037290322585
183,4/1995,26.040744733333337
184,5/1995,23.17724412903226
185,6/1995,22.738772900000004
186,7/1995,24.097942967741933
187,8/1995,26.43207558064516
188,9/1995,24.077388133333326
189,10/1995,23.804113322580644
190,11/1995,26.624563000000002
191,12/1995,27.362672064516126
192,1/1996,29.292831516129027
193,2/1996,28.806440344827585
194,3/1996,27.355724935483874
195,4/1996,26.53354586666666
196,5/1996,22.71442435483871
197,6/1996,22.116653399999993
198,7/1996,19.82906574193548
199,8/1996,22.321559903225804
200,9/1996,22.571736799999993
201,10/1996,25.609311258064512
202,11/1996,26.005074299999997
203,12/1996,28.603825903225804
204,1/1997,27.887169225806456
205,2/1997,29.298914535714278
206,3/1997,27.118241064516134
207,4/1997,25.950079833333334
208,5/1997,22.862053967741936
209,6/1997,21.68972006666667
210,7/1997,24.082369129032255
211,8/1997,24.490032612903228
212,9/1997,25.202651866666663
213,10/1997,25.822580548387098
214,11/1997,27.85669463333333
215,12/1997,30.111363806451614
216,1/1998,30.516262193548393
217,2/1998,29.402299821428567
218,3/1998,28.606363548387087
219,4/1998,26.7737116
220,5/1998,22.95762103225806
221,6/1998,21.39240580000001
222,7/1998,22.172024129032263
223,8/1998,25.44429232258064
