,Data,TempMaxPrevista
0,1/1980,32.36495983870969
1,2/1980,30.93657131034483
2,3/1980,32.80834167741936
3,4/1980,33.2017967
4,5/1980,33.78509606451613
5,6/1980,34.12879443333332
6,7/1980,34.81396170967743
7,8/1980,35.11219896774194
8,9/1980,34.66693483333334
9,10/1980,34.847390000000004
10,11/1980,33.76058676666667
11,12/1980,33.079644290322584
12,1/1981,32.170051290322576
13,2/1981,33.06182117857143
14,3/1981,32.56281270967742
15,4/1981,33.33824946666667
16,5/1981,33.24362948387097
17,6/1981,34.120575699999996
18,7/1981,34.66513358064516
19,8/1981,35.49005616129032
20,9/1981,36.27913046666666
21,10/1981,36.25358038709677
22,11/1981,36.34042626666666
23,12/1981,34.83469461290322
24,1/1982,32.52674577419355
25,2/1982,31.58414114285714
26,3/1982,32.43716119354838
27,4/1982,31.89926233333334
28,5/1982,32.728423387096775
29,6/1982,33.224976133333335
30,7/1982,34.35655448387097
31,8/1982,35.57290351612904
32,9/1982,36.60985293333333
33,10/1982,35.72146483870967
34,11/1982,36.01371836666667
35,12/1982,36.217039387096776
36,1/1983,33.83294448387097
37,2/1983,32.58309735714286
38,3/1983,33.18370809677419
39,4/1983,33.645439700000004
40,5/1983,34.242754838709686
41,6/1983,34.907604299999996
42,7/1983,35.097646258064515
43,8/1983,35.25881432258065
44,9/1983,35.266207833333326
45,10/1983,35.30811483870968
46,11/1983,34.885592966666664
47,12/1983,33.89109348387096
48,1/1984,32.39254632258064
49,2/1984,32.51222903448276
50,3/1984,31.984366129032267
51,4/1984,32.1955348
52,5/1984,33.533613225806455
53,6/1984,34.4466946
54,7/1984,34.83436167741935
55,8/1984,34.794389258064506
56,9/1984,34.667532933333334
57,10/1984,34.81456916129032
58,11/1984,34.7951508
59,12/1984,34.401286000000006
60,1/1985,34.026565999999995
61,2/1985,34.026565999999995
62,3/1985,34.026565999999995
63,4/1985,34.026565999999995
64,5/1985,34.026565999999995
65,6/1985,34.026565999999995
66,7/1985,34.026565999999995
67,8/1985,34.026565999999995
68,9/1985,34.026565999999995
69,10/1985,34.026565999999995
70,11/1985,34.026565999999995
71,12/1985,34.026565999999995
72,1/1986,34.026565999999995
73,2/1986,34.026565999999995
74,3/1986,34.026565999999995
75,4/1986,34.026565999999995
76,5/1986,34.026565999999995
77,6/1986,34.026565999999995
78,7/1986,34.026565999999995
79,8/1986,34.026565999999995
80,9/1986,34.026565999999995
81,10/1986,34.026565999999995
82,11/1986,34.026565999999995
83,12/1986,34.026565999999995
84,1/1987,34.026565999999995
85,2/1987,34.026565999999995
86,3/1987,34.026565999999995
87,4/1987,34.026565999999995
88,5/1987,34.026565999999995
89,6/1987,34.026565999999995
90,7/1987,34.026565999999995
91,8/1987,34.026565999999995
92,9/1987,34.026565999999995
93,10/1987,34.026565999999995
94,11/1987,34.026565999999995
95,12/1987,34.026565999999995
96,1/1988,34.026565999999995
97,2/1988,34.026565999999995
98,3/1988,34.026565999999995
99,4/1988,34.026565999999995
100,5/1988,34.026565999999995
101,6/1988,34.026565999999995
102,7/1988,34.026565999999995
103,8/1988,34.026565999999995
104,9/1988,34.026565999999995
105,10/1988,34.026565999999995
106,11/1988,34.026565999999995
107,12/1988,34.026565999999995
108,1/1989,34.026565999999995
109,2/1989,34.026565999999995
110,3/1989,34.026565999999995
111,4/1989,34.026565999999995
112,5/1989,34.026565999999995
113,6/1989,34.026565999999995
114,7/1989,34.026565999999995
115,8/1989,34.026565999999995
116,9/1989,34.026565999999995
117,10/1989,34.026565999999995
118,11/1989,34.026565999999995
119,12/1989,34.026565999999995
120,1/1990,32.64553516129031
121,2/1990,33.92050864285714
122,3/1990,34.026565999999995
123,4/1990,34.026565999999995
124,5/1990,34.026565999999995
125,6/1990,34.026565999999995
126,7/1990,34.026565999999995
127,8/1990,34.026565999999995
128,9/1990,34.026565999999995
129,10/1990,34.026565999999995
130,11/1990,34.026565999999995
131,12/1990,34.026565999999995
132,1/1991,34.026565999999995
133,2/1991,34.026565999999995
134,3/1991,34.026565999999995
135,4/1991,34.026565999999995
136,5/1991,34.026565999999995
137,6/1991,34.026565999999995
138,7/1991,34.026565999999995
139,8/1991,34.026565999999995
140,9/1991,34.026565999999995
141,10/1991,34.026565999999995
142,11/1991,34.026565999999995
143,12/1991,34.026565999999995
144,1/1992,34.026565999999995
145,2/1992,34.026565999999995
146,3/1992,34.026565999999995
147,4/1992,34.026565999999995
148,5/1992,34.026565999999995
149,6/1992,34.026565999999995
150,7/1992,34.026565999999995
151,8/1992,34.026565999999995
152,9/1992,34.026565999999995
153,10/1992,34.026565999999995
154,11/1992,34.026565999999995
155,12/1992,34.026565999999995
156,1/1993,34.026565999999995
157,2/1993,33.053019107142866
158,3/1993,34.06340587096774
159,4/1993,32.101433966666654
160,5/1993,34.06340587096774
161,6/1993,33.90674636666667
162,7/1993,34.09922296774193
163,8/1993,36.31759180645161
164,9/1993,36.11953713333333
165,10/1993,36.503238322580636
166,11/1993,36.23540619999999
167,12/1993,34.56570090322581
168,1/1994,31.660776032258067
169,2/1994,31.480816178571434
170,3/1994,31.283112580645167
171,4/1994,31.323868899999997
172,5/1994,34.06093838709677
173,6/1994,32.145953633333335
174,7/1994,34.06340587096774
175,8/1994,34.026565999999995
