,Data,TempMaxPrevista
0,1/1980,29.415305258064517
1,2/1980,29.797501137931032
2,3/1980,29.995788064516134
3,4/1980,28.47054733333333
4,5/1980,28.297825
5,6/1980,26.721570433333337
6,7/1980,27.535308032258058
7,8/1980,27.04801270967742
8,9/1980,27.490979466666666
9,10/1980,28.217113548387093
10,11/1980,28.062762666666668
11,12/1980,29.22236580645162
12,1/1981,30.215791387096765
13,2/1981,29.892172499999997
14,3/1981,29.554253258064506
15,4/1981,27.99207163333334
16,5/1981,27.08875577419355
17,6/1981,26.350935533333335
18,7/1981,26.609395290322574
19,8/1981,26.559846935483872
20,9/1981,27.61332186666666
21,10/1981,27.146131580645164
22,11/1981,28.070625099999997
23,12/1981,29.56007148387097
24,1/1982,28.74905129032258
25,2/1982,30.234904857142855
26,3/1982,27.72081522580645
27,4/1982,27.591768599999998
28,5/1982,26.6043424516129
29,6/1982,27.275605066666667
30,7/1982,26.237891032258062
31,8/1982,27.492302032258074
32,9/1982,27.60126816666666
33,10/1982,27.70246435483871
34,11/1982,27.775341700000006
35,12/1982,27.592220387096766
36,1/1983,27.249462193548386
37,2/1983,27.463482678571427
38,3/1983,27.624244032258066
39,4/1983,27.472470333333334
40,5/1983,27.55422622580645
41,6/1983,27.637316500000004
42,7/1983,27.567737
43,8/1983,27.71694274193548
44,9/1983,27.083395200000002
45,10/1983,27.29251077419355
46,11/1983,27.30442113333333
47,12/1983,27.35091861290323
48,1/1984,28.03941451612903
49,2/1984,28.038322827586203
50,3/1984,28.038322774193542
51,4/1984,28.038322799999996
52,5/1984,28.038322774193542
53,6/1984,28.038322799999996
54,7/1984,28.038322774193542
55,8/1984,28.038322774193542
56,9/1984,28.038322799999996
57,10/1984,28.038322774193542
58,11/1984,28.038322799999996
59,12/1984,28.038322774193542
60,1/1985,28.038322774193542
61,2/1985,28.03832285714285
62,3/1985,28.038322774193542
63,4/1985,28.038322799999996
64,5/1985,28.038322774193542
65,6/1985,28.038322799999996
66,7/1985,28.0383229032258
67,8/1985,28.0383229032258
68,9/1985,28.038322799999996
69,10/1985,28.038322774193542
70,11/1985,28.038322799999996
71,12/1985,28.038322774193542
72,1/1986,28.4838280967742
73,2/1986,27.709714642857136
74,3/1986,28.038322774193542
75,4/1986,28.423956699999994
76,5/1986,28.038322774193542
77,6/1986,28.424360733333334
78,7/1986,28.18320467741935
79,8/1986,28.43325032258064
80,9/1986,28.277099433333326
81,10/1986,27.97944812903226
82,11/1986,28.437626099999996
83,12/1986,27.538112322580645
84,1/1987,28.409088322580637
85,2/1987,28.829784571428572
86,3/1987,28.22328854838709
87,4/1987,28.624705099999996
88,5/1987,28.10924554838709
89,6/1987,28.058263600000007
90,7/1987,28.407335064516136
91,8/1987,28.331110645161285
92,9/1987,28.038322799999996
93,10/1987,27.970134999999992
94,11/1987,27.597117833333343
95,12/1987,27.5767234516129
96,1/1988,28.26396416129032
97,2/1988,28.579005965517243
98,3/1988,28.249564032258057
99,4/1988,28.027443533333336
100,5/1988,28.411073935483873
101,6/1988,27.989536266666672
102,7/1988,28.10281067741936
103,8/1988,27.961972741935476
104,9/1988,27.930126733333335
105,10/1988,27.25691399999999
106,11/1988,27.3852821
107,12/1988,27.937000903225808
108,1/1989,28.56998819354839
109,2/1989,28.769308642857148
110,3/1989,28.449354709677422
111,4/1989,28.802765799999996
112,5/1989,28.130309322580636
113,6/1989,27.798932499999996
114,7/1989,28.429047322580647
115,8/1989,27.77736212903226
116,9/1989,27.889294600000007
117,10/1989,27.325417774193543
118,11/1989,27.054246366666668
119,12/1989,27.622550838709675
120,1/1990,31.904759000000002
121,2/1990,32.082134499999995
122,3/1990,32.3526226451613
123,4/1990,31.535693466666668
124,5/1990,27.796804870967744
125,6/1990,26.985625533333334
126,7/1990,28.038322774193542
127,8/1990,28.038322774193542
128,9/1990,28.038322799999996
129,10/1990,28.306532064516126
130,11/1990,29.062912133333334
131,12/1990,28.824591064516127
132,1/1991,28.693710935483864
133,2/1991,29.273731464285714
134,3/1991,29.62660583870968
135,4/1991,29.45935619999999
136,5/1991,27.51997377419355
137,6/1991,27.0958278
138,7/1991,25.37284358064516
139,8/1991,26.060784161290325
140,9/1991,25.423644466666666
141,10/1991,27.219058129032256
142,11/1991,28.32262980000001
143,12/1991,30.66148929032258
144,1/1992,28.038322774193542
145,2/1992,28.700825758620688
146,3/1992,28.038322774193542
147,4/1992,28.368931433333334
148,5/1992,28.36026177419355
149,6/1992,27.4269929
150,7/1992,25.802291967741933
151,8/1992,25.37811064516129
152,9/1992,25.64594820000001
153,10/1992,27.30786832258065
154,11/1992,28.107849833333333
155,12/1992,28.705357129032258
156,1/1993,31.584123193548386
157,2/1993,32.26278153571429
158,3/1993,32.69590341935484
159,4/1993,30.339585233333327
160,5/1993,27.789949322580647
161,6/1993,25.977306566666666
162,7/1993,26.78865629032258
163,8/1993,25.93893403225806
164,9/1993,27.788326733333335
165,10/1993,28.437755677419354
166,11/1993,30.301382766666663
167,12/1993,30.292360161290322
168,1/1994,31.026799225806446
169,2/1994,32.54171932142858
170,3/1994,30.265100354838708
171,4/1994,29.036335933333326
172,5/1994,29.167672516129024
173,6/1994,27.100484466666664
