,Data,TempMinPrevista
0,1/1980,16.94381019354838
1,2/1980,16.943810206896543
2,3/1980,16.94381019354838
3,4/1980,16.94381019999999
4,5/1980,16.94381019354838
5,6/1980,16.943810199999987
6,7/1980,16.943810193548376
7,8/1980,16.943810193548376
8,9/1980,16.94381019999999
9,10/1980,16.94381019354838
10,11/1980,16.94381019999999
11,12/1980,16.94381019354838
12,1/1981,16.94381019354838
13,2/1981,18.918040928571422
14,3/1981,19.609932870967743
15,4/1981,16.4535886
16,5/1981,15.195268774193545
17,6/1981,13.570894699999998
18,7/1981,12.257226532258068
19,8/1981,14.687717322580642
20,9/1981,17.404500799999997
21,10/1981,17.577857564516126
22,11/1981,18.370142399999995
23,12/1981,18.58976635483871
24,1/1982,18.46507712903226
25,2/1982,19.330499571428568
26,3/1982,18.92627912903226
27,4/1982,16.050192916666667
28,5/1982,14.344758354838707
29,6/1982,14.640636616666667
30,7/1982,13.642019322580644
31,8/1982,15.74723243548387
32,9/1982,16.013636233333337
33,10/1982,18.339575467741934
34,11/1982,19.982171633333333
35,12/1982,18.722563935483873
36,1/1983,19.21429429032258
37,2/1983,19.021843321428566
38,3/1983,18.722421322580644
39,4/1983,17.82253266666667
40,5/1983,16.74336151612904
41,6/1983,15.366635650000003
42,7/1983,14.071499016129033
43,8/1983,13.720168596774192
44,9/1983,17.388630366666668
45,10/1983,17.600522290322584
46,11/1983,18.362860966666666
47,12/1983,18.82746383870968
48,1/1984,16.94381019354838
49,2/1984,16.94381020689654
50,3/1984,16.94381019354838
51,4/1984,16.943810199999987
52,5/1984,16.943810193548376
53,6/1984,16.943810199999987
54,7/1984,16.943810193548376
55,8/1984,16.94381019354838
56,9/1984,16.94381019999999
57,10/1984,16.94381019354838
58,11/1984,16.94381019999999
59,12/1984,16.94381019354838
60,1/1985,16.94381019354838
61,2/1985,16.943810214285705
62,3/1985,16.94381019354838
63,4/1985,16.94381019999999
64,5/1985,16.94381019354838
65,6/1985,16.94381019999999
66,7/1985,16.943810225806445
67,8/1985,16.943810225806445
68,9/1985,16.94381019999999
69,10/1985,16.94381019354838
70,11/1985,16.94381019999999
71,12/1985,16.94381019354838
72,1/1986,19.019365999999998
73,2/1986,19.269970678571433
74,3/1986,19.487983774193545
75,4/1986,18.53283263333333
76,5/1986,17.258540129032255
77,6/1986,14.363511049999998
78,7/1986,13.997674419354837
79,8/1986,16.561219322580644
80,9/1986,16.262907966666663
81,10/1986,18.295488096774193
82,11/1986,18.67225763333333
83,12/1986,19.173990838709678
84,1/1987,16.94381019354838
85,2/1987,16.943810214285705
86,3/1987,16.94381019354838
87,4/1987,16.94381019999999
88,5/1987,16.94381019354838
89,6/1987,16.94381019999999
90,7/1987,16.943810225806445
91,8/1987,16.943810225806445
92,9/1987,16.94381019999999
93,10/1987,16.94381019354838
