,Data,TempMinPrevista
0,1/1980,22.374159741935486
1,2/1980,22.12703103448276
2,3/1980,22.035733967741937
3,4/1980,22.272401233333333
4,5/1980,22.346904548387098
5,6/1980,22.253061633333335
6,7/1980,22.021361064516135
7,8/1980,22.032139806451614
8,9/1980,22.183810066666673
9,10/1980,22.23435506451613
10,11/1980,22.49168786666667
11,12/1980,22.26746312903226
12,1/1981,22.15872474193548
13,2/1981,22.00785117857143
14,3/1981,22.363398129032255
15,4/1981,22.638905899999997
16,5/1981,22.300680967741933
17,6/1981,22.141022899999996
18,7/1981,21.818129677419357
19,8/1981,22.07751067741935
20,9/1981,21.99561656666667
21,10/1981,22.257989290322584
22,11/1981,22.608420966666667
23,12/1981,22.64773774193548
24,1/1982,22.51176064516129
25,2/1982,22.643879535714287
26,3/1982,22.750203612903228
27,4/1982,22.84136556666667
28,5/1982,22.5172770967742
29,6/1982,22.260624233333335
30,7/1982,22.006819870967746
31,8/1982,21.974473741935487
32,9/1982,22.169189766666666
33,10/1982,22.353383806451614
34,11/1982,22.47655796666667
35,12/1982,22.860818451612904
36,1/1983,22.794752838709677
37,2/1983,22.486635607142855
38,3/1983,22.63460022580645
39,4/1983,22.514091133333334
40,5/1983,22.486248064516122
41,6/1983,22.233381133333335
42,7/1983,21.80501300000001
43,8/1983,22.043652225806454
44,9/1983,22.1303196
45,10/1983,22.203778354838708
46,11/1983,22.426724700000005
47,12/1983,22.28276374193548
48,1/1984,21.86260777419355
49,2/1984,22.00446120689655
50,3/1984,22.248510161290326
51,4/1984,22.15838386666667
52,5/1984,22.02006325806452
53,6/1984,21.823938300000005
54,7/1984,21.71835051612903
55,8/1984,21.827661709677415
56,9/1984,21.863366100000004
57,10/1984,21.95856048387097
58,11/1984,22.168898400000003
59,12/1984,22.226808032258067
60,1/1985,22.128680903225813
61,2/1985,22.039760142857144
62,3/1985,22.29077135483871
63,4/1985,22.169363233333335
64,5/1985,22.02493441935484
65,6/1985,21.84367106666667
66,7/1985,21.532007967741936
67,8/1985,21.506595806451603
68,9/1985,21.872078666666663
69,10/1985,22.121203483870968
70,11/1985,22.23172243333333
71,12/1985,22.319983645161287
72,1/1986,22.098535064516135
73,2/1986,22.25403767857143
74,3/1986,22.579547096774196
75,4/1986,22.79843293333333
76,5/1986,22.565022096774197
77,6/1986,22.271033433333333
78,7/1986,21.416991516129034
79,8/1986,21.80021874193549
80,9/1986,22.460329633333334
81,10/1986,22.583865967741936
82,11/1986,22.627268500000003
83,12/1986,22.789613741935487
84,1/1987,22.898712870967735
85,2/1987,22.83539007142857
86,3/1987,23.002830677419364
87,4/1987,23.06025193333333
88,5/1987,23.116636548387095
89,6/1987,22.89940383333333
90,7/1987,22.429507709677424
91,8/1987,22.799394999999997
92,9/1987,22.9368278
93,10/1987,22.994460903225807
94,11/1987,23.066331699999996
95,12/1987,23.329038064516126
96,1/1988,23.00137025806451
97,2/1988,23.370475965517237
98,3/1988,22.643938354838713
99,4/1988,23.21346433333333
100,5/1988,23.331642000000002
101,6/1988,22.830055899999998
102,7/1988,22.589715032258063
103,8/1988,23.059350645161288
104,9/1988,22.670452800000003
105,10/1988,22.968030387096775
106,11/1988,22.965681933333336
107,12/1988,22.614069
108,1/1989,22.29602364516129
109,2/1989,22.550971142857147
110,3/1989,22.241878064516126
111,4/1989,22.89357523333333
112,5/1989,22.43557574193548
113,6/1989,22.499684100000003
114,7/1989,22.184141677419362
115,8/1989,22.20340677419355
116,9/1989,22.336458299999993
117,10/1989,22.543206548387094
118,11/1989,22.7717844
119,12/1989,23.015128774193546
120,1/1990,22.704908225806456
121,2/1990,22.77494096428572
122,3/1990,22.85159361290322
123,4/1990,23.21271763333333
124,5/1990,22.745305516129033
125,6/1990,22.597688366666667
126,7/1990,22.202603774193552
127,8/1990,22.178717967741935
128,9/1990,22.274164733333333
129,10/1990,22.49363858064516
130,11/1990,22.718308433333334
131,12/1990,22.925347064516128
132,1/1991,22.745331354838715
133,2/1991,22.92885032142857
134,3/1991,22.824181774193555
135,4/1991,22.87686456666667
136,5/1991,22.906539483870965
137,6/1991,22.8529213
138,7/1991,22.32285341935484
139,8/1991,21.955873161290324
140,9/1991,21.9337492
141,10/1991,22.105534709677418
142,11/1991,22.292522200000004
143,12/1991,22.505614225806454
144,1/1992,22.92597816129032
145,2/1992,22.649514344827583
146,3/1992,22.924836677419357
147,4/1992,22.944834633333333
148,5/1992,22.896100967741937
149,6/1992,22.438261233333336
150,7/1992,21.992987096774193
151,8/1992,22.120007
152,9/1992,22.02345813333334
153,10/1992,21.85117403225806
154,11/1992,22.2683269
155,12/1992,22.473270838709684
156,1/1993,22.468705935483868
157,2/1993,22.74941178571429
158,3/1993,22.707082258064514
159,4/1993,22.989288000000002
160,5/1993,22.91457806451612
161,6/1993,22.573910433333342
162,7/1993,22.225383225806453
163,8/1993,22.299944838709674
164,9/1993,22.35164513333333
165,10/1993,22.68967877419355
166,11/1993,23.399665433333332
167,12/1993,23.402869161290326
168,1/1994,23.211204741935486
169,2/1994,23.07001782142857
170,3/1994,22.910488870967743
171,4/1994,23.12128663333333
172,5/1994,23.155000419354835
173,6/1994,22.6522157
174,7/1994,22.438053741935484
175,8/1994,22.384227096774193
176,9/1994,22.704814699999996
177,10/1994,22.81296825806451
178,11/1994,22.982384700000008
179,12/1994,23.045084354838703
180,1/1995,23.18824374193549
181,2/1995,23.14090560714285
182,3/1995,23.301581193548387
183,4/1995,23.4341333
184,5/1995,23.107778225806452
185,6/1995,23.178140733333336
186,7/1995,22.48947067741936
187,8/1995,22.75232232258065
188,9/1995,22.70591876666667
189,10/1995,22.80827664516129
190,11/1995,23.169101700000002
191,12/1995,23.309060645161285
192,1/1996,22.93721312903226
193,2/1996,22.954969448275868
194,3/1996,23.26261187096774
195,4/1996,23.3115905
196,5/1996,23.23621767741935
197,6/1996,23.0110863
198,7/1996,22.731955709677422
199,8/1996,22.664211387096774
200,9/1996,22.889220366666674
201,10/1996,22.81160983870968
202,11/1996,23.236054066666664
203,12/1996,23.27492512903226
204,1/1997,22.86605745161291
205,2/1997,22.71389532142857
206,3/1997,23.095708741935486
207,4/1997,22.98738253333333
208,5/1997,23.04199183870968
209,6/1997,22.806869799999998
210,7/1997,22.48940877419355
211,8/1997,22.773306677419356
212,9/1997,22.610326999999998
213,10/1997,22.971163193548385
214,11/1997,23.15912296666667
215,12/1997,23.494028064516126
216,1/1998,23.695939935483874
217,2/1998,23.897740249999995
218,3/1998,23.82021277419355
219,4/1998,24.16159576666667
220,5/1998,23.955296258064514
221,6/1998,23.35045863333334
222,7/1998,23.15967258064516
223,8/1998,23.21636216129032
224,9/1998,23.230678033333337
225,10/1998,23.29382112903226
226,11/1998,23.562461233333337
227,12/1998,23.015462709677415
228,1/1999,23.13291022580645
229,2/1999,22.946489607142848
230,3/1999,23.0596315483871
231,4/1999,23.177574200000002
232,5/1999,23.131765967741934
233,6/1999,22.853277933333338
234,7/1999,22.53138338709678
235,8/1999,22.904962774193546
236,9/1999,22.9333689
237,10/1999,22.922910645161288
238,11/1999,23.19025986666667
239,12/1999,23.32361812903226
240,1/2000,22.960946193548388
241,2/2000,22.87554693103448
242,3/2000,23.07451651612903
243,4/2000,23.077543199999997
244,5/2000,23.03005583870968
