,Data,TempMinPrevista
0,1/1980,16.83083919354839
1,2/1980,17.697971517241378
2,3/1980,18.452535032258066
3,4/1980,16.545381400000004
4,5/1980,16.55740748387096
5,6/1980,16.306112149999997
6,7/1980,16.032437274193548
7,8/1980,16.80553029032258
8,9/1980,17.15778181666667
9,10/1980,17.22711390322581
10,11/1980,17.18042026666667
11,12/1980,17.51608983870968
12,1/1981,17.182819999999996
13,2/1981,17.471083321428573
14,3/1981,18.244955225806446
15,4/1981,16.532896066666662
16,5/1981,16.407205225806454
17,6/1981,16.250148149999994
18,7/1981,14.583549629032259
19,8/1981,16.000365016129035
20,9/1981,16.450011366666665
21,10/1981,17.590590774193544
22,11/1981,18.25626833333333
23,12/1981,18.377270548387095
24,1/1982,17.452789290322585
25,2/1982,18.06519957142857
26,3/1982,18.95012319354839
27,4/1982,17.44222443333333
28,5/1982,16.22710035483871
29,6/1982,15.91090133333333
30,7/1982,15.864348354838715
31,8/1982,16.171018822580642
32,9/1982,18.410732966666664
33,10/1982,17.84627548387097
34,11/1982,18.394008999999997
35,12/1982,18.010593258064514
36,1/1983,18.53604987096774
37,2/1983,19.088429892857143
38,3/1983,20.226266161290322
39,4/1983,17.222009699999997
40,5/1983,17.662885532258066
41,6/1983,15.511478333333326
42,7/1983,16.534412354838715
43,8/1983,15.544022774193552
44,9/1983,17.3431925
45,10/1983,19.16562448387097
46,11/1983,18.65151931666667
47,12/1983,17.91267037096774
48,1/1984,16.647028209677416
49,2/1984,18.035323517241377
50,3/1984,19.365360193548387
51,4/1984,19.218261783333336
52,5/1984,15.870435096774193
53,6/1984,14.457233533333332
54,7/1984,14.005906419354838
55,8/1984,15.033883693548386
56,9/1984,15.443068616666666
57,10/1984,16.73718991935484
58,11/1984,15.723942300000003
59,12/1984,16.66170519354839
60,1/1985,16.752523774193556
61,2/1985,17.573987857142853
62,3/1985,19.57758135483871
63,4/1985,18.38850766666667
64,5/1985,15.86467203225806
65,6/1985,13.596757183333333
66,7/1985,13.67508590322581
67,8/1985,14.47106719354839
68,9/1985,16.2270257
69,10/1985,17.298331612903226
70,11/1985,16.32855715
71,12/1985,15.92794312903226
72,1/1986,17.80110283870968
73,2/1986,16.876899535714283
74,3/1986,18.155178032258068
75,4/1986,18.876019433333337
76,5/1986,16.57634048387097
77,6/1986,13.758100066666666
78,7/1986,14.357371564516129
79,8/1986,15.307608435483871
80,9/1986,16.95639375
81,10/1986,17.196439983870963
82,11/1986,16.456471933333333
83,12/1986,17.15037667741935
84,1/1987,16.65696735483871
85,2/1987,18.507413714285715
86,3/1987,18.711317548387097
87,4/1987,17.182819999999996
88,5/1987,15.305368774193546
89,6/1987,15.684227333333332
90,7/1987,16.1709105
91,8/1987,16.083999548387094
92,9/1987,17.390751566666665
93,10/1987,18.65221183870968
94,11/1987,17.685959033333337
95,12/1987,17.182819999999996
96,1/1988,17.47468770967742
