,Data,TempMinPrevista
0,1/1980,22.972300064516126
1,2/1980,23.028713724137933
2,3/1980,22.554083129032257
3,4/1980,22.214558333333333
4,5/1980,20.337057193548386
5,6/1980,18.307863349999998
6,7/1980,16.679523161290327
7,8/1980,19.975357516129034
8,9/1980,20.800577133333338
9,10/1980,22.868446935483874
10,11/1980,22.535760166666666
11,12/1980,22.798448451612902
12,1/1981,22.864157129032254
13,2/1981,22.026820642857142
14,3/1981,22.85491358064516
15,4/1981,22.074616733333336
16,5/1981,20.431690516129024
17,6/1981,16.63087433333333
18,7/1981,14.449696138709678
19,8/1981,18.822952548387093
20,9/1981,20.026069366666665
21,10/1981,23.09549241935483
22,11/1981,23.510898533333332
23,12/1981,23.252201838709677
24,1/1982,23.079304967741933
25,2/1982,22.773061107142855
26,3/1982,22.78405609677419
27,4/1982,21.63661026666667
28,5/1982,19.12455841935484
29,6/1982,19.3636983
30,7/1982,18.05814267741935
31,8/1982,19.706486290322577
32,9/1982,21.46325183333333
33,10/1982,23.23336267741936
34,11/1982,22.99035443333333
35,12/1982,23.322872806451617
36,1/1983,23.820336193548385
37,2/1983,23.708889285714292
38,3/1983,22.961600935483872
39,4/1983,22.881290066666665
40,5/1983,21.592264483870967
41,6/1983,17.880210083333335
42,7/1983,17.53050709677419
43,8/1983,16.945076887096775
44,9/1983,20.6453217
45,10/1983,21.808040806451615
46,11/1983,22.25603136666666
47,12/1983,22.874162612903223
48,1/1984,23.097701419354838
49,2/1984,22.260007413793105
50,3/1984,22.968488451612902
51,4/1984,21.70544946666666
52,5/1984,20.797267096774195
53,6/1984,16.71500126666667
54,7/1984,17.116819096774194
55,8/1984,17.014583967741938
56,9/1984,19.88779745
57,10/1984,23.19546629032258
58,11/1984,23.139451933333326
59,12/1984,22.989516193548386
60,1/1985,23.02398748387097
61,2/1985,23.091611178571434
62,3/1985,23.38715609677419
63,4/1985,22.6175581
64,5/1985,21.357362838709676
65,6/1985,15.527472673333333
66,7/1985,16.2313265483871
67,8/1985,18.43482887096774
68,9/1985,21.632878533333333
69,10/1985,22.814268935483877
70,11/1985,23.04539253333333
71,12/1985,23.640109967741935
72,1/1986,22.8640173548387
73,2/1986,22.472462392857143
74,3/1986,22.26816416129032
75,4/1986,22.283648900000003
76,5/1986,21.043024709677415
77,6/1986,16.28976675
78,7/1986,16.910027483870966
79,8/1986,20.569532806451615
80,9/1986,19.591164433333336
81,10/1986,21.07513025806452
82,11/1986,23.190381000000002
83,12/1986,23.026616225806453
84,1/1987,22.914584838709676
85,2/1987,22.2309455
86,3/1987,21.742769064516125
87,4/1987,22.502541
88,5/1987,19.51809796774193
89,6/1987,18.351432833333334
90,7/1987,18.98705629032258
91,8/1987,17.790109709677417
92,9/1987,22.355801433333333
93,10/1987,23.49068022580645
94,11/1987,23.49324646666667
95,12/1987,23.228048806451618
96,1/1988,23.03450941935483
97,2/1988,22.794597034482763
98,3/1988,23.14412812903226
99,4/1988,22.83620153333333
100,5/1988,20.762621677419357
101,6/1988,17.607232333333332
102,7/1988,14.526713877419354
103,8/1988,18.8230404516129
104,9/1988,22.014556866666666
105,10/1988,23.588386548387106
106,11/1988,23.19386443333333
107,12/1988,23.13068835483871
108,1/1989,22.37411512903226
109,2/1989,22.63516610714285
110,3/1989,22.41665351612904
111,4/1989,22.50826766666666
112,5/1989,19.29630732258065
113,6/1989,19.821234733333334
114,7/1989,15.701071064516132
115,8/1989,19.910316677419356
116,9/1989,20.4160273
117,10/1989,22.74724480645162
118,11/1989,23.27134906666667
119,12/1989,23.008168032258062
120,1/1990,25.222726999999992
121,2/1990,25.222726999999995
122,3/1990,25.222726999999992
123,4/1990,25.222726999999995
124,5/1990,25.222726999999992
125,6/1990,25.222726999999995
126,7/1990,25.222726999999992
127,8/1990,25.222726999999992
128,9/1990,25.222726999999995
129,10/1990,25.222726999999992
130,11/1990,25.222726999999995
131,12/1990,25.222726999999992
132,1/1991,25.222726999999992
133,2/1991,25.222726999999995
134,3/1991,25.222726999999992
135,4/1991,25.222726999999995
136,5/1991,25.222726999999992
137,6/1991,25.222726999999995
138,7/1991,25.222726999999992
139,8/1991,25.222726999999992
140,9/1991,25.222726999999995
141,10/1991,25.222726999999992
142,11/1991,25.222726999999995
143,12/1991,25.222726999999992
144,1/1992,24.78593861290322
145,2/1992,25.222726999999995
146,3/1992,25.222726999999992
147,4/1992,25.222726999999995
148,5/1992,25.222726999999992
149,6/1992,25.222726999999995
150,7/1992,25.222726999999992
151,8/1992,25.222726999999992
152,9/1992,25.222726999999995
153,10/1992,25.222726999999992
154,11/1992,25.222726999999995
155,12/1992,25.222726999999992
156,1/1993,24.51406148387096
157,2/1993,24.47184132142857
158,3/1993,24.610508258064517
159,4/1993,24.94052643333333
160,5/1993,24.18871009677419
161,6/1993,23.94059213333333
162,7/1993,23.75296838709677
163,8/1993,24.138227548387096
164,9/1993,24.57054403333333
165,10/1993,23.95360887096774
166,11/1993,23.92571653333333
167,12/1993,24.074092612903222
