,Data,TempMinPrevista
0,1/1980,24.346953193548387
1,2/1980,23.77367527586207
2,3/1980,23.80625903225807
3,4/1980,24.331335633333342
4,5/1980,24.385647032258067
5,6/1980,23.8752385
6,7/1980,23.360055548387095
7,8/1980,24.045966967741933
8,9/1980,23.88103716666667
9,10/1980,24.29251996774193
10,11/1980,24.739275933333328
11,12/1980,24.45072964516128
12,1/1981,24.52466096774194
13,2/1981,24.609520321428572
14,3/1981,23.80652196774194
15,4/1981,24.204976766666665
16,5/1981,24.07430264516129
17,6/1981,23.731944166666665
18,7/1981,23.879613806451605
19,8/1981,23.893212451612907
20,9/1981,23.900224700000003
21,10/1981,24.097497516129035
22,11/1981,25.21024956666667
23,12/1981,24.980199548387095
24,1/1982,24.214962483870966
25,2/1982,24.228626285714288
26,3/1982,23.76855425806452
27,4/1982,23.5646198
28,5/1982,23.135771806451608
29,6/1982,22.691507266666665
30,7/1982,22.627718935483873
31,8/1982,22.793619741935487
32,9/1982,23.297891366666665
33,10/1982,23.328170548387096
34,11/1982,23.97749686666667
35,12/1982,24.232718838709683
36,1/1983,24.5791294516129
37,2/1983,24.22105792857143
38,3/1983,23.957693709677415
39,4/1983,24.1667682
40,5/1983,24.02907480645161
41,6/1983,23.643965233333333
42,7/1983,23.644646709677414
43,8/1983,23.829041741935484
44,9/1983,24.1309435
45,10/1983,24.228799451612904
46,11/1983,24.757232033333327
47,12/1983,24.122045838709678
48,1/1984,23.86380951612904
49,2/1984,24.060903206896555
50,3/1984,23.53537770967742
51,4/1984,23.6582149
52,5/1984,23.146215967741927
53,6/1984,22.794699266666672
54,7/1984,22.701630677419356
55,8/1984,23.190283838709675
56,9/1984,23.390727733333332
57,10/1984,23.756207870967742
58,11/1984,24.00896606666667
59,12/1984,24.173075419354838
60,1/1985,24.13282387096774
61,2/1985,23.30604632142857
62,3/1985,23.55542893548387
63,4/1985,23.328864933333325
64,5/1985,23.34677512903226
65,6/1985,23.142297766666665
66,7/1985,23.188585451612898
67,8/1985,23.562678774193543
68,9/1985,23.796069366666664
69,10/1985,24.16858151612903
70,11/1985,24.52896393333333
71,12/1985,24.304257225806445
72,1/1986,23.10076900000001
