,Data,TempMinPrevista
0,1/1980,19.363211032258064
1,2/1980,19.558432
2,3/1980,19.384466193548388
3,4/1980,19.042434899999996
4,5/1980,17.326877935483868
5,6/1980,15.317317333333335
6,7/1980,14.393557112903226
7,8/1980,16.705487983870967
8,9/1980,17.092620966666672
9,10/1980,19.14974606451613
10,11/1980,19.759433966666663
11,12/1980,19.709473516129037
12,1/1981,17.274532387096784
13,2/1981,17.274532428571437
14,3/1981,17.274532387096784
15,4/1981,17.27453240000001
16,5/1981,17.274532387096784
17,6/1981,17.274532400000005
18,7/1981,17.27453238709678
19,8/1981,17.27453245161291
20,9/1981,17.274532400000005
21,10/1981,17.27453245161291
22,11/1981,19.54935143333334
23,12/1981,19.429882806451605
24,1/1982,19.417857483870968
25,2/1982,19.68007267857143
26,3/1982,19.925829806451613
27,4/1982,17.9694105
28,5/1982,15.87385558064516
29,6/1982,15.453108349999999
30,7/1982,14.278450580645163
31,8/1982,16.35529122580645
32,9/1982,17.8002685
33,10/1982,19.38363506451613
34,11/1982,20.050635666666665
35,12/1982,19.231689838709674
36,1/1983,19.92720525806451
37,2/1983,20.326075464285715
38,3/1983,19.730177516129036
39,4/1983,19.310091433333334
40,5/1983,17.936714612903224
41,6/1983,15.916555266666666
42,7/1983,15.056923806451612
43,8/1983,14.962139483870972
44,9/1983,18.7932162
45,10/1983,19.292102580645157
46,11/1983,19.403576866666665
47,12/1983,19.41991667741935
48,1/1984,19.05344777419355
49,2/1984,19.324561275862067
50,3/1984,19.657361741935482
51,4/1984,18.8353718
52,5/1984,17.332981225806453
53,6/1984,13.972841083333332
54,7/1984,13.734650177419356
55,8/1984,14.928263096774193
56,9/1984,16.66726226666667
57,10/1984,19.10744738709678
58,11/1984,19.752851466666673
59,12/1984,19.63532851612903
60,1/1985,19.56048106451613
61,2/1985,19.242022821428574
62,3/1985,19.75851961290322
63,4/1985,18.563122500000002
64,5/1985,17.117046145161293
65,6/1985,10.187936453333334
66,7/1985,12.476659516129029
67,8/1985,15.72197240322581
68,9/1985,18.052295033333337
69,10/1985,18.868176290322577
70,11/1985,19.36143086666667
71,12/1985,19.39629532258065
72,1/1986,19.335298387096774
73,2/1986,19.496610178571427
74,3/1986,19.051935
75,4/1986,18.739881166666667
76,5/1986,17.364718612903218
77,6/1986,13.231173916666666
78,7/1986,13.362158354838707
79,8/1986,16.196536741935482
80,9/1986,17.0519272
81,10/1986,18.459887096774196
82,11/1986,18.729721966666663
83,12/1986,19.160290580645167
84,1/1987,18.904160258064515
85,2/1987,19.11351482142857
86,3/1987,19.026235935483875
87,4/1987,18.893947033333333
88,5/1987,17.41725351612903
89,6/1987,14.326561983333335
90,7/1987,13.396036112903227
91,8/1987,13.739500129032258
92,9/1987,17.9467712
93,10/1987,19.586663032258063
94,11/1987,19.434462466666663
95,12/1987,19.849562290322574
96,1/1988,20.02748883870968
97,2/1988,19.632474413793105
98,3/1988,19.702392838709677
99,4/1988,19.43161576666667
100,5/1988,17.379943258064518
101,6/1988,13.816522350000001
102,7/1988,12.924029629032255
103,8/1988,14.390678612903224
104,9/1988,17.95775403333333
105,10/1988,19.460965548387097
106,11/1988,19.31201026666667
107,12/1988,19.682831838709678
108,1/1989,19.595413967741937
109,2/1989,19.314992642857142
110,3/1989,19.364243935483866
111,4/1989,19.084707766666668
112,5/1989,15.915613629032258
113,6/1989,14.643005500000005
114,7/1989,12.225182306451613
115,8/1989,16.286040225806452
116,9/1989,18.135553633333334
117,10/1989,18.54979093548387
118,11/1989,19.457645033333336
119,12/1989,19.28517332258065
120,1/1990,19.16010235483871
121,2/1990,19.411444535714285
122,3/1990,19.795245709677417
123,4/1990,19.155488433333336
124,5/1990,16.478649954838712
125,6/1990,13.492382216666666
126,7/1990,12.7427005483871
127,8/1990,15.880691016129035
128,9/1990,16.57101213333333
129,10/1990,18.775257225806453
130,11/1990,19.145212733333334
131,12/1990,19.36374609677419
132,1/1991,19.434938677419357
133,2/1991,19.632833428571427
134,3/1991,19.533746322580647
135,4/1991,18.5030303
136,5/1991,16.48784543548387
137,6/1991,13.845725116666667
138,7/1991,12.858512596774194
139,8/1991,14.200200354838712
140,9/1991,16.646084366666667
141,10/1991,18.88226406451613
142,11/1991,19.120880433333333
143,12/1991,19.321019580645157
144,1/1992,19.431468483870972
145,2/1992,18.38980382758621
146,3/1992,18.577574161290322
147,4/1992,18.469803433333333
148,5/1992,16.293779080645162
149,6/1992,13.403871850000003
150,7/1992,13.218602354838707
151,8/1992,15.758067177419353
152,9/1992,17.182683166666667
153,10/1992,18.635602064516124
154,11/1992,17.844940483333335
155,12/1992,18.427191870967743
156,1/1993,18.032199451612907
157,2/1993,17.80996214285714
158,3/1993,18.489828903225806
159,4/1993,18.019157099999997
160,5/1993,14.967896451612901
161,6/1993,13.305441983333331
162,7/1993,11.985802887096774
163,8/1993,13.969872629032256
164,9/1993,17.17954635
165,10/1993,17.83842775806452
166,11/1993,18.38458806666667
167,12/1993,18.516727451612905
168,1/1994,18.563739032258063
169,2/1994,18.579968142857137
170,3/1994,18.42480132258064
171,4/1994,17.472662683333336
172,5/1994,15.561745758064513
173,6/1994,12.153579666666664
174,7/1994,12.232788161290324
175,8/1994,13.102867564516128
176,9/1994,11.617295483333335
177,10/1994,18.103402322580642
178,11/1994,18.602444366666663
179,12/1994,18.880202000000004
180,1/1995,20.112829741935478
181,2/1995,19.38678571428571
182,3/1995,19.97916248387097
183,4/1995,17.928998466666663
184,5/1995,14.923558725806451
185,6/1995,14.197699183333336
186,7/1995,13.007848354838709
187,8/1995,14.688755677419357
188,9/1995,19.15445233333333
189,10/1995,20.06808158064516
190,11/1995,20.448849999999997
191,12/1995,17.266086838709683
192,1/1996,15.374497290322578
193,2/1996,19.46286787931035
194,3/1996,19.973352806451615
195,4/1996,18.72051653333334
196,5/1996,17.038681161290324
197,6/1996,13.46443122333333
198,7/1996,12.989952596774192
199,8/1996,16.827142548387094
200,9/1996,18.53239543333333
201,10/1996,19.573643
202,11/1996,19.6575564
203,12/1996,19.796269193548383
204,1/1997,19.7214944516129
205,2/1997,19.57775139285714
