,Data,TempMinPrevista
0,1/1980,21.917155999999988
1,2/1980,21.917155999999988
2,3/1980,21.917155999999988
3,4/1980,21.917155999999988
4,5/1980,21.917155999999988
5,6/1980,21.917155999999988
6,7/1980,21.917155999999988
7,8/1980,21.917155999999988
8,9/1980,21.917155999999988
9,10/1980,21.917155999999988
10,11/1980,21.917155999999988
11,12/1980,21.917155999999988
12,1/1981,23.034783741935474
13,2/1981,22.813887678571415
14,3/1981,22.104590451612893
15,4/1981,22.513133333333325
16,5/1981,22.378393354838707
17,6/1981,21.693750200000004
18,7/1981,20.842822870967737
19,8/1981,21.08004319354838
20,9/1981,21.843127733333333
21,10/1981,22.380957516129026
22,11/1981,23.264534733333328
23,12/1981,23.480070161290325
24,1/1982,24.06865622580645
25,2/1982,23.421011857142854
26,3/1982,24.22766729032258
27,4/1982,21.938935166666656
28,5/1982,21.978510741935473
29,6/1982,22.11758449999999
30,7/1982,22.026215096774184
31,8/1982,22.238969483870964
32,9/1982,22.244544166666667
33,10/1982,22.399199806451612
34,11/1982,23.092212066666672
35,12/1982,23.907113935483864
36,1/1983,22.999601000000002
37,2/1983,23.051409571428568
38,3/1983,23.036233838709673
39,4/1983,22.952215566666666
40,5/1983,22.58304983870968
41,6/1983,22.882245033333334
42,7/1983,21.93592941935484
43,8/1983,23.040203935483873
44,9/1983,22.970158299999998
45,10/1983,22.877101580645164
46,11/1983,22.843475933333334
47,12/1983,22.84376577419355
48,1/1984,22.723560967741932
49,2/1984,22.728114034482765
50,3/1984,22.934091999999996
51,4/1984,23.242275999999997
52,5/1984,23.294722419354837
53,6/1984,23.108995566666668
54,7/1984,23.210414838709678
55,8/1984,23.046253290322582
56,9/1984,22.925043800000005
57,10/1984,22.85361735483871
58,11/1984,22.789163266666666
59,12/1984,22.813470096774196
60,1/1985,22.896441483870962
61,2/1985,22.91298453571429
62,3/1985,22.98951770967742
63,4/1985,23.167736566666665
64,5/1985,23.01153596774194
65,6/1985,23.120830500000004
66,7/1985,23.352439451612906
67,8/1985,23.030917870967738
68,9/1985,22.91783943333333
69,10/1985,22.70070641935483
70,11/1985,22.7424957
71,12/1985,22.838000806451614
72,1/1986,24.774034193548392
73,2/1986,24.271216785714298
74,3/1986,23.873971064516134
75,4/1986,23.64759583333333
76,5/1986,23.158136612903228
77,6/1986,22.046807533333336
78,7/1986,21.879433516129033
79,8/1986,21.917155999999988
80,9/1986,21.9310029
81,10/1986,22.86420364516129
82,11/1986,23.60080900000001
83,12/1986,23.89164680645161
84,1/1987,23.91101380645161
85,2/1987,23.711029999999997
86,3/1987,23.565934225806455
87,4/1987,23.380093533333344
88,5/1987,23.496616387096775
89,6/1987,22.670877499999996
90,7/1987,21.93709496774193
91,8/1987,22.626181064516125
92,9/1987,23.278557933333328
93,10/1987,24.15962238709677
94,11/1987,24.8129963
95,12/1987,24.57843709677419
96,1/1988,24.20828464516129
97,2/1988,24.64371351724137
98,3/1988,23.8400054516129
99,4/1988,23.33185653333333
100,5/1988,23.2943024516129
101,6/1988,22.626054666666665
102,7/1988,21.694764741935476
103,8/1988,20.566247709677416
104,9/1988,22.108932899999996
105,10/1988,21.723184741935484
106,11/1988,21.58788343333333
107,12/1988,21.917155999999988
108,1/1989,21.917155999999988
109,2/1989,21.50719225
110,3/1989,21.917155999999988
111,4/1989,22.9850404
112,5/1989,22.557350741935476
113,6/1989,22.842010433333332
114,7/1989,23.571305806451612
115,8/1989,23.015175258064513
116,9/1989,22.147008099999997
117,10/1989,21.66466229032258
118,11/1989,21.818199300000003
119,12/1989,21.858819419354838
120,1/1990,21.58008916129032
121,2/1990,21.70795175
122,3/1990,21.364160741935482
123,4/1990,21.645418100000004
124,5/1990,23.628368580645162
125,6/1990,22.86503953333334
126,7/1990,22.206601999999993
127,8/1990,22.22590864516129
128,9/1990,22.72951876666667
129,10/1990,24.15291641935484
130,11/1990,25.047828633333328
131,12/1990,24.99568622580645
132,1/1991,25.260458387096772
133,2/1991,25.261799285714286
134,3/1991,24.554391322580646
135,4/1991,24.39251943333334
136,5/1991,22.960192935483875
137,6/1991,22.428659866666667
138,7/1991,21.380113193548382
139,8/1991,21.31264048387097
140,9/1991,22.269393666666677
141,10/1991,23.124631258064515
142,11/1991,24.084578099999998
143,12/1991,24.535156064516134
144,1/1992,24.432420741935488
145,2/1992,24.532759551724137
146,3/1992,24.297954967741937
147,4/1992,24.8903611
148,5/1992,23.467938354838708
149,6/1992,22.35205046666667
150,7/1992,21.736907032258063
151,8/1992,22.18972106451613
152,9/1992,23.401068533333337
153,10/1992,23.587977935483874
154,11/1992,24.583234799999996
155,12/1992,24.766374838709677
156,1/1993,24.224451258064523
157,2/1993,24.695590571428568
158,3/1993,25.142853806451615
159,4/1993,24.926211099999993
160,5/1993,24.11879729032258
161,6/1993,22.445041733333326
162,7/1993,21.651253225806453
163,8/1993,22.37524593548387
164,9/1993,23.282499533333336
165,10/1993,24.375721129032254
166,11/1993,24.74656326666667
167,12/1993,24.854374870967746
168,1/1994,25.26303319354839
169,2/1994,25.36970042857143
170,3/1994,23.93114135483871
171,4/1994,22.28315853333333
172,5/1994,22.83871706451612
173,6/1994,23.170862833333334
174,7/1994,21.973382903225804
175,8/1994,21.567125774193553
176,9/1994,22.310330566666664
177,10/1994,24.525930645161292
178,11/1994,24.15413493333333
179,12/1994,24.395019290322576
180,1/1995,23.986510741935486
181,2/1995,24.958809178571432
182,3/1995,25.54290448387097
183,4/1995,25.043914566666665
184,5/1995,24.198157935483867
185,6/1995,22.696440999999993
186,7/1995,22.246233064516122
187,8/1995,21.76546651612903
188,9/1995,22.8584198
189,10/1995,23.067897580645155
190,11/1995,24.03683816666667
191,12/1995,26.08112780645161
192,1/1996,25.04170248387097
193,2/1996,25.221860275862074
194,3/1996,24.803290193548385
195,4/1996,24.1542401
196,5/1996,23.389579032258066
197,6/1996,22.6176818
198,7/1996,22.317735935483874
199,8/1996,22.80700238709677
200,9/1996,22.748835733333333
201,10/1996,24.032967193548384
202,11/1996,24.737802566666666
203,12/1996,25.28784574193548
204,1/1997,26.029820064516116
205,2/1997,25.696206000000007
206,3/1997,25.04322893548387
207,4/1997,23.847841399999997
208,5/1997,23.169101516129032
209,6/1997,22.502450333333332
210,7/1997,21.45577703225807
211,8/1997,21.645949064516127
212,9/1997,22.84801076666667
213,10/1997,24.121738161290324
214,11/1997,24.594792633333334
215,12/1997,24.64122129032258
216,1/1998,24.776513741935478
217,2/1998,26.20613714285714
218,3/1998,26.128527225806454
219,4/1998,25.485911666666667
220,5/1998,24.090383032258067
221,6/1998,22.934720666666667
222,7/1998,22.323649645161286
223,8/1998,22.230869774193554
224,9/1998,22.94485333333333
225,10/1998,24.643398741935478
226,11/1998,25.796543766666666
227,12/1998,25.762551645161302
228,1/1999,25.64921722580645
229,2/1999,25.156586928571436
230,3/1999,25.648440806451607
231,4/1999,25.09148223333333
232,5/1999,23.780814322580646
233,6/1999,22.572835066666663
234,7/1999,21.420529096774185
235,8/1999,21.497091129032256
236,9/1999,22.944194033333325
237,10/1999,23.915052064516132
238,11/1999,25.51321143333333
239,12/1999,25.469937193548397
240,1/2000,25.036398741935482
241,2/2000,25.108481827586214
242,3/2000,25.434001354838703
243,4/2000,24.294163200000003
244,5/2000,23.679168290322572
245,6/2000,22.932930566666663
246,7/2000,22.069339967741932
247,8/2000,22.240120000000005
248,9/2000,23.319907266666664
249,10/2000,24.317188032258063
250,11/2000,24.593723699999995
251,12/2000,24.66085348387096
252,1/2001,24.880673419354835
253,2/2001,25.17748367857143
254,3/2001,24.74099112903226
255,4/2001,23.779114466666666
256,5/2001,24.009257096774192
257,6/2001,22.338690833333334
258,7/2001,21.901817677419356
259,8/2001,21.77015622580645
260,9/2001,22.816224766666675
261,10/2001,24.593135096774194
262,11/2001,25.255625633333334
263,12/2001,24.787224129032257
264,1/2002,24.934765838709684
