,Data,TempMinPrevista
0,1/1980,23.195760096774187
1,2/1980,23.14387886206897
2,3/1980,23.10881683870968
3,4/1980,23.7966205
4,5/1980,23.58323961290322
5,6/1980,23.417333333333332
6,7/1980,23.056898322580643
7,8/1980,23.46086819354839
8,9/1980,23.8812095
9,10/1980,24.04374129032258
10,11/1980,23.94310896666667
11,12/1980,23.742130645161293
12,1/1981,23.448280387096773
13,2/1981,23.712898571428575
14,3/1981,23.669285
15,4/1981,23.913609666666662
16,5/1981,23.507527677419358
17,6/1981,23.4389549
18,7/1981,22.7707430967742
19,8/1981,23.476171516129032
20,9/1981,23.738337166666664
21,10/1981,23.901200483870973
22,11/1981,24.41292556666666
23,12/1981,24.170022580645167
24,1/1982,23.26502887096774
25,2/1982,23.177578
26,3/1982,23.370465677419354
27,4/1982,23.462271833333332
28,5/1982,23.55576264516129
29,6/1982,23.525989400000007
30,7/1982,23.113138225806452
31,8/1982,23.123581612903227
32,9/1982,23.361595933333344
33,10/1982,23.3522290967742
34,11/1982,23.3288919
35,12/1982,23.65281748387097
36,1/1983,23.528898516129043
37,2/1983,23.668075321428574
38,3/1983,23.802212838709675
39,4/1983,24.042624299999996
40,5/1983,24.43365541935484
41,6/1983,23.58513253333333
42,7/1983,23.130600161290324
43,8/1983,23.421304999999997
44,9/1983,23.57838506666667
45,10/1983,23.6390549032258
46,11/1983,23.683882166666663
47,12/1983,23.73871583870968
48,1/1984,23.142959387096774
49,2/1984,22.942710724137932
50,3/1984,23.13427422580646
51,4/1984,23.07656926666666
52,5/1984,23.129364870967738
53,6/1984,22.86455853333333
54,7/1984,22.849222677419352
55,8/1984,23.24081780645161
56,9/1984,23.321679166666666
57,10/1984,23.830863709677413
58,11/1984,23.737949099999994
59,12/1984,23.548835548387093
60,1/1985,22.90472896774194
61,2/1985,22.824815928571432
62,3/1985,23.132251838709667
63,4/1985,23.108173566666665
64,5/1985,23.033258838709674
65,6/1985,22.706211899999996
66,7/1985,22.49329393548387
67,8/1985,22.888476322580647
68,9/1985,23.3577541
69,10/1985,23.64055435483871
70,11/1985,23.641915400000002
71,12/1985,23.14875625806452
72,1/1986,23.105743419354834
73,2/1986,22.89206453571429
74,3/1986,22.838241548387106
75,4/1986,23.240399733333327
76,5/1986,23.63977380645161
77,6/1986,22.998639866666668
78,7/1986,23.0184624516129
79,8/1986,23.155844612903227
80,9/1986,23.544043866666666
81,10/1986,23.582881483870963
82,11/1986,23.789209700000004
83,12/1986,23.81531380645162
84,1/1987,23.551027258064526
85,2/1987,23.449001964285717
86,3/1987,23.619403225806444
87,4/1987,23.92869043333334
88,5/1987,23.905937645161295
89,6/1987,23.69167636666667
90,7/1987,23.750859645161285
91,8/1987,24.071106741935488
92,9/1987,24.178490066666665
93,10/1987,24.356208870967745
94,11/1987,24.397755266666664
95,12/1987,24.355695483870967
96,1/1988,23.597029193548384
97,2/1988,23.605176413793103
98,3/1988,23.40371251612904
99,4/1988,23.641550633333335
100,5/1988,23.747324322580646
101,6/1988,23.384971066666665
102,7/1988,23.10408858064516
103,8/1988,23.82198099999999
104,9/1988,24.058822499999998
105,10/1988,24.29657074193549
106,11/1988,24.262513300000002
107,12/1988,23.595917064516133
108,1/1989,23.05512151612903
109,2/1989,23.147965214285716
110,3/1989,22.95209887096774
111,4/1989,23.296877900000005
112,5/1989,23.327368354838708
113,6/1989,23.507757466666668
114,7/1989,23.113981161290326
115,8/1989,23.704682967741945
116,9/1989,24.049388599999997
117,10/1989,24.144417161290324
118,11/1989,24.3878704
119,12/1989,23.721518612903232
120,1/1990,23.53311996774194
121,2/1990,23.461398499999998
122,3/1990,23.69794687096774
123,4/1990,24.045932100000005
124,5/1990,23.850897806451606
125,6/1990,23.5267189
126,7/1990,23.348043419354834
127,8/1990,23.646116225806455
128,9/1990,23.481884000000004
129,10/1990,24.15806874193548
130,11/1990,24.274097266666665
131,12/1990,23.968803193548386
132,1/1991,23.058532870967746
133,2/1991,23.437086535714283
134,3/1991,23.456282032258063
135,4/1991,23.698721
136,5/1991,23.720222
137,6/1991,23.873927733333332
138,7/1991,23.481884000000008
139,8/1991,23.664469580645164
140,9/1991,23.887465099999996
141,10/1991,23.94152448387097
142,11/1991,23.85783143333333
143,12/1991,23.78643877419355
144,1/1992,23.481884000000008
145,2/1992,23.286102344827583
146,3/1992,23.59021729032258
147,4/1992,24.080782066666675
148,5/1992,24.186103419354836
149,6/1992,23.74195173333334
150,7/1992,23.044046419354842
151,8/1992,23.554836677419352
152,9/1992,23.481884000000004
153,10/1992,23.676421354838713
154,11/1992,23.95139716666667
155,12/1992,23.98942638709677
156,1/1993,23.263644967741943
157,2/1993,23.075710999999995
158,3/1993,23.345707741935485
159,4/1993,23.695811833333334
160,5/1993,23.92204574193548
161,6/1993,23.58033476666667
162,7/1993,23.435448774193553
