,Data,TempMinPrevista
0,1/1980,22.280043225806452
1,2/1980,22.365525344827585
2,3/1980,22.85783303225806
3,4/1980,22.668113099999992
4,5/1980,23.28740003225806
5,6/1980,22.716378166666665
6,7/1980,22.57428496774193
7,8/1980,22.66761896774194
8,9/1980,23.177850133333333
9,10/1980,22.62856467741936
10,11/1980,22.2101271
11,12/1980,22.967040354838705
12,1/1981,22.889960967741942
13,2/1981,22.34969371428571
14,3/1981,22.82490941935484
15,4/1981,22.768078966666664
16,5/1981,22.815803741935486
17,6/1981,22.552327366666677
18,7/1981,22.30618925806452
19,8/1981,22.390909677419355
20,9/1981,22.288594966666665
21,10/1981,23.238063354838708
22,11/1981,22.86770403333333
23,12/1981,23.06817916129032
24,1/1982,22.370338193548385
25,2/1982,21.55060667857143
26,3/1982,21.775273999999992
27,4/1982,22.275392166666663
28,5/1982,22.545552935483865
29,6/1982,22.774015733333336
30,7/1982,22.354792806451613
31,8/1982,22.492159193548385
32,9/1982,22.452491233333337
33,10/1982,23.012127064516132
34,11/1982,22.595837566666667
35,12/1982,22.266906483870958
36,1/1983,24.577407516129025
37,2/1983,24.664518428571427
38,3/1983,24.01012825806451
39,4/1983,23.291869966666663
40,5/1983,23.349308548387096
41,6/1983,23.009384366666666
42,7/1983,23.162210096774196
43,8/1983,23.077619967741935
44,9/1983,23.57432766666667
45,10/1983,23.343479000000002
46,11/1983,23.55719560000001
47,12/1983,22.80596448387097
48,1/1984,22.69305629032258
49,2/1984,22.545857344827585
50,3/1984,22.961321451612896
51,4/1984,22.958827566666663
52,5/1984,22.75249419354838
53,6/1984,22.901567600000003
54,7/1984,22.764950419354836
55,8/1984,23.368396903225808
56,9/1984,23.14299313333333
57,10/1984,23.519031677419353
58,11/1984,23.745338166666663
59,12/1984,23.209010516129034
60,1/1985,23.148233129032263
61,2/1985,22.867695392857144
62,3/1985,23.179205387096772
63,4/1985,23.40074693333334
64,5/1985,22.73839238709677
65,6/1985,22.642566199999994
66,7/1985,22.71085509677419
67,8/1985,22.935302580645157
68,9/1985,23.68160726666667
69,10/1985,23.902798193548385
70,11/1985,23.298128033333338
71,12/1985,22.99855838709677
72,1/1986,23.002547677419358
73,2/1986,22.907165142857142
74,3/1986,22.81073593548387
75,4/1986,23.05731226666667
76,5/1986,23.281799451612898
77,6/1986,22.757326766666672
78,7/1986,22.616645935483874
79,8/1986,24.18924319354839
80,9/1986,24.25269546666667
81,10/1986,23.589412225806452
82,11/1986,23.486044399999994
83,12/1986,23.76656967741935
84,1/1987,23.144559838709682
85,2/1987,23.254253607142854
86,3/1987,23.299461419354834
87,4/1987,23.12633900000001
88,5/1987,23.444919161290322
89,6/1987,22.871184200000002
90,7/1987,23.98141419354839
91,8/1987,23.96333022580645
92,9/1987,24.366622466666666
93,10/1987,24.489152548387093
94,11/1987,24.11084786666667
95,12/1987,24.0759794516129
96,1/1988,23.05953816129032
97,2/1988,23.308044137931038
98,3/1988,23.67617829032258
99,4/1988,23.39654793333333
100,5/1988,23.144075548387097
101,6/1988,22.857843566666663
102,7/1988,23.092652774193542
103,8/1988,23.927311483870962
104,9/1988,24.17376413333334
105,10/1988,24.054948419354837
106,11/1988,22.78421666666667
107,12/1988,23.126762548387095
108,1/1989,22.827028290322588
109,2/1989,22.530144500000002
110,3/1989,22.70388551612903
111,4/1989,22.865506099999998
