,Data,TempMinPrevista
0,1/1980,22.36414000000001
1,2/1980,22.36414000000001
2,3/1980,22.36414000000001
3,4/1980,22.36414000000001
4,5/1980,22.36414000000001
5,6/1980,22.36414000000001
6,7/1980,22.36414000000001
7,8/1980,22.36414000000001
8,9/1980,22.36414000000001
9,10/1980,22.36414000000001
10,11/1980,22.36414000000001
11,12/1980,22.36414000000001
12,1/1981,22.36414000000001
13,2/1981,22.36414000000001
14,3/1981,22.36414000000001
15,4/1981,22.36414000000001
16,5/1981,22.36414000000001
17,6/1981,22.36414000000001
18,7/1981,22.36414000000001
19,8/1981,22.36414000000001
20,9/1981,22.36414000000001
21,10/1981,22.36414000000001
22,11/1981,22.36414000000001
23,12/1981,22.36414000000001
24,1/1982,22.36414000000001
25,2/1982,22.36414000000001
26,3/1982,22.36414000000001
27,4/1982,22.36414000000001
28,5/1982,22.36414000000001
29,6/1982,22.36414000000001
30,7/1982,22.36414000000001
31,8/1982,22.36414000000001
32,9/1982,22.36414000000001
33,10/1982,22.36414000000001
34,11/1982,22.36414000000001
35,12/1982,22.36414000000001
36,1/1983,22.36414000000001
37,2/1983,22.36414000000001
38,3/1983,22.36414000000001
39,4/1983,22.36414000000001
40,5/1983,22.36414000000001
41,6/1983,22.36414000000001
42,7/1983,22.36414000000001
43,8/1983,21.802705645161293
44,9/1983,21.568612966666663
45,10/1983,22.183521483870965
46,11/1983,23.69940426666667
47,12/1983,23.887127870967742
48,1/1984,23.83390280645161
49,2/1984,23.80337010344828
50,3/1984,23.196972709677425
51,4/1984,22.476388633333336
52,5/1984,22.227047806451612
53,6/1984,21.2495457
54,7/1984,21.152221032258055
55,8/1984,21.695598161290317
56,9/1984,21.674804566666662
57,10/1984,22.465201645161297
58,11/1984,23.63082653333333
59,12/1984,24.11232958064516
60,1/1985,22.36414000000001
61,2/1985,22.36414000000001
62,3/1985,22.36414000000001
63,4/1985,22.36414000000001
64,5/1985,22.36414000000001
65,6/1985,22.36414000000001
66,7/1985,22.36414000000001
67,8/1985,22.36414000000001
68,9/1985,22.36414000000001
69,10/1985,22.36414000000001
70,11/1985,22.36414000000001
71,12/1985,22.36414000000001
72,1/1986,24.087453677419354
73,2/1986,23.03226325
74,3/1986,22.903108580645164
75,4/1986,23.060522833333327
76,5/1986,22.80049403225806
77,6/1986,21.14045576666667
78,7/1986,20.849624580645163
79,8/1986,21.09689106451612
80,9/1986,21.325693166666667
81,10/1986,22.88265983870968
82,11/1986,23.54380923333333
83,12/1986,24.05352054838709
84,1/1987,23.81758677419354
85,2/1987,23.623196964285714
86,3/1987,24.065424935483875
87,4/1987,23.907861500000003
88,5/1987,23.32027883870968
89,6/1987,22.273806466666656
90,7/1987,21.467764967741935
91,8/1987,22.057549516129036
92,9/1987,21.82900303333333
93,10/1987,23.83563135483871
94,11/1987,24.494194899999993
95,12/1987,23.12758529032258
96,1/1988,25.20095138709677
97,2/1988,25.100221482758617
98,3/1988,24.37118280645161
99,4/1988,22.36414000000001
100,5/1988,22.982750322580646
101,6/1988,21.898067799999996
102,7/1988,20.49692880645161
103,8/1988,19.934722548387093
104,9/1988,20.4089196
105,10/1988,22.57199916129033
106,11/1988,23.06074076666666
107,12/1988,23.41335648387097
108,1/1989,24.080363677419356
109,2/1989,24.769107749999996
110,3/1989,24.007373967741938
111,4/1989,22.996698566666666
112,5/1989,22.935306806451617
113,6/1989,22.285469033333346
114,7/1989,21.28286438709677
115,8/1989,20.944899774193555
116,9/1989,22.487995500000004
117,10/1989,23.549863354838703
118,11/1989,23.689663866666667
119,12/1989,22.36414000000001
120,1/1990,24.166819354838704
121,2/1990,23.884838214285715
122,3/1990,24.882493580645153
123,4/1990,24.515166433333334
124,5/1990,23.028357354838707
125,6/1990,21.812990199999998
126,7/1990,21.443542258064515
127,8/1990,21.08022022580645
128,9/1990,22.397780166666664
129,10/1990,23.354154645161298
130,11/1990,23.566151166666668
131,12/1990,22.79728858064516
132,1/1991,24.884657225806446
133,2/1991,24.80703782142857
134,3/1991,24.277205032258063
135,4/1991,23.76919953333333
136,5/1991,22.481897032258065
137,6/1991,21.554166766666665
138,7/1991,20.18062580645161
139,8/1991,20.118760032258066
140,9/1991,21.517232366666665
141,10/1991,22.33740793548387
142,11/1991,23.480500300000006
143,12/1991,22.36414000000001
144,1/1992,24.754317322580647
145,2/1992,23.859545931034486
146,3/1992,23.47318222580645
147,4/1992,23.108798633333336
148,5/1992,23.189059935483876
149,6/1992,21.533216133333337
150,7/1992,20.62817448387096
151,8/1992,20.677034354838714
152,9/1992,22.306695333333337
153,10/1992,22.709718193548387
154,11/1992,23.435297100000007
155,12/1992,23.33159074193548
156,1/1993,23.84553245161291
157,2/1993,24.66305571428572
158,3/1993,24.842148225806447
159,4/1993,24.11183563333333
160,5/1993,23.297920322580644
161,6/1993,21.939296599999995
162,7/1993,21.1121914516129
163,8/1993,21.80186438709677
164,9/1993,22.650029633333336
165,10/1993,22.258984741935482
166,11/1993,23.692013433333333
167,12/1993,24.343679354838706
168,1/1994,24.14686448387097
169,2/1994,24.837257571428577
170,3/1994,23.60069816129032
171,4/1994,22.954893066666667
172,5/1994,22.691761483870966
173,6/1994,21.68872976666667
174,7/1994,20.995789096774192
175,8/1994,21.09495767741935
176,9/1994,21.6116934
177,10/1994,22.73043767741935
178,11/1994,22.786088866666667
179,12/1994,22.37781893548388
180,1/1995,23.636402
181,2/1995,24.40085421428571
182,3/1995,24.3931039032258
183,4/1995,23.558331566666666
184,5/1995,22.689532096774194
185,6/1995,21.490845433333334
186,7/1995,20.040679903225808
187,8/1995,20.587906741935484
188,9/1995,20.949633100000003
189,10/1995,22.00899358064516
190,11/1995,22.823375866666666
191,12/1995,23.573146677419356
192,1/1996,24.162951774193548
193,2/1996,24.44413627586207
194,3/1996,23.736273451612906
195,4/1996,23.311668300000004
196,5/1996,22.626121709677427
197,6/1996,21.305134966666667
198,7/1996,20.273579903225805
199,8/1996,20.853535354838712
200,9/1996,21.281340466666663
201,10/1996,22.47325258064516
202,11/1996,23.64750803333333
203,12/1996,24.60786974193548
204,1/1997,24.219602258064523
205,2/1997,24.760702178571428
206,3/1997,24.135663548387097
207,4/1997,23.407918199999997
208,5/1997,22.237632870967744
209,6/1997,21.13877003333333
210,7/1997,20.29958796774194
211,8/1997,20.434847516129032
212,9/1997,21.898987466666668
213,10/1997,23.251158387096773
214,11/1997,23.78393533333333
215,12/1997,24.255870677419356
216,1/1998,24.63874722580645
217,2/1998,25.63191196428571
218,3/1998,25.53355096774193
219,4/1998,25.297967599999996
220,5/1998,23.889261677419352
221,6/1998,21.995144166666662
222,7/1998,20.606446419354846
223,8/1998,21.284660064516128
224,9/1998,21.9403574
225,10/1998,22.477236193548393
226,11/1998,23.036112866666667
227,12/1998,23.355142483870967
228,1/1999,22.79910522580645
229,2/1999,22.65814292857143
230,3/1999,22.631676354838717
231,4/1999,22.311166399999998
232,5/1999,21.500794258064513
233,6/1999,20.475085466666663
234,7/1999,19.37457641935484
235,8/1999,18.85085651612903
236,9/1999,20.147273266666666
237,10/1999,20.648078709677417
238,11/1999,21.884534700000003
239,12/1999,22.2211154516129
240,1/2000,21.91666925806452
241,2/2000,22.055392827586203
242,3/2000,22.52293729032258
243,4/2000,21.926726033333335
244,5/2000,21.455651
245,6/2000,20.368861000000003
246,7/2000,19.235205354838712
247,8/2000,19.647298612903224
248,9/2000,21.0205506
249,10/2000,21.111960258064514
250,11/2000,21.58945686666667
251,12/2000,22.099648
252,1/2001,21.825770967741935
253,2/2001,22.662544500000003
254,3/2001,22.694168612903226
255,4/2001,21.96034813333334
256,5/2001,22.25534474193548
257,6/2001,19.9887305
