,Data,TempMinPrevista
0,1/1980,22.56590300000001
1,2/1980,22.565903000000006
2,3/1980,22.56590300000001
3,4/1980,22.565903000000006
4,5/1980,22.56590300000001
5,6/1980,22.565903000000006
6,7/1980,22.56590300000001
7,8/1980,22.56590300000001
8,9/1980,22.565903000000006
9,10/1980,22.56590300000001
10,11/1980,22.565903000000006
11,12/1980,22.56590300000001
12,1/1981,22.56590300000001
13,2/1981,22.565903000000002
14,3/1981,22.56590300000001
15,4/1981,22.565903000000006
16,5/1981,22.56590300000001
17,6/1981,22.565903000000006
18,7/1981,22.56590300000001
19,8/1981,22.56590300000001
20,9/1981,22.565903000000006
21,10/1981,22.56590300000001
22,11/1981,22.565903000000006
23,12/1981,22.56590300000001
24,1/1982,22.56590300000001
25,2/1982,22.565903000000002
26,3/1982,22.56590300000001
27,4/1982,22.565903000000006
28,5/1982,22.56590300000001
29,6/1982,22.565903000000006
30,7/1982,22.56590300000001
31,8/1982,22.56590300000001
32,9/1982,22.565903000000006
33,10/1982,22.56590300000001
34,11/1982,22.565903000000006
35,12/1982,22.56590300000001
36,1/1983,22.56590300000001
37,2/1983,22.565903000000002
38,3/1983,22.56590300000001
39,4/1983,22.565903000000006
40,5/1983,22.56590300000001
41,6/1983,22.565903000000006
42,7/1983,22.56590300000001
43,8/1983,22.56590300000001
44,9/1983,22.565903000000006
45,10/1983,22.56590300000001
46,11/1983,22.565903000000006
47,12/1983,22.56590300000001
48,1/1984,22.56590300000001
49,2/1984,22.565903000000006
50,3/1984,22.56590300000001
51,4/1984,22.565903000000006
52,5/1984,22.56590300000001
53,6/1984,22.565903000000006
54,7/1984,22.56590300000001
55,8/1984,22.56590300000001
56,9/1984,22.565903000000006
57,10/1984,22.56590300000001
58,11/1984,22.565903000000006
59,12/1984,22.56590300000001
60,1/1985,22.56590300000001
61,2/1985,22.565903000000002
62,3/1985,22.56590300000001
63,4/1985,22.565903000000006
64,5/1985,22.56590300000001
65,6/1985,22.565903000000006
66,7/1985,22.56590300000001
67,8/1985,22.56590300000001
68,9/1985,22.565903000000006
69,10/1985,22.56590300000001
70,11/1985,22.565903000000006
71,12/1985,22.56590300000001
72,1/1986,22.56590300000001
73,2/1986,22.565903000000002
74,3/1986,22.56590300000001
75,4/1986,22.565903000000006
76,5/1986,22.56590300000001
77,6/1986,22.565903000000006
78,7/1986,22.56590300000001
79,8/1986,22.56590300000001
80,9/1986,22.565903000000006
81,10/1986,22.56590300000001
82,11/1986,22.565903000000006
83,12/1986,22.56590300000001
84,1/1987,22.56590300000001
85,2/1987,22.565903000000002
86,3/1987,22.56590300000001
87,4/1987,22.565903000000006
88,5/1987,22.56590300000001
89,6/1987,22.565903000000006
90,7/1987,22.56590300000001
91,8/1987,22.56590300000001
92,9/1987,22.565903000000006
93,10/1987,22.56590300000001
94,11/1987,22.565903000000006
95,12/1987,22.56590300000001
96,1/1988,22.56590300000001
97,2/1988,22.565903000000006
98,3/1988,22.56590300000001
99,4/1988,22.565903000000006
100,5/1988,22.56590300000001
101,6/1988,22.565903000000006
102,7/1988,22.56590300000001
103,8/1988,22.56590300000001
104,9/1988,22.565903000000006
105,10/1988,22.56590300000001
106,11/1988,22.565903000000006
107,12/1988,22.56590300000001
108,1/1989,22.56590300000001
109,2/1989,22.565903000000002
110,3/1989,22.56590300000001
111,4/1989,22.565903000000006
112,5/1989,22.56590300000001
113,6/1989,22.565903000000006
114,7/1989,22.56590300000001
115,8/1989,22.56590300000001
116,9/1989,22.565903000000006
117,10/1989,22.56590300000001
118,11/1989,22.565903000000006
119,12/1989,22.56590300000001
120,1/1990,22.56590300000001
121,2/1990,22.565903000000002
122,3/1990,22.56590300000001
123,4/1990,22.565903000000006
124,5/1990,22.56590300000001
125,6/1990,22.565903000000006
126,7/1990,22.56590300000001
127,8/1990,22.56590300000001
128,9/1990,22.565903000000006
129,10/1990,22.56590300000001
130,11/1990,22.565903000000006
131,12/1990,22.56590300000001
132,1/1991,22.56590300000001
133,2/1991,22.565903000000002
134,3/1991,22.56590300000001
135,4/1991,22.565903000000006
136,5/1991,22.56590300000001
137,6/1991,22.565903000000006
138,7/1991,22.56590300000001
139,8/1991,22.56590300000001
140,9/1991,22.565903000000006
141,10/1991,22.56590300000001
142,11/1991,22.565903000000006
143,12/1991,22.56590300000001
144,1/1992,22.56590300000001
145,2/1992,22.565903000000006
146,3/1992,22.56590300000001
147,4/1992,22.565903000000006
148,5/1992,22.56590300000001
149,6/1992,22.565903000000006
150,7/1992,22.56590300000001
151,8/1992,22.56590300000001
152,9/1992,22.565903000000006
153,10/1992,22.56590300000001
154,11/1992,22.565903000000006
155,12/1992,22.56590300000001
156,1/1993,22.56590300000001
157,2/1993,22.565903000000002
158,3/1993,22.56590300000001
159,4/1993,22.565903000000006
160,5/1993,22.56590300000001
161,6/1993,22.565903000000006
162,7/1993,22.56590300000001
163,8/1993,22.56590300000001
164,9/1993,22.565903000000006
165,10/1993,22.56590300000001
166,11/1993,22.57228203333333
167,12/1993,22.125017774193545
168,1/1994,22.053224419354844
169,2/1994,22.565903000000002
170,3/1994,22.56590300000001
171,4/1994,22.565903000000006
172,5/1994,21.52382719354839
173,6/1994,20.08843226666667
174,7/1994,17.404515903225803
175,8/1994,16.471872596774197
176,9/1994,20.944491166666662
177,10/1994,21.84704745161291
178,11/1994,21.977160433333335
179,12/1994,22.56590300000001
180,1/1995,21.557279064516127
181,2/1995,21.844221214285714
182,3/1995,21.96026567741935
183,4/1995,22.10223803333333
184,5/1995,21.799115290322575
