,Data,TempMinPrevista
0,1/1980,23.322131064516128
1,2/1980,23.011765137931032
2,3/1980,22.42924325806451
3,4/1980,22.44586216666666
4,5/1980,21.98870719354839
5,6/1980,21.52869063333333
6,7/1980,20.529390290322578
7,8/1980,20.612089483870964
8,9/1980,21.397165633333334
9,10/1980,21.53677083870968
10,11/1980,22.111503233333334
11,12/1980,21.904741870967737
12,1/1981,22.703862645161287
13,2/1981,23.43138796428571
14,3/1981,22.748305677419353
15,4/1981,22.185067733333327
16,5/1981,21.872916838709678
17,6/1981,21.298557666666674
18,7/1981,20.422758838709683
19,8/1981,20.624894451612903
20,9/1981,21.092223333333333
21,10/1981,22.006218161290324
22,11/1981,22.82964336666667
23,12/1981,23.462534258064508
24,1/1982,22.769005612903225
25,2/1982,22.485510571428573
26,3/1982,22.853693774193548
27,4/1982,22.52704216666666
28,5/1982,22.243010612903227
29,6/1982,21.546821700000002
30,7/1982,20.857380870967745
31,8/1982,21.0267195483871
32,9/1982,21.121324533333336
33,10/1982,21.115631806451614
34,11/1982,21.970925299999998
35,12/1982,22.886463000000006
36,1/1983,22.916878741935484
37,2/1983,23.581266857142857
38,3/1983,23.704236548387097
39,4/1983,21.73779486666667
40,5/1983,22.062593064516133
41,6/1983,20.952992666666667
42,7/1983,20.606177322580645
43,8/1983,20.957595032258062
44,9/1983,21.52949456666666
45,10/1983,21.820838129032264
46,11/1983,21.228886433333336
47,12/1983,22.53375683870967
48,1/1984,22.702244741935488
49,2/1984,23.622159793103446
50,3/1984,23.416741580645162
51,4/1984,22.705302733333337
52,5/1984,22.222951064516135
53,6/1984,21.651369799999998
54,7/1984,21.076330290322588
55,8/1984,21.311301580645157
56,9/1984,21.300593166666673
57,10/1984,22.050801967741933
58,11/1984,22.23358903333333
59,12/1984,22.317083645161286
60,1/1985,23.156726322580642
61,2/1985,22.564300714285707
62,3/1985,23.09356306451613
63,4/1985,21.90179313333333
64,5/1985,22.063489483870974
65,6/1985,21.75239713333333
66,7/1985,21.19436774193548
67,8/1985,21.028571903225814
68,9/1985,21.388734799999998
69,10/1985,21.063393129032256
70,11/1985,21.64241096666666
71,12/1985,22.20793993548387
72,1/1986,22.41902022580644
73,2/1986,22.73604175
74,3/1986,22.702597193548392
75,4/1986,22.943941666666664
76,5/1986,22.473172451612903
77,6/1986,21.393500600000003
78,7/1986,20.959720258064507
79,8/1986,21.083137483870967
80,9/1986,21.45066529999999
81,10/1986,21.50654980645161
82,11/1986,22.929890699999998
83,12/1986,22.58917009677419
84,1/1987,22.888845290322582
85,2/1987,23.28837821428571
86,3/1987,23.232038258064524
87,4/1987,23.32235856666667
88,5/1987,22.50000125806452
89,6/1987,22.195241999999997
90,7/1987,21.98301206451613
91,8/1987,21.575731032258062
92,9/1987,21.402134466666666
93,10/1987,21.54177622580645
94,11/1987,22.357358733333328
95,12/1987,23.063129967741933
96,1/1988,23.28342532258065
97,2/1988,23.975755103448282
98,3/1988,23.378496354838713
99,4/1988,23.164042800000004
100,5/1988,22.163368903225805
101,6/1988,21.931100333333337
102,7/1988,21.2649649032258
103,8/1988,20.569698645161296
104,9/1988,21.4019288
105,10/1988,22.410124645161293
106,11/1988,22.959206199999997
107,12/1988,22.5696525483871
108,1/1989,22.15886548387097
109,2/1989,22.741023178571428
110,3/1989,22.868934161290326
111,4/1989,22.958323933333336
112,5/1989,22.455884935483876
113,6/1989,21.921087133333337
114,7/1989,21.071856741935484
115,8/1989,21.165134967741928
116,9/1989,21.358339466666667
117,10/1989,22.002430774193545
118,11/1989,22.709530266666665
119,12/1989,23.322227064516134
120,1/1990,22.786786967741936
121,2/1990,22.48980657142857
122,3/1990,22.651497548387095
123,4/1990,23.114418199999992
124,5/1990,21.829133806451615
125,6/1990,21.586040833333325
126,7/1990,21.101576645161295
127,8/1990,20.94400196774193
128,9/1990,21.002575499999995
129,10/1990,21.653674322580645
130,11/1990,22.368293699999995
131,12/1990,21.441651870967743
132,1/1991,23.017977387096774
133,2/1991,23.25319267857143
134,3/1991,23.122410096774196
135,4/1991,22.704123800000005
136,5/1991,22.57466222580645
137,6/1991,21.70218976666667
138,7/1991,20.9893084516129
139,8/1991,20.58808148387097
140,9/1991,20.996677400000003
141,10/1991,21.4015184516129
142,11/1991,22.163766500000005
143,12/1991,21.8796524516129
144,1/1992,22.530494677419348
145,2/1992,23.723294413793106
146,3/1992,23.732011096774198
147,4/1992,23.517367666666665
148,5/1992,22.067764032258065
149,6/1992,21.314271433333335
150,7/1992,20.732543290322578
151,8/1992,20.79502570967742
152,9/1992,21.566327400000002
153,10/1992,21.410390935483868
154,11/1992,22.004831633333335
155,12/1992,22.61510941935484
156,1/1993,22.844066483870964
157,2/1993,23.09011028571428
158,3/1993,23.187119967741932
159,4/1993,23.143284333333334
160,5/1993,22.38912309677419
161,6/1993,21.472186733333338
162,7/1993,20.69589070967742
163,8/1993,20.99815287096774
164,9/1993,21.96106386666667
165,10/1993,22.79669319354839
166,11/1993,23.63154913333333
167,12/1993,23.4928486451613
168,1/1994,23.42427051612903
169,2/1994,23.89794239285714
170,3/1994,23.690328903225815
171,4/1994,22.833700833333335
172,5/1994,22.60321093548387
173,6/1994,22.369310366666664
174,7/1994,21.562297064516127
175,8/1994,20.9852344516129
176,9/1994,21.442068300000006
177,10/1994,22.183794548387098
178,11/1994,21.825478166666663
179,12/1994,23.02296538709678
180,1/1995,22.801253903225806
181,2/1995,23.337806214285713
182,3/1995,23.680832612903224
183,4/1995,22.986985
184,5/1995,22.491641806451614
185,6/1995,21.490969166666666
186,7/1995,21.201862806451615
187,8/1995,20.563496709677416
188,9/1995,21.175376533333335
189,10/1995,22.05308241935484
190,11/1995,22.403384966666668
191,12/1995,22.483114322580644
192,1/1996,23.817621903225803
193,2/1996,23.656839620689656
194,3/1996,23.72431493548387
195,4/1996,23.15006856666667
196,5/1996,22.12865048387097
197,6/1996,21.743825099999995
198,7/1996,21.135675161290322
199,8/1996,21.479934903225807
200,9/1996,21.741470533333327
201,10/1996,22.856566000000004
202,11/1996,23.1612915
203,12/1996,23.562161129032248
204,1/1997,24.103958870967745
205,2/1997,23.783959321428565
206,3/1997,23.696148612903226
207,4/1997,22.904490733333333
208,5/1997,22.48389838709678
209,6/1997,20.776632099999997
210,7/1997,20.64202851612903
211,8/1997,21.208244
212,9/1997,21.027637333333338
213,10/1997,22.233875677419356
214,11/1997,23.00221803333333
215,12/1997,23.264183870967738
216,1/1998,24.138191064516135
217,2/1998,24.83446917857143
218,3/1998,24.50711019354839
219,4/1998,24.364426799999997
220,5/1998,22.909102677419355
221,6/1998,21.842663966666667
222,7/1998,21.307926967741928
223,8/1998,21.06052167741936
224,9/1998,21.7079759
225,10/1998,22.70785938709677
226,11/1998,23.162091166666663
227,12/1998,23.54001270967742
228,1/1999,23.45662893548387
229,2/1999,24.340246857142862
230,3/1999,24.077904677419355
231,4/1999,23.49489123333333
232,5/1999,22.471464290322587
233,6/1999,21.58626746666666
234,7/1999,20.97614483870968
235,8/1999,20.49744948387097
236,9/1999,22.011405633333336
237,10/1999,22.257709677419353
238,11/1999,22.968114899999996
239,12/1999,23.949476419354834
240,1/2000,23.350303354838708
241,2/2000,23.652904758620686
242,3/2000,24.02263580645162
243,4/2000,23.2968741
244,5/2000,22.322278290322583
245,6/2000,22.023102866666665
246,7/2000,21.399227064516133
247,8/2000,21.26298632258065
248,9/2000,21.957791399999998
249,10/2000,22.800683580645163
250,11/2000,22.704063766666668
251,12/2000,22.529668354838712
252,1/2001,22.935179709677417
