,Data,TempMinPrevista
0,1/1980,21.913946032258064
1,2/1980,21.98114644827587
2,3/1980,21.936308354838715
3,4/1980,21.115118999999996
4,5/1980,20.891581000000006
5,6/1980,20.790709200000002
6,7/1980,21.235873645161288
7,8/1980,21.498490258064514
8,9/1980,20.919143400000006
9,10/1980,21.311990548387097
10,11/1980,21.094917066666675
11,12/1980,21.459151225806455
12,1/1981,21.499408161290322
13,2/1981,21.648888499999998
14,3/1981,22.043272032258063
15,4/1981,21.593923500000002
16,5/1981,21.009818838709673
17,6/1981,19.460675400000003
18,7/1981,18.36351925806451
19,8/1981,20.007055451612906
20,9/1981,20.763274466666665
21,10/1981,21.314714838709683
22,11/1981,21.333627399999997
23,12/1981,21.682209193548385
24,1/1982,22.550278096774193
25,2/1982,22.21451578571429
26,3/1982,22.30598716129032
27,4/1982,22.245077300000002
28,5/1982,21.32557632258065
29,6/1982,20.062772566666663
30,7/1982,19.87468167741936
31,8/1982,19.62602690322581
32,9/1982,21.525875200000005
33,10/1982,21.802873483870968
34,11/1982,22.33114596666667
35,12/1982,22.200597967741935
36,1/1983,21.93150358064516
37,2/1983,21.888289142857143
38,3/1983,21.80728209677419
39,4/1983,21.961209066666676
40,5/1983,21.24776558064516
41,6/1983,17.619599216666668
42,7/1983,18.106869354838707
43,8/1983,18.297579177419355
44,9/1983,19.016016333333333
45,10/1983,20.15168703225807
46,11/1983,20.7769488
47,12/1983,21.148430419354842
48,1/1984,20.426395032258064
49,2/1984,20.836372172413796
50,3/1984,21.389447935483872
51,4/1984,20.47653833333333
52,5/1984,19.682581000000003
53,6/1984,17.586319383333333
54,7/1984,17.113765967741934
55,8/1984,17.52604509677419
56,9/1984,19.77094736666667
57,10/1984,20.752594451612904
58,11/1984,20.925654599999998
59,12/1984,21.254864290322576
60,1/1985,21.038470548387092
61,2/1985,20.999963357142864
62,3/1985,21.485105
63,4/1985,20.582269800000002
64,5/1985,19.94157551612904
65,6/1985,16.838227533333335
66,7/1985,16.558825806451615
67,8/1985,17.136481677419354
68,9/1985,19.120147499999995
69,10/1985,20.532768096774188
70,11/1985,20.730765333333334
71,12/1985,21.34692219354838
72,1/1986,22.368743935483874
73,2/1986,20.723535642857144
74,3/1986,21.016776580645164
75,4/1986,20.920733966666667
76,5/1986,20.54769761290322
77,6/1986,17.131974816666666
78,7/1986,17.4259705483871
79,8/1986,19.501748322580642
80,9/1986,19.12653406666667
81,10/1986,20.306557838709672
82,11/1986,20.798534266666664
83,12/1986,21.259289741935483
84,1/1987,21.474649322580646
85,2/1987,21.08556917857143
86,3/1987,20.511046516129028
87,4/1987,20.752356066666664
88,5/1987,19.392293322580645
89,6/1987,15.930813233333334
90,7/1987,19.534395225806453
91,8/1987,18.521162048387097
92,9/1987,20.628303199999998
93,10/1987,21.3111610967742
94,11/1987,21.351566966666667
95,12/1987,21.356922161290324
96,1/1988,21.433525225806452
97,2/1988,21.425482344827586
98,3/1988,21.914100451612903
99,4/1988,20.865778
100,5/1988,19.463629548387097
101,6/1988,17.3277101
102,7/1988,14.923857
103,8/1988,18.275124354838706
104,9/1988,19.620533933333334
105,10/1988,20.66987145161291
106,11/1988,20.063900200000003
107,12/1988,20.46995929032258
108,1/1989,20.07945183870968
109,2/1989,20.119785214285713
110,3/1989,20.023501806451613
111,4/1989,20.2047696
112,5/1989,18.29992201612903
113,6/1989,18.579568233333337
114,7/1989,15.843639983870967
115,8/1989,18.627128258064516
116,9/1989,18.628166866666668
117,10/1989,19.0510294516129
118,11/1989,19.759085166666672
119,12/1989,20.069693903225808
120,1/1990,19.279508451612905
121,2/1990,19.23590317857143
122,3/1990,19.724779096774192
123,4/1990,18.807506000000004
124,5/1990,17.5304625483871
125,6/1990,16.98116153333333
126,7/1990,16.878658548387097
127,8/1990,15.054579919354842
128,9/1990,15.487016666666664
129,10/1990,15.019950403225808
130,11/1990,15.384716049999998
131,12/1990,15.781626419354838
132,1/1991,23.052156451612902
133,2/1991,23.05215635714286
134,3/1991,23.052156387096776
135,4/1991,23.0521564
136,5/1991,23.052156451612902
137,6/1991,23.0521564
138,7/1991,23.052156451612902
139,8/1991,23.052156387096776
140,9/1991,23.0521564
141,10/1991,23.052156387096776
142,11/1991,23.0521564
143,12/1991,23.052156387096776
144,1/1992,23.052156387096776
145,2/1992,23.052156413793107
146,3/1992,23.052156387096776
147,4/1992,23.0521564
148,5/1992,23.052156387096776
149,6/1992,23.0521564
150,7/1992,23.052156387096776
151,8/1992,23.052156387096776
152,9/1992,23.0521564
153,10/1992,23.052156387096776
154,11/1992,23.0521564
155,12/1992,23.052156451612902
156,1/1993,21.928739096774194
157,2/1993,22.23448282142857
158,3/1993,22.241014806451613
159,4/1993,22.08304026666666
160,5/1993,20.838967145161284
161,6/1993,19.347733833333333
162,7/1993,17.5358815483871
163,8/1993,18.756401403225805
164,9/1993,20.465043533333336
165,10/1993,21.877856354838713
166,11/1993,22.073532633333333
167,12/1993,21.8062489032258
168,1/1994,21.762566419354844
169,2/1994,21.85622321428571
170,3/1994,21.558894129032264
171,4/1994,21.6868048
172,5/1994,21.706370774193548
173,6/1994,21.403516966666665
174,7/1994,20.607777870967737
175,8/1994,20.60417258064515
176,9/1994,21.045372400000005
177,10/1994,21.082428741935477
178,11/1994,21.08675953333333
179,12/1994,21.587621677419346
180,1/1995,21.50714741935484
181,2/1995,21.405853071428567
182,3/1995,21.6361545483871
183,4/1995,21.4152771
184,5/1995,21.163015387096767
185,6/1995,21.065956999999994
186,7/1995,20.73173451612903
187,8/1995,19.407266354838708
188,9/1995,20.47745496666666
189,10/1995,20.436475258064515
190,11/1995,21.164400166666667
191,12/1995,21.312020999999998
192,1/1996,21.591181000000002
193,2/1996,21.54608724137931
194,3/1996,21.735608258064513
195,4/1996,20.127970666666666
196,5/1996,20.178612967741937
197,6/1996,19.5769131
198,7/1996,19.56941754838709
199,8/1996,20.80005383870968
200,9/1996,20.678817633333328
201,10/1996,21.371326129032262
202,11/1996,21.594891099999998
203,12/1996,22.37479070967742
204,1/1997,22.75094335483871
205,2/1997,22.507156678571427
206,3/1997,22.34493787096774
207,4/1997,22.074218366666667
208,5/1997,21.250421935483867
209,6/1997,21.039892833333333
210,7/1997,19.00553448387097
211,8/1997,20.296266032258064
212,9/1997,21.093122633333333
213,10/1997,22.64104564516129
214,11/1997,22.700022266666668
215,12/1997,23.092848064516126
216,1/1998,23.138597677419355
217,2/1998,23.12260428571429
218,3/1998,23.197562903225805
219,4/1998,22.715514300000002
220,5/1998,19.99447825806452
221,6/1998,19.57834855
222,7/1998,18.794737338709677
223,8/1998,21.702260806451612
224,9/1998,20.796508266666663
225,10/1998,22.24216716129033
226,11/1998,22.525815700000003
227,12/1998,22.22146735483871
228,1/1999,22.54208422580645
229,2/1999,22.460504535714282
