,Data,TempMinPrevista
0,1/1980,23.694116709677424
1,2/1980,23.458927586206904
2,3/1980,23.91032209677419
3,4/1980,23.61998696666667
4,5/1980,23.01963096774194
5,6/1980,22.0935372
6,7/1980,21.418293
7,8/1980,21.706836903225806
8,9/1980,21.7537161
9,10/1980,22.740698451612907
10,11/1980,22.877789800000002
11,12/1980,23.917063709677418
12,1/1981,21.300434
13,2/1981,21.300434
14,3/1981,21.300434
15,4/1981,21.300434
16,5/1981,21.300434
17,6/1981,21.300434
18,7/1981,21.300434
19,8/1981,21.300434
20,9/1981,21.300434
21,10/1981,21.300434
22,11/1981,21.300434
23,12/1981,21.300434
24,1/1982,21.300434
25,2/1982,21.300434
26,3/1982,21.300434
27,4/1982,21.300434
28,5/1982,21.300434
29,6/1982,21.300434
30,7/1982,21.300434
31,8/1982,21.300434
32,9/1982,21.300434
33,10/1982,21.300434
34,11/1982,21.300434
35,12/1982,21.300434
36,1/1983,21.300434
37,2/1983,21.300434
38,3/1983,21.300434
39,4/1983,21.300434
40,5/1983,21.300434
41,6/1983,21.300434
42,7/1983,21.300434
43,8/1983,21.300434
44,9/1983,21.300434
45,10/1983,21.300434
46,11/1983,21.300434
47,12/1983,21.300434
48,1/1984,21.300434
49,2/1984,21.300434
50,3/1984,21.300434
51,4/1984,21.300434
52,5/1984,21.300434
53,6/1984,21.300434
54,7/1984,21.300434
55,8/1984,21.300434
56,9/1984,21.300434
57,10/1984,21.300434
58,11/1984,21.300434
59,12/1984,21.300434
60,1/1985,21.300434
61,2/1985,21.300434
62,3/1985,21.300434
63,4/1985,21.300434
64,5/1985,21.300434
65,6/1985,21.300434
66,7/1985,21.300434
67,8/1985,21.300434
68,9/1985,21.300434
69,10/1985,21.300434
70,11/1985,21.300434
71,12/1985,21.300434
72,1/1986,23.871772806451617
73,2/1986,24.63030482142857
74,3/1986,23.87679203225807
75,4/1986,23.94463626666666
76,5/1986,23.1263345483871
77,6/1986,21.300434
78,7/1986,21.09552316129032
79,8/1986,21.2907390967742
80,9/1986,21.300434
81,10/1986,22.457591129032256
82,11/1986,21.300434
83,12/1986,23.961573612903226
84,1/1987,24.41695706451613
85,2/1987,24.702866285714286
86,3/1987,24.403015516129038
87,4/1987,24.623142766666675
88,5/1987,23.844925741935484
89,6/1987,23.0891923
90,7/1987,22.70122232258064
91,8/1987,22.389269903225802
92,9/1987,22.80568196666667
93,10/1987,23.548968870967737
94,11/1987,23.588666466666666
95,12/1987,24.424840580645164
96,1/1988,24.968437225806454
97,2/1988,21.300434
98,3/1988,24.6870454516129
99,4/1988,24.464241633333334
100,5/1988,23.833116129032263
101,6/1988,22.71247396666667
102,7/1988,21.300434
103,8/1988,20.584824322580648
104,9/1988,21.957888333333333
105,10/1988,23.393837967741934
106,11/1988,23.457637633333327
107,12/1988,23.41173870967742
108,1/1989,23.87003306451613
109,2/1989,21.300434
110,3/1989,24.377626419354844
111,4/1989,21.300434
112,5/1989,21.300434
113,6/1989,21.300434
114,7/1989,21.300434
115,8/1989,21.300434
116,9/1989,21.300434
117,10/1989,21.300434
118,11/1989,21.300434
119,12/1989,21.300434
120,1/1990,23.511545516129036
121,2/1990,23.972694535714286
122,3/1990,24.424855322580648
123,4/1990,23.667348033333333
124,5/1990,23.428391935483866
125,6/1990,22.07450713333333
126,7/1990,21.51334609677419
127,8/1990,21.300434
128,9/1990,21.300434
129,10/1990,21.300434
130,11/1990,21.300434
131,12/1990,21.300434
132,1/1991,23.38291664516129
133,2/1991,23.326743357142856
134,3/1991,23.536384741935485
135,4/1991,21.807632566666665
136,5/1991,22.208008645161293
137,6/1991,21.940287966666666
138,7/1991,21.014983322580647
139,8/1991,20.378241580645167
140,9/1991,21.410339233333332
141,10/1991,22.09211487096774
142,11/1991,22.801520433333334
143,12/1991,23.38124383870968
144,1/1992,23.546862838709682
145,2/1992,23.05155175862069
146,3/1992,24.022462935483876
147,4/1992,23.8504278
148,5/1992,23.129109741935483
149,6/1992,21.688961100000004
150,7/1992,21.045127290322583
151,8/1992,20.870937451612903
152,9/1992,21.347157433333336
153,10/1992,22.465182516129033
154,11/1992,22.789775033333335
155,12/1992,22.877433870967742
156,1/1993,23.669058290322578
157,2/1993,24.19704817857143
158,3/1993,24.394765645161293
159,4/1993,23.806235200000003
160,5/1993,22.91709106451613
161,6/1993,21.69478136666667
162,7/1993,21.38755722580645
163,8/1993,21.04323438709677
164,9/1993,21.695186866666663
165,10/1993,22.457635967741933
166,11/1993,23.3209207
167,12/1993,24.09828464516129
168,1/1994,24.574814709677415
169,2/1994,24.61460985714286
170,3/1994,24.48946229032258
171,4/1994,23.706399900000008
172,5/1994,23.308799806451614
173,6/1994,22.4324241
174,7/1994,21.341710419354836
175,8/1994,20.90600803225807
176,9/1994,21.5498563
177,10/1994,22.257059709677414
178,11/1994,23.054730699999997
179,12/1994,23.67957819354839
180,1/1995,23.847206580645164
181,2/1995,24.322652392857147
182,3/1995,24.789215677419346
183,4/1995,23.97700683333333
184,5/1995,23.53719351612904
185,6/1995,22.355106766666662
186,7/1995,21.647086419354842
187,8/1995,21.580373612903223
188,9/1995,22.029445300000003
189,10/1995,22.85310567741935
190,11/1995,22.805620366666673
191,12/1995,23.617869032258064
192,1/1996,24.308121290322568
193,2/1996,24.499369379310345
194,3/1996,25.13442887096775
195,4/1996,23.856657266666666
196,5/1996,23.234332612903227
197,6/1996,22.03020283333334
198,7/1996,21.126739516129035
199,8/1996,21.248523548387098
200,9/1996,21.777467899999998
201,10/1996,23.019661548387095
202,11/1996,23.076268000000002
203,12/1996,23.918005032258066
204,1/1997,24.327663967741938
205,2/1997,23.349685142857144
206,3/1997,23.454830935483866
207,4/1997,23.483024
208,5/1997,22.625199322580645
209,6/1997,21.918727800000003
210,7/1997,21.484572741935484
211,8/1997,21.639181258064518
212,9/1997,22.643778
213,10/1997,23.477847096774195
214,11/1997,24.284742733333328
215,12/1997,24.872765967741937
216,1/1998,25.41407116129032
217,2/1998,25.66349521428572
218,3/1998,25.701162354838708
219,4/1998,25.360206266666673
220,5/1998,24.453126580645158
221,6/1998,22.909266999999996
222,7/1998,22.125992
223,8/1998,21.995696451612897
224,9/1998,22.514647433333334
225,10/1998,23.344461096774193
226,11/1998,24.039306133333337
227,12/1998,24.20016177419355
228,1/1999,24.453129064516126
229,2/1999,24.640046928571426
230,3/1999,24.65368503225806
231,4/1999,24.062234966666665
232,5/1999,22.906006064516138
233,6/1999,22.27609663333333
234,7/1999,21.624593645161294
235,8/1999,20.8889854516129
236,9/1999,21.21135363333333
237,10/1999,22.012800419354836
238,11/1999,22.62532906666667
239,12/1999,23.567306967741935
240,1/2000,23.878770935483868
241,2/2000,24.36219534482758
242,3/2000,23.914724999999997
243,4/2000,23.471367599999997
244,5/2000,23.017369419354836
245,6/2000,22.285820233333332
246,7/2000,21.078975032258068
247,8/2000,21.13735790322581
248,9/2000,21.83786686666667
249,10/2000,22.882190774193546
250,11/2000,23.43164713333333
251,12/2000,23.47648396774194
252,1/2001,23.548883419354844
253,2/2001,24.470735392857147
254,3/2001,24.302780096774196
255,4/2001,24.080255733333335
256,5/2001,23.722995032258062
257,6/2001,22.240351833333328
258,7/2001,21.440071096774194
259,8/2001,20.924350354838708
260,9/2001,21.519762633333333
261,10/2001,22.454282516129034
262,11/2001,23.542244666666665
263,12/2001,23.87024996774194
264,1/2002,23.54321219354838
265,2/2002,24.192140892857143
266,3/2002,24.337523709677416
267,4/2002,23.9401904
268,5/2002,22.94994674193548
269,6/2002,22.02029706666666
270,7/2002,21.472599580645156
271,8/2002,21.20413332258065
272,9/2002,21.948638900000002
273,10/2002,22.1132114516129
274,11/2002,23.237476133333324
275,12/2002,23.904095483870965
276,1/2003,24.348926612903224
277,2/2003,24.47843992857143
278,3/2003,24.33068158064516
279,4/2003,24.2982349
280,5/2003,23.07792577419355
281,6/2003,22.328930033333336
282,7/2003,21.54562480645161
283,8/2003,21.273866161290325
284,9/2003,21.65254096666666
285,10/2003,22.609974032258066
286,11/2003,23.350193166666667
287,12/2003,23.850898290322572
288,1/2004,23.71284929032258
289,2/2004,24.093914172413793
290,3/2004,24.228242967741934
291,4/2004,23.716350499999997
292,5/2004,22.938282483870967
293,6/2004,21.679447533333338
294,7/2004,20.682068225806457
295,8/2004,20.406011580645163
296,9/2004,21.500380433333326
297,10/2004,22.213250838709676
298,11/2004,22.83838986666666
299,12/2004,23.72155238709677
300,1/2005,24.16527670967742
301,2/2005,24.21572414285715
302,3/2005,24.29256767741936
303,4/2005,23.705177600000003
304,5/2005,23.43082758064516
305,6/2005,22.013272066666673
306,7/2005,21.149691322580647
307,8/2005,21.431174903225806
308,9/2005,22.321376633333326
309,10/2005,22.035225451612902
310,11/2005,23.4438735
311,12/2005,23.68484080645161
312,1/2006,23.69396170967742
313,2/2006,24.58100139285714
314,3/2006,24.78814096774193
315,4/2006,23.724550933333337
316,5/2006,22.59654816129032
317,6/2006,21.3499333
318,7/2006,20.707813451612903
319,8/2006,20.89306151612903
320,9/2006,21.30390246666667
321,10/2006,22.243016354838705
322,11/2006,22.8276924
323,12/2006,23.764521322580652
324,1/2007,24.229193806451615
325,2/2007,23.600850071428567
326,3/2007,23.685398096774193
327,4/2007,23.509785
328,5/2007,22.78845138709678
329,6/2007,21.554111700000004
330,7/2007,20.86493841935484
331,8/2007,20.406862322580643
332,9/2007,20.730314133333334
333,10/2007,22.235873806451615
334,11/2007,23.492041066666662
335,12/2007,22.95285370967742
336,1/2008,23.27131461290323
337,2/2008,23.83014382758621
338,3/2008,23.894555419354838
339,4/2008,23.75564663333334
340,5/2008,22.717615967741935
341,6/2008,21.1535807
342,7/2008,20.20106067741936
343,8/2008,20.259899774193553
344,9/2008,21.377207566666673
345,10/2008,22.165723451612912
346,11/2008,22.838095300000003
347,12/2008,22.816521580645162
348,1/2009,23.728303258064514
349,2/2009,23.40810917857143
350,3/2009,23.923258032258072
351,4/2009,23.1548207
352,5/2009,22.316188064516137
