,Data,TempMinPrevista
0,1/1980,23.807452967741934
1,2/1980,22.84056093103448
2,3/1980,23.36522241935484
3,4/1980,23.169422300000008
4,5/1980,23.327695419354836
5,6/1980,22.950564366666665
6,7/1980,23.03288032258065
7,8/1980,23.58019835483871
8,9/1980,23.81906426666667
9,10/1980,24.215034935483867
10,11/1980,23.957052533333332
11,12/1980,24.19679629032258
12,1/1981,23.83544887096774
13,2/1981,23.762829428571425
14,3/1981,23.604079161290326
15,4/1981,23.7003931
16,5/1981,23.36047183870968
17,6/1981,23.424263466666666
18,7/1981,22.969967709677416
19,8/1981,22.89998867741935
20,9/1981,23.695825533333338
21,10/1981,24.195680806451612
22,11/1981,24.5289937
23,12/1981,24.434483806451613
24,1/1982,23.862407419354835
25,2/1982,23.164615321428574
26,3/1982,23.39895980645161
27,4/1982,23.179261
28,5/1982,23.627494354838717
29,6/1982,23.069849600000005
30,7/1982,23.28008416129033
31,8/1982,23.147874064516134
32,9/1982,23.825370200000002
33,10/1982,23.863699838709675
34,11/1982,24.266642600000008
35,12/1982,24.607361354838705
36,1/1983,24.539393387096773
37,2/1983,23.78854335714286
38,3/1983,23.812576806451613
39,4/1983,23.615965533333334
40,5/1983,23.66081187096774
41,6/1983,23.73173763333333
42,7/1983,23.555512999999998
43,8/1983,24.099606612903226
44,9/1983,24.437592933333338
45,10/1983,24.481857354838716
46,11/1983,24.30894086666667
47,12/1983,24.492558677419357
48,1/1984,23.202867870967744
49,2/1984,23.07984275862069
50,3/1984,22.864991612903218
51,4/1984,22.84865933333333
52,5/1984,22.89433035483872
53,6/1984,23.230316533333333
54,7/1984,23.02340261290323
55,8/1984,23.228208225806448
56,9/1984,23.47813986666666
57,10/1984,23.79296280645161
58,11/1984,23.914783366666665
59,12/1984,23.90953929032258
60,1/1985,22.900317419354835
61,2/1985,22.583724428571426
62,3/1985,22.717481741935483
63,4/1985,22.630064499999996
64,5/1985,22.83066861290323
65,6/1985,22.864057433333336
66,7/1985,22.933384838709674
67,8/1985,23.29259822580645
68,9/1985,23.5270382
69,10/1985,23.668974032258067
70,11/1985,23.742946866666664
71,12/1985,23.36758858064516
72,1/1986,22.865153548387102
73,2/1986,22.927885214285713
74,3/1986,22.815275129032262
75,4/1986,23.1885511
76,5/1986,23.40716203225806
77,6/1986,22.775653733333336
78,7/1986,22.861854032258062
79,8/1986,23.119849290322584
80,9/1986,23.491333333333333
81,10/1986,23.57551022580645
82,11/1986,24.4015371
83,12/1986,24.246293612903223
84,1/1987,24.132033419354844
85,2/1987,23.898423500000007
86,3/1987,23.002019161290328
87,4/1987,23.980733699999995
88,5/1987,23.810651419354837
89,6/1987,23.31839073333333
90,7/1987,23.472236741935486
91,8/1987,23.537766483870968
92,9/1987,23.87648076666667
93,10/1987,24.04500261290322
94,11/1987,24.42151573333333
95,12/1987,24.73859458064517
96,1/1988,24.07163664516129
97,2/1988,23.710352655172418
98,3/1988,22.89770251612903
99,4/1988,23.44426616666667
100,5/1988,23.492944548387097
101,6/1988,23.20568893333334
102,7/1988,22.61439803225807
103,8/1988,22.87982106451613
104,9/1988,23.381989100000002
105,10/1988,23.89832293548387
106,11/1988,24.183163333333326
107,12/1988,23.522942677419355
108,1/1989,23.43072970967742
109,2/1989,23.388642892857145
110,3/1989,23.137514516129027
111,4/1989,23.065845566666667
112,5/1989,22.811394870967746
113,6/1989,23.003138599999996
114,7/1989,22.490300516129036
115,8/1989,23.125007096774194
116,9/1989,23.61356353333333
117,10/1989,23.917110483870964
118,11/1989,23.306163233333336
119,12/1989,23.7893489032258
120,1/1990,23.759481225806454
121,2/1990,23.43945528571428
122,3/1990,23.626908935483875
123,4/1990,23.705451699999994
124,5/1990,23.75137183870968
125,6/1990,23.423612533333337
126,7/1990,22.839263677419357
127,8/1990,23.3572943548387
128,9/1990,23.73388123333333
129,10/1990,24.16650577419355
130,11/1990,24.228029666666664
131,12/1990,24.292537322580646
132,1/1991,23.35840161290323
133,2/1991,23.792503285714286
134,3/1991,23.147165129032256
135,4/1991,23.19498816666667
136,5/1991,23.245098677419353
137,6/1991,23.293965200000002
138,7/1991,22.896434483870962
139,8/1991,22.53324696774193
140,9/1991,23.237171999999997
141,10/1991,24.079318096774195
142,11/1991,24.147635966666666
143,12/1991,24.570120096774186
144,1/1992,24.32109635483871
145,2/1992,23.89604927586206
146,3/1992,23.440970516129035
147,4/1992,23.995017333333333
148,5/1992,24.183828483870965
149,6/1992,23.4538485
150,7/1992,22.994668258064518
151,8/1992,23.505808387096774
152,9/1992,23.934031633333337
153,10/1992,24.312181387096764
154,11/1992,24.302196333333328
155,12/1992,24.729361483870974
156,1/1993,24.08205138709678
157,2/1993,23.67979396428571
158,3/1993,23.650190096774196
159,4/1993,23.784339233333334
160,5/1993,23.935046451612905
161,6/1993,23.503274833333332
162,7/1993,23.086006129032256
163,8/1993,23.67931838709678
164,9/1993,24.10473473333333
165,10/1993,24.668957161290322
166,11/1993,25.143033100000004
167,12/1993,25.131876387096767
168,1/1994,24.052167903225808
169,2/1994,24.030231107142857
170,3/1994,23.67160883870968
171,4/1994,23.78284606666667
172,5/1994,23.392226290322583
173,6/1994,23.316093566666666
174,7/1994,23.03744632258065
175,8/1994,23.30875483870968
176,9/1994,23.945640533333332
177,10/1994,24.333202225806456
178,11/1994,24.38870213333333
179,12/1994,24.281164516129035
180,1/1995,24.136742354838713
181,2/1995,23.529814750000003
182,3/1995,23.49977448387097
183,4/1995,23.294791999999998
184,5/1995,23.395359387096775
185,6/1995,23.27804613333333
186,7/1995,23.240906967741935
187,8/1995,23.680816612903232
188,9/1995,23.8605758
189,10/1995,24.05365212903226
190,11/1995,24.382893366666664
191,12/1995,24.53873596774193
192,1/1996,23.578822870967745
193,2/1996,23.766891586206903
194,3/1996,23.300889935483873
195,4/1996,23.23789609999999
196,5/1996,23.335416645161292
197,6/1996,23.1152048
198,7/1996,23.014770548387098
199,8/1996,23.551404290322587
200,9/1996,23.85901783333333
201,10/1996,24.28041012903226
202,11/1996,24.544566933333332
203,12/1996,24.9578904516129
204,1/1997,24.182488193548384
205,2/1997,24.03567553571429
206,3/1997,23.64809661290323
207,4/1997,23.271907633333335
208,5/1997,23.44779493548387
209,6/1997,23.446651600000003
210,7/1997,23.167044161290324
211,8/1997,23.641790387096773
212,9/1997,23.897218099999996
213,10/1997,24.462411645161296
214,11/1997,24.62875933333333
215,12/1997,24.892592258064514
216,1/1998,24.38886196774194
217,2/1998,25.12873457142857
218,3/1998,24.230215612903226
219,4/1998,24.880682533333324
220,5/1998,24.637719161290324
221,6/1998,23.82381966666667
222,7/1998,23.506999032258058
223,8/1998,24.075453645161282
224,9/1998,24.514856500000004
225,10/1998,24.920363967741938
226,11/1998,25.06913973333333
227,12/1998,24.783115064516135
228,1/1999,24.17992558064516
229,2/1999,23.54088989285714
230,3/1999,23.161415741935482
231,4/1999,23.387574599999994
232,5/1999,23.158451064516125
233,6/1999,23.39709763333333
234,7/1999,22.761040000000005
235,8/1999,23.173659677419355
236,9/1999,23.980914700000003
237,10/1999,24.253051290322585
238,11/1999,24.498238599999997
239,12/1999,24.6559824516129
240,1/2000,23.572025129032255
241,2/2000,23.296270413793106
242,3/2000,23.05880290322581
243,4/2000,23.18694416666666
244,5/2000,23.309563322580644
245,6/2000,23.44011493333334
246,7/2000,23.014489161290317
247,8/2000,23.221661290322576
248,9/2000,24.190074799999998
249,10/2000,24.291266064516133
250,11/2000,24.34190483333333
251,12/2000,24.321693419354844
252,1/2001,23.2163500967742
253,2/2001,23.09448760714285
254,3/2001,23.38222112903226
255,4/2001,22.99411903333333
256,5/2001,23.776829483870966
257,6/2001,22.858120833333334
258,7/2001,22.951483677419354
259,8/2001,22.86742458064517
260,9/2001,23.9331985
261,10/2001,24.111540290322576
262,11/2001,25.324228733333335
263,12/2001,25.11568187096774
264,1/2002,23.777917838709683
265,2/2002,24.34234621428572
266,3/2002,23.524925354838714
267,4/2002,23.581117833333334
268,5/2002,23.9970324516129
269,6/2002,23.309550366666667
270,7/2002,23.449193129032256
271,8/2002,23.439008322580644
272,9/2002,23.838529933333337
273,10/2002,24.292829677419352
274,11/2002,24.450358766666668
275,12/2002,24.93466074193548
276,1/2003,24.45007193548387
277,2/2003,23.684255214285717
278,3/2003,23.45682970967743
279,4/2003,23.630964233333334
280,5/2003,23.904949548387098
281,6/2003,23.48520486666667
282,7/2003,23.309219677419364
283,8/2003,23.47341932258065
284,9/2003,22.823814166666672
285,10/2003,24.227307258064517
286,11/2003,25.01036196666667
287,12/2003,24.873005290322578
288,1/2004,24.068884000000004
289,2/2004,23.619832551724134
290,3/2004,24.056467032258062
291,4/2004,23.912538800000004
292,5/2004,24.119044032258063
293,6/2004,23.20678936666667
294,7/2004,22.918194096774187
295,8/2004,23.358099161290323
296,9/2004,24.064564233333336
297,10/2004,24.412231225806448
298,11/2004,24.545374366666675
299,12/2004,24.70565470967742
