,Data,TempMinPrevista
0,1/1980,18.252911080645166
1,2/1980,18.888333827586212
2,3/1980,19.651655225806454
3,4/1980,17.050487866666664
4,5/1980,15.278787532258063
5,6/1980,11.958857049999997
6,7/1980,12.960814677419355
7,8/1980,13.58727764516129
8,9/1980,12.473636093333337
9,10/1980,15.938361080645159
10,11/1980,16.579779533333333
11,12/1980,14.926380387096778
12,1/1981,14.831799548387098
13,2/1981,19.398414607142854
14,3/1981,18.275687451612907
15,4/1981,14.713500466666664
16,5/1981,14.902699177419356
17,6/1981,12.148097453333332
18,7/1981,10.381692470967742
19,8/1981,12.617517225806454
20,9/1981,14.219925783333332
21,10/1981,14.506255370967741
22,11/1981,17.801991400000002
23,12/1981,17.895033903225805
24,1/1982,17.293669387096774
25,2/1982,14.548485482142857
26,3/1982,14.790025161290325
27,4/1982,15.262327283333333
28,5/1982,13.081475387096772
29,6/1982,14.843743983333331
30,7/1982,13.008811064516129
31,8/1982,13.849835629032258
32,9/1982,13.88297213333333
33,10/1982,15.725328096774192
34,11/1982,18.530792200000004
35,12/1982,17.796017
36,1/1983,14.759804516129032
37,2/1983,15.383348000000009
38,3/1983,15.383348000000009
39,4/1983,15.383348000000009
40,5/1983,15.383348000000009
41,6/1983,15.383348000000009
42,7/1983,15.383348000000009
43,8/1983,15.383348000000009
44,9/1983,15.383348000000009
45,10/1983,15.383348000000009
46,11/1983,15.383348000000009
47,12/1983,14.823438290322583
48,1/1984,19.868756225806454
49,2/1984,20.389684862068965
50,3/1984,18.184869516129037
51,4/1984,16.377529833333334
52,5/1984,16.22439456451613
53,6/1984,13.589217833333334
54,7/1984,13.185380580645162
55,8/1984,12.428529354838707
56,9/1984,12.861785799999996
57,10/1984,16.054645709677416
58,11/1984,17.107575783333335
59,12/1984,17.535391000000004
60,1/1985,17.911195580645163
61,2/1985,19.24640742857142
62,3/1985,19.051794032258062
63,4/1985,17.76158665
64,5/1985,13.68557179032258
65,6/1985,10.867624063333334
66,7/1985,10.709182399999998
67,8/1985,12.816583032258064
68,9/1985,13.585214333333335
