,Data,TempMinPrevista
0,1/1980,22.617921161290322
1,2/1980,22.420077310344833
2,3/1980,22.603154806451624
3,4/1980,22.495285466666665
4,5/1980,22.51872170967742
5,6/1980,22.2451444
6,7/1980,21.398337935483873
7,8/1980,21.62033629032258
8,9/1980,22.000631533333333
9,10/1980,21.909326096774194
10,11/1980,22.401136266666665
11,12/1980,22.393613419354832
12,1/1981,22.484913935483874
13,2/1981,22.516623428571428
14,3/1981,22.616650032258068
15,4/1981,21.73046723333334
16,5/1981,22.11787935483871
17,6/1981,20.635243233333338
18,7/1981,20.31059487096774
19,8/1981,21.474280677419355
20,9/1981,20.220874899999995
21,10/1981,20.671468290322576
22,11/1981,23.342957300000002
23,12/1981,23.441737129032262
24,1/1982,22.94750912903226
25,2/1982,22.35595642857142
26,3/1982,22.57585861290322
27,4/1982,22.646084799999993
28,5/1982,21.765227032258068
29,6/1982,21.06139003333333
30,7/1982,21.403471903225803
31,8/1982,21.20465164516129
32,9/1982,22.144269266666676
33,10/1982,22.424391451612905
34,11/1982,22.787506266666664
35,12/1982,23.15620335483871
36,1/1983,22.44573464516129
37,2/1983,22.368402964285714
38,3/1983,22.437333258064516
39,4/1983,22.38596266666667
40,5/1983,22.344910483870972
41,6/1983,21.827903933333335
42,7/1983,21.597537999999997
43,8/1983,21.47152464516129
44,9/1983,21.5602067
45,10/1983,21.855087709677413
46,11/1983,22.011601566666673
47,12/1983,22.51691003225806
48,1/1984,22.403947064516128
49,2/1984,22.113030241379306
50,3/1984,22.4002475483871
51,4/1984,23.16385036666667
52,5/1984,22.999007193548387
53,6/1984,22.399967566666668
54,7/1984,22.074649000000004
55,8/1984,21.92299235483871
56,9/1984,22.043606866666664
57,10/1984,22.075794516129037
58,11/1984,21.984216266666657
59,12/1984,22.122494129032255
60,1/1985,23.049334193548393
61,2/1985,23.049334214285718
62,3/1985,23.04933419354839
63,4/1985,23.049334200000008
64,5/1985,23.049334193548393
65,6/1985,23.049334200000008
66,7/1985,23.049334225806458
67,8/1985,23.049334225806458
68,9/1985,23.0493342
69,10/1985,23.04933419354839
70,11/1985,23.0493342
71,12/1985,23.04933419354839
72,1/1986,23.04933419354839
73,2/1986,23.049334214285714
74,3/1986,23.04933419354839
75,4/1986,23.0493342
76,5/1986,23.04933419354839
77,6/1986,23.0493342
78,7/1986,23.04933419354839
79,8/1986,23.04933419354839
80,9/1986,23.0493342
81,10/1986,23.04933419354839
82,11/1986,23.0493342
83,12/1986,23.04933419354839
84,1/1987,23.049334193548393
85,2/1987,23.049334214285718
86,3/1987,23.04933419354839
87,4/1987,23.049334200000008
88,5/1987,23.049334193548393
89,6/1987,23.049334200000008
90,7/1987,23.049334225806458
91,8/1987,23.049334225806458
92,9/1987,23.0493342
93,10/1987,23.04933419354839
94,11/1987,23.0493342
