,Data,TempMinPrevista
0,1/1980,22.810841096774197
1,2/1980,23.030539896551723
2,3/1980,22.94734441935484
3,4/1980,22.1584145
4,5/1980,21.341112032258064
5,6/1980,20.308907099999995
6,7/1980,20.63234858064516
7,8/1980,20.21159487096774
8,9/1980,21.011284999999994
9,10/1980,21.17881412903226
10,11/1980,21.82256619999999
11,12/1980,22.569705096774193
12,1/1981,23.2282405483871
13,2/1981,22.783234499999992
14,3/1981,22.912673451612903
15,4/1981,21.390166633333333
16,5/1981,20.533453451612903
17,6/1981,19.97410156666666
18,7/1981,20.160019161290318
19,8/1981,19.902374193548386
20,9/1981,20.427108666666662
21,10/1981,20.95192264516129
22,11/1981,21.634705333333333
23,12/1981,22.51499774193548
24,1/1982,22.127888612903224
25,2/1982,23.33064878571429
26,3/1982,21.10107041935484
27,4/1982,20.65090326666667
28,5/1982,20.181037258064514
29,6/1982,19.90671113333333
30,7/1982,19.69076883870968
31,8/1982,20.62733790322581
32,9/1982,20.790108766666666
33,10/1982,20.94286651612903
34,11/1982,20.525433100000004
35,12/1982,20.85479964516129
36,1/1983,20.827074161290323
37,2/1983,20.580719071428568
38,3/1983,20.661169193548385
39,4/1983,20.614410833333334
40,5/1983,20.470972193548388
41,6/1983,20.375148966666668
42,7/1983,20.554750967741928
43,8/1983,20.42805138709677
44,9/1983,20.992706966666667
45,10/1983,20.776959064516127
46,11/1983,20.831050466666667
47,12/1983,20.762109580645163
48,1/1984,21.997619935483865
49,2/1984,22.037061999999995
50,3/1984,22.037061999999995
51,4/1984,22.037061999999995
52,5/1984,22.037061999999995
53,6/1984,22.037061999999995
54,7/1984,22.037061999999995
55,8/1984,22.037061999999995
56,9/1984,22.037061999999995
57,10/1984,22.037061999999995
58,11/1984,22.037061999999995
59,12/1984,22.037061999999995
60,1/1985,22.037061999999995
61,2/1985,22.037061999999995
62,3/1985,22.037061999999995
63,4/1985,22.037061999999995
64,5/1985,22.037061999999995
65,6/1985,22.037061999999995
66,7/1985,22.037061999999995
67,8/1985,22.037061999999995
68,9/1985,22.037061999999995
69,10/1985,22.037061999999995
70,11/1985,22.037061999999995
71,12/1985,22.037061999999995
72,1/1986,21.554696774193545
73,2/1986,22.138564499999998
74,3/1986,22.037061999999995
75,4/1986,21.67917703333333
76,5/1986,22.037061999999995
77,6/1986,21.799532700000004
78,7/1986,21.91218974193548
79,8/1986,21.769375096774194
80,9/1986,21.890661700000003
81,10/1986,21.94123806451613
82,11/1986,21.60534676666667
83,12/1986,22.215758967741937
84,1/1987,21.688704774193557
85,2/1987,21.447313750000003
86,3/1987,21.92440693548387
87,4/1987,21.654950899999996
88,5/1987,21.976481580645164
89,6/1987,22.020594633333324
90,7/1987,21.750725677419354
91,8/1987,21.756453161290317
92,9/1987,22.037061999999995
93,10/1987,21.98848083870968
94,11/1987,22.218411100000004
95,12/1987,22.23032722580645
96,1/1988,21.626224999999998
97,2/1988,21.55234941379311
98,3/1988,21.857391935483875
99,4/1988,21.985970500000008
100,5/1988,21.80196741935484
101,6/1988,22.032330499999997
102,7/1988,21.993490516129032
103,8/1988,22.025064354838705
104,9/1988,21.979486266666676
105,10/1988,22.49943970967742
106,11/1988,22.324538266666668
107,12/1988,22.000935677419353
108,1/1989,21.566491387096775
109,2/1989,21.317280392857146
110,3/1989,21.71684925806451
111,4/1989,21.411391
112,5/1989,21.9756094516129
113,6/1989,22.167986966666664
114,7/1989,21.745949032258064
115,8/1989,22.186186419354836
116,9/1989,22.060017500000004
117,10/1989,22.414027000000004
118,11/1989,22.573200500000002
119,12/1989,22.24320629032258
120,1/1990,23.58835106451613
121,2/1990,24.12367528571428
122,3/1990,24.329489
123,4/1990,23.83162543333333
124,5/1990,21.386308935483875
125,6/1990,21.0913937
126,7/1990,22.037061999999995
127,8/1990,22.037061999999995
128,9/1990,22.037061999999995
129,10/1990,21.728162548387093
130,11/1990,22.236092166666662
131,12/1990,22.58137438709677
132,1/1991,22.35938058064516
133,2/1991,22.718283357142855
134,3/1991,22.505593516129032
135,4/1991,22.159429766666673
136,5/1991,21.48227132258064
137,6/1991,21.257570166666664
138,7/1991,20.135884064516134
139,8/1991,20.263022999999997
140,9/1991,20.61479783333333
141,10/1991,21.103469903225808
142,11/1991,21.94546006666667
143,12/1991,23.178101806451618
144,1/1992,22.037061999999995
145,2/1992,20.67238968965517
146,3/1992,22.037061999999995
147,4/1992,21.06319436666666
148,5/1992,20.850938064516125
149,6/1992,20.33803023333333
150,7/1992,19.293835548387094
151,8/1992,19.22364283870968
152,9/1992,19.838579133333333
