Data,TempMax,TempMaxPredicted
1980-01-01,25.0,25.894367
1980-01-02,24.4,24.027327
1980-01-03,26.4,24.211615
1980-01-04,27.4,27.844213
1980-01-05,27.4,26.936695
1980-01-07,25.0,26.17707
1980-01-08,30.3,30.391367
1980-01-09,25.5,25.890661
1980-01-11,28.4,28.550293
1980-01-12,27.4,28.152618
1980-01-13,26.5,27.960964
1980-01-14,26.4,26.263033
1980-01-15,26.6,27.434925
1980-01-16,26.6,27.742155
1980-01-17,27.0,25.698467
1980-01-18,29.0,28.276768
1980-01-19,30.2,28.018906
1980-01-20,32.1,30.83084
1980-01-21,29.0,29.021841
1980-01-22,30.8,23.046246
1980-01-23,33.6,22.274445
1980-01-24,30.0,28.165846
1980-01-25,23.4,24.032934
1980-01-27,28.6,29.589973
1980-01-28,27.8,27.244463
1980-01-30,28.6,28.728046
1980-01-31,28.0,28.398495
1980-02-02,27.0,28.028131
1980-02-03,26.8,28.197447
1980-02-04,28.5,29.021759
1980-02-05,28.2,29.05161
1980-02-06,28.8,30.00606
1980-02-07,30.1,30.312744
1980-02-08,28.5,29.765493
1980-02-09,29.6,30.704313
1980-02-10,27.8,28.745638
1980-02-12,28.8,30.07881
1980-02-13,30.0,30.507582
1980-02-14,28.7,29.721167
1980-02-15,28.0,28.520891
1980-02-16,29.8,30.828218
1980-02-17,27.1,26.351278
1980-02-19,24.6,25.119574
1980-02-20,26.2,27.24663
1980-02-21,28.9,29.460482
1980-02-23,29.8,28.040834
1980-02-24,29.5,30.627283
1980-02-25,29.9,28.735027
1980-02-26,27.9,27.161654
1980-02-27,25.5,26.265446
1980-02-28,29.8,29.535643
1980-02-29,29.0,26.84436
1980-03-01,29.8,23.06454
1980-03-02,29.7,22.503843
1980-03-03,29.9,22.394255
1980-03-04,29.6,30.214266
1980-03-05,29.9,22.559334
1980-03-06,30.5,30.656805
1980-03-07,31.3,29.915943
1980-03-08,29.4,29.334099
1980-03-09,30.6,30.291971
1980-03-10,31.3,30.601568
1980-03-11,31.3,29.433098
1980-03-12,30.6,28.834343
1980-03-13,27.3,28.25934
1980-03-14,26.8,28.401522
1980-03-15,26.0,25.234598
1980-03-16,25.4,25.417673
1980-03-18,30.0,30.040468
1980-03-19,29.4,30.169945
1980-03-20,29.0,29.867846
1980-03-21,31.2,30.45348
1980-03-22,31.4,22.806997
1980-03-24,31.0,22.428663
1980-03-27,31.8,30.16416
1980-03-28,30.2,22.105093
1980-03-29,28.9,27.906008
1980-03-30,25.8,26.669992
1980-03-31,25.9,25.954573
1980-04-01,26.0,26.957405
1980-04-02,26.4,26.042189
1980-04-03,27.9,27.882124
1980-04-04,26.4,27.215868
1980-04-05,27.8,28.382908
1980-04-06,26.7,27.487535
1980-04-07,26.8,26.89089
1980-04-08,26.8,26.672033
1980-04-09,29.8,29.875227
1980-04-10,29.5,23.085512
1980-04-15,20.4,22.92582
1980-04-16,21.1,24.42992
1980-04-17,23.6,22.918024
1980-04-19,26.4,26.579638
1980-04-20,28.8,28.47471
1980-04-21,27.4,27.414223
1980-04-22,27.1,27.830019
1980-04-23,26.2,26.686888
1980-04-24,27.7,27.498644
1980-04-25,27.2,27.380766
1980-04-26,26.4,27.038424
1980-04-27,27.0,27.337797
1980-04-28,28.0,27.618511
1980-04-29,27.4,26.919823
1980-04-30,27.6,27.087679
1980-05-01,22.7,21.905722
1980-05-02,20.8,20.95442
1980-05-03,19.8,20.541014
1980-05-04,21.1,20.42913
1980-05-05,23.2,25.705204
1980-05-06,23.4,22.731514
1980-05-07,23.6,23.831875
1980-05-10,25.1,24.458563
1980-05-11,25.4,25.317167
1980-05-12,25.4,25.381382
1980-05-14,26.3,27.115232
1980-05-15,27.6,27.346552
1980-05-16,25.4,26.183922
1980-05-17,23.4,22.937777
1980-05-18,26.3,25.678549
1980-05-19,26.0,25.722664
1980-05-20,26.4,26.226276
1980-05-21,27.5,26.972849
1980-05-22,24.4,23.991426
1980-05-23,23.3,23.612558
1980-05-24,25.5,24.389387
1980-05-25,23.6,23.824635
1980-05-26,24.8,24.746094
1980-05-27,26.2,25.426908
1980-05-28,25.7,25.569597
1980-05-29,25.4,25.260191
1980-05-30,25.8,25.681019
1980-05-31,27.2,27.210886
1980-06-01,23.6,22.776098
1980-06-02,20.7,20.619621
1980-06-03,24.9,19.261894
1980-06-04,17.0,26.364029
1980-06-05,21.5,25.770454
1980-06-06,24.0,21.711477
1980-06-07,23.8,22.521624
1980-06-08,24.8,24.18276
1980-06-09,24.8,25.215519
1980-06-10,27.6,25.628836
1980-06-12,22.7,22.389162
1980-06-13,21.5,21.422762
1980-06-14,19.9,19.450926
1980-06-15,19.6,19.917597
1980-06-17,23.3,21.841627
1980-06-18,23.9,22.796408
1980-06-19,23.3,22.821177
1980-06-20,20.3,19.347925
1980-06-21,17.7,17.478245
1980-06-22,19.0,20.503841
1980-06-23,20.5,19.238064
1980-06-24,20.3,19.627945
1980-06-25,19.6,19.462627
1980-06-26,18.4,17.44995
1980-06-27,16.5,26.672525
1980-06-29,21.2,21.642323
1980-06-30,21.6,22.676447
1980-07-01,19.6,16.275879
1980-07-02,13.4,13.461212
1980-07-04,17.4,17.405918
1980-07-06,20.7,20.199938
1980-07-07,22.2,22.595217
1980-07-08,20.3,20.917883
1980-07-09,19.0,19.315882
1980-07-10,17.4,18.939508
1980-07-11,18.7,19.172691
1980-07-12,20.1,21.593502
1980-07-15,15.2,15.745037
1980-07-16,19.9,19.228916
1980-07-19,20.8,20.027493
1980-07-20,22.5,20.924683
1980-07-22,21.2,21.86248
1980-07-24,21.6,20.582458
1980-07-25,22.6,22.835033
1980-07-26,23.2,25.265392
1980-07-28,23.0,22.614075
1980-07-30,15.6,14.969873
1980-07-31,14.2,15.679478
1980-08-04,23.0,23.618067
1980-08-05,21.9,21.777311
1980-08-06,23.6,23.221352
1980-08-07,23.6,22.33315
1980-08-08,22.4,21.090134
1980-08-09,20.2,20.996193
1980-08-10,21.7,20.927908
1980-08-12,16.0,16.72388
1980-08-13,21.2,19.368881
1980-08-14,21.3,20.720798
1980-08-15,22.2,22.43563
1980-08-16,23.0,23.150219
1980-08-17,23.6,22.938314
1980-08-18,19.2,18.807602
1980-08-23,18.4,18.982279
1980-08-24,15.8,16.283037
1980-08-26,18.0,18.85382
1980-08-29,21.7,21.022604
1980-08-30,22.4,22.986118
1980-08-31,21.4,20.978655
1980-09-01,21.9,20.595871
1980-09-02,18.0,18.543896
1980-09-03,20.9,22.130302
1980-09-04,20.2,20.334557
1980-09-05,18.2,18.537424
1980-09-06,18.9,18.426468
1980-09-07,20.6,26.879114
1980-09-12,22.4,23.440708
1980-09-13,20.9,21.211437
1980-09-15,19.4,18.596655
1980-09-16,16.8,25.647593
1980-09-17,18.2,26.332304
1980-09-20,21.4,21.323822
1980-09-21,19.8,17.548637
