Data,TempMax,TempMaxPredicted
1980-01-01,31.4,31.827272
1980-01-02,28.4,29.653091
1980-01-03,32.2,31.04352
1980-01-04,31.6,31.971071
1980-01-05,27.4,28.98065
1980-01-07,29.2,29.41489
1980-01-13,31.2,30.840508
1980-01-14,31.6,31.332663
1980-01-15,31.7,31.644573
1980-01-16,27.6,27.519798
1980-01-17,32.6,31.741642
1980-01-19,28.2,28.60607
1980-01-20,31.2,31.252134
1980-01-23,29.3,30.492434
1980-01-25,32.6,32.87402
1980-01-26,32.2,31.831263
1980-01-28,31.5,31.515673
1980-01-30,30.8,31.112125
1980-01-31,33.1,33.300735
1980-02-02,31.5,30.179523
1980-02-03,29.5,29.050789
1980-02-05,32.7,32.30148
1980-02-06,33.4,33.2044
1980-02-07,33.8,33.428673
1980-02-09,33.2,32.998314
1980-02-10,32.8,32.618576
1980-02-13,31.8,31.561863
1980-02-17,31.2,30.804974
1980-02-18,33.0,33.10665
1980-02-20,33.8,33.031994
1980-02-21,34.3,33.45533
1980-02-24,31.2,31.131992
1980-02-28,33.2,32.96703
1980-02-29,33.4,33.47519
1980-03-02,32.0,32.08703
1980-03-03,32.4,33.023827
1980-03-04,32.6,31.070665
1980-03-05,30.5,31.294966
1980-03-07,29.0,29.351679
1980-03-08,30.2,30.69128
1980-03-09,30.6,31.01043
1980-03-11,32.4,31.90029
1980-03-12,32.6,31.13664
1980-03-13,31.2,31.857132
1980-03-14,30.2,30.985868
1980-03-15,32.7,31.739931
1980-03-16,32.3,31.824919
1980-03-17,29.1,28.715734
1980-03-18,31.6,31.37301
1980-03-19,32.3,31.743687
1980-03-21,30.1,31.054712
1980-03-23,33.2,31.541407
1980-03-24,32.3,31.878193
1980-03-25,33.1,32.31052
1980-03-26,30.4,30.713133
1980-03-27,32.1,31.64052
1980-03-28,32.7,32.42462
1980-03-29,29.8,31.133604
1980-03-30,31.8,31.533081
1980-03-31,31.8,31.089102
1980-04-02,29.5,29.552557
1980-04-03,30.3,29.81539
1980-04-04,30.3,29.806099
1980-04-05,31.4,31.961235
1980-04-06,28.8,29.575912
1980-04-07,30.3,29.74531
1980-04-08,32.6,32.06922
1980-04-09,33.3,33.07462
1980-04-10,33.2,32.315933
1980-04-11,32.9,32.32404
1980-04-13,29.6,27.535841
1980-04-14,31.7,31.514936
1980-04-15,30.2,31.854893
1980-04-16,31.5,31.997164
1980-04-17,32.1,32.56218
1980-04-18,31.8,32.0874
1980-04-19,29.6,29.648771
1980-04-21,32.5,32.589405
1980-04-24,30.1,31.073946
1980-04-26,31.8,31.76227
1980-04-27,31.0,30.794338
1980-04-29,32.2,32.258442
1980-04-30,32.6,31.608852
1980-05-01,32.8,32.323853
1980-05-02,31.6,31.251112
1980-05-03,29.5,31.068714
1980-05-04,29.9,31.008978
1980-05-05,30.7,31.531559
1980-05-06,30.3,31.174456
1980-05-07,32.6,31.927868
1980-05-08,33.1,32.76931
1980-05-09,33.7,33.365868
1980-05-10,32.8,32.73913
1980-05-11,32.9,33.092182
1980-05-12,33.0,32.23724
1980-05-13,33.5,33.19928
1980-05-14,32.1,32.13551
1980-05-15,32.3,31.826935
1980-05-18,32.5,32.742664
1980-05-19,32.3,31.481344
1980-05-20,33.3,32.820312
1980-05-21,33.0,33.47255
1980-05-22,33.0,33.23385
1980-05-23,32.2,33.071835
1980-05-25,31.7,31.561836
1980-05-26,32.0,32.35948
1980-05-27,32.4,32.777176
1980-05-28,31.7,32.058697
1980-05-29,31.1,31.726337
1980-05-30,31.5,30.942781
1980-05-31,30.0,29.214952
1980-06-02,31.7,32.203735
1980-06-03,30.5,30.343073
1980-06-04,30.7,31.703505
1980-06-05,29.2,29.526417
1980-06-07,31.4,32.51234
1980-06-08,31.7,31.95406
1980-06-09,29.8,30.288374
1980-06-10,31.8,32.186996
1980-06-12,31.8,31.663511
1980-06-13,32.8,33.115845
1980-06-14,32.1,32.423653
1980-06-15,32.0,32.173355
1980-06-16,31.5,32.624313
1980-06-17,30.5,31.627829
1980-06-18,31.9,32.43951
1980-06-19,32.5,32.11353
1980-06-20,31.0,31.75086
1980-06-22,32.2,31.017637
1980-06-23,31.6,32.030865
1980-06-25,31.4,31.524502
1980-06-26,31.8,31.791828
1980-06-27,32.1,32.190727
1980-06-28,32.6,32.427925
1980-06-29,31.7,31.561703
1980-06-30,31.6,31.652704
1980-07-01,26.6,27.462835
1980-07-02,31.1,31.644873
1980-07-05,26.7,28.039751
1980-07-06,29.8,30.833508
1980-07-07,31.0,31.26401
1980-07-09,32.3,32.068806
1980-07-10,32.2,31.998922
1980-07-12,32.1,32.229515
1980-07-13,30.0,30.356367
1980-07-15,32.3,32.096924
1980-07-16,32.9,31.710701
1980-07-17,32.5,31.77934
1980-07-18,33.1,31.77387
1980-07-19,32.3,32.030666
1980-07-20,32.8,32.49481
1980-07-21,32.8,32.53082
1980-07-22,33.9,32.13058
1980-07-23,33.3,32.70256
1980-07-24,29.6,28.30532
1980-07-25,33.4,31.935598
1980-07-26,32.4,32.554127
1980-07-27,33.1,32.730885
1980-07-28,32.7,32.68117
1980-07-29,33.9,33.341187
1980-07-30,33.7,34.053288
1980-07-31,29.5,29.509296
1980-08-02,26.4,28.246042
1980-08-04,32.2,31.979792
1980-08-06,33.0,33.071507
1980-08-07,31.9,32.066113
1980-08-08,32.7,32.638687
1980-08-09,33.2,32.73267
1980-08-10,30.1,29.302946
1980-08-11,32.3,30.181232
1980-08-12,30.6,31.102198
1980-08-13,32.3,32.433243
1980-08-14,33.4,32.768837
1980-08-15,32.5,32.61487
1980-08-16,33.1,32.934322
1980-08-17,33.9,32.85676
1980-08-18,34.4,33.878532
1980-08-19,34.0,32.71237
1980-08-21,33.3,30.932497
1980-08-23,34.3,32.633144
1980-08-24,34.2,32.251534
1980-08-25,33.7,31.62848
1980-08-26,32.5,32.68761
1980-08-27,31.9,31.079014
1980-08-31,32.1,31.906334
1980-09-01,32.8,32.363155
1980-09-02,33.5,33.128773
1980-09-03,34.4,33.83759
1980-09-04,33.6,33.544163
1980-09-05,34.5,32.346283
1980-09-06,30.7,30.300766
1980-09-07,33.3,32.955685
1980-09-08,33.6,33.063747
1980-09-09,33.8,33.15482
1980-09-11,33.5,31.896482
1980-09-12,33.8,32.192543
1980-09-13,32.1,30.867308
1980-09-14,32.2,30.726437
1980-09-15,34.1,33.858463
1980-09-16,34.2,32.547886
1980-09-17,27.7,28.760782
1980-09-18,29.6,30.219316
1980-09-19,33.0,32.186775
1980-09-22,35.1,34.237507
1980-09-23,33.1,33.399086
1980-09-25,32.4,32.137512
1980-09-26,33.8,32.95147
1980-09-27,33.6,31.52936
1980-09-28,31.0,32.11627
1980-09-29,33.1,32.376415
1980-10-01,35.3,34.400032
1980-10-02,33.8,33.991863
1980-10-04,33.2,32.317905
1980-10-05,32.4,31.434734
1980-10-06,32.3,31.496157
1980-10-07,30.0,30.52576
1980-10-09,34.3,32.409004
1980-10-10,30.1,30.722895
1980-10-11,29.1,29.151766
1980-10-13,30.9,30.840746
1980-10-14,33.2,32.0836
1980-10-15,33.5,31.722277
1980-10-16,28.0,27.729162
1980-10-17,32.0,31.648624
1980-10-22,33.4,33.18568
1980-10-23,29.8,29.861116
1980-10-24,32.0,31.411215
1980-10-25,30.9,31.48878
1980-10-26,26.0,25.47796
1980-10-27,32.0,31.834105
1980-10-28,33.4,33.474983
1980-10-29,34.2,34.07287
1980-11-01,30.0,30.609095
1980-11-04,32.4,31.609995
1980-11-05,31.8,30.60575
1980-11-10,33.6,30.861603
1980-11-11,31.4,31.713026
1980-11-14,29.1,28.613802
1980-11-16,29.8,30.509626
1980-11-20,30.0,28.579687
1980-11-21,30.0,31.44995
1980-11-22,33.0,32.70997
1980-11-23,33.6,33.5225
1980-11-24,33.9,33.14907
1980-11-25,28.1,28.408018
1980-11-26,31.4,31.053621
1980-11-28,32.2,32.264534
1980-11-29,33.6,33.45461
1980-12-01,30.4,32.14177
1980-12-02,32.6,33.02751
1980-12-03,32.3,33.396114
1980-12-04,29.4,28.540083
1980-12-06,31.5,31.70852
1980-12-08,33.6,33.857983
1980-12-10,32.3,32.50797
1980-12-11,34.1,32.68004
1980-12-12,33.8,32.358456
1980-12-14,32.4,32.038162
1980-12-15,30.9,30.980879
1980-12-16,31.7,32.288963
1980-12-17,29.6,27.838165
1980-12-18,32.8,32.676857
1980-12-19,33.0,33.219894
1980-12-20,31.4,32.19839
1980-12-21,28.8,28.494848
1980-12-22,24.9,26.692167
1980-12-23,29.9,30.116596
1980-12-24,28.9,29.722506
1980-12-25,26.8,27.413164
1980-12-26,30.7,31.047787
1980-12-27,31.3,30.875675
1980-12-28,30.4,28.61897
1980-12-29,31.4,31.295485
1980-12-30,30.3,30.684584
1980-12-31,33.2,31.534422
1981-01-01,31.0,32.050205
1981-01-02,31.7,32.50588
1981-01-03,30.6,30.797712
1981-01-04,31.2,31.245
1981-01-05,30.8,31.80263
1981-01-06,28.7,27.856974
1981-01-07,31.2,31.225315
1981-01-08,28.5,29.676226
1981-01-09,29.8,30.225613
1981-01-10,31.4,30.813227
1981-01-11,28.0,29.091105
1981-01-12,29.6,29.10552
1981-01-13,29.4,29.630486
1981-01-14,31.0,31.370733
1981-01-15,27.0,27.318417
1981-01-16,31.2,30.994518
1981-01-17,30.8,31.043219
1981-01-18,28.6,28.53147
1981-01-19,28.7,30.428362
1981-01-20,28.2,28.912668
1981-01-22,29.7,29.300657
1981-01-23,25.3,26.361233
1981-01-24,29.6,30.137468
1981-01-25,31.0,31.027946
1981-01-26,32.4,32.63201
1981-01-27,32.8,32.589283
1981-01-28,32.6,32.801605
1981-01-29,29.5,30.47534
1981-01-30,25.8,27.390226
1981-01-31,32.4,30.897753
1981-02-02,29.9,30.22734
1981-02-03,25.7,26.437624
1981-02-04,31.1,31.482052
1981-02-05,31.3,30.943413
1981-02-06,30.4,29.796568
1981-02-07,30.7,30.922884
1981-02-09,31.1,31.162733
1981-02-10,30.0,30.223898
1981-02-11,25.7,27.040068
1981-02-12,30.0,31.134827
1981-02-14,29.0,29.511066
1981-02-16,26.0,26.30525
1981-02-17,31.2,31.089647
1981-02-18,31.5,31.444818
1981-02-19,29.5,29.454786
1981-02-20,30.8,31.093615
1981-02-21,31.8,32.2029
1981-02-22,29.7,28.729563
1981-02-23,31.7,31.181814
1981-02-24,31.7,32.0111
1981-02-25,33.2,32.445004
1981-02-26,29.8,29.921385
1981-02-27,33.2,32.252544
1981-02-28,33.1,32.291557
1981-03-01,30.0,30.61655
1981-03-02,31.0,30.4181
1981-03-03,32.2,31.357088
1981-03-04,32.6,31.947123
1981-03-05,29.4,29.774462
1981-03-06,30.8,31.066423
1981-03-07,29.8,29.704073
1981-03-09,31.9,31.485016
1981-03-10,32.0,31.776117
1981-03-13,32.7,32.15187
1981-03-14,34.1,33.30065
1981-03-15,33.6,33.912956
1981-03-16,33.8,34.38203
1981-03-17,31.4,31.44093
1981-03-18,33.4,33.743687
1981-03-20,31.8,31.665112
1981-03-21,33.0,32.193787
1981-03-22,34.0,32.163307
1981-03-23,31.3,31.465996
1981-03-24,32.2,30.96834
1981-03-26,28.2,27.650509
1981-03-28,32.6,31.689198
1981-03-29,32.0,32.237396
1981-03-31,31.9,31.311714
1981-04-01,31.8,30.675875
1981-04-02,30.6,30.324114
1981-04-03,30.8,30.844862
1981-04-04,32.3,31.963827
1981-04-05,31.4,30.880276
1981-04-06,31.8,31.238537
1981-04-07,33.4,32.971924
1981-04-09,30.6,28.841211
1981-04-10,31.6,31.682186
1981-04-12,32.9,33.35055
1981-04-13,34.4,32.74495
1981-04-15,28.7,28.18106
1981-04-16,28.4,27.853708
1981-04-17,32.5,32.202377
1981-04-19,31.0,30.358448
1981-04-20,30.8,29.840172
1981-04-21,30.9,30.785017
1981-04-23,32.7,32.836384
1981-04-24,33.4,33.24104
1981-04-26,33.6,33.062073
1981-04-27,33.0,33.513763
1981-04-28,33.9,33.984478
1981-04-29,31.3,30.0079
1981-04-30,31.7,30.629246
1981-05-01,32.6,32.63331
1981-05-02,31.4,31.796255
1981-05-03,29.6,29.023405
1981-05-05,29.7,30.912594
1981-05-06,32.0,31.71286
1981-05-07,31.6,31.534292
1981-05-08,30.1,30.073378
1981-05-09,30.9,30.469328
1981-05-10,31.0,30.097198
1981-05-11,32.1,32.083427
1981-05-12,32.3,31.927147
1981-05-13,32.1,31.898006
1981-05-14,32.8,32.424957
1981-05-16,32.9,32.75251
1981-05-17,32.4,33.0303
1981-05-18,32.4,31.065855
1981-05-21,32.1,31.92779
1981-05-22,29.6,30.37134
1981-05-23,32.1,32.601456
1981-05-24,32.4,32.83172
1981-05-25,32.7,32.589794
1981-05-27,30.6,30.776363
1981-05-28,31.3,31.297974
1981-05-29,30.9,31.482117
1981-05-31,31.2,30.882566
1981-06-01,30.5,30.926329
1981-06-02,31.0,31.516985
1981-06-04,33.3,32.839287
1981-06-05,31.4,32.29779
1981-06-06,32.4,32.90592
1981-06-07,31.8,32.59004
1981-06-10,30.1,30.954216
1981-06-13,31.8,32.31371
