Data,TempMax,TempMaxPredicted
1980-01-01,26.2,25.688461
1980-01-04,26.0,26.82045
1980-01-06,27.3,28.189096
1980-01-07,30.7,31.662748
1980-01-09,31.8,32.410637
1980-01-10,29.2,30.83758
1980-01-20,30.6,32.06347
1980-01-25,30.2,29.797009
1980-01-31,28.4,29.730173
1980-02-01,32.7,32.363556
1980-02-05,28.1,28.23818
1980-02-06,29.4,29.3327
1980-02-07,29.7,30.50672
1980-02-10,35.0,35.42356
1980-02-18,31.0,29.843466
1980-02-22,33.4,32.06263
1980-02-27,30.9,32.628418
1980-03-01,32.2,32.65538
1980-03-02,30.8,30.96237
1980-03-03,30.9,31.090841
1980-03-04,29.5,30.754889
1980-03-06,31.8,31.565304
1980-03-07,33.8,32.134186
1980-03-12,31.8,32.366966
1980-03-13,33.3,32.6488
1980-03-18,30.6,30.868406
1980-03-19,29.9,30.11939
1980-03-22,30.1,31.106592
1980-03-24,30.8,32.31952
1980-03-28,32.5,33.54898
1980-04-02,26.8,28.045374
1980-04-03,26.8,27.632372
1980-04-08,26.8,27.942366
1980-04-09,29.7,30.22143
1980-04-11,34.0,31.828087
1980-04-13,29.4,28.95561
1980-04-15,26.8,26.45181
1980-04-18,28.9,28.903694
1980-04-20,27.6,27.88217
1980-04-21,28.0,28.113832
1980-04-23,27.4,27.54394
1980-04-24,27.2,27.112398
1980-04-27,26.0,27.141094
1980-04-30,28.4,26.81428
1980-05-01,30.4,28.542068
1980-05-02,28.7,28.172192
1980-05-05,24.8,24.74411
1980-05-07,26.0,26.462887
1980-05-08,25.6,25.96996
1980-05-09,26.8,27.49617
1980-05-10,30.4,31.241545
1980-05-11,30.8,28.39556
1980-05-12,27.1,27.405571
1980-05-13,27.0,27.398668
1980-05-15,26.8,25.82137
1980-05-16,27.7,28.34928
1980-05-17,26.8,27.16672
1980-05-18,27.0,26.148455
1980-05-19,26.2,25.800098
1980-05-20,26.7,26.124338
1980-05-21,30.1,30.735037
1980-05-22,32.2,30.46102
1980-05-25,25.5,25.54976
1980-05-26,27.3,26.06188
1980-05-27,25.8,24.85775
1980-05-28,27.8,26.906752
1980-05-29,29.6,28.53948
1980-05-31,29.4,27.863422
1980-06-01,30.9,29.410704
1980-06-02,28.7,29.14887
1980-06-03,27.6,24.760595
1980-06-05,23.7,24.623306
1980-06-06,26.0,25.986643
1980-06-07,25.9,25.542688
1980-06-08,25.2,26.228178
1980-06-09,26.6,25.831911
1980-06-10,29.0,28.896404
1980-06-11,28.5,28.214643
1980-06-12,28.6,28.54185
1980-06-13,31.3,31.640831
1980-06-16,24.4,24.559563
1980-06-17,26.5,25.80528
1980-06-18,27.1,26.20875
1980-06-19,25.4,25.560816
1980-06-20,24.8,23.80398
1980-06-21,25.2,24.298424
1980-06-24,24.2,23.950214
1980-06-25,27.8,29.288212
1980-06-28,22.2,22.983723
1980-06-30,27.6,26.07767
1980-07-01,29.3,27.65193
1980-07-03,23.6,23.710686
1980-07-04,23.0,21.79729
1980-07-08,25.1,24.898848
1980-07-10,25.0,25.165068
1980-07-11,26.1,25.06003
1980-07-12,24.7,23.502937
1980-07-13,26.4,25.548227
1980-07-14,31.0,31.655664
1980-07-17,24.5,25.273897
1980-07-18,24.0,23.585337
1980-07-19,24.0,24.051638
1980-07-20,28.6,26.83368
1980-07-21,30.2,27.700638
1980-07-22,25.4,24.668558
1980-07-25,25.8,24.545664
1980-07-26,30.3,30.115446
1980-07-27,31.3,30.200037
1980-07-28,24.4,24.295036
1980-07-29,31.2,33.072098
1980-07-30,32.1,29.206804
1980-08-02,22.3,23.005865
1980-08-03,24.0,24.377344
1980-08-04,25.5,25.08098
1980-08-05,27.2,27.404379
1980-08-06,30.9,31.099728
1980-08-07,30.8,28.192072
1980-08-08,26.0,25.67874
1980-08-09,25.2,24.81677
1980-08-10,26.6,25.917765
1980-08-11,25.4,24.623558
1980-08-14,24.8,25.137892
1980-08-15,25.5,24.741892
1980-08-16,26.1,25.798265
1980-08-17,33.1,28.352964
1980-08-18,25.4,24.92716
1980-08-20,26.7,26.277245
1980-08-21,28.6,28.782543
1980-08-22,25.8,27.987661
1980-08-23,27.2,26.014284
1980-08-25,26.0,26.989952
1980-08-26,26.2,24.08497
1980-08-29,24.0,23.96061
1980-08-30,24.4,25.006092
1980-08-31,27.5,26.997301
1980-09-02,26.1,26.16098
1980-09-03,26.8,26.285896
1980-09-04,25.0,23.322292
1980-09-08,27.5,27.723461
1980-09-09,27.7,27.949436
1980-09-12,24.8,24.806402
1980-09-14,28.0,28.298471
1980-09-15,31.6,31.639124
1980-09-20,26.7,26.687191
1980-09-24,21.8,23.444605
1980-09-25,20.6,20.963905
1980-09-28,22.7,24.052559
1980-09-29,25.2,26.331158
1980-09-30,25.8,26.276812
1980-10-01,25.3,24.817831
1980-10-03,25.8,26.135328
1980-10-04,26.0,26.976526
1980-10-05,27.6,28.706678
1980-10-19,31.2,31.079931
1980-10-20,32.9,31.974096
1980-10-21,28.6,29.533266
1980-10-22,30.2,32.741425
1980-10-27,34.0,33.769577
1980-10-28,29.8,30.357027
1980-10-29,27.9,29.972357
1980-10-30,29.2,29.684572
1980-11-03,25.1,26.571585
1980-11-04,25.8,25.7806
1980-11-05,26.8,27.708847
1980-11-06,30.8,29.784718
1980-11-07,36.0,34.165756
1980-11-10,33.6,33.07482
1980-11-15,24.0,25.239563
1980-11-16,24.9,25.902521
1980-11-17,27.0,26.93291
1980-11-18,26.2,26.121557
1980-11-19,26.2,29.157362
1980-11-21,26.7,28.362097
1980-11-22,29.2,31.589128
1980-11-23,33.3,32.66918
1980-11-27,24.1,25.285223
1980-11-28,24.3,25.915798
1980-11-29,26.4,27.449484
1980-12-02,26.6,26.53567
1980-12-04,33.1,31.838142
1980-12-06,32.4,31.85956
1980-12-07,27.7,29.829935
1980-12-08,25.9,25.903673
1980-12-09,26.8,27.249971
1980-12-24,29.1,28.8197
1980-12-26,27.9,28.33798
1980-12-28,29.6,28.725859
1981-01-01,27.2,28.862324
1981-01-07,31.4,31.572174
1981-01-08,29.5,29.845648
1981-01-10,27.6,28.171696
1981-01-11,28.5,28.688643
1981-01-18,30.4,31.760214
1981-01-19,33.2,33.693012
1981-01-21,32.4,31.3967
1981-01-24,26.6,28.42801
1981-01-25,27.8,28.90863
1981-01-27,28.0,28.893003
1981-01-28,28.3,28.607061
1981-01-29,29.1,29.995333
1981-01-30,30.6,29.851542
