Data,TempMin,TempMinPredicted
1980-01-01,17.0,17.426579
1980-01-02,14.6,13.860573
1980-01-03,15.0,12.563932
1980-01-04,18.8,19.04039
1980-01-05,20.2,18.622438
1980-01-07,22.3,21.466316
1980-01-08,21.5,21.822586
1980-01-09,21.7,21.504463
1980-01-11,18.2,18.125042
1980-01-12,18.6,18.887703
1980-01-13,19.8,20.03529
1980-01-14,21.2,18.88679
1980-01-15,20.0,20.270468
1980-01-16,21.4,21.387438
1980-01-17,22.2,20.994965
1980-01-18,22.2,21.402023
1980-01-19,20.8,19.176838
1980-01-20,20.4,20.232594
1980-01-21,20.1,19.277939
1980-01-22,20.8,16.251472
1980-01-23,23.5,17.543282
1980-01-24,23.0,21.45625
1980-01-25,18.3,19.256996
1980-01-27,19.9,20.648785
1980-01-28,22.9,21.823603
1980-01-30,19.8,19.337198
1980-01-31,21.8,21.897915
1980-02-02,22.1,21.357716
1980-02-03,20.2,20.671347
1980-02-04,20.0,20.26437
1980-02-05,22.2,21.754517
1980-02-06,23.6,23.128714
1980-02-07,21.2,21.843185
1980-02-08,21.0,20.763365
1980-02-09,23.2,22.908413
1980-02-10,23.6,23.433996
1980-02-12,22.2,22.522596
1980-02-13,21.6,21.52522
1980-02-14,20.5,20.923489
1980-02-15,22.8,22.794645
1980-02-16,23.1,22.615185
1980-02-17,22.2,21.638805
1980-02-19,20.3,19.865158
1980-02-20,19.9,20.635662
1980-02-21,18.3,19.238155
1980-02-23,20.8,19.99826
1980-02-24,20.8,22.266161
1980-02-25,22.8,21.547363
1980-02-26,22.2,21.86376
1980-02-27,23.1,22.320274
1980-02-28,23.5,22.297733
1980-02-29,22.4,21.759375
1980-03-01,22.1,16.151375
1980-03-02,24.0,16.558308
1980-03-03,23.8,16.655546
1980-03-04,25.1,22.917288
1980-03-05,23.4,15.699983
1980-03-06,23.0,22.040936
1980-03-07,23.1,22.160389
1980-03-08,22.1,21.600948
1980-03-09,22.4,21.72113
1980-03-10,22.2,21.490322
1980-03-11,22.5,22.05455
1980-03-12,22.5,21.474201
1980-03-13,21.8,21.73405
1980-03-14,22.0,22.225107
1980-03-15,20.0,19.826488
1980-03-16,21.5,21.126541
1980-03-18,23.6,22.380674
1980-03-19,23.2,22.27525
1980-03-20,22.0,21.634518
1980-03-21,22.6,21.391916
1980-03-22,22.6,16.665743
1980-03-24,24.2,17.012604
1980-03-27,22.6,21.477987
1980-03-28,23.0,17.245398
1980-03-29,22.3,21.491106
1980-03-30,22.3,21.928375
1980-03-31,18.4,18.530647
1980-04-01,18.7,18.79967
