Data,TempMin,TempMinPredicted
1980-01-01,19.6,20.698076
1980-01-04,20.0,20.224443
1980-01-06,21.5,21.601591
1980-01-07,21.5,22.895254
1980-01-09,24.2,24.497791
1980-01-10,25.0,24.176369
1980-01-20,24.2,24.752867
1980-01-25,25.3,24.631382
1980-01-31,22.6,23.086319
1980-02-01,24.4,24.881725
1980-02-05,24.0,23.195389
1980-02-06,22.0,22.174334
1980-02-07,22.8,23.497496
1980-02-10,23.0,24.616838
1980-02-18,22.4,23.002686
1980-02-22,23.8,24.122135
1980-02-27,24.5,25.280025
1980-03-01,25.0,24.16181
1980-03-02,24.4,24.30683
1980-03-03,24.0,24.006031
1980-03-04,24.0,23.850252
1980-03-06,23.9,23.67546
1980-03-07,24.5,24.195059
1980-03-12,24.9,25.252428
1980-03-13,25.8,25.662489
1980-03-18,24.6,24.689543
1980-03-19,23.4,23.513016
1980-03-22,24.0,24.495646
1980-03-24,24.7,24.106833
1980-03-28,24.3,24.273489
1980-04-02,22.0,22.533072
1980-04-03,23.5,22.904814
1980-04-08,22.9,23.315649
1980-04-09,23.3,23.67528
1980-04-11,25.6,24.410131
1980-04-13,23.9,23.545122
1980-04-15,22.8,22.255964
1980-04-18,21.6,21.807041
1980-04-20,20.7,20.940947
1980-04-21,21.5,21.685547
1980-04-23,21.6,21.834394
1980-04-24,22.0,21.366922
1980-04-27,21.0,21.730818
1980-04-30,21.2,20.385378
1980-05-01,22.0,21.200829
1980-05-02,22.8,22.749271
1980-05-05,19.8,19.000956
1980-05-07,19.0,19.514872
1980-05-08,20.0,20.643576
1980-05-09,20.8,20.985907
1980-05-10,21.5,21.682457
1980-05-11,23.4,22.346514
1980-05-12,22.4,22.655886
1980-05-13,20.9,21.492256
1980-05-15,20.6,19.826746
1980-05-16,20.9,21.365017
1980-05-17,20.7,21.467192
1980-05-18,21.1,21.3265
1980-05-19,21.2,20.909918
1980-05-20,21.4,20.677794
1980-05-21,21.5,22.424404
1980-05-22,22.4,21.575323
1980-05-25,21.1,20.97449
1980-05-26,20.5,19.996891
1980-05-27,19.2,18.608261
1980-05-28,19.3,19.089428
1980-05-29,19.8,20.204954
1980-05-31,21.4,20.547415
1980-06-01,22.2,21.314114
1980-06-02,22.1,22.835236
1980-06-03,19.7,19.53814
1980-06-05,18.5,19.168343
1980-06-06,18.5,18.903917
1980-06-07,19.4,19.267925
1980-06-08,19.2,20.12533
1980-06-09,20.2,19.873686
1980-06-10,20.3,20.365068
1980-06-11,20.7,20.586452
1980-06-12,22.1,21.992844
1980-06-13,22.4,21.014177
1980-06-16,18.3,18.311684
1980-06-17,18.0,17.735537
1980-06-18,18.4,18.461365
1980-06-19,19.0,18.93779
1980-06-20,20.3,19.95263
1980-06-21,18.7,18.79898
1980-06-24,18.0,17.97517
1980-06-25,19.0,20.986359
1980-06-28,14.5,15.324984
1980-06-30,17.6,17.171688
1980-07-01,18.6,18.382492
1980-07-03,19.7,19.528505
1980-07-04,19.8,19.019987
1980-07-08,17.0,16.980028
1980-07-10,20.0,20.638477
1980-07-11,20.3,19.948507
1980-07-12,20.6,20.242363
1980-07-13,19.9,19.943777
1980-07-14,21.0,21.268274
1980-07-17,17.3,17.87579
1980-07-18,19.3,19.544394
1980-07-19,19.7,19.834616
1980-07-20,19.9,19.076197
1980-07-21,20.5,19.410776
1980-07-22,21.8,21.325686
1980-07-25,18.0,17.112211
1980-07-26,16.1,17.926476
1980-07-27,20.1,21.039835
1980-07-28,20.5,20.52547
1980-07-29,17.4,19.659328
1980-07-30,22.5,22.024893
1980-08-02,17.5,17.57168
1980-08-03,17.6,18.06746
1980-08-04,20.2,19.882769
1980-08-05,19.7,19.956152
1980-08-06,19.7,19.947857
1980-08-07,22.5,20.76873
1980-08-08,21.6,21.393862
1980-08-09,21.4,21.145178
1980-08-10,20.9,20.590782
1980-08-11,21.4,21.002413
1980-08-14,18.8,19.175594
1980-08-15,20.3,20.302616
1980-08-16,20.2,20.124376
1980-08-17,21.2,19.581076
1980-08-18,20.9,21.066322
1980-08-20,21.9,21.833357
1980-08-21,22.4,22.70385
1980-08-22,22.3,22.222357
1980-08-23,19.8,20.598385
1980-08-25,20.3,21.345594
1980-08-26,20.4,20.164835
1980-08-29,17.0,16.735884
1980-08-30,16.4,16.783104
1980-08-31,18.0,18.209948
1980-09-02,20.1,20.72065
1980-09-03,20.4,20.704285
1980-09-04,20.0,19.449009
1980-09-08,18.3,18.956022
1980-09-09,20.7,21.07811
1980-09-12,21.4,21.147831
1980-09-14,19.7,19.764688
1980-09-15,21.2,21.930834
1980-09-20,20.0,20.415762
1980-09-24,16.5,18.447971
1980-09-25,18.2,18.265947
1980-09-28,17.1,18.75592
1980-09-29,18.7,19.409563
1980-09-30,20.8,21.197636
1980-10-01,21.2,20.905437
1980-10-03,19.9,19.750784
1980-10-04,19.3,19.82827
1980-10-05,19.1,19.74327
1980-10-19,23.0,23.305227
1980-10-20,21.4,22.77672
1980-10-21,23.5,23.874973
1980-10-22,24.9,25.045294
1980-10-27,23.0,23.955446
1980-10-28,23.2,24.080362
1980-10-29,19.7,22.82548
1980-10-30,23.5,23.99798
1980-11-03,20.4,20.834398
1980-11-04,21.1,20.3161
1980-11-05,21.1,21.602747
1980-11-06,21.9,22.054594
1980-11-07,22.9,24.051039
1980-11-10,25.0,25.587236
1980-11-15,17.9,18.13027
1980-11-16,20.3,20.132076
1980-11-17,20.6,20.803257
1980-11-18,20.9,20.31627
1980-11-19,17.4,20.305395
1980-11-21,21.6,22.772305
1980-11-22,19.9,22.523615
1980-11-23,23.3,23.882967
1980-11-27,20.4,19.91918
1980-11-28,21.2,20.747593
1980-11-29,21.3,22.20318
1980-12-02,23.8,22.573477
1980-12-04,20.3,22.799263
1980-12-06,24.1,24.585972
1980-12-07,18.3,21.462492
1980-12-08,21.9,22.072742
1980-12-09,22.3,22.482721
1980-12-24,22.4,22.537275
1980-12-26,22.6,23.157963
1980-12-28,23.4,23.098612
1981-01-01,22.5,23.438665
1981-01-07,25.1,24.958136
1981-01-08,25.0,24.734722
1981-01-10,24.2,23.854753
1981-01-11,24.5,23.837824
1981-01-18,25.2,25.228163
1981-01-19,25.2,25.817026
1981-01-21,25.8,25.21337
1981-01-24,23.2,23.72765
1981-01-25,23.8,23.985945
1981-01-27,24.0,23.76702
1981-01-28,23.8,23.430159
1981-01-29,23.3,23.670235
1981-01-30,24.2,23.792145
1981-01-31,24.5,24.34203
1981-02-01,24.4,24.834047
1981-02-02,24.2,24.725382
1981-02-03,26.9,25.58467
1981-02-05,24.7,25.247839
1981-02-07,22.9,22.481787
1981-02-09,22.6,23.263992
1981-02-11,23.7,24.229675
1981-02-12,24.9,25.325119
1981-02-13,25.2,25.278193
1981-02-14,24.2,24.174513
1981-02-15,24.0,24.411736
1981-02-16,23.3,23.90262
1981-02-17,24.0,24.324463
1981-02-18,22.9,22.861408
1981-02-19,21.4,22.054516
1981-02-20,22.2,22.368692
1981-02-21,21.7,21.929176
1981-02-22,22.6,23.075035
1981-02-24,22.8,22.646067
1981-02-25,22.9,23.981989
1981-02-26,23.1,23.020315
1981-02-27,22.8,22.997
1981-02-28,23.6,23.62031
1981-03-02,22.7,22.904364
1981-03-03,22.7,23.966837
1981-03-05,22.6,23.399916
1981-03-06,22.8,22.951103
1981-03-07,23.7,23.706413
1981-03-08,23.7,23.189629
1981-03-10,23.2,23.041483
1981-03-11,23.0,23.353018
1981-03-13,22.9,23.69358
1981-03-14,23.4,23.446531
1981-03-15,23.2,23.963392
1981-03-17,24.5,23.546244
1981-03-22,22.1,21.431456
1981-03-24,21.2,22.189121
1981-03-25,23.7,23.754366
1981-03-26,23.5,23.890768
1981-03-27,24.0,24.31563
1981-03-28,24.2,23.215357
1981-03-31,23.7,23.613224
1981-04-03,21.2,21.434748
1981-04-04,21.6,22.55741
1981-04-05,23.0,23.27321
1981-04-06,23.0,23.118208
1981-04-07,22.5,22.551989
1981-04-08,23.2,22.540735
1981-04-11,20.3,20.549017
1981-04-12,21.0,20.899485
1981-04-13,20.4,20.617441
1981-04-14,20.6,20.725779
1981-04-15,21.1,22.065588
1981-04-20,18.6,18.845503
1981-04-21,19.4,19.147259
1981-04-22,20.0,20.660824
1981-04-23,20.8,21.282139
1981-04-25,21.6,22.181175
1981-04-28,22.8,23.56012
1981-04-29,22.3,22.399208
1981-05-01,19.4,19.727686
1981-05-02,20.2,20.959568
1981-05-03,20.6,21.764673
1981-05-04,21.1,21.930817
1981-05-05,21.5,21.467554
1981-05-07,20.6,21.155252
1981-05-08,21.2,21.094908
1981-05-09,20.8,20.982264
1981-05-10,21.4,21.413546
1981-05-11,22.2,21.837835
1981-05-12,21.3,21.7252
1981-05-13,20.1,20.561361
1981-05-14,20.6,20.091524
1981-05-15,21.4,22.005033
1981-05-16,22.2,22.362604
1981-05-18,21.1,20.958284
1981-05-19,20.4,21.432749
1981-05-20,21.4,20.497257
1981-05-21,20.6,20.360394
1981-05-22,20.4,20.45134
1981-05-23,19.2,18.725155
1981-05-24,18.7,18.87843
1981-05-25,19.2,19.14253
1981-05-26,19.2,19.18497
1981-05-27,19.4,19.918127
1981-05-28,19.7,19.344528
1981-05-30,18.7,18.826052
1981-05-31,17.8,17.896866
1981-06-03,20.5,21.069239
1981-06-05,19.4,19.486107
1981-06-06,17.9,19.632092
1981-06-12,17.9,18.144503
1981-06-14,19.0,19.609537
1981-06-15,19.6,19.444178
1981-06-16,19.1,19.275227
1981-06-19,17.6,18.345533
1981-06-24,16.7,17.508213
1981-06-28,18.1,18.11129
1981-06-29,18.8,18.729435
1981-07-01,20.6,20.100569
1981-07-14,12.2,17.20893
1981-07-15,19.2,18.702099
1981-07-17,20.8,20.993149
1981-07-26,19.4,18.790468
1981-08-08,19.8,20.10939
1981-08-14,19.2,19.216785
1981-08-16,19.8,19.948997
1981-08-29,20.6,20.703815
1981-09-03,19.9,20.789547
1981-09-05,19.4,18.299074
1981-09-07,12.8,16.532223
1981-09-08,16.9,17.092243
1981-09-15,20.9,20.211184
1981-09-18,19.1,19.771807
1981-09-19,21.4,21.244368
1981-09-20,22.2,22.651857
1981-09-21,22.0,22.32772
1981-09-25,21.6,20.824495
1981-09-26,21.7,21.755701
1981-09-27,22.0,22.140503
1981-09-29,23.6,24.04664
1981-10-02,18.8,19.522387
1981-10-03,19.0,20.336897
1981-10-04,22.0,21.692661
1981-10-05,22.6,22.901072
1981-10-06,21.4,21.634645
1981-10-07,22.4,22.825556
1981-10-17,19.7,19.761293
1981-10-21,18.7,18.144762
1981-10-22,18.8,18.540277
1981-10-24,20.2,20.697077
1981-10-25,20.9,21.474947
1981-10-26,22.7,22.982683
1981-10-29,22.2,21.330725
1981-10-30,20.4,20.210247
1981-11-01,19.7,20.800177
1981-11-07,23.2,22.585707
1981-11-09,20.0,21.267927
1981-11-13,20.7,21.052523
1981-11-16,21.6,21.15832
1981-11-19,23.6,24.514906
