Data,TempMax,TempMaxPredicted
1980-01-03,31.4,30.660904
1980-01-06,32.6,32.790985
1980-01-09,32.3,32.272297
1980-01-13,33.0,33.240765
1980-01-14,33.6,34.099953
1980-01-15,34.3,34.069553
1980-01-16,33.4,33.74437
1980-01-17,33.6,34.22402
1980-01-19,33.8,34.014973
1980-01-20,33.9,32.455616
1980-01-22,31.8,31.43197
1980-01-23,31.4,32.049385
1980-01-27,32.0,32.00312
1980-01-28,31.4,31.560472
1980-01-29,31.9,33.032352
1980-01-31,33.6,34.14298
1980-02-01,34.0,33.606365
1980-02-02,32.5,33.274384
1980-02-03,34.0,34.18806
1980-02-04,33.4,33.806408
1980-02-06,33.4,33.6777
1980-02-08,34.0,33.668354
1980-02-09,34.8,34.322758
1980-02-11,34.7,33.84072
1980-02-13,34.0,33.74661
1980-02-14,35.0,34.027172
1980-02-15,34.2,34.127228
1980-02-21,34.4,33.983532
1980-02-23,34.7,34.36182
1980-02-24,34.4,33.99347
1980-02-26,34.5,33.759872
1980-02-29,34.8,33.97511
1980-03-01,34.2,33.70516
1980-03-02,34.4,34.141808
1980-03-05,30.4,33.80554
1980-03-06,35.4,34.87848
1980-03-07,35.4,34.744984
1980-03-10,34.8,34.422718
1980-03-11,30.8,33.45153
1980-03-14,35.0,34.54607
1980-03-15,34.4,33.907433
1980-03-16,30.4,33.274643
1980-03-18,33.6,33.81895
1980-03-19,32.6,33.41772
1980-03-20,34.4,34.955036
1980-03-21,33.2,34.114174
1980-03-22,34.6,34.390503
1980-03-23,35.4,35.232445
1980-03-25,32.0,32.6292
1980-03-27,29.9,30.766264
1980-03-30,33.0,33.633106
1980-03-31,30.6,32.92822
1980-05-01,31.0,30.838392
1980-05-02,28.0,30.251637
1980-05-04,31.4,31.883196
1980-05-06,29.2,31.134304
1980-05-09,32.2,31.93634
1980-05-12,31.2,32.837673
1980-05-13,31.4,30.789797
1980-05-14,30.2,29.189657
1980-05-15,28.8,29.139585
1980-05-17,32.0,33.017628
1980-05-18,30.2,32.32928
1980-05-20,31.8,33.55764
1980-05-21,31.2,32.73443
1980-05-26,29.8,31.46656
1980-05-27,32.4,33.555977
1980-05-28,30.1,32.080296
1980-05-31,32.2,31.46854
1980-06-02,30.0,31.40335
1980-06-07,30.0,29.800406
1980-06-09,29.4,29.805159
1980-06-12,30.8,30.158007
1980-06-13,31.6,31.754171
1980-06-14,29.2,29.972914
1980-06-17,32.4,31.989164
1980-06-19,30.2,29.941246
1980-06-23,31.4,33.42119
1980-06-27,32.1,31.376184
1980-06-28,32.8,32.275936
1980-06-29,32.2,33.849415
1980-06-30,33.0,33.606583
1980-07-01,28.9,30.433077
1980-07-02,29.6,30.591764
1980-07-03,29.9,29.697832
1980-07-07,30.8,30.282335
1980-07-10,28.0,28.683432
1980-07-11,31.2,30.23561
1980-07-14,31.4,32.19442
1980-07-17,28.0,29.295671
1980-07-20,31.9,32.01237
1980-07-21,32.4,32.626057
1980-07-24,30.2,30.343637
1980-07-25,30.5,30.115294
1980-07-28,32.6,34.228294
1980-07-29,33.4,34.598747
1980-07-30,32.4,34.174072
1980-07-31,32.6,34.11132
1980-08-01,33.0,34.96419
1980-08-06,31.2,32.483223
1980-08-07,31.6,31.48075
1980-08-08,32.0,33.23241
1980-08-10,32.4,32.188564
1980-08-11,32.8,33.150288
1980-08-14,32.4,33.055946
1980-08-18,31.4,32.760723
1980-08-21,32.4,32.751125
1980-08-22,33.0,33.84349
1980-08-23,33.3,32.7353
1980-08-24,34.0,33.417637
1980-08-26,33.6,34.152737
1980-08-27,32.6,32.585766
1980-08-28,33.4,32.36843
1980-08-29,31.8,32.087578
1980-08-30,29.8,31.161695
1980-08-31,31.1,32.39814
1980-09-01,32.2,32.28589
1980-09-05,33.4,33.495792
1980-09-06,32.6,32.68131
1980-09-08,33.6,34.664253
1980-09-09,33.6,34.48695
1980-09-10,32.0,32.846004
1980-09-11,34.4,33.137283
1980-09-14,32.1,32.423576
1980-09-15,33.8,34.952347
1980-09-16,34.3,35.085587
1980-09-17,35.0,34.870857
1980-09-20,33.9,34.24238
1980-09-23,34.6,33.79295
1980-09-25,34.2,33.619244
1980-09-26,34.3,35.15857
1980-09-28,34.3,35.370853
1980-09-29,33.8,33.05627
1980-09-30,35.1,35.31817
1980-10-02,34.4,34.289154
1980-10-03,34.5,34.990696
1980-10-04,34.5,35.625828
1980-10-07,33.6,31.934086
1980-10-08,33.8,33.97584
1980-10-09,34.4,33.902927
1980-10-10,33.4,32.771545
1980-10-12,33.8,33.816257
1980-10-13,34.2,35.079308
1980-10-14,33.8,33.757355
1980-10-16,32.8,33.099247
1980-10-17,32.7,33.17416
1980-10-18,34.8,34.92168
1980-10-20,33.4,34.267998
1980-10-21,33.1,33.65638
1980-10-22,33.2,33.918713
1980-10-23,34.0,34.418564
1980-10-24,34.4,34.69921
1980-10-25,34.6,34.053688
1980-10-27,34.0,34.46965
1980-10-29,33.6,34.37944
1980-10-31,34.5,34.701466
1980-11-02,34.7,35.107124
1980-11-03,34.2,34.704155
1980-11-05,35.0,34.57841
1980-11-06,34.6,35.25327
1980-11-10,33.7,34.396393
1980-11-11,33.6,31.405577
1980-11-14,31.9,31.136356
1980-11-15,30.0,29.923296
1980-11-18,31.3,32.6337
1980-11-19,32.0,32.93174
1980-11-21,32.8,33.208088
1980-11-23,33.2,32.54902
1980-11-24,33.8,33.522354
1980-11-25,32.4,33.389515
1980-11-26,32.8,33.562157
1980-11-27,32.5,33.962204
1980-11-28,32.6,33.589237
1980-11-29,34.6,34.572277
1980-11-30,33.2,34.030903
1980-12-01,31.8,32.7177
1980-12-02,32.4,32.410625
1980-12-03,33.8,33.366005
1980-12-04,33.8,33.709072
1980-12-05,33.4,33.047474
1980-12-06,34.4,34.46156
1980-12-07,34.2,34.12725
1980-12-08,34.8,35.096
1980-12-09,33.8,33.562996
1980-12-10,33.2,32.848248
1980-12-11,33.4,32.889122
1980-12-12,33.8,34.553303
1980-12-14,33.4,33.96495
1980-12-15,34.6,35.13833
1980-12-16,34.0,34.03433
1980-12-17,33.8,35.80713
1980-12-18,33.8,34.240707
1980-12-19,32.6,33.838142
1980-12-21,33.5,34.38553
1980-12-23,32.0,34.095383
1980-12-24,33.0,34.152668
1980-12-25,33.2,33.48968
1980-12-26,33.4,33.371277
1980-12-27,30.0,31.438961
1980-12-28,31.9,32.625458
1980-12-29,32.2,33.119526
1980-12-30,32.7,32.463406
1981-02-01,33.9,33.875896
1981-02-02,33.8,33.478416
1981-02-04,32.5,33.32182
1981-02-07,33.8,33.35973
1981-02-10,32.9,33.65264
1981-02-11,32.7,33.20543
1981-02-12,34.7,34.883804
1981-02-13,35.0,34.29613
1981-02-14,34.7,34.96913
1981-02-15,35.0,35.740078
1981-02-18,33.5,33.215225
1981-02-19,34.3,34.25855
1981-02-20,34.0,33.092613
1981-02-23,29.0,32.21648
1981-02-24,35.3,35.173393
1981-02-25,35.5,35.95799
1981-02-26,34.5,34.43097
1981-02-28,32.8,32.7226
1981-03-01,32.7,32.58432
1981-03-02,31.2,31.774626
1981-03-04,33.4,33.962105
1981-03-05,33.4,33.89485
1981-03-06,34.0,34.666008
1981-03-07,33.9,34.5156
1981-03-08,33.8,32.705143
1981-03-09,33.6,34.072155
1981-03-10,32.4,32.61722
1981-03-11,33.0,33.515945
1981-03-12,33.2,33.677265
1981-03-13,33.0,33.690186
1981-03-14,33.4,34.046787
1981-03-15,33.7,34.17813
1981-03-16,35.2,34.917572
1981-03-17,35.1,34.902054
1981-03-18,35.5,35.24106
1981-03-19,36.1,35.7477
1981-03-20,37.0,36.186764
1981-03-21,36.0,35.0607
1981-03-23,36.0,35.890324
1981-03-24,36.1,36.102562
1981-03-25,36.1,36.122036
1981-03-26,34.2,35.086185
1981-03-27,34.4,34.601845
1981-03-28,35.5,35.693985
1981-03-29,36.1,37.02226
1981-03-30,36.6,35.121643
1981-04-03,35.5,35.504185
1981-04-04,33.6,33.054184
1981-04-05,36.4,36.132454
1981-04-06,34.7,33.17682
1981-04-07,35.0,32.587067
1981-04-09,33.4,32.17663
1981-04-10,34.9,35.457973
1981-04-12,31.3,31.579596
1981-04-14,28.1,29.02168
1981-04-18,30.4,31.635077
1981-04-19,27.5,30.239897
1981-04-20,27.3,28.189447
1981-04-22,33.9,33.85793
1981-04-24,32.2,32.661106
1981-04-28,31.4,30.972097
1981-04-29,31.2,32.051117
1981-04-30,32.6,33.519398
1981-05-01,33.6,33.559986
1981-05-02,30.3,31.485847
1981-05-03,32.8,32.567535
1981-05-04,33.8,32.863953
1981-05-05,33.1,33.97855
1981-05-06,31.5,32.94596
1981-05-07,29.9,30.574846
1981-05-09,32.4,32.084457
1981-05-10,27.2,30.230188
1981-05-11,30.5,31.844519
1981-05-12,30.8,31.998941
1981-05-13,32.6,33.293083
1981-05-14,33.2,32.758736
1981-05-15,32.2,32.299294
1981-05-16,29.4,31.594995
1981-05-17,26.6,29.853167
1981-05-18,28.2,30.410511
1981-05-19,27.9,30.336908
1981-05-21,31.6,32.26462
1981-05-24,30.5,31.872208
1981-05-25,31.3,32.627514
1981-05-27,25.8,29.43207
1981-06-23,31.3,32.25903
1981-06-24,30.8,31.50871
1981-06-25,30.6,31.247738
1981-06-28,27.4,29.03148
1981-06-30,28.6,30.109346
1981-07-01,26.9,29.205101
1981-07-02,30.5,31.173843
1981-07-05,28.4,29.404203
1981-07-07,28.4,29.144396
1981-07-08,29.7,29.821798
1981-07-10,30.8,30.532162
1981-07-12,30.6,31.745955
1981-07-13,29.8,30.809038
1981-07-14,30.2,30.058418
1981-07-15,30.8,29.862146
1981-07-16,27.9,29.74365
1981-07-18,30.8,29.897003
1981-07-20,23.6,27.88399
1981-07-21,24.3,29.037695
1981-07-22,26.4,29.235394
1981-07-23,28.6,29.801687
1981-07-25,29.8,30.079006
1981-07-28,30.5,31.001526
1981-07-29,29.6,29.319365
1981-08-01,31.7,32.38568
1981-08-02,32.2,31.797514
1981-08-03,31.4,31.306307
1981-08-04,32.8,33.972187
1981-08-05,31.8,32.18196
1981-08-07,32.8,33.508316
1981-08-13,30.5,31.700525
