Data,TempMax,TempMaxPredicted
1980-01-02,31.6,31.759705
1980-01-03,31.2,31.25613
1980-01-05,30.7,31.430634
1980-01-06,29.5,29.64404
1980-01-08,30.0,29.968563
1980-01-09,30.0,30.795822
1980-01-10,30.4,31.291832
1980-01-11,30.8,31.295559
1980-01-12,30.8,30.88665
1980-01-13,30.1,31.064598
1980-01-14,28.0,28.826027
1980-01-15,30.6,31.260784
1980-01-17,30.0,30.895802
1980-01-18,30.3,31.130497
1980-01-19,30.0,30.795322
1980-01-20,30.2,30.606487
1980-01-21,30.5,31.642124
1980-01-22,30.5,31.99496
1980-01-23,30.4,31.948505
1980-01-24,30.6,31.74012
1980-01-25,31.0,32.016483
1980-01-26,30.9,32.09201
1980-01-27,30.9,31.719505
1980-01-28,31.8,31.548676
1980-01-29,32.0,32.29514
1980-01-30,32.3,32.03074
1980-01-31,31.8,30.920113
1980-02-04,33.2,32.346367
1980-02-05,32.0,29.804676
1980-02-06,30.9,29.103703
1980-02-07,24.5,24.84753
1980-02-08,27.8,27.328667
1980-02-09,29.5,28.927994
1980-02-10,28.5,28.525238
1980-02-11,29.0,29.736584
1980-02-14,30.0,30.733952
1980-02-15,29.3,28.83133
1980-02-16,28.5,27.888176
1980-02-17,28.8,29.097477
1980-02-18,30.4,30.774147
1980-02-19,30.0,31.120495
1980-02-21,29.7,30.796268
1980-02-22,29.1,30.531155
1980-02-23,29.0,30.107193
1980-02-24,29.3,29.723087
1980-02-25,26.5,26.512691
1980-02-26,29.2,30.252026
1980-02-27,29.5,30.632969
1980-02-28,28.9,30.153496
1980-02-29,29.2,29.658436
1980-03-01,28.7,29.69548
1980-03-02,28.9,30.53025
1980-03-03,27.0,27.260792
1980-03-04,27.2,26.763134
1980-03-05,28.0,28.075886
1980-03-06,28.2,29.58585
1980-03-07,28.6,28.46587
1980-03-08,28.9,29.45161
1980-03-09,28.8,29.167679
1980-03-10,29.0,29.954258
1980-03-12,26.0,27.604126
1980-03-14,29.1,29.02805
1980-03-15,29.6,29.768314
1980-03-16,28.3,29.49342
1980-03-17,28.9,28.697144
1980-03-18,28.4,28.935131
1980-03-19,28.1,28.119541
1980-03-20,28.8,29.981365
1980-03-21,28.7,29.457825
1980-03-22,29.0,29.444504
1980-03-23,29.0,30.543747
1980-03-24,29.0,30.427402
1980-03-25,29.0,31.014225
1980-03-26,29.0,30.61073
1980-03-27,29.3,29.887978
1980-03-28,29.3,30.042206
1980-03-29,29.2,30.004597
1980-03-30,29.0,30.211811
1980-03-31,29.3,30.298138
1980-04-01,29.6,30.656288
1980-04-02,29.8,31.098873
1980-04-03,29.4,30.33078
1980-04-04,28.7,28.918156
1980-04-05,27.2,28.258533
1980-06-16,28.1,27.708885
1980-06-17,27.0,27.031582
1980-06-18,27.6,27.710335
1980-06-19,27.5,27.69783
1980-06-20,28.0,28.270802
1980-06-21,27.9,28.034363
1980-06-22,27.8,28.084656
1980-06-23,27.4,28.262558
1980-06-24,27.1,27.718693
1980-06-25,27.5,28.242645
1980-06-26,25.6,27.487144
1980-06-27,27.6,28.264557
1980-06-28,27.6,28.175488
1980-06-29,27.6,27.00391
1980-06-30,27.6,27.392017
1980-07-01,24.6,25.615593
1980-07-02,27.8,27.810745
1980-07-03,27.6,27.399311
1980-07-04,26.1,26.760342
1980-07-05,27.3,27.864212
1980-07-06,27.0,27.448112
1980-07-07,27.4,27.315857
1980-07-08,27.1,27.80603
1980-07-09,26.8,27.43137
1980-07-10,27.0,27.293747
1980-07-11,26.3,26.381096
1980-07-12,27.5,27.844646
1980-07-13,27.4,27.068321
1980-07-14,27.6,27.253864
1980-07-15,28.0,27.079437
1980-07-16,27.2,27.351852
1980-07-17,26.4,25.631351
1980-07-18,26.9,26.505959
1980-07-19,27.0,27.801556
1980-07-20,26.6,25.946602
1980-07-21,27.6,27.81569
1980-07-22,27.5,27.301746
1980-07-23,27.4,26.793098
1980-07-24,27.2,27.434597
1980-07-25,27.1,27.463043
1980-07-26,26.5,25.674805
1980-07-27,27.5,27.40731
1980-07-28,27.2,27.653316
1980-07-29,27.0,27.956741
1980-07-30,28.1,27.600388
1980-07-31,27.6,27.498814
1980-08-01,25.9,25.553566
1980-08-02,26.0,25.827808
1980-08-03,27.1,26.686756
1980-08-04,26.6,27.15633
1980-08-05,26.0,26.071854
1980-08-06,25.8,25.176624
1980-08-07,26.9,27.285797
1980-08-08,27.4,27.953545
1980-08-09,27.1,27.17712
1980-08-11,27.4,26.776764
1980-08-12,27.6,26.819427
1980-08-13,28.2,27.453117
1980-08-14,25.7,26.676643
1980-08-15,27.6,25.985634
1980-08-16,28.0,27.716408
1980-08-17,28.0,27.860867
1980-08-18,27.6,27.682156
1980-08-19,28.0,28.42788
1980-08-20,28.4,27.478756
1980-08-21,28.0,27.876354
1980-08-22,28.2,27.566574
1980-08-23,28.0,27.037872
1980-08-24,28.2,27.312294
1980-08-25,28.4,28.613026
1980-08-26,27.5,27.28165
1980-08-27,27.8,27.952274
1980-08-28,27.6,27.548538
1980-08-29,27.3,27.126865
1980-08-30,27.5,27.375656
1980-08-31,27.9,27.798237
1980-09-01,27.7,27.259327
1980-09-02,27.0,26.663128
1980-09-03,27.7,26.88063
1980-09-04,30.0,28.2916
1980-09-05,29.4,28.410557
1980-09-06,29.2,28.667091
1980-09-07,28.5,28.438091
1980-09-08,28.4,28.628853
1980-09-09,28.7,28.585983
1980-09-10,27.0,27.37204
1980-09-11,27.6,27.082699
1980-09-12,27.4,27.610344
1980-09-13,26.5,26.279675
1980-09-14,27.8,27.611061
1980-09-15,27.4,26.953838
1980-09-16,27.5,26.992538
1980-09-17,29.2,28.925156
1980-09-18,28.6,28.602161
1980-09-19,29.4,28.042961
1980-09-20,28.5,28.419273
1980-09-21,28.5,28.15543
1980-09-22,29.8,28.660038
1980-09-23,30.0,28.938702
1980-09-24,29.9,28.373898
1980-09-25,28.6,27.628895
1980-09-26,29.8,28.491215
1980-09-27,29.2,28.725098
1980-09-28,29.6,29.275333
1980-09-29,28.7,28.860264
1980-09-30,28.9,28.123585
1980-10-02,26.2,25.439507
1980-10-03,26.2,26.43866
1980-10-04,24.5,24.816383
1980-10-05,27.5,28.480106
1980-10-06,28.4,28.517975
1980-10-07,27.8,27.906422
1980-10-08,29.0,28.96783
1980-10-09,28.5,28.595894
1980-10-10,29.5,28.455372
1980-10-11,29.4,28.478085
1980-10-12,29.4,28.382038
1980-10-13,30.2,28.482265
1980-10-14,29.9,28.99717
1980-10-15,29.6,29.477974
1980-10-16,28.6,29.063095
1980-10-17,28.2,28.913525
1980-10-18,28.8,28.761524
1980-10-19,29.3,29.14355
1980-10-20,28.9,28.17139
1980-10-21,26.9,27.459297
1980-10-22,27.5,27.887825
1980-10-23,28.2,28.871075
1980-10-24,27.5,28.001694
1980-10-25,29.0,28.990467
1980-10-26,28.0,28.195278
1980-10-27,28.9,28.272476
1980-10-28,29.4,28.101982
1980-10-29,29.8,29.164143
1980-10-30,29.5,30.136662
1980-10-31,31.1,30.402794
1980-11-01,32.4,31.071445
1980-11-02,29.7,28.647755
1980-11-03,29.4,29.150219
1980-11-04,29.8,28.598969
1980-11-05,29.8,29.454113
1980-11-06,29.9,30.326618
1980-11-07,29.2,29.251896
1980-11-08,28.8,28.423405
1980-11-09,29.3,30.529293
1980-11-10,29.9,29.49728
1980-11-12,29.6,29.278076
1980-11-13,28.0,27.72398
1980-11-14,29.0,28.618328
1980-11-15,29.2,29.36073
1980-11-16,29.0,29.011494
1980-11-17,30.0,29.230114
1980-11-18,31.2,30.499565
1980-11-19,31.1,29.921806
1980-11-20,31.4,30.245857
1980-11-21,28.8,28.792595
1980-11-23,28.9,28.756023
1980-11-24,30.8,29.743
1980-11-25,31.0,30.752964
1980-11-26,30.1,30.34262
1980-11-27,28.0,27.73108
1980-11-28,29.5,29.448307
1980-11-29,30.2,29.120796
1980-11-30,30.0,29.176361
1980-12-01,30.4,29.609562
1980-12-02,28.5,27.331463
1980-12-03,30.4,29.604946
1980-12-04,31.2,30.731014
1980-12-05,31.6,30.990147
1980-12-06,30.6,30.165451
1980-12-07,30.2,29.58356
1980-12-08,30.4,29.906036
1980-12-09,29.8,30.059654
1980-12-10,30.4,29.164906
1980-12-11,31.5,30.418797
1980-12-12,30.4,30.01796
1980-12-13,30.2,29.38446
1980-12-14,31.0,30.15371
1980-12-15,32.0,30.395748
1980-12-16,32.5,31.415668
1980-12-17,32.4,31.400814
1980-12-18,30.4,29.894695
1980-12-19,29.8,30.025711
1980-12-20,30.8,30.410755
1980-12-21,24.7,26.215324
1980-12-22,28.6,29.019638
1980-12-23,28.5,28.210835
1980-12-24,29.0,28.731495
1980-12-25,29.5,29.992458
1980-12-26,30.0,29.765305
1980-12-27,30.5,29.243614
1980-12-28,31.0,30.395061
1980-12-29,30.8,30.185635
1980-12-30,31.4,30.397182
1980-12-31,31.7,31.814404
1986-07-16,25.8,25.096245
1986-07-17,26.8,27.768906
1986-07-18,27.4,28.424004
1986-07-19,26.6,26.330475
1986-07-20,23.5,24.33612
1986-07-21,26.6,27.323708
1986-07-22,27.8,28.655754
1986-07-23,26.6,27.691265
1986-07-24,27.4,27.845165
1986-07-25,27.2,27.326836
1986-07-26,26.6,25.85365
1986-07-27,27.0,26.516724
1986-07-28,28.0,27.019127
1986-07-29,28.5,28.786457
1986-07-30,27.7,27.31815
1986-07-31,28.4,26.300186
1986-08-01,27.4,27.50439
1986-08-02,28.2,27.904
1986-08-03,28.4,27.815151
1986-08-04,27.5,27.94522
1986-08-05,26.5,26.92487
1986-08-06,25.3,25.581615
1986-08-07,25.3,25.431667
1986-08-08,26.6,27.21317
1986-08-09,27.4,26.91428
1986-08-10,26.8,27.291656
1986-08-11,27.6,28.079128
1986-08-12,28.0,28.40987
1986-08-13,26.6,25.853298
1986-08-14,27.5,27.031013
1986-08-15,28.0,27.629333
1986-08-16,26.5,27.671505
1986-08-17,28.0,27.6596
1986-08-22,28.2,27.580349
1986-08-23,30.4,29.764091
1986-08-24,30.6,29.049335
1986-08-25,29.2,28.980167
1986-08-26,29.0,28.610065
1986-08-27,28.5,29.364555
1986-08-28,26.5,27.10046
1986-08-29,28.2,28.635834
1986-08-30,28.6,27.725735
1986-08-31,26.4,26.851315
1987-03-13,30.6,28.639004
1987-04-17,30.4,30.997784
1987-04-18,31.8,31.040974
1987-04-19,29.2,30.435143
1987-04-20,30.8,30.460423
1987-04-21,29.0,30.242004
1987-04-22,30.0,29.12119
1987-04-23,30.8,31.066605
1987-04-24,30.0,29.04456
1987-04-25,30.5,29.77301
1987-04-26,29.0,28.562595
1987-04-27,31.4,30.469727
1987-04-28,30.5,31.234299
1987-04-29,30.3,30.82177
1987-04-30,31.0,30.550842
1987-05-01,31.0,30.634087
1987-05-02,32.0,30.93483
1987-05-03,30.8,31.550156
1987-05-04,32.6,32.112038
1987-05-07,31.0,30.70259
1987-05-08,31.8,31.095345
1987-05-09,32.0,30.607853
1987-05-10,32.2,32.15994
1987-05-11,30.2,30.807499
1987-05-12,30.0,30.69553
1987-05-13,29.6,29.968575
1987-05-14,30.2,30.784061
1987-05-15,30.0,30.07444
1987-05-16,30.0,29.824223
1987-05-17,29.7,29.46962
1987-05-18,28.0,27.401062
1987-05-19,30.0,29.520008
