Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,27.414102419354826,16.94381019354838,,,,,27.414102419354826,16.94381019354838
2/1980,27.414102379310325,16.943810206896547,,,,,27.414102379310325,16.943810206896547
3/1980,27.414102419354826,16.94381019354838,,,,,27.414102419354826,16.94381019354838
4/1980,27.41410239999999,16.94381019999999,,,,,27.41410239999999,16.94381019999999
5/1980,27.414102419354826,16.94381019354838,,,,,27.414102419354826,16.94381019354838
6/1980,27.41410239999999,16.943810199999987,,,,,27.41410239999999,16.943810199999987
7/1980,27.414102419354826,16.943810193548373,,,,,27.414102419354826,16.943810193548373
8/1980,27.414102419354826,16.943810193548373,,,,,27.414102419354826,16.943810193548373
9/1980,27.41410239999999,16.94381019999999,,,,,27.41410239999999,16.94381019999999
10/1980,27.414102419354826,16.94381019354838,,,,,27.414102419354826,16.94381019354838
11/1980,27.41410239999999,16.94381019999999,,,,,27.41410239999999,16.94381019999999
12/1980,27.414102419354826,16.94381019354838,,,,,27.414102419354826,16.94381019354838
1/1981,27.414102419354826,16.94381019354838,,,,,27.414102419354826,16.94381019354838
2/1981,29.235147035714284,18.918040928571425,29.51538461538461,26.0,18.4,26.0,29.51538461538461,18.4
3/1981,28.51675887096773,19.609932870967747,28.64333333333333,30.0,19.213333333333328,30.0,28.64333333333333,19.213333333333328
4/1981,27.208826899999995,16.4535886,26.810714285714283,28.0,15.935714285714285,28.0,26.810714285714283,15.935714285714285
5/1981,25.9806393548387,15.195268774193545,25.83793103448276,29.0,14.527586206896553,29.0,25.83793103448276,14.527586206896553
6/1981,24.62653636666666,13.570894699999998,24.46296296296295,27.0,12.844444444444445,27.0,24.46296296296295,12.844444444444445
7/1981,24.014076709677425,12.25722653225807,24.289655172413802,29.0,11.355172413793106,29.0,24.289655172413802,11.355172413793106
8/1981,26.079407741935487,14.687717322580642,26.15185185185185,27.0,12.95,26.0,26.15185185185185,12.95
9/1981,28.25095420000001,17.404500799999994,29.211111111111112,27.0,15.718518518518517,27.0,29.211111111111112,15.718518518518517
10/1981,26.157010903225807,17.577857564516126,26.45172413793103,29.0,17.186206896551724,29.0,26.45172413793103,17.186206896551724
11/1981,27.1761537,18.370142399999995,27.27692307692308,26.0,18.146153846153844,26.0,27.27692307692308,18.146153846153844
12/1981,28.012023806451612,18.58976635483871,27.911538461538463,26.0,18.292307692307688,26.0,27.911538461538463,18.292307692307688
1/1982,27.17898445161289,18.465077129032263,26.771428571428572,28.0,18.085714285714282,28.0,26.771428571428572,18.085714285714282
2/1982,29.648971321428572,19.330499571428565,29.41428571428571,28.0,18.364285714285707,28.0,29.41428571428571,18.364285714285707
3/1982,27.54202019354839,18.92627912903226,27.40344827586207,29.0,18.682758620689658,29.0,27.40344827586207,18.682758620689658
4/1982,26.473802600000006,16.050192916666667,26.29,30.0,15.42333333333334,30.0,26.29,15.42333333333334
5/1982,24.927239322580643,14.344758354838708,24.85862068965517,29.0,13.244827586206894,29.0,24.85862068965517,13.244827586206894
6/1982,26.286777466666663,14.640636616666667,26.272413793103446,29.0,14.024137931034481,29.0,26.272413793103446,14.024137931034481
7/1982,24.95283158064516,13.642019322580644,25.33103448275863,29.0,13.172413793103447,29.0,25.33103448275863,13.172413793103447
8/1982,26.223511096774203,15.747232435483868,26.69642857142857,28.0,14.967857142857143,28.0,26.69642857142857,14.967857142857143
9/1982,26.67731013333333,16.013636233333337,27.43333333333333,30.0,15.406666666666668,30.0,27.43333333333333,15.406666666666668
10/1982,28.072695870967745,18.339575467741934,28.70333333333333,30.0,17.8,30.0,28.70333333333333,17.8
11/1982,30.43391983333333,19.982171633333333,31.28076923076923,26.0,19.784615384615385,26.0,31.28076923076923,19.784615384615385
12/1982,27.013867,18.722563935483876,27.364285714285717,28.0,18.803571428571427,28.0,27.364285714285717,18.803571428571427
1/1983,26.904099612903217,19.214294290322577,26.822580645161292,31.0,18.90967741935484,31.0,26.822580645161292,18.90967741935484
2/1983,28.129701785714282,19.021843321428566,28.426923076923078,26.0,18.93846153846154,26.0,28.426923076923078,18.93846153846154
3/1983,27.79676870967741,18.722421322580644,28.021428571428576,28.0,18.664285714285718,28.0,28.021428571428576,18.664285714285718
4/1983,27.75334193333333,17.82253266666667,27.93793103448277,29.0,17.44137931034483,29.0,27.93793103448277,17.44137931034483
5/1983,26.528698483870965,16.74336151612904,26.951612903225797,31.0,16.629032258064516,31.0,26.951612903225797,16.629032258064516
6/1983,26.479200233333334,15.366635650000005,26.893103448275852,29.0,15.500000000000002,29.0,26.893103448275852,15.500000000000002
7/1983,25.619210322580642,14.071499016129033,26.373333333333346,30.0,13.78,30.0,26.373333333333346,13.78
8/1983,25.685429387096768,13.720168596774194,26.45806451612903,31.0,13.090322580645163,31.0,26.45806451612903,13.090322580645163
9/1983,25.889373966666664,17.388630366666668,26.489285714285717,28.0,17.075000000000006,28.0,26.489285714285717,17.075000000000006
