Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,30.88115374193549,22.374159741935486,30.75483870967742,31,22.541935483870965,31,30.75483870967742,22.541935483870965
2/1980,28.83677731034483,22.127031034482762,28.66896551724138,29,22.47931034482758,29,28.66896551724138,22.47931034482758
3/1980,30.36366170967742,22.035733967741933,30.416129032258066,31,22.31935483870968,31,30.416129032258066,22.31935483870968
4/1980,30.93713553333333,22.27240123333333,31.07666666666667,30,22.85333333333334,30,31.07666666666667,22.85333333333334
5/1980,32.154256612903225,22.346904548387094,32.24516129032258,31,22.938709677419357,31,32.24516129032258,22.938709677419357
6/1980,31.85910776666667,22.25306163333333,31.84,30,22.74333333333333,30,31.84,22.74333333333333
7/1980,31.925681000000004,22.021361064516135,31.870967741935488,31,22.112903225806452,31,31.870967741935488,22.112903225806452
8/1980,31.85449748387097,22.03213980645161,31.916129032258066,31,22.01290322580645,31,31.916129032258066,22.01290322580645
9/1980,31.995842400000004,22.183810066666673,32.07666666666667,30,22.219999999999995,30,32.07666666666667,22.219999999999995
10/1980,32.04508112903226,22.23435506451613,32.29677419354839,31,21.88064516129032,31,32.29677419354839,21.88064516129032
11/1980,32.28169653333333,22.49168786666667,32.42333333333333,30,22.10333333333333,30,32.42333333333333,22.10333333333333
12/1980,31.823647870967747,22.267463129032265,32.23870967741936,31,21.90967741935483,31,32.23870967741936,21.90967741935483
1/1981,30.966470129032253,22.158724741935483,31.3,31,22.322580645161292,31,31.3,22.322580645161292
2/1981,31.04493696428571,22.00785117857143,31.535714285714285,28,22.275,28,31.535714285714285,22.275
3/1981,31.514850741935483,22.363398129032255,31.58064516129032,31,22.616129032258065,31,31.58064516129032,22.616129032258065
4/1981,32.149632100000005,22.6389059,32.46666666666668,30,23.059999999999995,30,32.46666666666668,23.059999999999995
5/1981,31.119332129032262,22.300680967741933,31.293548387096767,31,22.964516129032265,31,31.293548387096767,22.964516129032265
6/1981,31.808183933333343,22.1410229,31.629999999999992,30,22.54666666666667,30,31.629999999999992,22.54666666666667
7/1981,31.60923590322581,21.818129677419357,31.37096774193548,31,21.825806451612905,31,31.37096774193548,21.825806451612905
8/1981,32.01282609677419,22.07751067741935,31.777419354838706,31,22.096774193548388,31,31.777419354838706,22.096774193548388
9/1981,31.8563377,21.99561656666667,31.99333333333333,30,21.83333333333333,30,31.99333333333333,21.83333333333333
10/1981,32.24494758064517,22.257989290322584,32.53225806451613,31,21.690322580645162,31,32.53225806451613,21.690322580645162
11/1981,32.445107799999995,22.60842096666667,32.71666666666666,30,22.28333333333333,30,32.71666666666666,22.28333333333333
12/1981,31.94593422580645,22.647737741935483,32.251612903225805,31,22.419354838709683,31,32.251612903225805,22.419354838709683
1/1982,30.376189161290327,22.51176064516129,30.441935483870967,31,22.206451612903233,31,30.441935483870967,22.206451612903233
2/1982,30.073594964285718,22.643879535714287,30.37857142857143,28,22.58571428571429,28,30.37857142857143,22.58571428571429
