Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,26.83313203225807,16.830839193548393,32.74999999999999,16.0,22.8,16.0,32.74999999999999,22.8
2/1980,27.876369793103446,17.697971517241378,34.175,16.0,23.618749999999995,16.0,34.175,23.618749999999995
3/1980,28.14905603225806,18.452535032258066,33.225,20.0,23.974999999999994,20.0,33.225,23.974999999999994
4/1980,25.835522800000003,16.545381400000004,,,,,25.835522800000003,16.545381400000004
5/1980,25.70278506451612,16.55740748387096,30.770588235294124,17.0,23.282352941176466,17.0,30.770588235294124,23.282352941176466
6/1980,25.77585576666667,16.306112149999993,31.161538461538463,13.0,23.007692307692302,13.0,31.161538461538463,23.007692307692302
7/1980,25.45268348387097,16.032437274193548,30.8625,16.0,22.887500000000006,16.0,30.8625,22.887500000000006
8/1980,26.651125548387107,16.80553029032258,32.322222222222216,18.0,23.488888888888887,18.0,32.322222222222216,23.488888888888887
9/1980,27.4320958,17.15778181666667,33.73333333333333,18.0,24.20555555555555,18.0,33.73333333333333,24.20555555555555
10/1980,27.92721332258064,17.22711390322581,33.88636363636364,22.0,22.686363636363634,22.0,33.88636363636364,22.686363636363634
11/1980,27.25367873333334,17.18042026666667,33.1,19.0,23.084210526315786,19.0,33.1,23.084210526315786
12/1980,27.844087612903234,17.51608983870968,33.21851851851852,27.0,22.992592592592594,27.0,33.21851851851852,22.992592592592594
1/1981,26.622521999999996,17.182819999999996,,,,,26.622521999999996,17.182819999999996
2/1981,27.913213071428576,17.471083321428573,33.77222222222222,18.0,22.88888888888889,18.0,33.77222222222222,22.88888888888889
3/1981,29.217983032258058,18.24495522580645,34.45,28.0,23.224999999999994,28.0,34.45,23.224999999999994
4/1981,26.461798433333332,16.532896066666662,32.317647058823525,17.0,22.882352941176467,17.0,32.317647058823525,22.882352941176467
5/1981,25.70497580645161,16.407205225806457,30.69090909090909,22.0,22.58636363636364,22.0,30.69090909090909,22.58636363636364
6/1981,26.231938633333346,16.250148149999994,29.74,5.0,21.76,5.0,29.74,21.76
7/1981,23.572066645161296,14.583549629032259,28.82105263157895,19.0,21.178947368421053,19.0,28.82105263157895,21.178947368421053
8/1981,25.895613290322572,16.000365016129035,31.128571428571433,14.0,22.414285714285718,14.0,31.128571428571433,22.414285714285718
9/1981,26.01096920000001,16.450011366666665,31.94615384615385,13.0,23.261538461538464,13.0,31.94615384615385,23.261538461538464
10/1981,27.708207354838713,17.590590774193544,33.20740740740741,27.0,23.8,27.0,33.20740740740741,23.8
11/1981,28.68398553333333,18.256268333333328,34.46521739130435,23.0,24.33478260869565,23.0,34.46521739130435,24.33478260869565
12/1981,27.875754129032263,18.377270548387095,33.813636363636355,22.0,24.481818181818177,22.0,33.813636363636355,24.481818181818177
1/1982,26.949286967741934,17.452789290322585,32.96,20.0,23.81,20.0,32.96,23.81
2/1982,27.43388235714286,18.065199571428572,33.647368421052626,19.0,23.70526315789473,19.0,33.647368421052626,23.70526315789473
3/1982,28.36788335483871,18.95012319354839,34.06071428571428,28.0,24.414285714285718,28.0,34.06071428571428,24.414285714285718
4/1982,26.58588503333333,17.44222443333333,32.585,20.0,23.874999999999996,20.0,32.585,23.874999999999996
5/1982,25.517351967741927,16.22710035483871,31.04347826086957,23.0,23.68695652173913,23.0,31.04347826086957,23.68695652173913
6/1982,25.164173066666667,15.91090133333333,30.8391304347826,23.0,22.643478260869564,23.0,30.8391304347826,22.643478260869564
7/1982,24.61652680645161,15.864348354838715,30.956,25.0,23.004,25.0,30.956,23.004
8/1982,26.536190387096767,16.171018822580642,32.56666666666667,21.0,23.357142857142858,21.0,32.56666666666667,23.357142857142858
9/1982,28.58611243333333,18.410732966666664,34.276923076923076,26.0,24.388461538461538,26.0,34.276923076923076,24.388461538461538
10/1982,27.87924864516129,17.84627548387097,34.53636363636364,22.0,24.31363636363637,22.0,34.53636363636364,24.31363636363637
11/1982,29.0677697,18.394009,35.07391304347827,23.0,24.54782608695652,23.0,35.07391304347827,24.54782608695652
12/1982,27.24802329032257,18.010593258064514,33.64666666666667,15.0,24.75333333333333,15.0,33.64666666666667,24.75333333333333
1/1983,27.56379358064516,18.536049870967737,33.283870967741926,31.0,24.119354838709675,31.0,33.283870967741926,24.119354838709675
2/1983,28.927959678571433,19.088429892857143,34.41428571428572,28.0,23.871428571428577,28.0,34.41428571428572,23.871428571428577
3/1983,29.822007774193548,20.226266161290322,34.84333333333333,30.0,25.05806451612904,31.0,34.84333333333333,25.05806451612904
4/1983,26.54432883333333,17.222009699999994,32.755172413793105,29.0,23.986206896551728,29.0,32.755172413793105,23.986206896551728
5/1983,26.94982761290323,17.662885532258066,32.50967741935483,31.0,24.558064516129022,31.0,32.50967741935483,24.558064516129022
6/1983,25.102863199999998,15.511478333333326,31.54,30.0,23.390000000000004,30.0,31.54,23.390000000000004
7/1983,26.258565,16.534412354838715,32.43225806451613,31.0,24.148387096774197,31.0,32.43225806451613,24.148387096774197
8/1983,24.95070477419355,15.544022774193554,31.72258064516129,31.0,23.416129032258052,31.0,31.72258064516129,23.416129032258052
9/1983,28.09919506666667,17.343192499999997,34.12333333333333,30.0,24.21333333333333,30.0,34.12333333333333,24.21333333333333
10/1983,29.61045829032258,19.165624483870968,35.16129032258065,31.0,24.583870967741934,31.0,35.16129032258065,24.583870967741934
11/1983,28.932462366666666,18.651519316666672,34.62,30.0,24.583333333333325,30.0,34.62,24.583333333333325
12/1983,27.991736322580646,17.91267037096774,33.52903225806451,31.0,24.10645161290323,31.0,33.52903225806451,24.10645161290323
1/1984,26.57797064516129,16.647028209677416,32.96451612903226,31.0,23.725806451612897,31.0,32.96451612903226,23.725806451612897
2/1984,27.349319344827595,18.035323517241377,33.26896551724138,29.0,23.77586206896552,29.0,33.26896551724138,23.77586206896552
3/1984,29.778002129032263,19.365360193548387,34.88709677419356,31.0,24.49677419354839,31.0,34.88709677419356,24.49677419354839
4/1984,28.97144283333333,19.218261783333336,34.36666666666667,30.0,24.40333333333333,30.0,34.36666666666667,24.40333333333333
5/1984,25.20564477419354,15.870435096774195,31.690322580645155,31.0,23.280645161290327,31.0,31.690322580645155,23.280645161290327
6/1984,22.534921733333334,14.457233533333332,29.613333333333333,30.0,22.750000000000004,30.0,29.613333333333333,22.750000000000004
7/1984,22.35035,14.005906419354837,29.548387096774203,31.0,22.64516129032258,31.0,29.548387096774203,22.64516129032258
8/1984,24.01234329032259,15.033883693548384,31.18709677419356,31.0,23.30322580645161,31.0,31.18709677419356,23.30322580645161
9/1984,25.2366551,15.443068616666665,31.746666666666666,30.0,23.246666666666666,30.0,31.746666666666666,23.246666666666666
10/1984,26.621893451612905,16.73718991935484,32.46451612903225,31.0,23.580645161290327,31.0,32.46451612903225,23.580645161290327
11/1984,24.981191866666666,15.723942300000004,31.5,23.0,23.4,30.0,31.5,23.4
12/1984,26.33774222580645,16.66170519354839,32.516129032258064,31.0,23.751612903225805,31.0,32.516129032258064,23.751612903225805
1/1985,26.649752451612905,16.752523774193556,32.97419354838709,31.0,23.293548387096767,31.0,32.97419354838709,23.293548387096767
2/1985,27.69524007142857,17.57398785714285,33.40384615384616,26.0,23.669230769230772,26.0,33.40384615384616,23.669230769230772
3/1985,29.848319709677426,19.57758135483871,34.0516129032258,31.0,24.387096774193548,31.0,34.0516129032258,24.387096774193548
