Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,33.258403032258066,22.97230006451613,32.26129032258064,31.0,23.19354838709677,31.0,32.26129032258064,23.19354838709677
2/1980,31.971781551724128,23.02871372413793,31.486206896551717,29.0,23.45862068965517,29.0,31.486206896551717,23.45862068965517
3/1980,33.02365612903225,22.554083129032254,33.503225806451624,31.0,23.258064516129032,31.0,33.503225806451624,23.258064516129032
4/1980,33.079038800000006,22.21455833333333,32.75333333333334,30.0,22.44333333333333,30.0,32.75333333333334,22.44333333333333
5/1980,32.15682835483871,20.337057193548386,32.1,31.0,20.725806451612907,31.0,32.1,20.725806451612907
6/1980,30.6729679,18.30786335,30.25000000000001,30.0,18.496666666666666,30.0,30.25000000000001,18.496666666666666
7/1980,30.98641477419355,16.67952316129033,31.429032258064513,31.0,17.009677419354837,31.0,31.429032258064513,17.009677419354837
8/1980,34.236756,19.975357516129037,34.23870967741935,31.0,19.75161290322581,31.0,34.23870967741935,19.75161290322581
9/1980,33.33439716666666,20.800577133333334,32.79333333333332,30.0,19.853333333333328,30.0,32.79333333333332,19.853333333333328
10/1980,35.18747190322581,22.868446935483874,35.45806451612903,31.0,23.380645161290325,31.0,35.45806451612903,23.380645161290325
11/1980,32.854384333333336,22.535760166666666,32.20666666666667,30.0,22.339999999999996,30.0,32.20666666666667,22.339999999999996
12/1980,32.29256987096774,22.798448451612906,31.44838709677419,31.0,23.338709677419352,31.0,31.44838709677419,23.338709677419352
1/1981,32.11987193548388,22.86415712903225,31.674193548387095,31.0,23.44516129032258,31.0,31.674193548387095,23.44516129032258
2/1981,32.65881014285715,22.026820642857146,32.789285714285725,28.0,22.842857142857127,28.0,32.789285714285725,22.842857142857127
3/1981,32.59595706451613,22.85491358064516,32.16129032258064,31.0,23.312903225806462,31.0,32.16129032258064,23.312903225806462
4/1981,33.56862663333334,22.074616733333336,32.99333333333333,30.0,22.21,30.0,32.99333333333333,22.21
5/1981,33.52486951612903,20.431690516129024,33.31935483870968,31.0,20.519354838709678,31.0,33.31935483870968,20.519354838709678
6/1981,29.155015866666666,16.63087433333333,29.41666666666667,30.0,16.496666666666666,30.0,29.41666666666667,16.496666666666666
7/1981,29.354067129032263,14.449696138709678,29.97741935483872,31.0,14.161290322580646,31.0,29.97741935483872,14.161290322580646
8/1981,34.34689693548388,18.822952548387093,34.99677419354839,31.0,18.441935483870974,31.0,34.99677419354839,18.441935483870974
9/1981,32.8683506,20.026069366666665,33.03666666666667,30.0,19.09000000000001,30.0,33.03666666666667,19.09000000000001
10/1981,34.041140225806444,23.09549241935483,33.44516129032259,31.0,23.064516129032263,31.0,33.44516129032259,23.064516129032263
11/1981,33.38031643333333,23.51089853333333,32.41666666666666,30.0,23.66333333333333,30.0,32.41666666666666,23.66333333333333
12/1981,32.77501183870967,23.252201838709677,32.012903225806454,31.0,23.29032258064516,31.0,32.012903225806454,23.29032258064516
1/1982,32.237795806451615,23.07930496774193,31.49677419354839,31.0,23.16774193548387,31.0,31.49677419354839,23.16774193548387
2/1982,32.43724821428572,22.773061107142855,31.982142857142854,28.0,23.05357142857143,28.0,31.982142857142854,23.05357142857143
3/1982,31.784983903225807,22.78405609677419,31.13225806451613,31.0,23.01290322580645,31.0,31.13225806451613,23.01290322580645
