Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,23.899835741935483,13.960566129032252,26.364705882352943,17.0,15.023529411764708,17.0,26.364705882352943,15.023529411764708
2/1980,24.195042103448273,15.052939724137929,25.94117647058824,17.0,16.68823529411765,17.0,25.94117647058824,16.68823529411765
3/1980,24.13359919354839,15.100872064516125,26.73333333333333,15.0,17.546666666666667,15.0,26.73333333333333,17.546666666666667
4/1980,23.64823746666667,14.048434916666661,24.64,20.0,14.515,20.0,24.64,14.515
5/1980,22.112434387096773,12.158611170967742,22.14761904761905,21.0,11.62857142857143,21.0,22.14761904761905,11.62857142857143
6/1980,21.87207403333333,12.050911916666658,23.375,8.0,9.7875,8.0,23.375,9.7875
7/1980,20.522928935483865,11.54560866774193,19.613333333333333,15.0,9.926666666666668,15.0,19.613333333333333,9.926666666666668
8/1980,21.092640838709677,11.938159167741931,21.0,11.0,10.09090909090909,11.0,21.0,10.09090909090909
9/1980,20.7268009,11.891829023333326,19.377777777777773,9.0,9.422222222222222,9.0,19.377777777777773,9.422222222222222
10/1980,23.13766029032258,13.436611645161287,24.17894736842105,19.0,13.410526315789475,19.0,24.17894736842105,13.410526315789475
11/1980,22.69051143333333,13.552600749999998,22.90869565217391,23.0,13.634782608695655,23.0,22.90869565217391,13.634782608695655
12/1980,23.781014193548387,14.546765935483865,26.87692307692307,13.0,17.076923076923073,13.0,26.87692307692307,17.076923076923073
1/1981,23.46078648387097,14.572912145161286,25.600000000000005,14.0,16.485714285714284,14.0,25.600000000000005,16.485714285714284
2/1981,25.697476107142855,15.65148746428571,28.172222222222228,18.0,17.29444444444444,18.0,28.172222222222228,17.29444444444444
3/1981,24.42872793548386,14.960606499999995,25.26521739130435,23.0,15.72608695652174,23.0,25.26521739130435,15.72608695652174
4/1981,22.8026146,13.104818599999998,23.280952380952378,21.0,13.133333333333333,21.0,23.280952380952378,13.133333333333333
5/1981,22.247518129032255,11.935225774193544,22.536363636363635,22.0,11.272727272727273,22.0,22.536363636363635,11.272727272727273
6/1981,19.73561225,10.377483206666666,19.181818181818183,22.0,9.52727272727273,22.0,19.181818181818183,9.52727272727273
7/1981,20.66351524193549,9.984023406451607,20.327777777777783,18.0,7.488888888888887,18.0,20.327777777777783,7.488888888888887
8/1981,21.164509903225813,10.058896303225806,21.71304347826087,23.0,9.326086956521738,23.0,21.71304347826087,9.326086956521738
9/1981,22.11664393333333,10.938596710000002,23.734782608695657,23.0,10.756521739130433,23.0,23.734782608695657,10.756521739130433
10/1981,20.46744232258064,12.016715693548386,20.242857142857144,28.0,11.839285714285715,28.0,20.242857142857144,11.839285714285715
11/1981,25.190015866666666,15.148959249999995,25.700000000000006,30.0,15.373333333333333,30.0,25.700000000000006,15.373333333333333
12/1981,24.330582999999997,15.225699709677418,24.522222222222208,27.0,15.155555555555553,27.0,24.522222222222208,15.155555555555553
1/1982,25.09612593548387,15.192039419354836,25.25806451612904,31.0,15.293548387096775,31.0,25.25806451612904,15.293548387096775
2/1982,26.574385964285714,17.086507714285712,26.407142857142862,28.0,17.178571428571427,28.0,26.407142857142862,17.178571428571427
3/1982,23.804763387096767,15.697572322580646,23.66666666666667,30.0,16.006666666666668,30.0,23.66666666666667,16.006666666666668
4/1982,22.177968866666674,12.694713516666667,21.536666666666665,30.0,12.909999999999995,30.0,21.536666666666665,12.909999999999995
5/1982,20.393358193548387,10.315111151612903,19.877777777777773,27.0,10.066666666666666,27.0,19.877777777777773,10.066666666666666
6/1982,20.477198066666666,11.753795966666665,20.086666666666666,30.0,11.333333333333336,30.0,20.086666666666666,11.333333333333336
7/1982,20.581734,10.339837880645161,20.20833333333333,24.0,9.420833333333333,24.0,20.20833333333333,9.420833333333333
8/1982,21.799200774193555,11.509901354838707,21.473076923076924,26.0,10.64615384615385,26.0,21.473076923076924,10.64615384615385
9/1982,21.571459600000004,11.193492683333336,21.948275862068964,29.0,11.055172413793102,29.0,21.948275862068964,11.055172413793102
10/1982,22.058344258064512,12.942968312903224,22.072413793103447,29.0,12.458620689655175,29.0,22.072413793103447,12.458620689655175
11/1982,23.70115803333333,15.021851716666662,24.17142857142857,28.0,15.074999999999998,28.0,24.17142857142857,15.074999999999998
12/1982,24.31177941935484,15.073096677419352,24.692857142857147,28.0,15.164285714285715,28.0,24.692857142857147,15.164285714285715
1/1983,27.177213064516124,17.809111612903234,26.71612903225807,31.0,17.874193548387098,31.0,26.71612903225807,17.874193548387098
2/1983,26.332355035714283,17.503600017857142,26.146428571428572,28.0,17.63928571428571,28.0,26.146428571428572,17.63928571428571
3/1983,23.730452870967746,15.656889241935485,23.380645161290325,31.0,15.709677419354847,31.0,23.380645161290325,15.709677419354847
4/1983,22.3568204,14.81053535,21.776666666666664,30.0,15.023333333333335,30.0,21.776666666666664,15.023333333333335
5/1983,20.412225161290323,13.547077499999999,19.941935483870967,31.0,13.770967741935479,31.0,19.941935483870967,13.770967741935479
6/1983,17.75143925,8.931769789999997,17.283333333333328,30.0,8.303333333333333,30.0,17.283333333333328,8.303333333333333
7/1983,19.927972967741933,10.806223203225805,19.50645161290323,31.0,10.2,31.0,19.50645161290323,10.2
8/1983,21.042346451612907,9.740477354838712,21.22,30.0,9.213333333333333,30.0,21.22,9.213333333333333
9/1983,17.702610316666668,9.516724896666666,17.503333333333334,30.0,9.456666666666667,30.0,17.503333333333334,9.456666666666667
10/1983,21.771919612903233,12.871755612903225,21.64516129032258,31.0,12.525806451612905,31.0,21.64516129032258,12.525806451612905
11/1983,25.77757596666667,15.017200249999998,25.750000000000004,30.0,15.133333333333333,30.0,25.750000000000004,15.133333333333333
12/1983,26.08977480645161,16.521838532258066,26.254838709677426,31.0,16.4,31.0,26.254838709677426,16.4
1/1984,24.620060774193554,15.162490677419346,26.95294117647059,17.0,17.258823529411767,17.0,26.95294117647059,17.258823529411767
2/1984,25.09486096551723,15.373401620689652,28.65,16.0,17.575000000000006,16.0,28.65,17.575000000000006
3/1984,24.031007516129023,14.946873080645158,25.13478260869565,23.0,15.97391304347826,23.0,25.13478260869565,15.97391304347826
4/1984,22.12294976666666,13.538391566666665,21.79,20.0,13.73,20.0,21.79,13.73
5/1984,21.06518635483871,12.452323403225806,20.661538461538466,13.0,11.938461538461535,13.0,20.661538461538466,11.938461538461535
6/1984,21.94513453333333,11.447201626666665,21.961904761904766,21.0,10.5,21.0,21.961904761904766,10.5
7/1984,20.819732661290324,11.019912906451609,20.770588235294113,17.0,9.423529411764708,17.0,20.770588235294113,9.423529411764708
8/1984,20.73532477419354,11.980241935483868,19.926666666666673,15.0,10.593333333333334,15.0,19.926666666666673,10.593333333333334
9/1984,20.902631433333333,10.100606833333334,21.214814814814826,27.0,9.74814814814815,27.0,21.214814814814826,9.74814814814815
10/1984,23.44000719354839,12.688964035483869,24.343333333333334,30.0,12.976666666666668,30.0,24.343333333333334,12.976666666666668
