Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,26.60329906451613,18.919216096774193,27.829629629629633,27.0,20.222222222222214,27.0,27.829629629629633,20.222222222222214
2/1980,28.02675068965517,20.801148137931033,28.352,25.0,21.744,25.0,28.352,21.744
3/1980,26.760713548387102,19.702168096774194,29.407407407407412,27.0,22.529629629629632,27.0,29.407407407407412,22.529629629629632
4/1980,26.2001566,18.29709693333334,26.656,25.0,19.360000000000007,25.0,26.656,19.360000000000007
5/1980,24.50244467741935,16.363542677419353,24.689285714285717,28.0,16.675,28.0,24.689285714285717,16.675
6/1980,21.97383783333333,12.935183266666668,21.555555555555557,27.0,12.05555555555556,27.0,21.555555555555557,12.05555555555556
7/1980,20.785702774193545,13.07573432903226,19.45714285714286,21.0,11.585714285714285,21.0,19.45714285714286,11.585714285714285
8/1980,21.788213548387102,14.151834,21.029999999999994,20.0,13.635,20.0,21.029999999999994,13.635
9/1980,21.589248666666666,13.493077226666665,19.538095238095238,21.0,11.538095238095238,21.0,19.538095238095238,11.538095238095238
10/1980,22.857524290322576,16.398933935483868,22.17916666666667,24.0,16.76666666666667,24.0,22.17916666666667,16.76666666666667
11/1980,24.817520733333346,17.925019833333334,24.829629629629636,27.0,18.4,27.0,24.829629629629636,18.4
12/1980,26.10549819354839,19.29255151612903,25.789285714285718,28.0,19.482142857142858,28.0,25.789285714285718,19.482142857142858
1/1981,27.515394322580644,20.844047064516136,27.578571428571426,28.0,21.750000000000004,28.0,27.578571428571426,21.750000000000004
2/1981,29.3398115,21.98273475,28.96666666666667,27.0,22.78148148148148,27.0,28.96666666666667,22.78148148148148
3/1981,26.74294,19.652384096774192,27.18846153846153,26.0,20.869230769230768,26.0,27.18846153846153,20.869230769230768
4/1981,25.095203033333334,17.40824181666667,25.22307692307692,26.0,18.22692307692308,26.0,25.22307692307692,18.22692307692308
5/1981,24.976483935483877,16.911590177419356,25.603448275862064,29.0,17.575862068965517,29.0,25.603448275862064,17.575862068965517
6/1981,21.535325600000004,13.367261643333334,20.904761904761894,21.0,12.957142857142859,21.0,20.904761904761894,12.957142857142859
7/1981,21.314022225806454,12.894198716129036,20.924000000000007,25.0,12.42,25.0,20.924000000000007,12.42
8/1981,21.549923225806452,13.477938470967743,21.223076923076924,26.0,13.44615384615385,26.0,21.223076923076924,13.44615384615385
9/1981,22.13469853333333,14.840360000000002,21.519047619047623,21.0,14.842857142857143,21.0,21.519047619047623,14.842857142857143
10/1981,22.468586129032264,15.628326483870966,21.904,25.0,15.588,25.0,21.904,15.588
11/1981,25.74578563333333,18.4134983,25.73333333333333,24.0,19.241666666666664,24.0,25.73333333333333,19.241666666666664
12/1981,23.474424,15.823957000000005,,,,,23.474424,15.823957000000005
1/1982,26.83335512903225,19.024099903225807,27.399999999999995,25.0,20.404,25.0,27.399999999999995,20.404
2/1982,27.54797107142857,20.34061096428571,28.40434782608696,23.0,21.878260869565214,23.0,28.40434782608696,21.878260869565214
3/1982,26.854990161290328,19.760426354838707,26.982142857142854,28.0,20.442857142857143,28.0,26.982142857142854,20.442857142857143
4/1982,24.955557033333324,17.00829486666667,24.85416666666667,24.0,17.7875,24.0,24.85416666666667,17.7875
5/1982,22.79577293548387,14.222694622580647,22.71935483870968,31.0,15.051612903225806,31.0,22.71935483870968,15.051612903225806
6/1982,23.680331533333334,15.452879333333335,23.5,1.0,16.2,1.0,23.5,16.2
7/1982,24.053379838709677,15.238995887096774,,,,,24.053379838709677,15.238995887096774
