Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,30.790781677419357,24.346953193548387,30.707142857142852,28.0,24.84642857142857,28.0,30.707142857142852,24.84642857142857
2/1980,30.13465041379311,23.773675275862068,29.638461538461538,26.0,23.688461538461546,26.0,29.638461538461538,23.688461538461546
3/1980,30.168405354838697,23.806259032258072,29.922580645161293,31.0,23.65483870967742,31.0,29.922580645161293,23.65483870967742
4/1980,30.742359500000006,24.331335633333346,31.33333333333333,30.0,24.54,30.0,31.33333333333333,24.54
5/1980,30.6188970967742,24.38564703225807,31.6,31.0,24.296774193548387,31.0,31.6,24.296774193548387
6/1980,30.35932853333333,23.875238500000002,30.306666666666665,30.0,23.913333333333334,30.0,30.306666666666665,23.913333333333334
7/1980,30.276674677419358,23.360055548387088,30.25333333333333,30.0,23.113333333333333,30.0,30.25333333333333,23.113333333333333
8/1980,30.587928451612896,24.04596696774193,30.764516129032263,31.0,23.58064516129032,31.0,30.764516129032263,23.58064516129032
9/1980,30.66168160000001,23.88103716666667,30.39999999999999,29.0,24.048275862068962,29.0,30.39999999999999,24.048275862068962
10/1980,30.907107096774197,24.292519967741928,30.880000000000006,30.0,24.47000000000001,30.0,30.880000000000006,24.47000000000001
11/1980,31.100679333333336,24.73927593333333,30.673333333333336,30.0,24.749999999999996,30.0,30.673333333333336,24.749999999999996
12/1980,30.967250225806453,24.45072964516128,30.819999999999997,30.0,24.70000000000001,30.0,30.819999999999997,24.70000000000001
1/1981,30.746640741935483,24.52466096774194,30.503448275862063,29.0,24.74827586206896,29.0,30.503448275862063,24.74827586206896
2/1981,30.765285964285717,24.609520321428572,30.61904761904761,21.0,24.87619047619048,21.0,30.61904761904761,24.87619047619048
3/1981,30.201056548387104,23.806521967741944,29.78947368421053,19.0,24.27894736842105,19.0,29.78947368421053,24.27894736842105
4/1981,30.948926700000005,24.204976766666665,30.715384615384608,26.0,24.157692307692308,26.0,30.715384615384608,24.157692307692308
5/1981,30.5963146451613,24.07430264516129,30.14,30.0,24.333333333333336,30.0,30.14,24.333333333333336
6/1981,30.58656913333333,23.731944166666665,30.46666666666667,27.0,23.296296296296298,27.0,30.46666666666667,23.296296296296298
7/1981,30.67426467741935,23.879613806451605,31.05483870967741,31.0,23.0,31.0,31.05483870967741,23.0
8/1981,30.555339322580647,23.89321245161291,30.63333333333333,27.0,23.4,27.0,30.63333333333333,23.4
9/1981,30.754165999999998,23.900224700000006,30.95454545454545,22.0,24.07727272727273,22.0,30.95454545454545,24.07727272727273
10/1981,30.73829361290323,24.097497516129035,31.08888888888889,18.0,25.06666666666667,18.0,31.08888888888889,25.06666666666667
11/1981,31.38186396666667,25.21024956666667,30.957142857142852,28.0,25.514285714285716,28.0,30.957142857142852,25.514285714285716
12/1981,31.095695258064524,24.980199548387088,30.762962962962963,27.0,25.585185185185185,27.0,30.762962962962963,25.585185185185185
1/1982,31.054957096774203,24.21496248387097,30.88214285714286,28.0,24.19642857142858,28.0,30.88214285714286,24.19642857142858
2/1982,30.632316928571445,24.228626285714288,30.404,25.0,24.108,25.0,30.404,24.108
3/1982,30.393197967741926,23.76855425806452,30.28148148148148,27.0,23.78148148148148,27.0,30.28148148148148,23.78148148148148
4/1982,30.15551553333333,23.5646198,30.044,25.0,23.732000000000006,25.0,30.044,23.732000000000006
5/1982,30.12077477419355,23.13577180645161,29.984000000000005,25.0,23.088,25.0,29.984000000000005,23.088
6/1982,29.797933533333325,22.691507266666665,29.425,24.0,22.375,24.0,29.425,22.375
7/1982,29.96923648387097,22.627718935483877,29.551724137931036,29.0,22.37586206896552,29.0,29.551724137931036,22.37586206896552
8/1982,30.40871677419355,22.793619741935487,30.266666666666666,30.0,22.68666666666667,30.0,30.266666666666666,22.68666666666667
9/1982,30.53836290000001,23.297891366666665,30.35,28.0,23.514285714285712,28.0,30.35,23.514285714285712
10/1982,30.520564258064518,23.328170548387092,30.35925925925926,27.0,23.78518518518518,27.0,30.35925925925926,23.78518518518518
11/1982,30.908516500000008,23.97749686666667,31.02083333333334,24.0,24.3,24.0,31.02083333333334,24.3
12/1982,31.139937290322585,24.232718838709683,31.35200000000001,25.0,24.504,25.0,31.35200000000001,24.504
1/1983,31.251388612903234,24.579129451612896,31.438709677419354,31.0,25.738709677419358,31.0,31.438709677419354,25.738709677419358
2/1983,30.77573889285714,24.22105792857143,30.957142857142852,28.0,25.264285714285712,28.0,30.957142857142852,25.264285714285712
3/1983,30.25784938709677,23.95769370967741,30.28709677419355,31.0,24.99032258064516,31.0,30.28709677419355,24.99032258064516
4/1983,30.61948326666666,24.1667682,30.82333333333333,30.0,24.62,30.0,30.82333333333333,24.62
5/1983,30.79329090322581,24.02907480645161,30.622580645161282,31.0,24.74516129032259,31.0,30.622580645161282,24.74516129032259
6/1983,30.424526399999998,23.64396523333333,29.95,30.0,23.94,30.0,29.95,23.94
7/1983,30.440632935483862,23.64464670967741,29.651612903225804,31.0,23.483870967741932,31.0,29.651612903225804,23.483870967741932
8/1983,30.607620516129032,23.82904174193548,30.277419354838713,31.0,23.851612903225806,31.0,30.277419354838713,23.851612903225806
9/1983,30.9345107,24.1309435,30.79666666666667,30.0,24.85333333333334,30.0,30.79666666666667,24.85333333333334
10/1983,30.906402290322585,24.228799451612907,30.693548387096783,31.0,24.954838709677425,31.0,30.693548387096783,24.954838709677425
11/1983,31.17547626666667,24.75723203333333,31.05666666666667,30.0,24.96,30.0,31.05666666666667,24.96
12/1983,31.042090161290307,24.122045838709678,31.209677419354854,31.0,25.25483870967741,31.0,31.209677419354854,25.25483870967741
1/1984,30.77185051612903,23.86380951612904,30.795,20.0,24.105,20.0,30.795,24.105
2/1984,30.68408724137931,24.060903206896555,30.31379310344828,29.0,24.50689655172414,29.0,30.31379310344828,24.50689655172414
3/1984,29.52568729032258,23.53537770967742,29.403225806451612,31.0,23.63225806451613,31.0,29.403225806451612,23.63225806451613
4/1984,29.24498956666667,23.658214899999997,29.68333333333333,30.0,23.516666666666666,30.0,29.68333333333333,23.516666666666666
5/1984,29.229668322580643,23.146215967741927,29.38064516129032,31.0,23.161290322580644,31.0,29.38064516129032,23.161290322580644
6/1984,29.60210423333334,22.79469926666667,29.47,30.0,22.630000000000006,30.0,29.47,22.630000000000006
7/1984,29.77364061290323,22.701630677419356,29.180645161290325,31.0,22.448387096774187,31.0,29.180645161290325,22.448387096774187
8/1984,30.19784403225807,23.190283838709675,29.458064516129042,31.0,22.84516129032258,31.0,29.458064516129042,22.84516129032258
9/1984,30.462986066666666,23.390727733333332,30.20666666666667,30.0,23.24333333333333,30.0,30.20666666666667,23.24333333333333
10/1984,30.713117935483872,23.756207870967746,30.50322580645161,31.0,23.825806451612905,31.0,30.50322580645161,23.825806451612905
11/1984,31.023594233333334,24.00896606666667,31.14,30.0,24.053333333333335,30.0,31.14,24.053333333333335
12/1984,31.416449000000004,24.173075419354838,31.53870967741936,31.0,24.25161290322581,31.0,31.53870967741936,24.25161290322581
1/1985,30.217397612903234,24.132823870967737,30.17096774193548,31.0,24.596774193548388,31.0,30.17096774193548,24.596774193548388
2/1985,28.999400642857147,23.30604632142857,28.88214285714286,28.0,22.87142857142857,28.0,28.88214285714286,22.87142857142857
3/1985,29.102466290322575,23.55542893548387,28.90645161290323,31.0,23.77741935483871,31.0,28.90645161290323,23.77741935483871
4/1985,28.983563366666665,23.328864933333325,28.813333333333336,30.0,23.34666666666666,30.0,28.813333333333336,23.34666666666666
5/1985,29.529246999999998,23.346775129032263,29.20322580645162,31.0,23.283870967741933,31.0,29.20322580645162,23.283870967741933
6/1985,29.79554389999999,23.142297766666665,29.36,30.0,22.73,30.0,29.36,22.73
7/1985,29.743955193548388,23.18858545161289,29.167741935483875,31.0,22.5,31.0,29.167741935483875,22.5
8/1985,30.40446370967742,23.56267877419355,29.84193548387097,31.0,22.938709677419357,31.0,29.84193548387097,22.938709677419357
9/1985,30.48684133333334,23.796069366666664,30.13,30.0,23.48666666666666,30.0,30.13,23.48666666666666
10/1985,31.07099919354839,24.16858151612903,31.087096774193554,31.0,24.558064516129036,31.0,31.087096774193554,24.558064516129036
11/1985,31.08483493333333,24.52896393333333,30.76666666666668,30.0,24.55,30.0,30.76666666666668,24.55
12/1985,30.286247903225803,24.304257225806445,29.851612903225803,31.0,24.25483870967741,31.0,29.851612903225803,24.25483870967741
1/1986,30.110258000000016,23.10076900000001,,,,,30.110258000000016,23.10076900000001
2/1986,30.11025800000001,23.10076900000001,,,,,30.11025800000001,23.10076900000001
3/1986,30.110258000000016,23.10076900000001,,,,,30.110258000000016,23.10076900000001
4/1986,30.11025800000001,23.10076900000001,,,,,30.11025800000001,23.10076900000001
5/1986,30.110258000000016,23.10076900000001,,,,,30.110258000000016,23.10076900000001
6/1986,30.11025800000001,23.10076900000001,,,,,30.11025800000001,23.10076900000001
7/1986,30.110258000000016,23.10076900000001,,,,,30.110258000000016,23.10076900000001
8/1986,30.110258000000016,23.10076900000001,,,,,30.110258000000016,23.10076900000001
9/1986,30.11025800000001,23.10076900000001,,,,,30.11025800000001,23.10076900000001
10/1986,30.110258000000016,23.10076900000001,,,,,30.110258000000016,23.10076900000001
