Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,27.890880967741932,19.363211032258068,28.483870967741943,31.0,20.045161290322586,31.0,28.483870967741943,20.045161290322586
2/1980,27.89990275862069,19.558432,27.955172413793107,29.0,20.08620689655173,29.0,27.955172413793107,20.08620689655173
3/1980,31.279070903225808,19.384466193548388,31.316129032258072,31.0,19.593548387096774,31.0,31.316129032258072,19.593548387096774
4/1980,29.893227766666666,19.0424349,29.49333333333333,30.0,19.35333333333333,30.0,29.49333333333333,19.35333333333333
5/1980,29.49967277419355,17.326877935483868,29.52857142857142,28.0,17.651612903225807,31.0,29.52857142857142,17.651612903225807
6/1980,28.61267063333333,15.317317333333335,28.79,30.0,15.276666666666667,30.0,28.79,15.276666666666667
7/1980,30.125743612903232,14.393557112903226,30.277419354838706,31.0,14.95806451612903,31.0,30.277419354838706,14.95806451612903
8/1980,31.869570967741943,16.705487983870967,31.87096774193548,31.0,16.890322580645158,31.0,31.87096774193548,16.890322580645158
9/1980,31.252809999999997,17.092620966666672,31.65,30.0,17.366666666666664,30.0,31.65,17.366666666666664
10/1980,33.17631232258064,19.14974606451613,33.29354838709676,31.0,19.6,31.0,33.29354838709676,19.6
11/1980,29.707669166666665,19.759433966666666,29.823333333333334,30.0,20.416666666666668,30.0,29.823333333333334,20.416666666666668
12/1980,28.350205483870965,19.709473516129037,27.75806451612902,31.0,20.099999999999994,31.0,27.75806451612902,20.099999999999994
1/1981,29.34330599999999,17.274532387096784,,,,,29.34330599999999,17.274532387096784
2/1981,29.34330599999999,17.274532428571437,,,,,29.34330599999999,17.274532428571437
3/1981,29.34330599999999,17.274532387096784,,,,,29.34330599999999,17.274532387096784
4/1981,29.34330599999999,17.27453240000001,,,,,29.34330599999999,17.27453240000001
5/1981,29.34330599999999,17.274532387096784,,,,,29.34330599999999,17.274532387096784
6/1981,29.34330599999999,17.274532400000005,,,,,29.34330599999999,17.274532400000005
7/1981,29.34330599999999,17.27453238709678,,,,,29.34330599999999,17.27453238709678
8/1981,29.34330599999999,17.27453245161291,,,,,29.34330599999999,17.27453245161291
9/1981,29.34330599999999,17.274532400000005,,,,,29.34330599999999,17.274532400000005
10/1981,29.34330599999999,17.27453245161291,,,,,29.34330599999999,17.27453245161291
11/1981,28.758794066666667,19.54935143333334,28.66896551724138,29.0,20.020689655172415,29.0,28.66896551724138,20.020689655172415
12/1981,30.104324096774203,19.429882806451605,30.25333333333333,30.0,20.106666666666673,30.0,30.25333333333333,20.106666666666673
1/1982,27.814159096774198,19.417857483870968,28.019354838709678,31.0,20.0,31.0,28.019354838709678,20.0
2/1982,30.70511192857143,19.680072678571428,30.475,28.0,19.86428571428572,28.0,30.475,19.86428571428572
3/1982,29.499250129032262,19.925829806451613,30.10967741935484,31.0,20.383870967741935,31.0,30.10967741935484,20.383870967741935
4/1982,29.601629966666664,17.969410500000002,29.446666666666665,30.0,18.253333333333327,30.0,29.446666666666665,18.253333333333327
