Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
2/1980,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
3/1980,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
4/1980,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
5/1980,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
6/1980,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
7/1980,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
8/1980,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
9/1980,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
10/1980,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
11/1980,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
12/1980,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
1/1981,29.4536136451613,23.034783741935478,29.81333333333333,15.0,24.466666666666665,15.0,29.81333333333333,24.466666666666665
2/1981,29.355800714285717,22.81388767857141,29.78000000000001,10.0,24.25,10.0,29.78000000000001,24.25
3/1981,29.11519493548388,22.104590451612893,29.3,3.0,23.93333333333333,3.0,29.3,23.93333333333333
4/1981,29.33696190000001,22.513133333333325,29.762500000000006,8.0,23.625,8.0,29.762500000000006,23.625
5/1981,28.811300548387102,22.378393354838703,28.372727272727275,22.0,22.5,22.0,28.372727272727275,22.5
6/1981,28.72156093333333,21.693750200000004,28.26956521739131,23.0,21.80434782608696,23.0,28.26956521739131,21.80434782608696
7/1981,28.126367516129037,20.842822870967733,27.356000000000005,25.0,20.816000000000006,25.0,27.356000000000005,20.816000000000006
8/1981,28.16555880645161,21.080043193548377,27.439285714285717,28.0,21.071428571428573,28.0,27.439285714285717,21.071428571428573
9/1981,28.756291600000004,21.84312773333333,27.913636363636364,22.0,22.08636363636364,22.0,27.913636363636364,22.08636363636364
10/1981,29.351107129032265,22.380957516129023,29.02307692307693,26.0,,,29.02307692307693,22.380957516129023
11/1981,29.64975356666667,23.26453473333333,29.491999999999994,25.0,23.136000000000006,25.0,29.491999999999994,23.136000000000006
12/1981,29.448774612903218,23.480070161290325,29.32105263157895,19.0,23.514814814814812,27.0,29.32105263157895,23.514814814814812
1/1982,30.15397961290323,24.06865622580645,30.019354838709678,31.0,23.50967741935484,31.0,30.019354838709678,23.50967741935484
2/1982,29.904732,23.421011857142854,29.789285714285718,28.0,22.682142857142853,28.0,29.789285714285718,22.682142857142853
3/1982,30.33465722580645,24.22766729032258,30.070967741935487,31.0,23.30322580645161,31.0,30.070967741935487,23.30322580645161
4/1982,29.06517900000001,21.938935166666656,30.6,1.0,25.2,1.0,30.6,25.2
5/1982,29.080795096774203,21.978510741935477,,,,,29.080795096774203,21.978510741935477
6/1982,29.11121480000001,22.11758449999999,,,,,29.11121480000001,22.11758449999999
7/1982,29.068005516129045,22.026215096774184,,,,,29.068005516129045,22.026215096774184
8/1982,29.19404187096775,22.238969483870964,,,,,29.19404187096775,22.238969483870964
9/1982,28.956968033333336,22.24454416666667,27.93076923076923,13.0,21.923076923076927,13.0,27.93076923076923,21.923076923076927
10/1982,29.581581967741933,22.399199806451612,29.383870967741927,31.0,22.519354838709678,31.0,29.383870967741927,22.519354838709678
11/1982,29.69151686666667,23.09221206666667,29.576666666666664,30.0,23.389999999999993,30.0,29.576666666666664,23.389999999999993
12/1982,29.927863064516128,23.90711393548386,29.98709677419355,31.0,24.361290322580647,31.0,29.98709677419355,24.361290322580647
1/1983,29.338210838709674,22.999601,29.6,1.0,26.0,1.0,29.6,26.0
2/1983,29.241063821428572,23.05140957142857,,,,,29.241063821428572,23.05140957142857
3/1983,29.344189677419358,23.036233838709673,,,,,29.344189677419358,23.036233838709673
4/1983,29.341755499999994,22.952215566666666,,,,,29.341755499999994,22.952215566666666
5/1983,29.331645419354835,22.58304983870968,,,,,29.331645419354835,22.58304983870968
6/1983,29.32393680000001,22.88224503333333,,,,,29.32393680000001,22.88224503333333
7/1983,28.81284609677419,21.93592941935484,28.30645161290323,31.0,21.183870967741946,31.0,28.30645161290323,21.183870967741946
8/1983,29.29503119354839,23.040203935483877,28.0,1.0,24.9,1.0,28.0,24.9
9/1983,29.39893333333333,22.9701583,,,,,29.39893333333333,22.9701583
10/1983,29.43016529032258,22.877101580645167,,,,,29.43016529032258,22.877101580645167
11/1983,29.498498066666674,22.84347593333333,,,,,29.498498066666674,22.84347593333333
12/1983,29.48290893548387,22.84376577419355,,,,,29.48290893548387,22.84376577419355
1/1984,29.499560387096768,22.72356096774193,,,,,29.499560387096768,22.72356096774193
2/1984,29.49030055172413,22.728114034482765,,,,,29.49030055172413,22.728114034482765
3/1984,29.47798441935484,22.934092,,,,,29.47798441935484,22.934092
4/1984,29.28072453333333,23.242276,,,,,29.28072453333333,23.242276
5/1984,29.351519870967735,23.29472241935484,,,,,29.351519870967735,23.29472241935484
6/1984,29.526002566666666,23.10899556666667,,,,,29.526002566666666,23.10899556666667
7/1984,29.28740783870968,23.210414838709678,,,,,29.28740783870968,23.210414838709678
8/1984,29.329510677419357,23.046253290322586,,,,,29.329510677419357,23.046253290322586
9/1984,29.3924675,22.925043800000005,,,,,29.3924675,22.925043800000005
10/1984,29.415683709677413,22.85361735483871,,,,,29.415683709677413,22.85361735483871
11/1984,29.486030300000003,22.789163266666666,,,,,29.486030300000003,22.789163266666666
12/1984,29.526777806451612,22.8134700967742,,,,,29.526777806451612,22.8134700967742
1/1985,29.451953193548388,22.89644148387096,,,,,29.451953193548388,22.89644148387096
2/1985,29.38464085714286,22.912984535714287,,,,,29.38464085714286,22.912984535714287
3/1985,29.175166967741934,22.98951770967742,,,,,29.175166967741934,22.98951770967742
4/1985,29.1687118,23.167736566666665,,,,,29.1687118,23.167736566666665
5/1985,29.289731870967746,23.011535967741942,,,,,29.289731870967746,23.011535967741942
6/1985,29.228823200000004,23.120830500000004,,,,,29.228823200000004,23.120830500000004
7/1985,29.116451903225798,23.352439451612906,,,,,29.116451903225798,23.352439451612906
8/1985,29.413292354838706,23.030917870967738,,,,,29.413292354838706,23.030917870967738
9/1985,29.35138873333333,22.91783943333333,,,,,29.35138873333333,22.91783943333333
10/1985,29.51588264516129,22.70070641935483,,,,,29.51588264516129,22.70070641935483
11/1985,29.497828600000002,22.7424957,,,,,29.497828600000002,22.7424957
12/1985,29.38409806451613,22.83800080645161,,,,,29.38409806451613,22.83800080645161
1/1986,30.48548051612904,24.77403419354839,30.16774193548387,31.0,23.56774193548387,31.0,30.16774193548387,23.56774193548387
2/1986,30.46810992857143,24.271216785714298,30.08571428571429,28.0,22.689285714285713,28.0,30.08571428571429,22.689285714285713
3/1986,30.333810322580643,23.87397106451613,29.925806451612896,31.0,22.812903225806448,31.0,29.925806451612896,22.812903225806448
4/1986,29.84877076666667,23.64759583333333,29.53666666666667,30.0,23.130000000000006,30.0,29.53666666666667,23.130000000000006
5/1986,29.669929806451613,23.15813661290323,29.454838709677414,31.0,22.638709677419357,31.0,29.454838709677414,22.638709677419357
6/1986,28.299337300000005,22.046807533333336,28.010714285714283,28.0,21.589285714285715,28.0,28.010714285714283,21.589285714285715
7/1986,28.578490161290322,21.879433516129037,28.074193548387093,31.0,21.254838709677422,31.0,28.074193548387093,21.254838709677422
8/1986,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
9/1986,28.469311366666666,21.9310029,28.21333333333333,30.0,21.66666666666667,30.0,28.21333333333333,21.66666666666667
10/1986,29.900689612903232,22.86420364516129,29.722580645161294,31.0,22.593548387096767,31.0,29.722580645161294,22.593548387096767
11/1986,29.9119477,23.60080900000001,29.70666666666667,30.0,23.62666666666666,30.0,29.70666666666667,23.62666666666666
12/1986,30.382784967741927,23.89164680645161,29.946666666666662,30.0,23.203333333333337,30.0,29.946666666666662,23.203333333333337
1/1987,30.39959441935484,23.91101380645161,30.335483870967746,31.0,23.661290322580644,31.0,30.335483870967746,23.661290322580644
2/1987,30.384780857142857,23.71103,30.282142857142862,28.0,23.182142857142853,28.0,30.282142857142862,23.182142857142853
3/1987,30.34015483870968,23.56593422580645,30.312903225806448,31.0,23.04516129032257,31.0,30.312903225806448,23.04516129032257
4/1987,30.02065076666667,23.380093533333344,29.600000000000005,30.0,22.82333333333333,30.0,29.600000000000005,22.82333333333333
5/1987,30.330926935483863,23.49661638709677,30.21290322580645,31.0,22.68064516129032,31.0,30.21290322580645,22.68064516129032
6/1987,29.32438166666666,22.6708775,28.936666666666664,30.0,22.24,30.0,28.936666666666664,22.24
7/1987,28.86316048387097,21.937094967741928,28.31612903225807,31.0,21.367741935483874,31.0,28.31612903225807,21.367741935483874
8/1987,29.51869361290323,22.626181064516125,29.2,31.0,22.229032258064517,31.0,29.2,22.229032258064517
9/1987,29.91534846666666,23.27855793333333,29.52666666666667,30.0,22.926666666666666,30.0,29.52666666666667,22.926666666666666
10/1987,30.318972322580642,24.159622387096768,30.05483870967742,31.0,24.0516129032258,31.0,30.05483870967742,24.0516129032258
11/1987,30.80659409999999,24.812996300000002,30.946666666666665,30.0,24.723333333333336,30.0,30.946666666666665,24.723333333333336
12/1987,30.901314161290323,24.57843709677419,31.309677419354834,31.0,24.72258064516129,31.0,31.309677419354834,24.72258064516129
1/1988,30.73172199999999,24.20828464516129,31.17000000000001,30.0,24.32,30.0,31.17000000000001,24.32
2/1988,31.035654413793107,24.643713517241373,31.213793103448282,29.0,24.196551724137937,29.0,31.213793103448282,24.196551724137937
3/1988,30.64839654838709,23.840005451612896,31.07741935483872,31.0,23.13225806451613,31.0,31.07741935483872,23.13225806451613
4/1988,29.90991300000001,23.33185653333333,30.32758620689655,29.0,22.324137931034475,29.0,30.32758620689655,22.324137931034475
5/1988,29.765545548387088,23.294302451612896,29.96129032258065,31.0,22.296774193548387,31.0,29.96129032258065,22.296774193548387
6/1988,29.2800339,22.626054666666665,29.17333333333334,30.0,,,29.17333333333334,22.626054666666665
7/1988,28.104828,21.694764741935483,27.92258064516128,31.0,21.622580645161282,31.0,27.92258064516128,21.622580645161282
8/1988,27.760071838709674,20.566247709677416,27.738709677419358,31.0,20.429032258064517,31.0,27.738709677419358,20.429032258064517
9/1988,29.23343616666667,22.1089329,28.83333333333334,30.0,20.6,6.0,28.83333333333334,20.6
10/1988,29.486910161290325,21.723184741935484,29.996666666666673,30.0,,,29.996666666666673,21.723184741935484
11/1988,29.470962400000005,21.58788343333333,30.13333333333334,30.0,,,30.13333333333334,21.58788343333333
12/1988,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
1/1989,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
2/1989,29.48335082142857,21.50719225,30.922222222222214,27.0,,,30.922222222222214,21.50719225
3/1989,29.049976000000008,21.91715599999999,,,,,29.049976000000008,21.91715599999999
4/1989,29.09667630000001,22.9850404,29.54,30.0,,,29.54,22.9850404
5/1989,29.28202303225807,22.557350741935483,29.464516129032265,31.0,,,29.464516129032265,22.557350741935483
6/1989,29.25285806666667,22.84201043333333,29.01999999999999,30.0,,,29.01999999999999,22.84201043333333
7/1989,29.043167387096766,23.571305806451612,27.75517241379311,29.0,,,27.75517241379311,23.571305806451612
8/1989,29.32898851612904,23.015175258064517,28.432258064516137,31.0,,,28.432258064516137,23.015175258064517
