Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,29.392746193548387,23.19576009677419,29.580645161290317,31.0,23.39032258064516,31.0,29.580645161290317,23.39032258064516
2/1980,29.112360931034473,23.143878862068966,29.47931034482759,29.0,23.068965517241388,29.0,29.47931034482759,23.068965517241388
3/1980,29.10881322580645,23.10881683870968,29.145161290322584,31.0,23.254838709677426,31.0,29.145161290322584,23.254838709677426
4/1980,32.332156,23.7966205,,,,,32.332156,23.7966205
5/1980,30.56879180645161,23.583239612903217,30.980645161290326,31.0,24.058064516129047,31.0,30.980645161290326,24.058064516129047
6/1980,30.725162899999994,23.417333333333332,30.44333333333332,30.0,23.766666666666666,30.0,30.44333333333332,23.766666666666666
7/1980,30.73891832258064,23.056898322580643,30.835483870967746,31.0,23.416129032258073,31.0,30.835483870967746,23.416129032258073
8/1980,31.67416777419355,23.46086819354839,31.532258064516128,31.0,23.674193548387088,31.0,31.532258064516128,23.674193548387088
9/1980,32.68733673333334,23.8812095,32.77,30.0,24.02333333333333,30.0,32.77,24.02333333333333
10/1980,32.896580451612905,24.04374129032258,33.00000000000001,31.0,23.95806451612903,31.0,33.00000000000001,23.95806451612903
11/1980,32.46867773333334,23.94310896666667,32.38333333333333,30.0,23.92333333333333,30.0,32.38333333333333,23.92333333333333
12/1980,32.177166903225796,23.74213064516129,32.25483870967742,31.0,23.770967741935486,31.0,32.25483870967742,23.770967741935486
1/1981,29.783185677419358,23.448280387096766,29.683870967741928,31.0,23.625806451612906,31.0,29.683870967741928,23.625806451612906
2/1981,30.336235892857136,23.71289857142857,29.99285714285714,28.0,23.989285714285717,28.0,29.99285714285714,23.989285714285717
3/1981,31.17763819354839,23.669285000000002,31.26774193548387,31.0,23.812903225806465,31.0,31.26774193548387,23.812903225806465
4/1981,31.174671,23.913609666666666,31.16333333333334,30.0,24.45333333333333,30.0,31.16333333333334,24.45333333333333
5/1981,30.025747161290326,23.507527677419358,29.825806451612905,31.0,23.916129032258066,31.0,29.825806451612905,23.916129032258066
6/1981,30.987295366666668,23.4389549,30.670000000000005,30.0,23.986666666666665,30.0,30.670000000000005,23.986666666666665
7/1981,30.538171,22.7707430967742,30.39032258064516,31.0,23.00000000000001,31.0,30.39032258064516,23.00000000000001
8/1981,31.763968548387094,23.476171516129032,32.02258064516129,31.0,23.929032258064517,31.0,32.02258064516129,23.929032258064517
9/1981,32.154747066666665,23.738337166666664,32.03666666666666,30.0,23.63666666666667,30.0,32.03666666666666,23.63666666666667
10/1981,32.641655580645164,23.90120048387097,32.590322580645164,31.0,23.62903225806452,31.0,32.590322580645164,23.62903225806452
11/1981,32.96075726666666,24.41292556666666,32.73,30.0,24.30666666666667,30.0,32.73,24.30666666666667
12/1981,31.796259580645167,24.17002258064517,31.825806451612912,31.0,24.34193548387097,31.0,31.825806451612912,24.34193548387097
1/1982,29.03511619354838,23.265028870967736,28.76451612903225,31.0,23.200000000000006,31.0,28.76451612903225,23.200000000000006
2/1982,29.310783000000008,23.177578,28.97142857142857,28.0,23.125000000000004,28.0,28.97142857142857,23.125000000000004
3/1982,29.01645064516129,23.370465677419357,28.7,31.0,23.42258064516129,31.0,28.7,23.42258064516129
4/1982,29.706603166666675,23.46227183333333,29.54333333333333,30.0,23.64333333333333,30.0,29.54333333333333,23.64333333333333
5/1982,30.31229545161291,23.55576264516129,29.90645161290323,31.0,23.76451612903225,31.0,29.90645161290323,23.76451612903225
6/1982,31.192349766666666,23.52598940000001,30.72,30.0,23.713333333333324,30.0,30.72,23.713333333333324
7/1982,30.913894161290315,23.113138225806452,30.62258064516129,31.0,23.293548387096767,31.0,30.62258064516129,23.293548387096767
8/1982,31.345847322580646,23.123581612903234,31.329032258064533,31.0,23.425806451612907,31.0,31.329032258064533,23.425806451612907
9/1982,32.02467033333333,23.361595933333344,32.010000000000005,30.0,23.61666666666667,30.0,32.010000000000005,23.61666666666667
10/1982,32.59944167741936,23.352229096774202,32.664516129032265,31.0,23.467741935483872,31.0,32.664516129032265,23.467741935483872
11/1982,32.35141390000001,23.3288919,32.46999999999999,30.0,23.503333333333334,30.0,32.46999999999999,23.503333333333334
12/1982,31.99870422580645,23.65281748387097,32.20645161290323,31.0,23.951612903225804,31.0,32.20645161290323,23.951612903225804
1/1983,30.420105806451605,23.528898516129047,30.322580645161292,31.0,23.67096774193548,31.0,30.322580645161292,23.67096774193548
2/1983,30.446873642857145,23.66807532142857,30.389285714285712,28.0,24.071428571428584,28.0,30.389285714285712,24.071428571428584
3/1983,30.46869287096775,23.802212838709675,30.361290322580643,31.0,24.067741935483877,31.0,30.361290322580643,24.067741935483877
4/1983,30.823458100000003,24.0426243,30.64,30.0,24.44,30.0,30.64,24.44
5/1983,31.78283496774194,24.43365541935484,31.348387096774196,31.0,24.651612903225804,31.0,31.348387096774196,24.651612903225804
6/1983,31.42786196666667,23.58513253333333,31.21333333333333,30.0,24.11333333333333,30.0,31.21333333333333,24.11333333333333
7/1983,31.253572612903227,23.130600161290324,31.01290322580645,31.0,23.37096774193548,31.0,31.01290322580645,23.37096774193548
8/1983,31.774371161290325,23.421305,31.95806451612903,31.0,23.700000000000006,31.0,31.95806451612903,23.700000000000006
9/1983,32.2065489,23.57838506666667,32.29,30.0,23.35,30.0,32.29,23.35
10/1983,32.36412832258064,23.639054903225798,32.40967741935484,31.0,23.40967741935483,31.0,32.40967741935484,23.40967741935483
11/1983,32.51635709999999,23.683882166666667,32.660000000000004,30.0,23.520000000000003,30.0,32.660000000000004,23.520000000000003
12/1983,31.847693387096786,23.73871583870968,31.816129032258072,31.0,23.438709677419357,31.0,31.816129032258072,23.438709677419357
1/1984,29.860876774193553,23.142959387096766,29.525806451612898,31.0,22.84516129032259,31.0,29.525806451612898,22.84516129032259
2/1984,29.123954068965524,22.942710724137932,28.97931034482759,29.0,22.820689655172416,29.0,28.97931034482759,22.820689655172416
3/1984,29.07660748387096,23.13427422580646,29.064516129032263,31.0,23.3,31.0,29.064516129032263,23.3
4/1984,28.677802500000002,23.07656926666666,28.67333333333333,30.0,23.39333333333333,30.0,28.67333333333333,23.39333333333333
5/1984,29.68979790322581,23.129364870967738,29.56451612903225,31.0,23.380645161290317,31.0,29.56451612903225,23.380645161290317
6/1984,30.38907196666667,22.86455853333333,30.300000000000004,30.0,23.186666666666664,30.0,30.300000000000004,23.186666666666664
7/1984,30.505245193548394,22.849222677419352,30.43548387096775,31.0,22.84516129032258,31.0,30.43548387096775,22.84516129032258
8/1984,31.270474838709678,23.240817806451613,31.445161290322584,31.0,23.42580645161291,31.0,31.445161290322584,23.42580645161291
9/1984,32.09784583333333,23.321679166666666,32.61666666666667,30.0,23.11666666666667,30.0,32.61666666666667,23.11666666666667
10/1984,32.841685645161284,23.83086370967741,33.170967741935485,31.0,23.651612903225804,31.0,33.170967741935485,23.651612903225804
11/1984,31.984346133333325,23.737949099999994,31.826666666666654,30.0,23.65,30.0,31.826666666666654,23.65
12/1984,31.37582529032258,23.54883554838709,31.264516129032263,31.0,23.4483870967742,31.0,31.264516129032263,23.4483870967742
1/1985,28.690099322580647,22.904728967741942,28.73548387096773,31.0,22.70967741935484,31.0,28.73548387096773,22.70967741935484
2/1985,28.656730321428572,22.82481592857143,28.907142857142862,28.0,22.592857142857138,28.0,28.907142857142862,22.592857142857138
3/1985,29.13050380645161,23.132251838709674,29.138709677419357,31.0,23.23548387096773,31.0,29.138709677419357,23.23548387096773
4/1985,29.63707046666667,23.108173566666665,29.73333333333333,30.0,22.96666666666666,30.0,29.73333333333333,22.96666666666666
5/1985,29.65405848387097,23.033258838709674,29.47741935483872,31.0,23.093548387096767,31.0,29.47741935483872,23.093548387096767
6/1985,30.0398902,22.7062119,30.086666666666666,30.0,22.77666666666667,30.0,30.086666666666666,22.77666666666667
7/1985,30.367505774193553,22.49329393548387,30.38387096774194,31.0,22.235483870967737,31.0,30.38387096774194,22.235483870967737
8/1985,31.00999719354839,22.888476322580647,31.322580645161285,31.0,22.9483870967742,31.0,31.322580645161285,22.9483870967742
9/1985,31.866702166666666,23.3577541,32.03333333333334,30.0,23.42666666666667,30.0,32.03333333333334,23.42666666666667
10/1985,32.51549383870968,23.64055435483871,32.8258064516129,31.0,23.516129032258053,31.0,32.8258064516129,23.516129032258053
11/1985,31.73446696666667,23.6419154,31.89,30.0,23.360000000000007,30.0,31.89,23.360000000000007
12/1985,29.80255054838709,23.14875625806452,30.09354838709677,31.0,22.925806451612907,31.0,30.09354838709677,22.925806451612907
1/1986,29.58720064516129,23.105743419354834,29.464516129032265,31.0,22.96129032258064,31.0,29.464516129032265,22.96129032258064
2/1986,29.17721782142857,22.892064535714287,29.110714285714284,28.0,22.74285714285714,28.0,29.110714285714284,22.74285714285714
3/1986,28.899115387096767,22.838241548387106,29.099999999999994,31.0,22.845161290322586,31.0,29.099999999999994,22.845161290322586
4/1986,29.05765229999999,23.24039973333333,29.28333333333334,30.0,23.336666666666666,30.0,29.28333333333334,23.336666666666666
5/1986,30.104841322580647,23.63977380645161,30.06774193548387,31.0,23.741935483870968,31.0,30.06774193548387,23.741935483870968
