Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,30.728523870967745,22.280043225806452,30.72631578947369,19.0,22.947368421052627,19.0,30.72631578947369,22.947368421052627
2/1980,31.39869858620689,22.365525344827585,32.586666666666666,15.0,23.26,15.0,32.586666666666666,23.26
3/1980,31.215160483870967,22.857833032258057,31.5,26.0,23.126923076923084,26.0,31.5,23.126923076923084
4/1980,31.03855923333333,22.66811309999999,31.273913043478263,23.0,23.00434782608696,23.0,31.273913043478263,23.00434782608696
5/1980,31.95677109677419,23.28740003225806,32.05357142857143,28.0,23.332142857142863,28.0,32.05357142857143,23.332142857142863
6/1980,31.57379073333333,22.716378166666665,31.51600000000001,25.0,22.796000000000006,25.0,31.51600000000001,22.796000000000006
7/1980,31.37358812903225,22.574284967741928,31.76923076923077,26.0,22.507692307692302,26.0,31.76923076923077,22.507692307692302
8/1980,31.563545838709675,22.66761896774194,32.52173913043478,23.0,22.726086956521737,23.0,32.52173913043478,22.726086956521737
9/1980,31.974481966666666,23.17785013333333,32.90000000000001,25.0,23.04000000000001,25.0,32.90000000000001,23.04000000000001
10/1980,31.15285806451613,22.62856467741936,31.80909090909091,22.0,22.81363636363637,22.0,31.80909090909091,22.81363636363637
11/1980,30.880276366666674,22.2101271,31.49375,16.0,23.056249999999995,16.0,31.49375,23.056249999999995
12/1980,30.96515658064516,22.967040354838705,31.051851851851843,27.0,23.037037037037038,27.0,31.051851851851843,23.037037037037038
1/1981,30.28342635483872,22.889960967741946,29.95,30.0,22.53666666666667,30.0,29.95,22.53666666666667
2/1981,30.39791728571429,22.349693714285713,30.33750000000001,24.0,21.8875,24.0,30.33750000000001,21.8875
3/1981,31.35015654838711,22.82490941935484,31.90416666666667,24.0,22.879166666666674,24.0,31.90416666666667,22.879166666666674
4/1981,31.16468766666666,22.768078966666664,31.8125,24.0,23.3125,24.0,31.8125,23.3125
5/1981,31.33154351612903,22.815803741935486,31.552000000000003,25.0,23.436,25.0,31.552000000000003,23.436
6/1981,31.544857800000006,22.55232736666668,31.318181818181824,22.0,23.20454545454545,22.0,31.318181818181824,23.20454545454545
7/1981,31.118000677419356,22.306189258064517,31.026923076923083,26.0,21.95,26.0,31.026923076923083,21.95
8/1981,31.10145232258064,22.39090967741936,31.676190476190477,21.0,22.4,21.0,31.676190476190477,22.4
9/1981,30.592562499999996,22.288594966666665,30.96190476190477,21.0,22.166666666666664,21.0,30.96190476190477,22.166666666666664
10/1981,31.902367612903234,23.238063354838708,32.584,25.0,23.572000000000006,25.0,32.584,23.572000000000006
11/1981,31.09820716666667,22.86770403333333,31.486363636363638,22.0,23.359090909090916,22.0,31.486363636363638,23.359090909090916
12/1981,31.247595258064514,23.06817916129032,31.412500000000005,24.0,23.30833333333333,24.0,31.412500000000005,23.30833333333333
1/1982,30.113084032258058,22.37033819354839,29.91818181818182,22.0,23.05454545454545,22.0,29.91818181818182,23.05454545454545
2/1982,30.380405357142855,21.55060667857143,30.4,9.0,22.722222222222218,9.0,30.4,22.722222222222218
3/1982,30.50197129032258,21.77527399999999,30.58333333333334,12.0,23.241666666666664,12.0,30.58333333333334,23.241666666666664
4/1982,30.375908899999995,22.275392166666666,30.51,20.0,22.905,20.0,30.51,22.905
5/1982,30.877216483870967,22.54555293548386,30.956000000000003,25.0,23.04000000000001,25.0,30.956000000000003,23.04000000000001
6/1982,31.745749966666665,22.774015733333336,31.800000000000008,24.0,23.141666666666666,24.0,31.800000000000008,23.141666666666666
7/1982,31.611949032258057,22.354792806451613,32.29545454545455,22.0,22.700000000000006,22.0,32.29545454545455,22.700000000000006
8/1982,31.820539258064517,22.49215919354839,33.178947368421056,19.0,23.036842105263162,19.0,33.178947368421056,23.036842105263162
9/1982,31.739729500000006,22.452491233333333,33.666666666666664,15.0,23.64,15.0,33.666666666666664,23.64
