Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,29.404559193548387,18.983956548387102,29.067857142857147,28.0,18.946428571428573,28.0,29.067857142857147,18.946428571428573
2/1980,29.79125589655173,20.192900413793105,29.724000000000004,25.0,20.716000000000005,25.0,29.724000000000004,20.716000000000005
3/1980,29.993696193548388,20.936186387096775,30.02692307692308,26.0,21.923076923076927,26.0,30.02692307692308,21.923076923076927
4/1980,27.256096199999995,17.562376999999994,27.578260869565216,23.0,18.1,23.0,27.578260869565216,18.1
5/1980,24.47122019354838,15.402445145161288,23.608695652173914,23.0,14.982608695652173,23.0,23.608695652173914,14.982608695652173
6/1980,23.336289733333324,14.290178876666666,19.563636363636366,11.0,10.68181818181818,11.0,19.563636363636366,10.68181818181818
7/1980,23.726574677419343,14.892208825806446,17.45,6.0,9.283333333333333,6.0,17.45,9.283333333333333
8/1980,22.233124677419347,13.360502919354836,19.84210526315789,19.0,11.1,19.0,19.84210526315789,11.1
9/1980,22.73122533333333,13.048728623333329,20.9,15.0,9.733333333333333,15.0,20.9,9.733333333333333
10/1980,24.131722032258068,15.738128967741936,23.857692307692307,26.0,15.469230769230773,26.0,23.857692307692307,15.469230769230773
11/1980,26.094990566666674,16.41949826666666,26.36666666666666,24.0,16.520833333333332,24.0,26.36666666666666,16.520833333333332
12/1980,27.85554764516129,18.890043129032254,27.912499999999994,24.0,19.304166666666667,24.0,27.912499999999994,19.304166666666667
1/1981,30.303639451612906,20.324685225806448,30.067857142857147,28.0,20.667857142857144,28.0,30.067857142857147,20.667857142857144
2/1981,29.645812214285712,19.88766367857143,31.122222222222227,18.0,21.56666666666667,18.0,31.122222222222227,21.56666666666667
3/1981,28.11972706451613,18.406821419354838,27.785714285714285,28.0,18.29642857142857,28.0,27.785714285714285,18.29642857142857
4/1981,26.74035113333333,16.46040688333333,26.512000000000004,25.0,16.148000000000003,25.0,26.512000000000004,16.148000000000003
5/1981,26.54085619354839,16.176927048387096,26.172000000000004,25.0,15.704,25.0,26.172000000000004,15.704
6/1981,22.68212183333333,13.615222749999996,18.776923076923076,13.0,9.561538461538461,13.0,18.776923076923076,9.561538461538461
7/1981,22.32119983870967,13.242802270967742,20.681818181818183,22.0,11.713636363636365,22.0,20.681818181818183,11.713636363636365
8/1981,23.515019193548387,12.74607108064516,22.94347826086956,23.0,11.421739130434785,23.0,22.94347826086956,11.421739130434785
9/1981,23.44841063333332,14.37361875,21.911764705882355,17.0,12.694117647058823,17.0,21.911764705882355,12.694117647058823
10/1981,24.370011903225805,14.314451483870966,23.657692307692304,26.0,13.453846153846154,26.0,23.657692307692304,13.453846153846154
11/1981,26.99430563333333,17.9263328,26.80333333333333,30.0,17.986666666666668,30.0,26.80333333333333,17.986666666666668
12/1981,28.02012216129032,17.627701548387098,28.318518518518523,27.0,17.959259259259255,27.0,28.318518518518523,17.959259259259255
1/1982,29.482905677419357,18.515940322580644,29.42333333333333,30.0,18.996666666666673,30.0,29.42333333333333,18.996666666666673
2/1982,29.939406285714288,20.442071000000006,29.57692307692308,26.0,20.86538461538462,26.0,29.57692307692308,20.86538461538462
3/1982,29.074882677419357,19.108164612903224,28.946666666666676,30.0,19.39,30.0,28.946666666666676,19.39
4/1982,26.743773399999995,16.415779716666666,26.541379310344826,29.0,16.462068965517243,29.0,26.541379310344826,16.462068965517243
5/1982,23.11992861290322,13.534833425806449,22.07391304347826,23.0,12.604347826086956,23.0,22.07391304347826,12.604347826086956
6/1982,23.27974643333333,13.772668833333325,21.0,16.0,11.287500000000005,16.0,21.0,11.287500000000005
7/1982,21.296639645161285,12.385462419354837,18.8,19.0,10.089473684210526,19.0,18.8,10.089473684210526
8/1982,22.310628048387095,13.469460477419355,20.155,20.0,11.255,20.0,20.155,11.255
9/1982,23.96829996666667,14.93293023333333,23.515384615384626,26.0,14.349999999999998,26.0,23.515384615384626,14.349999999999998
10/1982,23.916879967741927,14.470303016129034,23.57037037037037,27.0,13.82962962962963,27.0,23.57037037037037,13.82962962962963
11/1982,25.610472833333336,16.807825183333332,25.188,25.0,16.555999999999994,25.0,25.188,16.555999999999994
12/1982,28.805750322580643,18.716856741935484,28.424137931034473,29.0,18.434482758620693,29.0,28.424137931034473,18.434482758620693
1/1983,30.53673148387097,21.62775822580645,29.754838709677426,31.0,21.758064516129032,31.0,29.754838709677426,21.758064516129032
2/1983,29.67158475,20.818595285714284,28.99285714285714,28.0,20.742857142857144,28.0,28.99285714285714,20.742857142857144
3/1983,26.859282322580643,18.387252354838708,26.222580645161294,31.0,18.174193548387095,31.0,26.222580645161294,18.174193548387095
4/1983,24.79261883333333,16.81653335,24.246666666666666,30.0,16.743333333333336,30.0,24.246666666666666,16.743333333333336
5/1983,22.056540483870968,15.03414655806451,21.38064516129032,31.0,14.864516129032257,31.0,21.38064516129032,14.864516129032257
6/1983,17.6638451,9.473191443333333,17.349999999999998,30.0,8.896666666666665,30.0,17.349999999999998,8.896666666666665
7/1983,17.014641532258064,10.665848361290324,17.083870967741934,31.0,10.387096774193546,31.0,17.083870967741934,10.387096774193546
8/1983,20.47960396774194,12.113289538709676,20.512903225806454,31.0,11.822580645161288,31.0,20.512903225806454,11.822580645161288
9/1983,20.71572245,11.71902495333333,20.90333333333333,30.0,11.28,30.0,20.90333333333333,11.28
10/1983,25.154451096774203,15.419202741935484,25.30322580645161,31.0,15.12258064516129,31.0,25.30322580645161,15.12258064516129
11/1983,27.6254744,17.820269466666666,27.17666666666667,30.0,17.626666666666672,30.0,27.17666666666667,17.626666666666672
12/1983,30.37385693548387,19.738601935483867,30.26129032258065,31.0,20.032258064516128,31.0,30.26129032258065,20.032258064516128
1/1984,31.57669006451614,22.14435974193548,31.080645161290327,31.0,22.258064516129032,31.0,31.080645161290327,22.258064516129032
2/1984,32.99696248275862,22.27004493103448,33.30689655172414,29.0,22.603448275862068,29.0,33.30689655172414,22.603448275862068
3/1984,28.88448467741936,19.751701774193545,28.319354838709682,31.0,19.809677419354838,31.0,28.319354838709682,19.809677419354838
4/1984,24.76608166666666,15.985750599999998,24.47666666666667,30.0,15.883333333333333,30.0,24.47666666666667,15.883333333333333
5/1984,22.54247819354838,14.510986645161287,22.274193548387093,31.0,14.170967741935485,31.0,22.274193548387093,14.170967741935485
6/1984,18.377599033333336,11.17216146,18.443333333333328,30.0,10.916666666666664,30.0,18.443333333333328,10.916666666666664
7/1984,19.911169370967745,10.778817441935487,19.9,31.0,10.170967741935485,31.0,19.9,10.170967741935485
8/1984,17.718923096774194,9.5651166,18.012903225806447,31.0,9.274193548387096,31.0,18.012903225806447,9.274193548387096
9/1984,21.298721133333327,12.966857316666665,21.3,30.0,12.806666666666665,30.0,21.3,12.806666666666665
10/1984,25.593430999999992,15.627965580645164,26.064516129032263,31.0,15.625806451612899,31.0,26.064516129032263,15.625806451612899
11/1984,25.95851056666667,16.481479666666665,26.143333333333334,30.0,16.543333333333333,30.0,26.143333333333334,16.543333333333333
12/1984,27.198702741935488,16.796410612903227,27.183870967741928,31.0,16.7,31.0,27.183870967741928,16.7
1/1985,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
2/1985,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
3/1985,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
4/1985,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
5/1985,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
6/1985,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
7/1985,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
8/1985,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
9/1985,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
10/1985,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
11/1985,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
12/1985,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
1/1986,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
2/1986,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
3/1986,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
4/1986,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
5/1986,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
6/1986,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
7/1986,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
8/1986,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
9/1986,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
10/1986,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
11/1986,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
12/1986,25.33808499999999,16.13202999999999,,,,,25.33808499999999,16.13202999999999
