Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,30.424836193548373,23.322131064516128,30.53870967741935,31,23.048387096774192,31,30.53870967741935,23.048387096774192
2/1980,29.505549448275875,23.011765137931032,29.72068965517241,29,22.56206896551724,29,29.72068965517241,22.56206896551724
3/1980,28.94093725806452,22.429243258064513,29.26451612903225,31,22.635483870967736,31,29.26451612903225,22.635483870967736
4/1980,29.008616300000003,22.44586216666666,29.196666666666665,30,22.42666666666667,30,29.196666666666665,22.42666666666667
5/1980,28.406345709677414,21.98870719354839,28.435483870967737,31,22.035483870967735,31,28.435483870967737,22.035483870967735
6/1980,27.8514181,21.52869063333333,27.680000000000003,30,21.66333333333333,30,27.680000000000003,21.66333333333333
7/1980,27.745097838709675,20.529390290322574,27.903225806451612,31,20.825806451612905,31,27.903225806451612,20.825806451612905
8/1980,27.740257870967746,20.612089483870964,27.94516129032259,31,20.74838709677419,31,27.94516129032259,20.74838709677419
9/1980,28.34618876666667,21.397165633333334,28.423333333333346,30,21.226666666666667,30,28.423333333333346,21.226666666666667
10/1980,28.472676322580647,21.53677083870968,28.54193548387097,31,21.264516129032263,31,28.54193548387097,21.264516129032263
11/1980,29.0974729,22.11150323333333,29.32666666666667,30,22.10333333333333,30,29.32666666666667,22.10333333333333
12/1980,29.214824354838715,21.904741870967737,29.677419354838708,31,21.883870967741927,31,29.677419354838708,21.883870967741927
1/1981,29.380112290322586,22.70386264516129,29.59032258064516,31,22.574193548387093,31,29.59032258064516,22.574193548387093
2/1981,29.400232107142863,23.43138796428571,29.232142857142854,28,23.38214285714286,28,29.232142857142854,23.38214285714286
3/1981,29.192037967741943,22.748305677419356,29.47419354838709,31,22.90645161290323,31,29.47419354838709,22.90645161290323
4/1981,29.17246900000001,22.18506773333333,29.35333333333333,30,22.134482758620692,29,29.35333333333333,22.134482758620692
5/1981,28.063628935483877,21.872916838709678,28.374193548387094,31,22.148387096774197,31,28.374193548387094,22.148387096774197
6/1981,27.8704015,21.298557666666674,27.85000000000001,30,21.35,30,27.85000000000001,21.35
7/1981,27.16716545161289,20.422758838709683,26.980645161290322,31,20.596774193548384,31,26.980645161290322,20.596774193548384
8/1981,27.25632129032257,20.624894451612906,27.15806451612903,31,20.558064516129033,31,27.15806451612903,20.558064516129033
9/1981,27.577339866666666,21.092223333333333,27.68666666666667,30,21.4,30,27.68666666666667,21.4
10/1981,28.8737149032258,22.006218161290327,29.090322580645157,31,22.138709677419357,31,29.090322580645157,22.138709677419357
11/1981,29.533441566666674,22.82964336666667,29.726666666666674,30,23.02,30,29.726666666666674,23.02
12/1981,29.31137293548388,23.46253425806451,29.483870967741932,31,23.84193548387097,31,29.483870967741932,23.84193548387097
1/1982,29.513518290322587,22.76900561290323,29.464516129032248,31,22.39354838709677,31,29.464516129032248,22.39354838709677
2/1982,29.112244571428572,22.485510571428577,29.4,28,22.33571428571429,28,29.4,22.33571428571429
3/1982,29.79724141935484,22.853693774193548,29.825806451612912,31,22.21935483870968,31,29.825806451612912,22.21935483870968
4/1982,29.1992345,22.52704216666666,29.43809523809524,21,22.516666666666666,30,29.43809523809524,22.516666666666666
5/1982,28.593651419354835,22.243010612903227,28.690322580645162,31,22.029032258064507,31,28.690322580645162,22.029032258064507
6/1982,28.003144966666664,21.5468217,28.00333333333333,30,21.37,30,28.00333333333333,21.37
7/1982,27.500269612903228,20.857380870967745,27.535483870967745,31,21.0,31,27.535483870967745,21.0
8/1982,27.784020806451622,21.0267195483871,27.71290322580645,31,20.88,30,27.71290322580645,20.88
9/1982,27.85860203333333,21.121324533333336,28.06,30,21.063333333333336,30,28.06,21.063333333333336
10/1982,28.739191903225798,21.115631806451614,29.29032258064516,31,21.31935483870968,31,29.29032258064516,21.31935483870968
11/1982,29.235330266666665,21.9709253,29.72333333333333,30,22.09333333333333,30,29.72333333333333,22.09333333333333
12/1982,29.70270393548387,22.88646300000001,29.97419354838709,31,22.976666666666667,30,29.97419354838709,22.976666666666667
1/1983,30.238158290322577,22.91687874193548,30.78709677419355,31,22.87096774193548,31,30.78709677419355,22.87096774193548
2/1983,29.711064392857146,23.581266857142854,29.83928571428571,28,23.625000000000004,28,29.83928571428571,23.625000000000004
3/1983,30.013375419354844,23.704236548387094,30.096774193548388,31,23.693548387096772,31,30.096774193548388,23.693548387096772
4/1983,28.954396300000006,21.73779486666667,30.236666666666668,30,22.77333333333333,30,30.236666666666668,22.77333333333333
5/1983,28.97696977419355,22.062593064516133,29.493548387096787,31,22.054838709677416,31,29.493548387096787,22.054838709677416
6/1983,28.094172700000005,20.952992666666667,28.69333333333333,30,21.063333333333333,30,28.69333333333333,21.063333333333333
7/1983,27.746755483870963,20.606177322580645,28.18709677419355,31,20.54193548387097,31,28.18709677419355,20.54193548387097
8/1983,27.78222441935484,20.957595032258066,28.161290322580644,31,21.270967741935486,31,28.161290322580644,21.270967741935486
9/1983,28.442162766666666,21.52949456666666,28.83666666666666,30,21.303333333333327,30,28.83666666666666,21.303333333333327
10/1983,28.74589377419355,21.820838129032264,29.21290322580646,31,21.945161290322577,31,29.21290322580646,21.945161290322577
11/1983,29.466016800000002,21.228886433333336,29.95333333333333,30,20.86333333333334,30,29.95333333333333,20.86333333333334
12/1983,30.064373225806452,22.533756838709674,30.55483870967741,31,22.29032258064516,31,30.55483870967741,22.29032258064516
1/1984,30.230407548387088,22.702244741935488,30.6483870967742,31,22.464516129032265,31,30.6483870967742,22.464516129032265
2/1984,30.99100051724139,23.622159793103446,31.389655172413782,29,23.38275862068966,29,31.389655172413782,23.38275862068966
