Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,31.06732767741937,21.913946032258067,31.776190476190486,21.0,20.790476190476188,21.0,31.776190476190486,20.790476190476188
2/1980,30.76773110344829,21.981146448275872,31.563157894736843,19.0,20.736842105263158,19.0,31.563157894736843,20.736842105263158
3/1980,30.255909387096768,21.936308354838715,31.00476190476191,21.0,20.669565217391305,23.0,31.00476190476191,20.669565217391305
4/1980,27.200627133333334,21.115119,,,19.200000000000006,25.0,27.200627133333334,19.200000000000006
5/1980,27.33754719354839,20.891581000000006,,,18.153846153846157,26.0,27.33754719354839,18.153846153846157
6/1980,27.539932099999998,20.7907092,,,16.892857142857142,28.0,27.539932099999998,16.892857142857142
7/1980,29.15404380645161,21.23587364516129,27.3,1.0,14.800000000000002,3.0,27.3,14.800000000000002
8/1980,29.618306096774212,21.498490258064518,31.8,1.0,14.8,1.0,31.8,14.8
9/1980,30.428546566666675,20.919143400000006,34.02500000000001,8.0,16.875,8.0,34.02500000000001,16.875
10/1980,30.908595419354835,21.311990548387094,33.17058823529411,17.0,20.623529411764704,17.0,33.17058823529411,20.623529411764704
11/1980,31.23820833333333,21.094917066666675,32.8421052631579,19.0,20.03157894736842,19.0,32.8421052631579,20.03157894736842
12/1980,30.46787529032258,21.459151225806455,32.19375,16.0,21.2625,16.0,32.19375,21.2625
1/1981,30.1526706451613,21.499408161290322,31.28823529411764,17.0,20.717647058823527,17.0,31.28823529411764,20.717647058823527
2/1981,30.394813464285733,21.6488885,31.50588235294118,17.0,20.8,17.0,31.50588235294118,20.8
3/1981,30.943400935483872,22.043272032258066,31.72105263157895,19.0,21.768421052631588,19.0,31.72105263157895,21.768421052631588
4/1981,30.87706223333334,21.5939235,32.28666666666666,15.0,20.65333333333333,15.0,32.28666666666666,20.65333333333333
5/1981,30.89022061290324,21.009818838709677,31.815000000000005,20.0,20.41,20.0,31.815000000000005,20.41
6/1981,30.12816963333333,19.460675400000003,30.223809523809525,21.0,17.3047619047619,21.0,30.223809523809525,17.3047619047619
7/1981,29.411620193548387,18.36351925806451,29.7,16.0,14.8,16.0,29.7,14.8
8/1981,30.94130735483871,20.007055451612906,32.98125,16.0,17.612499999999994,16.0,32.98125,17.612499999999994
9/1981,30.425636000000004,20.763274466666665,31.828571428571433,14.0,18.314285714285713,14.0,31.828571428571433,18.314285714285713
10/1981,32.034604838709676,21.314714838709683,33.81304347826088,23.0,20.53913043478261,23.0,33.81304347826088,20.53913043478261
11/1981,29.3066695,21.3336274,32.32857142857143,7.0,21.67826086956521,23.0,32.32857142857143,21.67826086956521
12/1981,29.43735435483871,21.68220919354839,31.58888888888889,9.0,22.04166666666667,24.0,31.58888888888889,22.04166666666667
1/1982,31.206774225806452,22.550278096774196,30.986666666666665,30.0,22.04,30.0,30.986666666666665,22.04
2/1982,30.613331500000008,22.214515785714287,31.04166666666667,24.0,21.850000000000005,24.0,31.04166666666667,21.850000000000005
3/1982,31.34399551612903,22.30598716129032,31.44615384615384,26.0,21.846153846153847,26.0,31.44615384615384,21.846153846153847
4/1982,30.88453153333334,22.2450773,31.70909090909091,22.0,21.563636363636366,22.0,31.70909090909091,21.563636363636366
5/1982,30.763192451612905,21.32557632258065,30.97083333333333,24.0,19.7,24.0,30.97083333333333,19.7
6/1982,30.048477400000003,20.062772566666666,30.815789473684216,19.0,17.768421052631577,19.0,30.815789473684216,17.768421052631577
7/1982,31.911137129032248,19.87468167741936,32.85384615384615,26.0,18.26923076923077,26.0,32.85384615384615,18.26923076923077
8/1982,32.20602477419355,19.626026903225807,33.464285714285715,28.0,18.49285714285714,28.0,33.464285714285715,18.49285714285714
9/1982,32.021899499999996,21.525875200000005,33.04545454545454,22.0,20.1,22.0,33.04545454545454,20.1
10/1982,31.780063161290336,21.802873483870968,33.20952380952381,21.0,20.895238095238085,21.0,33.20952380952381,20.895238095238085
11/1982,31.36150686666667,22.33114596666667,31.84347826086956,23.0,22.13478260869565,23.0,31.84347826086956,22.13478260869565
12/1982,30.66354558064517,22.20059796774193,30.914285714285718,21.0,21.780952380952378,21.0,30.914285714285718,21.780952380952378
1/1983,32.46584580645161,21.93150358064516,32.41935483870967,31.0,22.61935483870968,31.0,32.41935483870967,22.61935483870968
2/1983,32.48161003571428,21.888289142857147,32.72857142857142,28.0,22.521428571428572,28.0,32.72857142857142,22.521428571428572
3/1983,32.34271925806451,21.80728209677419,32.038709677419355,31.0,22.01290322580645,31.0,32.038709677419355,22.01290322580645
4/1983,32.13843336666666,21.96120906666668,32.37333333333333,30.0,22.556666666666665,30.0,32.37333333333333,22.556666666666665
5/1983,32.153302000000004,21.24776558064516,32.0516129032258,31.0,21.690322580645162,31.0,32.0516129032258,21.690322580645162
6/1983,28.54720803333333,17.619599216666668,27.81333333333333,30.0,17.286666666666665,30.0,27.81333333333333,17.286666666666665
7/1983,31.203242322580646,18.106869354838707,30.92258064516129,31.0,17.406451612903222,31.0,30.92258064516129,17.406451612903222
8/1983,32.01261380645161,18.297579177419355,32.303225806451614,31.0,16.961290322580645,31.0,32.303225806451614,16.961290322580645
9/1983,32.85001493333333,19.016016333333333,33.35999999999999,30.0,17.65333333333333,30.0,33.35999999999999,17.65333333333333
10/1983,32.533696000000006,20.15168703225807,32.516129032258064,31.0,19.961290322580645,31.0,32.516129032258064,19.961290322580645
11/1983,31.777884499999995,20.7769488,31.64666666666666,30.0,21.100000000000005,30.0,31.64666666666666,21.100000000000005
12/1983,31.96239464516129,21.14843041935484,31.541935483870958,31.0,21.625806451612906,31.0,31.541935483870958,21.625806451612906
1/1984,31.826091032258066,20.426395032258068,30.67096774193548,31.0,21.4,31.0,30.67096774193548,21.4
2/1984,30.96145168965517,20.8363721724138,30.83448275862069,29.0,21.76551724137931,29.0,30.83448275862069,21.76551724137931
3/1984,31.73448725806452,21.389447935483872,31.574193548387093,31.0,21.683870967741946,31.0,31.574193548387093,21.683870967741946
4/1984,31.3355758,20.476538333333327,31.21333333333333,30.0,21.04,30.0,31.21333333333333,21.04
5/1984,30.67452661290323,19.682581000000006,30.980645161290322,31.0,20.03870967741935,31.0,30.980645161290322,20.03870967741935
6/1984,30.15414053333333,17.586319383333333,30.51999999999999,30.0,17.319999999999997,30.0,30.51999999999999,17.319999999999997
7/1984,31.37364277419355,17.113765967741934,31.59354838709677,31.0,16.30322580645161,31.0,31.59354838709677,16.30322580645161
8/1984,32.48541296774193,17.52604509677419,32.65806451612903,31.0,15.948387096774194,31.0,32.65806451612903,15.948387096774194
9/1984,32.36861726666667,19.77094736666667,32.63,30.0,19.446666666666665,30.0,32.63,19.446666666666665
10/1984,31.75105164516129,20.752594451612907,32.33548387096773,31.0,21.722580645161294,31.0,32.33548387096773,21.722580645161294
11/1984,31.469659799999995,20.9256546,31.96,30.0,21.766666666666666,30.0,31.96,21.766666666666666
12/1984,31.7450100967742,21.254864290322573,31.606451612903218,31.0,22.019354838709678,31.0,31.606451612903218,22.019354838709678
1/1985,30.640709967741927,21.038470548387085,30.361290322580647,31.0,21.90967741935484,31.0,30.361290322580647,21.90967741935484
2/1985,31.0678125,20.999963357142864,30.935714285714287,28.0,21.757142857142853,28.0,30.935714285714287,21.757142857142853
3/1985,31.27792593548387,21.485104999999997,31.01290322580645,31.0,22.322580645161292,31.0,31.01290322580645,22.322580645161292
4/1985,30.777751366666674,20.5822698,30.320000000000004,30.0,21.466666666666672,30.0,30.320000000000004,21.466666666666672
5/1985,31.417229967741942,19.94157551612904,31.070967741935487,31.0,20.574193548387093,31.0,31.070967741935487,20.574193548387093
6/1985,30.15299713333333,16.838227533333335,30.18,30.0,17.006666666666664,30.0,30.18,17.006666666666664
7/1985,30.599821096774193,16.558825806451615,30.90967741935484,31.0,16.741935483870964,31.0,30.90967741935484,16.741935483870964
8/1985,30.379818580645164,17.136481677419354,30.72903225806452,31.0,17.129032258064516,31.0,30.72903225806452,17.129032258064516
9/1985,31.369112066666666,19.120147499999995,32.09333333333333,30.0,19.606666666666666,30.0,32.09333333333333,19.606666666666666
10/1985,32.13006416129032,20.532768096774188,32.23870967741936,31.0,21.393548387096775,31.0,32.23870967741936,21.393548387096775
11/1985,31.4086519,20.730765333333334,31.030000000000005,30.0,21.779999999999994,30.0,31.030000000000005,21.779999999999994
12/1985,31.382040129032248,21.34692219354838,30.883870967741927,31.0,22.032258064516128,31.0,30.883870967741927,22.032258064516128
1/1986,30.704450677419352,22.368743935483874,30.548387096774192,31.0,21.658064516129038,31.0,30.548387096774192,21.658064516129038
2/1986,29.979454642857146,20.723535642857144,30.292857142857137,28.0,21.871428571428567,28.0,30.292857142857137,21.871428571428567
3/1986,30.791550516129032,21.016776580645164,30.980645161290322,31.0,22.01290322580645,31.0,30.980645161290322,22.01290322580645
4/1986,30.781111,20.920733966666667,31.09333333333333,30.0,21.7,30.0,31.09333333333333,21.7
5/1986,31.323142161290328,20.547697612903217,31.103225806451622,31.0,21.3483870967742,31.0,31.103225806451622,21.3483870967742
6/1986,31.03062319999999,17.131974816666666,31.44666666666667,30.0,17.219999999999995,30.0,31.44666666666667,17.219999999999995
7/1986,31.043783483870964,17.425970548387102,30.41290322580645,31.0,16.587096774193547,31.0,30.41290322580645,16.587096774193547
8/1986,31.55711722580646,19.50174832258064,31.696774193548393,31.0,19.206451612903226,31.0,31.696774193548393,19.206451612903226
9/1986,31.836235333333335,19.12653406666667,31.35333333333333,30.0,19.36666666666667,30.0,31.35333333333333,19.36666666666667
10/1986,31.525699225806452,20.306557838709672,31.89032258064516,31.0,20.6258064516129,31.0,31.89032258064516,20.6258064516129
11/1986,31.65215853333333,20.798534266666664,31.99333333333334,30.0,21.546666666666663,30.0,31.99333333333334,21.546666666666663
12/1986,31.72847754838709,21.259289741935483,31.65806451612903,31.0,22.032258064516125,31.0,31.65806451612903,22.032258064516125
1/1987,31.31051564516129,21.474649322580646,30.980645161290326,31.0,21.990322580645167,31.0,30.980645161290326,21.990322580645167
2/1987,31.728204000000005,21.08556917857143,31.17142857142857,28.0,20.992857142857147,28.0,31.17142857142857,20.992857142857147
3/1987,32.242610096774214,20.511046516129028,31.78064516129032,31.0,20.425806451612907,31.0,31.78064516129032,20.425806451612907
4/1987,32.16865099999999,20.752356066666664,31.593333333333327,30.0,20.820000000000004,30.0,31.593333333333327,20.820000000000004
5/1987,31.773123096774192,19.392293322580645,30.935483870967737,31.0,18.79354838709677,31.0,30.935483870967737,18.79354838709677
6/1987,30.98211613333333,15.930813233333335,30.39333333333333,30.0,17.293333333333333,30.0,30.39333333333333,17.293333333333333
7/1987,33.685531612903226,19.534395225806453,32.94193548387097,31.0,17.680645161290318,31.0,32.94193548387097,17.680645161290318
