Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,28.517453870967735,22.425347193548397,28.93333333333333,9.0,22.655555555555555,9.0,28.93333333333333,22.655555555555555
2/1980,28.96026082758621,22.65614913793104,31.275,8.0,23.3625,8.0,31.275,23.3625
3/1980,29.734540645161285,23.057790161290328,31.384615384615394,13.0,24.423076923076927,13.0,31.384615384615394,24.423076923076927
4/1980,28.474708000000003,22.16917426666667,28.12857142857143,14.0,22.4,14.0,28.12857142857143,22.4
5/1980,27.73781232258064,21.126848387096775,27.77083333333333,24.0,20.9875,24.0,27.77083333333333,20.9875
6/1980,27.07958230000001,20.1563283,26.69090909090909,22.0,19.41363636363636,22.0,26.69090909090909,19.41363636363636
7/1980,27.121060612903218,20.370762193548394,26.952380952380953,21.0,19.52380952380953,21.0,26.952380952380953,19.52380952380953
8/1980,26.65553041935484,20.502171741935488,26.46666666666667,24.0,20.1,24.0,26.46666666666667,20.1
9/1980,27.29600963333333,21.1350177,25.735714285714288,14.0,19.507142857142856,14.0,25.735714285714288,19.507142857142856
10/1980,28.570653516129042,22.346554548387108,29.04166666666666,12.0,21.80833333333333,12.0,29.04166666666666,21.80833333333333
11/1980,28.32089879999999,21.803532600000004,27.67058823529411,17.0,21.011764705882356,17.0,27.67058823529411,21.011764705882356
12/1980,28.244595548387103,22.376161387096786,28.788888888888888,9.0,22.122222222222227,9.0,28.788888888888888,22.122222222222227
1/1981,29.04058906451613,23.16742077419356,29.273333333333333,15.0,24.28666666666667,15.0,29.273333333333333,24.28666666666667
2/1981,30.573542571428572,23.409890285714283,30.69565217391304,23.0,23.521739130434774,23.0,30.69565217391304,23.521739130434774
3/1981,29.183225741935487,22.824340774193548,29.22631578947369,19.0,23.2,19.0,29.22631578947369,23.2
4/1981,28.19651576666667,21.778040266666675,27.950000000000006,18.0,21.3,18.0,27.950000000000006,21.3
5/1981,26.60998641935484,20.648783419354835,26.32500000000001,28.0,20.37142857142857,28.0,26.32500000000001,20.37142857142857
6/1981,27.13422696666667,20.991754066666672,25.15454545454545,11.0,18.6,11.0,25.15454545454545,18.6
7/1981,27.678198225806447,21.774580741935495,27.3,5.0,18.44,5.0,27.3,18.44
8/1981,27.37897851612902,21.985892258064528,25.0,4.0,19.85,4.0,25.0,19.85
9/1981,28.16799596666667,21.462018233333332,28.738461538461532,13.0,20.26923076923077,13.0,28.738461538461532,20.26923076923077
10/1981,27.529966838709683,21.593772677419356,26.807142857142853,14.0,20.7,14.0,26.807142857142853,20.7
11/1981,28.66399506666667,22.306155366666665,28.9,12.0,22.45833333333333,12.0,28.9,22.45833333333333
12/1981,29.467485709677412,22.84887277419356,31.38333333333333,12.0,23.241666666666664,12.0,31.38333333333333,23.241666666666664
1/1982,28.303547580645155,22.510672290322585,27.790000000000006,10.0,23.08,10.0,27.790000000000006,23.08
2/1982,30.18309525,23.020475142857148,30.54761904761905,21.0,22.909523809523808,21.0,30.54761904761905,22.909523809523808
3/1982,28.042598806451608,22.44316429032259,27.67142857142857,7.0,23.21428571428571,7.0,27.67142857142857,23.21428571428571
4/1982,27.456228266666667,21.534117166666668,25.67,10.0,19.43,10.0,25.67,19.43
5/1982,26.733614225806445,20.543266129032254,25.211764705882352,17.0,19.229411764705887,17.0,25.211764705882352,19.229411764705887
6/1982,27.684736833333325,21.268346500000007,26.563636363636366,11.0,19.96363636363636,11.0,26.563636363636366,19.96363636363636
7/1982,27.560006677419352,21.63298077419356,26.37142857142857,7.0,19.98571428571429,7.0,26.37142857142857,19.98571428571429
8/1982,27.60403054838709,21.450404290322584,26.763636363636365,11.0,20.009090909090904,11.0,26.763636363636365,20.009090909090904
9/1982,27.4726047,21.390760333333343,25.54,10.0,19.309999999999995,10.0,25.54,19.309999999999995
10/1982,28.31271329032258,21.83805712903227,27.016666666666666,12.0,20.316666666666666,12.0,27.016666666666666,20.316666666666666
11/1982,28.80411896666666,22.472451033333343,29.785714285714285,7.0,22.45714285714286,7.0,29.785714285714285,22.45714285714286
12/1982,27.90245554838709,22.522866774193567,29.566666666666666,3.0,23.5,3.0,29.566666666666666,23.5
1/1983,30.15379051612902,24.06964948387097,29.825806451612912,31.0,24.232258064516124,31.0,29.825806451612912,24.232258064516124
2/1983,30.90386271428572,23.923178892857145,30.692857142857147,28.0,23.639285714285716,28.0,30.692857142857147,23.639285714285716
3/1983,29.39923651612903,23.25164674193548,29.80322580645161,31.0,23.154838709677428,31.0,29.80322580645161,23.154838709677428
4/1983,27.503565866666662,21.98063153333333,27.383333333333336,30.0,21.91333333333333,30.0,27.383333333333336,21.91333333333333
5/1983,27.113142419354833,21.628571419354845,27.164516129032254,31.0,21.535483870967745,31.0,27.164516129032254,21.535483870967745
6/1983,24.144679766666666,19.385152,24.46333333333333,30.0,19.33333333333333,30.0,24.46333333333333,19.33333333333333
7/1983,24.931613354838714,19.09694164516129,25.245161290322574,31.0,18.81612903225807,31.0,25.245161290322574,18.81612903225807
8/1983,23.885858709677414,18.161024225806454,24.364516129032253,31.0,18.083870967741934,31.0,24.364516129032253,18.083870967741934
9/1983,23.24162476666667,19.1148485,23.406666666666666,30.0,18.62666666666666,30.0,23.406666666666666,18.62666666666666
10/1983,25.53817964516129,20.62726348387097,25.20000000000001,31.0,20.216129032258067,31.0,25.20000000000001,20.216129032258067
11/1983,27.60206226666666,22.0196424,27.476666666666674,30.0,21.8,30.0,27.476666666666674,21.8
12/1983,28.61524441935483,23.04182764516129,28.322580645161292,31.0,22.796774193548387,31.0,28.322580645161292,22.796774193548387
1/1984,27.789248322580647,23.48283206451613,31.464516129032265,31.0,,,31.464516129032265,23.48283206451613
2/1984,28.51180793103448,22.787923034482766,30.475862068965515,29.0,,,30.475862068965515,22.787923034482766
3/1984,27.542824677419357,22.05801116129032,28.9,31.0,,,28.9,22.05801116129032
4/1984,26.81749613333333,20.97235773333333,26.973333333333336,30.0,,,26.973333333333336,20.97235773333333
5/1984,27.48896364516129,21.308399903225805,27.81935483870968,31.0,,,27.81935483870968,21.308399903225805
6/1984,27.26257933333333,20.978336,27.160000000000004,30.0,,,27.160000000000004,20.978336
7/1984,27.20081251612904,20.43521925806452,26.403225806451612,31.0,,,26.403225806451612,20.43521925806452
8/1984,26.08037741935484,19.41761935483871,24.3,31.0,,,24.3,19.41761935483871
9/1984,26.789711700000005,19.3467993,24.66,30.0,,,24.66,19.3467993
10/1984,27.35261258064517,20.635999483870965,27.151612903225807,31.0,,,27.151612903225807,20.635999483870965
11/1984,26.49260233333334,20.722930666666667,26.629999999999992,30.0,,,26.629999999999992,20.722930666666667
12/1984,26.61074093548387,21.422858935483877,27.58709677419355,31.0,,,27.58709677419355,21.422858935483877
1/1985,26.39123354838709,21.770911612903227,27.71612903225807,31.0,,,27.71612903225807,21.770911612903227
2/1985,27.312336607142857,23.418228535714285,30.953571428571426,28.0,,,30.953571428571426,23.418228535714285
3/1985,27.033392,23.00561425806452,30.15806451612903,31.0,,,30.15806451612903,23.00561425806452
4/1985,27.351437133333338,22.4267853,29.54333333333333,30.0,,,29.54333333333333,22.4267853
5/1985,26.943132193548394,20.133159096774193,25.893548387096768,31.0,,,25.893548387096768,20.133159096774193
6/1985,27.64445413333334,18.95689163333333,24.736666666666665,30.0,,,24.736666666666665,18.95689163333333
7/1985,27.534480548387094,19.056511129032256,24.722580645161294,31.0,,,24.722580645161294,19.056511129032256
8/1985,27.18646654838711,20.49452506451612,26.661290322580644,31.0,,,26.661290322580644,20.49452506451612
9/1985,26.58068726666667,18.995406533333327,24.18666666666666,30.0,,,24.18666666666666,18.995406533333327
10/1985,26.80283722580645,20.16272961290323,25.95806451612903,31.0,,,25.95806451612903,20.16272961290323
11/1985,27.10009373333333,20.3188353,26.42666666666667,30.0,,,26.42666666666667,20.3188353
12/1985,27.002228354838714,21.32947116129032,27.729032258064517,31.0,,,27.729032258064517,21.32947116129032
1/1986,30.22208977419355,22.571462,30.17096774193548,31.0,23.729032258064517,31.0,30.17096774193548,23.729032258064517
2/1986,30.505886928571428,23.09988207142857,31.099999999999994,28.0,24.567857142857147,28.0,31.099999999999994,24.567857142857147
3/1986,27.18634503225807,22.837352677419357,29.89677419354839,31.0,,,29.89677419354839,22.837352677419357
4/1986,29.150453,21.81697266666667,29.06,30.0,22.956666666666663,30.0,29.06,22.956666666666663
5/1986,26.928900193548387,21.829192645161285,28.219354838709673,31.0,,,28.219354838709673,21.829192645161285
6/1986,26.08080373333333,19.737629366666667,25.93333333333333,30.0,19.3,30.0,25.93333333333333,19.3
7/1986,24.26432493548387,18.746477290322574,24.18709677419355,31.0,17.783870967741933,31.0,24.18709677419355,17.783870967741933
8/1986,25.923156612903227,19.87811674193549,25.577419354838707,31.0,19.95483870967742,31.0,25.577419354838707,19.95483870967742
9/1986,25.183548800000004,19.410020566666667,24.95333333333333,30.0,19.09666666666667,30.0,24.95333333333333,19.09666666666667
10/1986,26.05766829032259,20.026247741935485,26.1483870967742,31.0,19.812903225806448,31.0,26.1483870967742,19.812903225806448
11/1986,28.07697303333333,21.694561700000005,28.87333333333333,30.0,21.513333333333332,30.0,28.87333333333333,21.513333333333332
12/1986,28.435726580645166,22.23839164516129,29.070967741935483,31.0,23.06774193548388,31.0,29.070967741935483,23.06774193548388
1/1987,30.27992229032258,22.977374000000005,30.787096774193554,31.0,24.23225806451613,31.0,30.787096774193554,24.23225806451613
2/1987,30.048270535714288,22.722700142857146,30.389285714285702,28.0,23.821428571428577,28.0,30.389285714285702,23.821428571428577
3/1987,29.174947741935483,21.838312,28.648387096774194,31.0,23.238709677419358,31.0,28.648387096774194,23.238709677419358
4/1987,29.084924899999994,22.0645,29.063333333333336,30.0,23.28,30.0,29.063333333333336,23.28
5/1987,25.944417322580648,20.878957838709677,26.770967741935486,31.0,20.603225806451608,31.0,26.770967741935486,20.603225806451608
6/1987,24.5410051,19.388656433333328,24.96,30.0,18.19,30.0,24.96,18.19
