Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,30.914707161290327,23.807452967741927,31.074193548387107,31.0,23.874193548387105,31.0,31.074193548387107,23.874193548387105
2/1980,29.04581282758621,22.840560931034478,28.955172413793107,29.0,22.83448275862069,29.0,28.955172413793107,22.83448275862069
3/1980,29.693153999999996,23.36522241935484,30.1,31.0,23.109677419354835,31.0,30.1,23.109677419354835
4/1980,29.847296566666678,23.169422300000008,30.19,30.0,23.05,30.0,30.19,23.05
5/1980,31.071616870967738,23.32769541935484,30.835483870967746,31.0,23.78709677419355,31.0,30.835483870967746,23.78709677419355
6/1980,30.722689733333336,22.950564366666665,30.206666666666674,30.0,23.24,30.0,30.206666666666674,23.24
7/1980,30.826700483870965,23.03288032258065,30.235483870967744,31.0,22.851612903225806,31.0,30.235483870967744,22.851612903225806
8/1980,31.081822838709673,23.58019835483871,31.019354838709674,31.0,23.058064516129022,31.0,31.019354838709674,23.058064516129022
9/1980,31.346851299999994,23.81906426666667,31.143333333333338,30.0,23.52666666666666,30.0,31.143333333333338,23.52666666666666
10/1980,31.582537387096767,24.21503493548387,31.580645161290327,31.0,24.01612903225807,31.0,31.580645161290327,24.01612903225807
11/1980,31.302789699999995,23.95705253333333,31.256666666666664,30.0,23.71333333333333,30.0,31.256666666666664,23.71333333333333
12/1980,31.243665612903207,24.19679629032258,31.574193548387104,31.0,23.845161290322586,31.0,31.574193548387104,23.845161290322586
1/1981,30.868897419354845,23.835448870967735,31.12258064516129,31.0,23.63225806451613,31.0,31.12258064516129,23.63225806451613
2/1981,30.819364571428576,23.762829428571425,30.592857142857127,28.0,23.37857142857143,28.0,30.592857142857127,23.37857142857143
3/1981,30.05751364516129,23.604079161290326,29.91612903225806,31.0,23.645161290322584,31.0,29.91612903225806,23.645161290322584
4/1981,30.90302826666666,23.7003931,30.8,30.0,23.55333333333333,30.0,30.8,23.55333333333333
5/1981,30.123241,23.360471838709678,30.18709677419355,31.0,23.19677419354839,31.0,30.18709677419355,23.19677419354839
