Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,26.530393161290327,18.252911080645166,26.02580645161291,31.0,18.061290322580646,31.0,26.02580645161291,18.061290322580646
2/1980,27.355971482758626,18.88833382758621,27.25862068965517,29.0,18.820689655172405,29.0,27.25862068965517,18.820689655172405
3/1980,29.34365225806452,19.651655225806454,28.93548387096775,31.0,19.57741935483871,31.0,28.93548387096775,19.57741935483871
4/1980,25.20101163333333,17.050487866666664,25.04666666666667,30.0,17.173333333333332,30.0,25.04666666666667,17.173333333333332
5/1980,24.948983483870965,15.278787532258065,24.8483870967742,31.0,15.312903225806453,31.0,24.8483870967742,15.312903225806453
6/1980,21.094246233333333,11.958857049999995,21.136666666666667,30.0,11.97,30.0,21.136666666666667,11.97
7/1980,22.19304135483871,12.960814677419355,22.86774193548387,31.0,12.941935483870964,31.0,22.86774193548387,12.941935483870964
8/1980,22.584328967741932,13.58727764516129,22.89677419354839,31.0,13.232258064516124,31.0,22.89677419354839,13.232258064516124
9/1980,21.027279400000005,12.473636093333335,21.766666666666666,30.0,12.386666666666667,30.0,21.766666666666666,12.386666666666667
10/1980,25.483095967741942,15.93836108064516,25.645161290322584,31.0,15.535483870967742,31.0,25.645161290322584,15.535483870967742
11/1980,25.371517100000002,16.579779533333333,25.446666666666662,30.0,16.476666666666667,30.0,25.446666666666662,16.476666666666667
12/1980,24.58355622580645,14.926380387096778,21.9,1.0,19.3,1.0,21.9,19.3
1/1981,24.070047548387087,14.831799548387098,,,,,24.070047548387087,14.831799548387098
2/1981,29.334444928571433,19.39841460714285,29.385714285714283,28.0,19.52857142857143,28.0,29.385714285714283,19.52857142857143
3/1981,27.027745774193548,18.275687451612907,26.954838709677414,31.0,18.496774193548386,31.0,26.954838709677414,18.496774193548386
4/1981,24.421302066666666,14.713500466666664,27.3,1.0,20.1,1.0,27.3,20.1
5/1981,24.05383174193548,14.902699177419356,24.10322580645161,31.0,14.98064516129032,31.0,24.10322580645161,14.98064516129032
